"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic product","A191RX1","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,228,853.0","13,228,848.0","12,880,611.0","13,248,215.0"
"20","2","       Final sales of domestic product","A190RX1","4,248,593.0","4,287,919.0","4,407,376.0","4,640,633.0","4,888,160.0","4,874,142.0","4,926,300.0","5,120,246.0","5,344,898.0","5,639,740.0","5,841,208.0","5,878,673.0","5,959,520.0","5,923,299.0","6,172,921.0","6,495,603.0","6,838,948.0","7,098,737.0","7,296,167.0","7,607,817.0","7,867,499.0","8,032,667.0","8,034,769.0","8,284,284.0","8,515,250.0","8,809,201.0","9,073,181.0","9,412,471.0","9,782,604.0","10,217,068.0","10,715,681.0","11,167,513.0","11,391,739.0","11,543,517.0","11,824,751.0","12,198,177.0","12,588,423.0","12,917,095.0","13,200,021.0","13,268,069.0","12,992,795.0","13,176,694.0"
"21","3","       Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-37,628.0","-113,124.0","62,651.0"
"22","4","       Residual","A958RX1","-17,100.0","-23,600.0","-19,100.0","-18,600.0","-10,200.0","-13,300.0","-34,000.0","-13,200.0","-10,300.0","-7,700.0","-14,200.0","-30,400.0","-11,300.0","-32,700.0","-29,000.0","3,200.0","-15,000.0","-20,700.0","-16,100.0","-15,800.0","-12,200.0","-15,400.0","-18,300.0","-15,100.0","-14,200.0","-7,800.0","-11,600.0","-9,800.0","-5,700.0","-5,200.0","-4,400.0","-1,700.0","-2,700.0","-3,300.0","-1,400.0","-700.0","0.0","-300.0","1,200.0","-1,700.0","900.0","8,800.0"
"23","5","Goods","A353RX1","915,376.0","907,726.0","934,673.0","998,524.0","1,104,728.0","1,094,127.0","1,066,775.0","1,150,509.0","1,205,768.0","1,286,827.0","1,339,978.0","1,328,289.0","1,388,191.0","1,316,780.0","1,373,741.0","1,544,038.0","1,580,968.0","1,627,135.0","1,692,718.0","1,798,019.0","1,900,176.0","1,920,057.0","1,887,625.0","1,964,689.0","2,040,304.0","2,183,809.0","2,264,000.0","2,387,711.0","2,573,879.0","2,722,995.0","2,913,999.0","3,056,254.0","3,006,877.0","3,059,222.0","3,164,036.0","3,326,236.0","3,472,868.0","3,652,744.0","3,803,322.0","3,784,415.0","3,642,357.0","4,046,880.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,241,072.0","2,363,900.0","2,509,834.0","2,663,036.0","2,855,758.0","3,002,756.0","3,043,588.0","3,047,428.0","3,146,145.0","3,260,920.0","3,422,916.0","3,593,501.0","3,775,745.0","3,829,910.0","3,766,934.0","3,970,043.0"
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-37,628.0","-113,124.0","62,651.0"
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,049,031.0","1,125,132.0","1,257,160.0","1,377,257.0","1,511,932.0","1,625,132.0","1,574,945.0","1,614,539.0","1,670,496.0","1,778,437.0","1,891,107.0","1,989,445.0","2,111,304.0","2,092,502.0","1,883,110.0","2,201,247.0"
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,022,961.0","1,110,855.0","1,222,742.0","1,341,478.0","1,476,448.0","1,590,539.0","1,614,655.0","1,596,683.0","1,656,273.0","1,740,397.0","1,855,887.0","1,964,411.0","2,101,561.0","2,119,822.0","2,005,261.0","2,156,459.0"
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","31,411.0","17,933.0","40,237.0","40,620.0","39,485.0","37,651.0","-46,426.0","18,125.0","13,514.0","38,127.0","35,220.0","25,249.0","10,778.0","-23,393.0","-106,700.0","39,148.0"
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,252,477.0","1,295,919.0","1,339,451.0","1,357,711.0","1,406,992.0","1,429,793.0","1,433,657.0","1,445,293.0","1,494,100.0","1,547,856.0","1,581,761.0","1,663,293.0","1,693,549.0","1,692,866.0","1,747,476.0","1,844,830.0"
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,260,042.0","1,286,737.0","1,309,920.0","1,334,315.0","1,385,000.0","1,411,815.0","1,428,157.0","1,451,858.0","1,490,498.0","1,520,577.0","1,567,028.0","1,629,221.0","1,675,825.0","1,710,936.0","1,754,785.0","1,811,565.0"
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,262.0","12,492.0","36,112.0","29,535.0","27,667.0","21,389.0","7,299.0","-6,365.0","3,624.0","28,052.0","14,733.0","34,134.0","16,852.0","-14,668.0","-9,618.0","24,140.0"
"32","14","Services \2\","A341RX1","2,800,814.0","2,858,200.0","2,926,792.0","3,034,693.0","3,125,455.0","3,194,586.0","3,309,105.0","3,400,174.0","3,517,019.0","3,651,509.0","3,740,127.0","3,811,188.0","3,887,390.0","3,956,856.0","4,120,101.0","4,234,116.0","4,448,755.0","4,635,211.0","4,785,330.0","4,961,325.0","5,114,778.0","5,269,310.0","5,363,020.0","5,521,654.0","5,647,942.0","5,781,158.0","5,902,458.0","6,045,258.0","6,208,326.0","6,421,745.0","6,663,605.0","6,918,721.0","7,095,365.0","7,275,590.0","7,416,019.0","7,613,069.0","7,802,110.0","7,985,030.0","8,169,588.0","8,291,355.0","8,278,157.0","8,344,588.0"
"33","15","Structures","A755RX1","703,345.0","672,997.0","735,497.0","790,200.0","807,134.0","723,431.0","657,626.0","719,197.0","787,158.0","862,769.0","887,409.0","822,998.0","811,924.0","742,584.0","796,292.0","903,863.0","950,957.0","965,118.0","969,348.0","967,644.0","960,970.0","941,878.0","869,065.0","902,434.0","930,525.0","978,447.0","988,918.0","1,053,131.0","1,097,820.0","1,155,105.0","1,202,215.0","1,245,301.0","1,254,074.0","1,223,155.0","1,263,562.0","1,325,569.0","1,363,397.0","1,341,105.0","1,267,047.0","1,166,869.0","973,558.0","904,276.0"
"34","16","Residual","A959RX1","-157,700.0","-169,000.0","-183,700.0","-175,700.0","-120,300.0","-122,200.0","-154,000.0","-128,600.0","-132,300.0","-123,500.0","-112,500.0","-123,500.0","-100,300.0","-145,400.0","-153,900.0","-104,900.0","-131,500.0","-140,900.0","-134,000.0","-113,000.0","-90,100.0","-97,400.0","-104,600.0","-101,700.0","-95,300.0","-72,700.0","-108,800.0","-92,500.0","-60,700.0","-39,200.0","-14,600.0","600.0","-6,100.0","-6,100.0","-2,800.0","-2,100.0","100.0","-2,800.0","-12,800.0","-22,100.0","-15,000.0","-32,000.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","279,094.0","284,031.0","307,784.0","333,129.0","365,080.0","359,692.0","343,753.0","383,283.0","387,335.0","402,987.0","418,937.0","413,974.0","413,903.0","336,758.0","253,741.0","319,854.0"
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,818,200.0","9,154,899.0","9,549,143.0","9,950,475.0","10,411,737.0","10,866,771.0","11,006,781.0","11,169,378.0","11,453,464.0","11,860,865.0","12,219,437.0","12,561,985.0","12,814,222.0","12,884,200.0","12,610,833.0","12,918,140.0"
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,272.0","11,489.0","17,569.0","25,125.0","35,982.0","46,987.0","53,071.0","54,713.0","63,631.0","66,748.0","79,002.0","98,939.0","117,101.0","148,161.0","155,641.0","185,323.0"
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,237,646.0","9,539,837.0","9,921,478.0","10,315,280.0","10,774,970.0","11,192,569.0","11,300,034.0","11,503,614.0","11,778,514.0","12,198,285.0","12,559,373.0","12,878,873.0","13,117,526.0","13,098,467.0","12,747,860.0","13,101,045.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chained-dollar estimates are usually not additive. The residual line following change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","is the difference between gross domestic product and the sum of final sales of domestic product and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","change in private inventories; the residual line following structures is the difference between gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","domestic product and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
