"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Goods","DGDSRC1","43,769.0","38,165.0","31,708.0","24,125.0","23,756.0","28,483.0","31,628.0","35,969.0","38,374.0","36,005.0","37,921.0","40,632.0","47,448.0","51,025.0","56,331.0","60,532.0","67,624.0","86,243.0","99,428.0","107,421.0","108,081.0","116,830.0","124,750.0","128,784.0","134,833.0","135,764.0","147,398.0","152,153.0","159,605.0","161,568.0","172,607.0","177,015.0","178,809.0","188,969.0","198,154.0","212,254.0","229,676.0","249,620.0","258,991.0","284,615.0","304,677.0"
"22","4","    Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,623.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0"
"23","5","    Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0"
"24","6","  Services","DSERRC1","33,619.0","31,974.0","28,965.0","24,587.0","22,187.0","22,975.0","24,299.0","26,213.0","28,460.0","28,259.0","29,284.0","30,654.0","33,620.0","37,978.0","43,571.0","48,120.0","52,360.0","58,067.0","62,562.0","67,606.0","70,416.0","75,399.0","83,782.0","90,742.0","98,244.0","104,236.0","111,366.0","119,518.0","127,258.0","134,618.0","145,097.0","154,780.0","163,376.0","174,367.0","184,559.0","199,200.0","214,135.0","231,273.0","248,792.0","273,386.0","300,447.0"
"25","7","Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0"
"26","8","  Fixed investment","A007RC1","14,941.0","10,982.0","7,044.0","3,619.0","3,145.0","4,271.0","5,561.0","7,479.0","9,528.0","7,653.0","9,135.0","11,249.0","13,785.0","8,530.0","6,871.0","8,722.0","12,317.0","25,137.0","35,510.0","42,444.0","39,558.0","48,293.0","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0"
"27","9","    Nonresidential","A008RC1","10,983.0","8,628.0","5,262.0","2,852.0","2,527.0","3,332.0","4,266.0","5,759.0","7,476.0","5,525.0","6,100.0","7,724.0","9,693.0","6,306.0","5,441.0","7,371.0","10,621.0","17,326.0","23,453.0","26,806.0","24,910.0","27,756.0","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0"
"28","10","      Structures","B009RC1","5,491.0","4,448.0","2,619.0","1,392.0","1,091.0","1,234.0","1,433.0","1,878.0","2,706.0","2,124.0","2,217.0","2,557.0","3,250.0","2,241.0","1,770.0","2,369.0","3,336.0","7,381.0","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"29","11","      Equipment and software","B010RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0"
"30","12","    Residential","A011RC1","3,958.0","2,354.0","1,782.0","767.0","618.0","939.0","1,295.0","1,720.0","2,052.0","2,128.0","3,035.0","3,525.0","4,092.0","2,224.0","1,430.0","1,351.0","1,696.0","7,811.0","12,057.0","15,638.0","14,648.0","20,537.0","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0"
"31","13","  Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"32","14","Net exports of goods and services","A019RC1","383.0","323.0","1.0","43.0","58.0","322.0","-213.0","-147.0","78.0","966.0","833.0","1,471.0","1,033.0","-252.0","-2,246.0","-2,024.0","-766.0","7,182.0","10,807.0","5,487.0","5,235.0","738.0","2,513.0","1,164.0","-701.0","404.0","478.0","2,361.0","4,075.0","538.0","396.0","4,204.0","4,914.0","4,100.0","4,940.0","6,914.0","5,617.0","3,863.0","3,555.0","1,351.0","1,432.0"
"33","15","  Exports","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,146.0","40,920.0","43,467.0","47,907.0","51,923.0"
"34","16","    Goods","A253RC1","5,347.0","3,929.0","2,494.0","1,667.0","1,736.0","2,238.0","2,404.0","2,590.0","3,451.0","3,243.0","3,347.0","4,124.0","4,533.0","3,389.0","2,920.0","3,589.0","5,365.0","11,764.0","16,097.0","13,265.0","12,213.0","10,203.0","14,243.0","13,449.0","12,412.0","12,929.0","14,424.0","17,556.0","19,562.0","16,414.0","16,458.0","20,453.0","20,947.0","21,708.0","23,338.0","26,715.0","27,790.0","30,736.0","32,174.0","35,262.0","38,262.0"
"35","17","    Services","A646RC1","592.0","515.0","412.0","308.0","251.0","323.0","365.0","417.0","588.0","568.0","622.0","773.0","949.0","986.0","1,114.0","1,291.0","1,416.0","2,392.0","2,643.0","2,282.0","2,271.0","2,147.0","2,856.0","3,010.0","2,901.0","2,907.0","3,253.0","3,728.0","4,455.0","4,146.0","6,267.0","6,592.0","6,655.0","7,357.0","7,737.0","8,304.0","9,356.0","10,184.0","11,293.0","12,645.0","13,661.0"
"36","18","  Imports","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"37","19","    Goods","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0"
"38","20","    Services","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0"
"39","21","Government consumption expenditures and gross investment","A822RC1","9,356.0","9,992.0","9,884.0","8,698.0","8,659.0","10,509.0","10,889.0","13,091.0","12,802.0","13,816.0","14,790.0","15,031.0","26,525.0","62,722.0","94,826.0","105,333.0","92,990.0","39,588.0","36,338.0","40,502.0","46,634.0","46,714.0","68,054.0","83,584.0","90,514.0","86,131.0","86,442.0","91,370.0","99,659.0","105,958.0","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0"
"40","22","  Federal","A823RC1","1,729.0","1,830.0","1,878.0","1,829.0","2,286.0","3,278.0","3,375.0","5,565.0","5,092.0","5,718.0","6,016.0","6,471.0","17,969.0","54,146.0","86,456.0","96,948.0","84,027.0","28,818.0","22,590.0","24,156.0","27,638.0","25,972.0","45,007.0","59,146.0","64,367.0","57,229.0","54,851.0","56,669.0","61,315.0","63,803.0","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0"
"41","23","    National defense","A824RC1","916.0","949.0","940.0","924.0","875.0","816.0","1,026.0","1,249.0","1,300.0","1,363.0","1,490.0","2,478.0","14,306.0","51,139.0","84,152.0","94,498.0","81,923.0","25,125.0","18,153.0","18,222.0","19,782.0","19,506.0","39,218.0","52,314.0","55,902.0","49,164.0","46,920.0","49,211.0","53,607.0","55,364.0","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0"
"42","24","    Nondefense","A825RC1","813.0","881.0","938.0","905.0","1,411.0","2,462.0","2,349.0","4,316.0","3,792.0","4,355.0","4,526.0","3,993.0","3,663.0","3,007.0","2,304.0","2,450.0","2,104.0","3,693.0","4,437.0","5,934.0","7,856.0","6,466.0","5,789.0","6,832.0","8,465.0","8,065.0","7,931.0","7,458.0","7,708.0","8,439.0","11,510.0","10,730.0","11,382.0","14,149.0","15,931.0","18,193.0","19,801.0","20,756.0","21,184.0","22,019.0","23,790.0"
"43","25","  State and local","A829RC1","7,627.0","8,162.0","8,006.0","6,869.0","6,373.0","7,231.0","7,514.0","7,526.0","7,710.0","8,098.0","8,774.0","8,560.0","8,556.0","8,576.0","8,370.0","8,385.0","8,963.0","10,770.0","13,748.0","16,346.0","18,996.0","20,742.0","23,047.0","24,438.0","26,147.0","28,902.0","31,591.0","34,701.0","38,344.0","42,155.0","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0"
