"","Table 1#9#6# Real Net Value Added by Sector, Chained Dollars    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 10:13:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Net domestic product","A362RX1","8,156,417.0","8,447,502.0","8,810,364.0","9,168,746.0","9,584,743.0","9,946,287.0","9,996,903.0","10,153,221.0","10,399,444.0","10,775,522.0","11,096,999.0","11,377,755.0","11,567,781.0","11,514,323.0","11,137,322.0"
"20","2","Business \1\","A363RX1","6,057,079.0","6,320,770.0","6,634,649.0","6,943,512.0","7,308,051.0","7,605,854.0","7,616,494.0","7,747,390.0","7,988,623.0","8,330,634.0","8,607,879.0","8,862,402.0","9,022,033.0","8,888,780.0","8,504,852.0"
"21","3","  Nonfarm \2\","A364RX1","6,027,657.0","6,279,392.0","6,584,652.0","6,899,832.0","7,261,637.0","7,548,708.0","7,565,649.0","7,693,650.0","7,925,142.0","8,261,253.0","8,535,356.0","8,793,275.0","8,962,666.0","8,815,751.0","8,426,165.0"
"22","4","  Farm","A365RX1","34,988.0","42,195.0","47,974.0","44,601.0","47,321.0","57,772.0","51,644.0","54,481.0","64,066.0","69,431.0","72,524.0","68,736.0","59,205.0","69,716.0","75,539.0"
"23","5","Households and institutions","W503RX1","1,009,616.0","1,028,752.0","1,063,079.0","1,094,926.0","1,131,829.0","1,174,238.0","1,196,933.0","1,199,233.0","1,191,316.0","1,221,624.0","1,261,334.0","1,285,506.0","1,305,541.0","1,355,861.0","1,342,057.0"
"24","6","  Households","W504RX1","518,497.0","528,695.0","546,596.0","558,419.0","589,641.0","618,207.0","632,468.0","625,127.0","617,815.0","646,384.0","682,972.0","710,451.0","721,336.0","763,008.0","754,312.0"
"25","7","  Nonprofit institutions serving households \3\","W505RX1","492,907.0","501,813.0","518,250.0","539,189.0","542,810.0","555,751.0","563,872.0","574,590.0","574,305.0","575,413.0","578,362.0","575,333.0","584,482.0","593,636.0","588,486.0"
"26","8","General government \4\","A194RX1","1,125,026.0","1,123,977.0","1,130,369.0","1,140,963.0","1,147,449.0","1,165,233.0","1,185,045.0","1,208,289.0","1,220,600.0","1,223,546.0","1,227,786.0","1,230,107.0","1,240,751.0","1,267,216.0","1,283,005.0"
"27","9","  Federal","B568RX1","350,306.0","337,473.0","329,003.0","324,011.0","319,489.0","322,151.0","323,429.0","331,078.0","341,439.0","344,010.0","344,448.0","341,148.0","341,155.0","354,185.0","375,914.0"
"28","10","  State and local","B251RX1","779,198.0","789,301.0","802,999.0","817,728.0","828,046.0","842,926.0","861,010.0","876,712.0","879,102.0","879,543.0","883,338.0","888,984.0","899,669.0","913,025.0","907,074.0"
"29","11","Residual","A966RX1","-47,200.0","-31,400.0","-19,200.0","-15,000.0","-4,100.0","700.0","-1,100.0","-2,500.0","-2,400.0","-500.0","0.0","-100.0","-800.0","5,000.0","9,800.0"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Equals net domestic product excluding net value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Equals gross value added of nonprofit institutions excluding consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","capital on fixed assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","quantity index and the 2005 current-dollar value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","one period, the corresponding chained-dollar estimates are usually not additive. The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
