"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2011 9:32:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Personal consumption expenditures","DPCERX1","6,079,008.0","6,291,158.0","6,523,395.0","6,865,472.0","7,240,943.0","7,608,112.0","7,813,888.0","8,021,905.0","8,247,559.0","8,532,731.0","8,818,999.0","9,073,500.0","9,289,471.0","9,265,013.0","9,153,892.0"
"20","2","Goods","DGDSRX1","1,898,594.0","1,983,610.0","2,078,193.0","2,218,594.0","2,395,306.0","2,521,663.0","2,600,869.0","2,706,576.0","2,829,850.0","2,955,285.0","3,073,917.0","3,173,862.0","3,261,594.0","3,180,349.0","3,117,431.0"
"21","3","  Durable goods","DDURRX1","511,639.0","549,831.0","594,720.0","667,191.0","753,781.0","819,906.0","864,413.0","930,049.0","986,132.0","1,051,025.0","1,105,493.0","1,150,416.0","1,198,550.0","1,136,430.0","1,094,557.0"
"22","4","    Motor vehicles and parts","DMOTRX1","255,612.0","268,008.0","286,134.0","316,053.0","345,146.0","356,128.0","374,328.0","394,036.0","405,282.0","411,319.0","409,647.0","396,633.0","403,865.0","348,199.0","324,002.0"
"23","5","      New motor vehicles (55)","DNMVRX1","144,650.0","147,195.0","155,059.0","172,343.0","192,341.0","202,823.0","222,621.0","239,623.0","251,164.0","253,675.0","248,894.0","234,558.0","237,290.0","191,045.0","169,064.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRX1","74,115.0","81,686.0","90,188.0","101,888.0","108,805.0","108,522.0","108,159.0","111,054.0","109,516.0","111,351.0","112,707.0","113,416.0","117,602.0","110,440.0","111,886.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRX1","37,649.0","40,144.0","41,954.0","42,680.0","44,618.0","45,240.0","43,597.0","43,281.0","44,523.0","46,244.0","48,046.0","48,593.0","48,927.0","46,133.0","42,789.0"
"26","8","    Furnishings and durable household equipment","DFDHRX1","133,034.0","138,798.0","145,300.0","157,282.0","175,517.0","192,444.0","202,229.0","216,969.0","230,627.0","249,310.0","263,892.0","277,948.0","281,464.0","271,352.0","253,923.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1","75,931.0","79,931.0","85,013.0","91,722.0","101,573.0","111,739.0","116,480.0","124,309.0","131,310.0","142,697.0","152,838.0","161,101.0","164,114.0","157,387.0","146,290.0"
"28","10","      Household appliances (part of 33)","DAPPRX1","23,843.0","24,085.0","23,960.0","26,195.0","29,575.0","32,203.0","34,011.0","36,168.0","38,338.0","42,128.0","43,383.0","44,169.0","42,945.0","41,539.0","38,599.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERX1","20,597.0","21,743.0","22,689.0","24,486.0","28,171.0","31,517.0","34,098.0","38,105.0","41,117.0","43,130.0","45,361.0","49,570.0","51,723.0","50,101.0","48,621.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORX1","12,840.0","13,208.0","13,825.0","15,092.0","16,369.0","17,073.0","17,696.0","18,388.0","19,887.0","21,382.0","22,310.0","23,162.0","22,900.0","22,508.0","20,635.0"
"31","13","    Recreational goods and vehicles","DREQRX1","75,603.0","87,303.0","100,883.0","121,186.0","147,043.0","172,657.0","189,811.0","212,872.0","236,960.0","269,433.0","303,352.0","343,228.0","381,223.0","393,664.0","399,343.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1","24,382.0","30,118.0","37,112.0","48,358.0","62,492.0","76,698.0","88,700.0","105,061.0","119,953.0","141,721.0","167,743.0","199,761.0","232,171.0","255,445.0","271,131.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1","22,108.0","23,456.0","24,474.0","27,117.0","31,400.0","36,100.0","38,936.0","41,728.0","44,388.0","48,283.0","52,228.0","57,556.0","61,887.0","61,302.0","59,654.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRX1","24,027.0","25,505.0","27,771.0","30,506.0","33,113.0","35,664.0","35,627.0","36,982.0","41,448.0","45,738.0","47,741.0","48,519.0","49,451.0","43,584.0","40,145.0"
"35","17","      Recreational books (part of 90)","DRBKRX1","17,900.0","19,062.0","20,480.0","21,137.0","23,379.0","25,195.0","25,239.0","25,649.0","27,101.0","28,487.0","29,845.0","31,636.0","33,232.0","33,084.0","32,887.0"
"36","18","      Musical instruments (part of 80)","DMSCRX1","2,828.0","2,956.0","3,105.0","3,380.0","3,864.0","4,680.0","4,816.0","5,063.0","5,110.0","5,593.0","5,795.0","6,314.0","6,689.0","6,353.0","5,612.0"
"37","19","    Other durable goods","DODGRX1","70,221.0","74,886.0","78,635.0","86,360.0","96,666.0","105,255.0","102,994.0","109,803.0","115,516.0","121,705.0","128,601.0","133,375.0","134,901.0","129,941.0","126,889.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRX1","29,861.0","32,648.0","33,983.0","37,621.0","42,143.0","45,739.0","44,296.0","46,990.0","50,395.0","53,331.0","56,194.0","58,212.0","57,356.0","52,332.0","49,970.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERX1","24,013.0","25,881.0","28,023.0","30,350.0","32,104.0","34,051.0","33,051.0","35,269.0","36,148.0","37,021.0","38,236.0","39,299.0","41,601.0","42,163.0","41,413.0"
"40","22","      Educational books (96)","DEBKRX1","11,478.0","11,187.0","11,167.0","11,422.0","11,966.0","11,814.0","11,404.0","11,175.0","11,061.0","10,800.0","10,235.0","9,612.0","9,114.0","8,354.0","7,675.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRX1","6,543.0","6,622.0","6,933.0","7,881.0","9,928.0","11,649.0","11,255.0","12,371.0","12,935.0","14,145.0","16,393.0","17,312.0","16,863.0","16,803.0","16,705.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERX1","1,562.0","1,664.0","1,750.0","2,015.0","2,616.0","3,323.0","3,920.0","4,599.0","5,346.0","6,523.0","7,543.0","9,025.0","10,323.0","11,103.0","12,555.0"
"43","25","  Nondurable goods","DNDGRX1","1,437,815.0","1,479,365.0","1,522,887.0","1,580,347.0","1,660,862.0","1,714,717.0","1,745,609.0","1,780,246.0","1,845,648.0","1,904,570.0","1,968,425.0","2,023,630.0","2,064,324.0","2,041,213.0","2,017,378.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARX1","548,515.0","554,024.0","558,850.0","565,548.0","587,384.0","600,605.0","607,609.0","609,025.0","622,407.0","639,228.0","665,015.0","686,245.0","697,466.0","691,599.0","685,121.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1","481,860.0","484,624.0","487,133.0","491,352.0","509,949.0","519,142.0","524,478.0","525,629.0","536,991.0","549,348.0","569,535.0","583,928.0","592,095.0","586,630.0","581,942.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1","66,290.0","69,028.0","71,378.0","73,819.0","77,074.0","81,116.0","82,828.0","83,060.0","85,119.0","89,577.0","95,137.0","101,899.0","105,057.0","104,599.0","102,733.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRX1","586.0","543.0","475.0","492.0","471.0","405.0","342.0","379.0","327.0","310.0","343.0","429.0","339.0","414.0","461.0"
"48","30","    Clothing and footwear","DCLORX1","201,043.0","210,794.0","217,727.0","231,000.0","246,168.0","258,080.0","260,520.0","268,496.0","283,421.0","297,273.0","315,542.0","331,476.0","343,811.0","341,745.0","326,807.0"
"49","31","      Garments","DGARRX1","163,046.0","170,699.0","176,357.0","186,820.0","198,427.0","208,058.0","210,320.0","217,461.0","230,285.0","242,428.0","258,975.0","272,214.0","282,830.0","281,665.0","269,949.0"
"50","32","        Women's and girls' clothing (10)","DWGCRX1","91,236.0","95,666.0","97,939.0","105,011.0","113,700.0","120,977.0","122,741.0","127,530.0","134,681.0","141,737.0","151,928.0","158,985.0","165,077.0","165,737.0","158,639.0"
"51","33","        Men's and boys' clothing (11)","DMBCRX1","63,723.0","66,888.0","69,951.0","72,555.0","74,957.0","76,856.0","76,842.0","78,613.0","83,712.0","88,026.0","93,559.0","99,072.0","102,824.0","101,029.0","97,080.0"
"52","34","        Children's and infants' clothing (12)","DCICRX1","8,044.0","8,092.0","8,433.0","9,216.0","9,745.0","10,227.0","10,739.0","11,319.0","11,896.0","12,666.0","13,489.0","14,162.0","14,935.0","14,887.0","14,218.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1","38,046.0","40,164.0","41,439.0","44,275.0","47,895.0","50,181.0","50,336.0","51,131.0","53,200.0","54,876.0","56,567.0","59,264.0","60,988.0","60,099.0","56,902.0"
"54","36","    Gasoline and other energy goods","DGOERX1","264,326.0","268,506.0","273,925.0","283,768.0","292,456.0","287,126.0","289,198.0","293,983.0","302,154.0","306,527.0","304,824.0","298,378.0","295,909.0","282,033.0","285,498.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1","233,846.0","238,803.0","246,052.0","256,104.0","263,488.0","261,341.0","263,552.0","267,499.0","276,279.0","282,091.0","283,798.0","278,855.0","276,767.0","265,348.0","265,286.0"
"56","38","      Fuel oil and other fuels (29)","DFULRX1","32,121.0","31,081.0","28,815.0","28,423.0","29,846.0","26,209.0","26,048.0","26,934.0","26,192.0","24,590.0","21,026.0","19,529.0","19,148.0","16,804.0","19,967.0"
"57","39","    Other nondurable goods","DONGRX1","442,991.0","462,637.0","488,080.0","514,365.0","546,265.0","574,243.0","592,898.0","612,456.0","640,091.0","662,633.0","683,044.0","708,409.0","729,533.0","731,256.0","723,117.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1","117,083.0","125,333.0","137,142.0","154,600.0","173,254.0","189,577.0","206,068.0","218,308.0","232,826.0","241,623.0","247,268.0","256,795.0","266,345.0","269,768.0","274,512.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1","58,836.0","61,590.0","64,910.0","70,592.0","78,743.0","85,553.0","89,541.0","95,712.0","100,939.0","105,837.0","114,029.0","120,838.0","128,062.0","129,476.0","129,273.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURX1","72,750.0","76,027.0","79,594.0","81,080.0","84,611.0","85,373.0","85,891.0","87,894.0","93,722.0","98,586.0","102,955.0","107,419.0","111,107.0","109,763.0","105,060.0"
"61","43","      Personal care products (part of 118)","DOPCRX1","52,684.0","55,952.0","58,916.0","61,651.0","65,379.0","68,592.0","70,445.0","72,676.0","74,845.0","76,549.0","79,485.0","82,784.0","84,784.0","85,741.0","83,351.0"
"62","44","      Tobacco (127)","DTOBRX1","89,973.0","91,245.0","91,501.0","88,194.0","82,287.0","80,326.0","78,864.0","76,074.0","74,728.0","74,105.0","71,055.0","69,894.0","66,858.0","64,650.0","60,699.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1","53,810.0","53,899.0","54,960.0","55,552.0","57,505.0","59,626.0","57,311.0","56,375.0","57,655.0","60,740.0","63,229.0","65,841.0","68,026.0","67,793.0","65,086.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1","1,862.0","2,126.0","4,200.0","4,625.0","4,488.0","5,236.0","5,583.0","6,040.0","5,825.0","5,419.0","5,023.0","4,897.0","4,720.0","4,578.0","5,910.0"
"65","47","Services","DSERRX1","4,208,206.0","4,331,433.0","4,465,027.0","4,661,823.0","4,852,793.0","5,093,272.0","5,218,687.0","5,318,118.0","5,418,406.0","5,577,583.0","5,745,081.0","5,899,719.0","6,028,283.0","6,082,303.0","6,032,658.0"
"66","48","  Household consumption expenditures (for services)","DHCERX1","4,068,565.0","4,183,260.0","4,327,233.0","4,510,621.0","4,690,395.0","4,917,813.0","5,028,840.0","5,109,348.0","5,198,991.0","5,359,298.0","5,531,006.0","5,664,432.0","5,783,185.0","5,816,119.0","5,777,027.0"
"67","49","    Housing and utilities","DHUTRX1","1,234,871.0","1,261,689.0","1,290,403.0","1,329,758.0","1,371,775.0","1,413,675.0","1,451,500.0","1,462,002.0","1,480,200.0","1,512,765.0","1,582,841.0","1,616,719.0","1,626,355.0","1,638,620.0","1,656,947.0"
"68","50","      Housing","DHSGRX1","1,017,348.0","1,037,129.0","1,066,046.0","1,100,623.0","1,138,687.0","1,174,164.0","1,213,740.0","1,219,351.0","1,233,042.0","1,264,140.0","1,328,896.0","1,367,077.0","1,373,069.0","1,389,828.0","1,407,843.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1","253,542.0","253,761.0","257,341.0","261,778.0","266,189.0","267,944.0","272,610.0","270,448.0","260,967.0","261,298.0","264,687.0","273,663.0","288,187.0","291,767.0","302,700.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1","751,951.0","771,336.0","796,291.0","825,943.0","859,160.0","890,657.0","925,667.0","933,538.0","956,255.0","984,778.0","1,044,497.0","1,073,735.0","1,066,828.0","1,080,073.0","1,087,095.0"
"71","53","        Rental value of farm dwellings (22)","DFARRX1","11,506.0","11,563.0","11,910.0","12,283.0","12,632.0","14,763.0","14,664.0","14,623.0","14,948.0","17,179.0","18,829.0","18,812.0","17,201.0","17,149.0","17,083.0"
"72","54","        Group housing (23)","DGRHRX1","992.0","1,065.0","1,046.0","1,098.0","1,104.0","1,097.0","1,052.0","955.0","952.0","917.0","884.0","888.0","920.0","931.0","942.0"
"73","55","      Household utilities","DUTLRX1","218,671.0","225,811.0","225,436.0","230,111.0","233,752.0","240,120.0","237,770.0","242,952.0","247,621.0","248,804.0","253,945.0","249,841.0","253,401.0","249,303.0","249,777.0"
"74","56","        Water supply and sanitation (25)","DWRSRX1","55,431.0","57,234.0","58,496.0","59,435.0","61,325.0","61,943.0","62,521.0","63,146.0","63,918.0","63,359.0","63,579.0","65,586.0","65,782.0","65,548.0","64,521.0"
"75","57","        Electricity and gas","DELGRX1","163,153.0","168,488.0","166,861.0","170,602.0","172,282.0","178,102.0","175,155.0","179,729.0","183,646.0","185,420.0","190,366.0","184,311.0","187,656.0","183,815.0","185,324.0"
"76","58","          Electricity (27)","DELCRX1","101,863.0","103,531.0","103,223.0","110,575.0","111,652.0","115,487.0","113,334.0","118,584.0","120,632.0","123,043.0","128,720.0","125,780.0","127,426.0","125,593.0","123,310.0"
"77","59","          Natural gas (28)","DGHERX1","64,385.0","69,454.0","67,603.0","60,859.0","61,478.0","63,461.0","62,726.0","61,314.0","63,352.0","62,517.0","61,646.0","58,478.0","60,251.0","58,163.0","62,688.0"
"78","60","    Health care","DHLCRX1","947,494.0","967,086.0","997,112.0","1,029,504.0","1,045,587.0","1,081,525.0","1,135,446.0","1,202,320.0","1,229,418.0","1,268,646.0","1,315,952.0","1,340,006.0","1,371,574.0","1,410,015.0","1,440,397.0"
"79","61","      Outpatient services","DOUTRX1","423,045.0","434,691.0","444,966.0","459,246.0","468,138.0","490,231.0","517,987.0","552,398.0","580,300.0","608,523.0","636,465.0","652,850.0","668,251.0","690,102.0","699,183.0"
"80","62","        Physician services (44)","DPHYRX1","209,148.0","214,180.0","219,946.0","227,908.0","234,086.0","248,688.0","262,964.0","284,086.0","302,608.0","316,943.0","332,403.0","343,516.0","347,166.0","360,155.0","364,279.0"
"81","63","        Dental services (45)","DDENRX1","71,042.0","71,516.0","72,825.0","74,924.0","76,640.0","79,668.0","83,490.0","87,124.0","86,526.0","88,606.0","88,999.0","88,911.0","89,963.0","89,781.0","87,614.0"
