"","Table 3#8# Real Government Consumption Expenditures and Gross In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2003      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2003 2:10:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Government consumption expenditures and gross investment \1\","A822RX",1292.5,1307.5,1343.5,1387.3,1403.4,1410,1398.8,1400.1,1406.4,1421.9,1455.4,1483.3,1540.6,1582.5,1640.4,1712.8
"9","2","Federal","A823RX",597.8,586.9,594.7,606.8,604.9,595.1,572,551.3,536.5,531.6,529.6,525.4,537.7,544.4,570.6,613.3
"10","3","  National defense","A824RX",450.2,446.8,443.3,443.2,438.4,417.1,394.7,375.9,361.9,357,347.7,341.6,348.8,348.7,366,400
"11","4","    Consumption expenditures","A997RX",373.2,376.1,372.4,369.7,369.5,350.6,336.1,320.5,308.7,302.4,298.5,290.6,295.3,294.1,308.9,337
"12","5","      Durable goods \2\","A998RX",37.8,37.8,35.7,33.4,32.9,29.8,27.5,23.4,21.1,21,21.2,21.3,22.7,22.7,24.3,25.3
"13","6","      Nondurable goods","A725RX",13,12.5,12.1,10.7,10.9,10.1,9.3,8.5,6.9,7.7,7.7,8,8.9,9.4,9.9,11.4
"14","7","      Services","A489RX",320.9,324.5,323.6,325,325.2,310.3,299.1,288.5,280.7,273.7,269.6,261.4,264,262.4,275.1,300.6
"15","8","        Compensation of general government employees, except own-account investment \3\","A395RX",176.2,174.1,174,172.9,172.3,162.2,155,147,139,133.1,128.3,124.3,120.9,120.5,121.2,123.4
"16","9","        Consumption of general government fixed capital \4\","B432RX",53.8,56.7,59.1,61.2,62.9,63.8,64.1,63.9,63.4,63,62.7,62.4,62.4,62.5,62.4,62.6
"17","10","        Other services","A726RX",92.3,94.5,91.5,91.6,90.6,84.8,80.4,77.9,78.5,77.7,78.7,74.8,80.8,79.6,91.7,114.9
"18","11","    Gross investment","A788RX",76.3,70.6,70.8,73.2,68.9,66.4,58.6,55.4,53.2,54.6,49.1,51,53.7,54.8,57.3,63.3
"19","12","      Structures","A808RX",11.2,10.4,8.3,7.7,5.7,6.3,5.7,6.2,6.5,6.7,5.5,5.1,4.8,4.6,4.6,4.4
"20","13","      Equipment and software","A873RX",65.7,60.7,62.6,65.4,62.9,60,52.8,49.2,46.8,47.9,43.6,45.9,49,50.4,53,59.5
"21","14","  Nondefense","A825RX",146.5,138.9,150.5,163,166,177.9,177.3,175.5,174.6,174.6,181.8,183.8,188.8,195.6,204.4,213.3
"22","15","    Consumption expenditures","A542RX",125.4,119.2,129.6,140.1,140.9,150,147.8,148,145.7,142.9,148.6,146.5,147.6,153.7,161.1,167.8
"23","16","      Durable goods \2\","A543RX",-0.9,-1.1,-1,-0.7,-0.5,-0.1,0.5,1,0.8,1.1,1.3,-0.2,1.2,1.4,1.5,1.7
"24","17","      Nondurable goods","A729RX",2.9,-4.6,4.5,4.6,5.1,6.1,6.4,6.2,6.4,6.1,7.9,8.3,6.4,6.8,8.9,8.5
"25","18","        Commodity Credit Corporation inventory change","B826RX",-4.7,-12.1,-2.1,-2.5,-0.4,-1.3,-1,-1.2,-0.4,-0.4,-0.1,0.3,0.3,1.6,1.7,-0.1
"26","19","        Other nondurables","B828RX",7.6,7.5,6.5,7.1,5.5,7.4,7.4,7.4,6.8,6.5,8,8.1,6,5.2,7.2,8.6
"27","20","      Services","A544RX",121.5,123.5,125.1,135.6,136.1,143.6,140.5,140.4,138.5,135.7,139.4,138.5,140.2,146.3,151.6,157.7
"28","21","        Compensation of general government employees, except own-account investment \3\","B545RX",77,79,79.3,83.2,83,84.5,84.1,81.8,78.5,76.4,75.9,76.7,77,79.4,79,80.7
"29","22","        Consumption of general government fixed capital \4\","B546RX",11.2,11.8,12.5,13.3,14,14.6,15.2,15.9,16.7,18,19.6,21.4,23.8,26.1,28,30.1
"30","23","        Other services","B730RX",34.6,34.1,34.6,39.9,39.7,44.7,41.5,42.9,43.3,41.3,44,40.4,39.7,41.2,45.4,48
"31","24","    Gross investment","A798RX",21.5,20.1,21.5,23.5,25.4,28,29.5,27.6,29,31.7,33.3,37.5,41.6,42.3,43.6,45.9
"32","25","      Structures","A830RX",11.6,8.6,8.3,9.3,10.4,11.6,12.4,11.2,11.1,11.1,9.4,10.6,10.7,9.5,8.9,10.4
"33","26","      Equipment and software","B880RX",10.6,11.7,13.2,14.2,15,16.5,17.2,16.5,17.9,20.5,23.9,27,31.2,33.3,35.4,36
"34","27","State and local","A829RX",695.6,721.4,749.5,781.1,798.9,815.3,827,848.9,869.9,890.4,925.8,957.7,1002.4,1037.4,1069.4,1099.7
"35","28","  Consumption expenditures","A991RX",577.3,596.8,617.9,638.9,653.4,667.8,680.4,697.5,711.3,726.5,745.7,771.9,801.2,831.1,856.8,881.1
