"","Table 2#9# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars; months seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2003      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2003 6:40:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","  Personal income","A065RC",394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3,8929.1
"9","2","  Less: Personal tax and nontax payments","A066RC",42.8,46.6,47.9,52.3,55.3,52.8,58.4,67.3,74.2,88.3,105.9,104.6,103.4,125.6,134.5,153.3,150.3,175.5,201.2,233.5,273.3,304.2,351.5,361.6,360.9,387.2,428.5,449.9,503,519.7,583.5,609.6,610.5,635.8,674.6,722.6,778.3,869.7,968.8,1070.4,1159.1,1286.4,1292.1,1113.6
"10","3","  Equals: Disposable personal income","A067RC",351.2,366.2,382.4,405.6,425.8,463,498.9,539.1,576.2,626.2,675,736.5,801.7,868.6,979,1072.3,1181.4,1299.9,1436,1614.8,1808.2,2019.8,2247.9,2406.8,2586,2887.6,3086.5,3262.5,3459.5,3752.4,4016.3,4293.6,4474.8,4754.6,4935.3,5165.4,5422.6,5677.7,5968.2,6355.6,6627.4,7120.2,7393.2,7815.5
