"","Table 6#11B# Other Labor Income by Industry Group and by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2003 2:17:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Other labor income","B040RC0B",3506,3884,4762,5854,6523,7166,7434,8523,9968,11348,11982,13372,14371,15233,16673,18042,20333,22713,25509,28191,32471,36604,41881,47952,55294,62799,73342,87632,105276,125334,143441,162585,185391,204843,222823,238578,262093,282288,298429,319123
"9",NA,"        By industry group"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B4902C0B",3506,3884,4762,5854,6523,7166,7434,8523,9968,11348,11982,13372,14371,15233,16673,18042,20333,22713,25509,28191,32471,36604,41881,47952,55294,62799,73342,87632,105276,125334,143441,162585,185391,204843,222823,238578,262093,282288,298429,319123
"11","3","  Private industries","B4903C0B",2660,2877,3590,4553,5105,5781,5997,6870,7884,8857,9193,10288,10834,11284,12391,13241,14917,16915,18830,20435,23817,26627,30190,33671,39247,44508,50689,59080,71596,85259,99421,112341,126662,138015,148876,157720,167562,177693,189820,205358
"12","4","    Agriculture, forestry, and fishing","B4904C0B",10,11,11,11,12,12,13,16,17,21,66,70,76,79,91,95,97,100,114,117,131,151,162,179,200,252,313,387,506,588,619,653,713,714,698,715,754,816,927,963
"13","5","    Mining","B4905C0B",153,151,219,248,244,275,250,283,337,339,311,328,333,350,370,353,390,383,421,457,481,540,608,634,719,820,1014,1355,1624,1993,2539,3041,3733,4500,4631,4270,4043,3708,3534,3747
"14","6","    Construction","B4906C0B",196,193,197,242,274,311,323,360,393,454,304,398,408,478,470,598,644,792,843,899,1153,1210,1523,1680,1900,2297,2739,3375,4276,5447,6355,7211,7494,6337,5829,7946,9691,11503,13713,14745
"15","7","    Manufacturing","B4907C0B",1286,1424,1959,2650,3008,3435,3523,4110,4797,5335,5465,5887,6149,6157,6874,7129,8005,9048,10106,10765,12575,14230,14930,16207,18314,21026,24048,26547,32056,38593,42737,48200,53803,59232,61810,62122,63144,64829,67102,72548
"16","8","      Durable goods","B4908C0B",634,689,1186,1613,1837,2146,2075,2577,3109,3445,3315,3606,3806,3735,4308,4459,5077,5825,6645,7056,8383,9572,9909,10860,12440,14459,16330,17825,21529,25871,28617,32319,36112,39355,40433,40387,41021,41977,43439,47492
"17","9","      Nondurable goods","B4909C0B",652,735,773,1037,1171,1289,1448,1533,1688,1890,2150,2281,2343,2422,2566,2670,2928,3223,3461,3709,4192,4658,5021,5347,5874,6567,7718,8722,10527,12722,14120,15881,17691,19877,21377,21735,22123,22852,23663,25056
"18","10","    Transportation and public utilities","B4910C0B",431,468,516,605,681,747,788,851,951,1069,1137,1281,1319,1438,1475,1588,1900,2243,2432,2625,3054,3160,4232,4936,5898,6204,6886,8315,10200,11483,12764,14274,16256,17423,20181,20755,21631,22499,23575,24596
"19","11","      Transportation","B4911C0B",179,194,207,250,292,329,334,381,428,502,493,587,606,656,653,703,783,873,970,1029,1259,1232,1561,1831,2207,2269,2521,3206,4121,4769,5267,5946,6552,6620,7206,8669,10130,11457,12930,14225
"20","12","      Communication","B4912C0B",145,156,171,186,205,228,234,232,247,267,290,339,356,382,419,465,635,850,912,1019,1137,1251,1812,2133,2608,2806,3123,3379,3781,4135,4693,5343,6241,7087,8407,7515,6923,6392,5827,5252
"21","13","      Electric, gas, and sanitary services","B4913C0B",107,118,138,169,184,190,220,238,276,300,354,355,357,400,403,420,482,520,550,577,658,677,859,972,1083,1129,1242,1730,2298,2579,2804,2985,3463,3716,4568,4571,4578,4650,4818,5119
"22","14","    Wholesale trade","B4914C0B",108,113,131,159,167,187,200,252,283,347,397,496,520,556,605,647,745,854,982,1071,1276,1522,1770,2005,2424,2717,3151,3594,4140,4847,6579,7532,8539,9569,10260,10543,11000,11648,12369,13331
"23","15","    Retail trade","B4915C0B",194,205,226,246,269,293,322,357,388,483,546,614,697,793,908,1018,1117,1178,1277,1445,1716,1995,2277,2476,2933,3354,3656,4243,5063,5919,7698,8743,9777,10641,11474,12958,14192,15603,17353,18936
"24","16","    Finance, insurance, and real estate","B4916C0B",165,187,194,220,264,307,354,387,432,473,568,652,682,714,795,888,998,1139,1277,1443,1692,1723,2062,2427,2922,3226,3406,4571,5728,6614,7258,7873,9077,9584,11214,11616,12012,12567,13697,15273
"25","17","    Services","B4917C0B",117,125,137,172,186,214,224,254,286,336,399,562,650,719,803,925,1021,1178,1378,1613,1739,2096,2626,3127,3937,4612,5476,6693,8003,9775,12872,14814,17270,20015,22779,26795,31095,34520,37550,41219
"26","18","  Government","B4918C0B",846,1007,1172,1301,1418,1385,1437,1653,2084,2491,2789,3084,3537,3949,4282,4801,5416,5798,6679,7756,8654,9977,11691,14281,16047,18291,22653,28552,33680,40075,44020,50244,58729,66828,73947,80858,94531,104595,108609,113765
"27","19","Rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"      By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
