"","Table 7#4# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2003      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2003 2:21:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8",NA,"Chain-type quantity indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures","B002RA",11.95,11.31,10.97,9.99,9.76,10.44,11.09,12.21,12.67,12.46,13.16,13.84,14.83,14.48,14.88,15.31,16.26,18.27,18.64,19.06,19.58,20.83,21.14,21.81,22.86,23.33,25.02,25.75,26.38,26.6,28.08,28.85,29.43,30.88,32.15,34.08,36.23,38.3,39.45,41.7,43.24,44.25,45.92,48.7,51.09,50.67,51.76,54.78,57.13,59.66,61.16,60.96,61.79,62.54,65.95,69.51,72.95,76.01,78.54,81.71,83.89,85.43,85.28,87.72,90.67,94.09,96.91,100,103.56,108.52,113.88,118.83,121.76,125.56
"10","2","Durable goods","B003RA",6.36,5.24,4.48,3.36,3.29,3.8,4.64,5.7,6,4.9,5.83,6.71,7.79,4.75,4.15,3.8,4.28,8.14,9.69,10.32,11.17,13.63,12.42,12.08,13.58,13.53,16.53,15.86,16,14.71,16.49,16.82,16.19,18.08,19.84,21.67,24.42,26.48,26.9,29.85,30.92,29.91,32.91,37.08,40.91,38.1,38.09,42.95,46.95,49.43,49.26,45.39,45.98,45.98,52.81,60.54,66.52,72.58,73.84,78.11,79.75,79.01,73.79,77.7,84.08,90.46,94.66,100,106.63,117.87,131.8,142.58,151.16,162.19
"11","3","  Motor vehicles and parts","B165RA",11.22,7.81,6.09,3.89,4.64,5.78,8,9.88,10.04,6.5,8.85,11.15,12.68,2.02,2.08,1.92,2.38,8.09,11.54,13.04,16.66,21.53,18.19,16.36,20.32,19.38,26.54,22.61,23.65,19.58,23.33,24.77,22.32,26.49,29.82,31.55,36.61,37.31,36.44,42.38,44.12,39.74,47.37,54.15,59.14,49.03,49.33,59.65,66.02,68.89,64.32,55.66,57.04,58.6,70.23,82.15,92.42,98.31,94.57,99.43,99.04,96.02,82.62,88.07,94.49,99.52,98.88,100,103.31,113.91,125.65,132.04,141.21,149.18
"12","4","  Furniture and household equipment","B166RA",4.55,4.08,3.73,3.02,2.77,3.02,3.43,4.27,4.47,4.02,4.55,5.03,5.9,4.87,3.68,3.16,3.49,6.46,7.51,7.84,7.71,9.24,8.77,8.91,9.36,9.56,10.76,11.26,10.94,10.77,11.59,11.45,11.66,12.39,13.34,15.02,16.45,18.55,19.42,20.67,21.21,21.44,22.3,24.69,27.39,27.68,27.05,28.84,31.32,33.16,35.03,34.42,34.46,33.73,38.32,42.91,46.67,52.52,56.26,60.08,63.27,63.69,64.45,68.17,74.91,82.88,90.93,100,110.58,123.83,141.46,157.89,168.03,184.95
"13","5","  Other","B167RA",4.49,4.04,3.28,2.48,2.14,2.58,2.96,3.36,4.06,3.94,4.2,4.49,5.28,5.53,6.47,6.63,7.51,9.8,9.33,9.4,8.89,9.41,9.63,10.19,10.66,11.18,12.34,13.25,13.52,13.75,14.52,14.35,14.3,15.27,16.24,18.11,20.04,23.86,24.93,27.16,28.38,29.8,30.29,34.18,38.36,39.53,41.07,44.26,47.46,50.61,52.6,48.7,49.33,48.56,51.36,58.74,61.62,67.78,72.12,76.05,77.6,78.46,75.09,76.34,81.69,87.3,93.31,100,106.08,114.98,126.97,137.54,142.19,150.73
