"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Private fixed investment in structures","A349RC1","79,308.0","80,531.0","97,165.0","115,302.0","128,590.0","125,319.0","122,161.0","146,276.0","182,478.0","222,449.0","255,527.0","255,985.0","286,260.0","279,555.0","302,977.0","353,267.0","377,633.0","391,142.0","402,083.0","416,035.0","427,077.0","420,889.0","382,968.0","402,983.0","437,046.0","482,635.0","503,798.0","552,311.0","593,048.0","654,367.0","702,431.0","759,332.0","794,120.0","784,012.0","850,988.0","978,099.0","1,116,920.0","1,185,244.0","1,143,286.0","1,048,963.0","795,864.0","703,637.0"
"20","2","Nonresidential","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","524,884.0","586,304.0","449,936.0","374,413.0"
"21","3","  Commercial and health care","W001RC1","11,665.0","12,539.0","14,889.0","17,554.0","19,818.0","20,643.0","17,662.0","18,050.0","20,301.0","25,332.0","33,505.0","40,968.0","48,271.0","55,785.0","55,836.0","70,594.0","84,135.0","80,856.0","80,827.0","86,322.0","88,269.0","87,465.0","68,922.0","64,488.0","69,363.0","75,384.0","83,056.0","91,495.0","104,304.0","115,969.0","125,419.0","139,321.0","137,303.0","119,419.0","115,054.0","125,328.0","135,923.0","156,411.0","181,875.0","181,925.0","126,789.0","92,711.0"
"22","4","    Office \1\","W031RC1","4,144.0","4,325.0","5,164.0","5,422.0","6,239.0","6,484.0","5,447.0","5,361.0","6,016.0","7,756.0","11,237.0","15,705.0","20,494.0","26,783.0","24,719.0","31,086.0","38,017.0","34,889.0","32,483.0","34,222.0","34,571.0","32,954.0","26,240.0","22,221.0","23,034.0","24,557.0","28,329.0","30,920.0","37,710.0","46,422.0","51,776.0","60,228.0","57,169.0","40,564.0","35,143.0","37,786.0","42,838.0","52,496.0","61,845.0","63,785.0","42,846.0","27,847.0"
"23","5","    Health care","W032RC1","2,669.0","3,151.0","3,680.0","4,115.0","4,281.0","4,451.0","4,431.0","4,700.0","4,764.0","5,162.0","5,935.0","7,277.0","9,109.0","12,481.0","13,388.0","13,925.0","13,875.0","13,342.0","13,822.0","15,729.0","15,946.0","16,923.0","15,352.0","15,448.0","16,653.0","16,567.0","15,878.0","16,768.0","19,573.0","19,962.0","20,696.0","21,897.0","21,955.0","25,197.0","27,257.0","29,570.0","32,072.0","36,035.0","40,055.0","43,262.0","39,741.0","34,122.0"
"24","6","      Hospitals and special care","C311RC1","2,175.0","2,635.0","3,065.0","3,479.0","3,550.0","3,691.0","3,790.0","4,071.0","4,062.0","4,257.0","4,614.0","5,402.0","6,632.0","9,197.0","10,373.0","10,153.0","9,267.0","9,132.0","9,927.0","11,626.0","11,807.0","12,987.0","12,202.0","12,803.0","13,923.0","13,673.0","12,536.0","13,129.0","15,097.0","15,382.0","15,170.0","16,195.0","16,734.0","19,655.0","20,427.0","20,999.0","23,032.0","27,971.0","31,073.0","32,861.0","31,264.0","28,187.0"
"25","7","        Hospitals","W033RC1","1,753.0","2,124.0","2,471.0","2,805.0","2,862.0","2,976.0","3,055.0","3,282.0","3,275.0","3,432.0","3,720.0","4,355.0","5,347.0","7,415.0","8,363.0","8,185.0","7,471.0","7,362.0","8,003.0","9,373.0","9,519.0","10,470.0","9,837.0","10,322.0","11,225.0","11,224.0","9,862.0","9,374.0","11,240.0","10,658.0","10,682.0","11,461.0","12,733.0","15,673.0","17,146.0","18,174.0","20,541.0","24,665.0","27,613.0","28,781.0","27,825.0","25,147.0"
"26","8","        Special care","W034RC1","422.0","511.0","594.0","674.0","688.0","715.0","735.0","789.0","787.0","825.0","894.0","1,047.0","1,285.0","1,782.0","2,010.0","1,968.0","1,796.0","1,770.0","1,924.0","2,253.0","2,288.0","2,517.0","2,365.0","2,481.0","2,698.0","2,449.0","2,674.0","3,755.0","3,857.0","4,724.0","4,487.0","4,734.0","4,001.0","3,982.0","3,281.0","2,825.0","2,491.0","3,306.0","3,460.0","4,080.0","3,439.0","3,040.0"
"27","9","      Medical buildings","W035RC1","494.0","516.0","615.0","636.0","731.0","760.0","641.0","629.0","702.0","905.0","1,321.0","1,875.0","2,477.0","3,284.0","3,016.0","3,772.0","4,608.0","4,210.0","3,895.0","4,103.0","4,139.0","3,936.0","3,150.0","2,645.0","2,730.0","2,894.0","3,342.0","3,639.0","4,476.0","4,581.0","5,526.0","5,702.0","5,220.0","5,542.0","6,830.0","8,571.0","9,040.0","8,064.0","8,983.0","10,401.0","8,478.0","5,935.0"
"28","10","    Multimerchandise shopping","W036RC1","1,777.0","1,857.0","2,223.0","2,955.0","3,427.0","3,568.0","2,853.0","2,919.0","3,495.0","4,536.0","5,952.0","6,542.0","6,757.0","5,971.0","6,423.0","9,296.0","11,729.0","11,878.0","12,573.0","13,247.0","13,744.0","13,676.0","9,921.0","9,764.0","10,853.0","11,392.0","11,226.0","12,685.0","11,541.0","12,717.0","14,771.0","14,609.0","16,207.0","15,581.0","15,400.0","18,828.0","22,750.0","29,218.0","34,750.0","31,963.0","18,390.0","12,544.0"
"29","11","    Food and beverage establishments","W037RC1","959.0","1,003.0","1,200.0","1,596.0","1,850.0","1,926.0","1,540.0","1,576.0","1,887.0","2,449.0","3,214.0","3,533.0","3,649.0","3,224.0","3,468.0","5,019.0","6,333.0","6,413.0","6,789.0","7,153.0","7,421.0","7,385.0","5,357.0","5,272.0","5,860.0","5,713.0","6,720.0","7,116.0","8,132.0","8,748.0","8,025.0","8,608.0","8,676.0","7,914.0","8,369.0","8,232.0","7,795.0","7,442.0","8,046.0","8,029.0","4,868.0","4,526.0"
"30","12","    Warehouses","W038RC1","801.0","838.0","1,003.0","1,333.0","1,546.0","1,609.0","1,287.0","1,317.0","1,577.0","2,046.0","2,685.0","2,951.0","3,048.0","2,694.0","2,898.0","4,194.0","5,291.0","5,358.0","5,672.0","5,976.0","6,201.0","6,170.0","4,476.0","4,405.0","4,896.0","5,869.0","8,719.0","10,903.0","11,927.0","12,183.0","13,285.0","14,522.0","15,532.0","11,908.0","12,345.0","12,074.0","12,827.0","14,490.0","16,909.0","16,708.0","9,730.0","5,583.0"
"31","13","    Other commercial \2\","W039RC1","1,315.0","1,365.0","1,618.0","2,133.0","2,474.0","2,604.0","2,105.0","2,177.0","2,564.0","3,383.0","4,483.0","4,959.0","5,214.0","4,632.0","4,939.0","7,074.0","8,890.0","8,976.0","9,488.0","9,996.0","10,385.0","10,357.0","7,577.0","7,378.0","8,067.0","11,287.0","12,184.0","13,104.0","15,421.0","15,935.0","16,865.0","19,457.0","17,764.0","18,255.0","16,540.0","18,839.0","17,641.0","16,730.0","20,270.0","18,178.0","11,214.0","8,089.0"
"32","14","  Manufacturing","C307RC1","6,807.0","6,986.0","6,260.0","5,914.0","7,919.0","10,025.0","10,551.0","10,090.0","11,064.0","16,155.0","22,034.0","20,522.0","25,413.0","26,082.0","19,454.0","20,901.0","24,139.0","20,984.0","21,210.0","23,203.0","28,786.0","33,636.0","31,424.0","29,029.0","23,562.0","28,947.0","35,498.0","38,166.0","37,624.0","40,485.0","35,126.0","37,583.0","37,815.0","22,744.0","21,435.0","23,667.0","29,887.0","35,088.0","43,738.0","57,375.0","61,226.0","40,762.0"
"33","15","  Power and communication","W003RC1","8,670.0","10,215.0","10,990.0","12,073.0","13,817.0","15,078.0","15,665.0","18,155.0","19,274.0","21,442.0","24,622.0","27,295.0","29,954.0","29,602.0","25,781.0","26,496.0","26,526.0","28,288.0","25,411.0","25,030.0","27,479.0","26,333.0","31,560.0","33,879.0","33,173.0","31,164.0","33,099.0","29,223.0","28,778.0","34,163.0","40,445.0","48,143.0","51,095.0","50,992.0","48,074.0","42,829.0","45,152.0","53,349.0","77,593.0","90,460.0","90,144.0","79,859.0"
"34","16","    Power","W028RC1","6,482.0","7,272.0","8,020.0","8,807.0","9,892.0","10,842.0","11,894.0","14,249.0","14,780.0","15,846.0","17,739.0","19,570.0","21,795.0","21,148.0","18,206.0","18,526.0","18,267.0","19,319.0","16,217.0","15,474.0","17,865.0","16,530.0","22,598.0","24,886.0","23,554.0","21,043.0","22,006.0","17,413.0","16,362.0","21,690.0","22,040.0","29,344.0","31,499.0","32,608.0","33,618.0","27,361.0","26,306.0","31,163.0","50,106.0","64,118.0","70,432.0","61,671.0"
"35","17","      Electric","C571RC1","4,484.0","5,333.0","6,001.0","6,667.0","7,640.0","8,118.0","8,347.0","9,788.0","11,748.0","13,023.0","14,296.0","15,348.0","17,027.0","17,066.0","15,293.0","15,482.0","14,581.0","15,844.0","12,660.0","11,441.0","13,137.0","11,299.0","16,293.0","17,136.0","16,260.0","14,884.0","14,274.0","11,256.0","11,325.0","12,993.0","15,489.0","23,374.0","25,270.0","24,998.0","25,592.0","20,431.0","19,192.0","22,804.0","33,627.0","38,680.0","41,811.0","37,821.0"
"36","18","      Other power","W029RC1","1,998.0","1,939.0","2,019.0","2,140.0","2,252.0","2,724.0","3,547.0","4,461.0","3,032.0","2,823.0","3,443.0","4,222.0","4,768.0","4,082.0","2,913.0","3,044.0","3,686.0","3,475.0","3,557.0","4,033.0","4,728.0","5,231.0","6,305.0","7,750.0","7,294.0","6,159.0","7,732.0","6,157.0","5,037.0","8,697.0","6,551.0","5,970.0","6,229.0","7,610.0","8,026.0","6,930.0","7,114.0","8,359.0","16,479.0","25,438.0","28,621.0","23,850.0"
"37","19","    Communication","C314RC1","2,188.0","2,943.0","2,970.0","3,266.0","3,925.0","4,236.0","3,771.0","3,906.0","4,494.0","5,596.0","6,883.0","7,725.0","8,159.0","8,454.0","7,575.0","7,970.0","8,259.0","8,969.0","9,194.0","9,556.0","9,614.0","9,803.0","8,962.0","8,993.0","9,619.0","10,121.0","11,093.0","11,810.0","12,416.0","12,473.0","18,405.0","18,799.0","19,596.0","18,384.0","14,456.0","15,468.0","18,846.0","22,186.0","27,487.0","26,342.0","19,712.0","18,188.0"
"38","20","  Mining exploration, shafts, and wells","E318RC1","2,795.0","2,786.0","2,661.0","3,069.0","3,483.0","5,163.0","7,362.0","8,615.0","11,462.0","15,419.0","19,034.0","27,377.0","42,458.0","44,751.0","29,998.0","31,284.0","27,923.0","15,682.0","13,056.0","15,721.0","14,909.0","17,920.0","18,544.0","14,197.0","16,590.0","16,393.0","15,048.0","16,777.0","22,387.0","22,297.0","18,296.0","23,741.0","34,590.0","30,249.0","38,448.0","51,928.0","77,064.0","114,221.0","130,942.0","151,739.0","87,947.0","100,929.0"
"39","21","    Petroleum and natural gas","C319RC1","2,537.0","2,484.0","2,316.0","2,686.0","3,023.0","4,484.0","6,505.0","7,498.0","10,079.0","14,094.0","17,677.0","25,591.0","39,959.0","42,687.0","28,459.0","29,564.0","26,256.0","14,619.0","12,255.0","14,864.0","13,928.0","16,790.0","17,244.0","12,942.0","15,253.0","14,609.0","13,762.0","15,297.0","20,970.0","21,213.0","17,307.0","22,415.0","33,327.0","27,978.0","36,620.0","49,119.0","73,530.0","109,023.0","126,551.0","147,595.0","84,497.0","97,621.0"
"40","22","    Mining","C320RC1","258.0","302.0","345.0","383.0","460.0","679.0","857.0","1,117.0","1,383.0","1,325.0","1,357.0","1,786.0","2,499.0","2,064.0","1,539.0","1,720.0","1,667.0","1,063.0","801.0","857.0","981.0","1,130.0","1,300.0","1,255.0","1,337.0","1,784.0","1,286.0","1,480.0","1,417.0","1,084.0","989.0","1,326.0","1,263.0","2,271.0","1,827.0","2,809.0","3,534.0","5,198.0","4,391.0","4,144.0","3,450.0","3,308.0"
"41","23","  Other structures","W004RC1","7,761.0","7,761.0","7,879.0","8,563.0","9,946.0","10,328.0","10,110.0","11,005.0","12,477.0","15,236.0","18,507.0","20,008.0","21,217.0","21,344.0","23,275.0","28,122.0","31,795.0","30,717.0","33,698.0","32,513.0","34,273.0","37,563.0","33,155.0","30,979.0","34,464.0","34,880.0","40,569.0","48,922.0","57,173.0","62,216.0","64,659.0","69,357.0","68,903.0","59,348.0","58,856.0","62,898.0","63,728.0","74,601.0","90,737.0","104,804.0","83,829.0","60,152.0"
"42","24","    Religious","C309RC1","993.0","939.0","824.0","862.0","833.0","944.0","894.0","988.0","1,088.0","1,366.0","1,748.0","1,918.0","2,025.0","1,945.0","2,270.0","2,719.0","3,096.0","3,471.0","3,715.0","3,949.0","4,277.0","4,083.0","3,776.0","3,392.0","3,783.0","3,766.0","4,211.0","4,413.0","5,623.0","6,459.0","7,249.0","7,942.0","8,347.0","8,335.0","8,559.0","8,153.0","7,715.0","7,740.0","7,522.0","7,197.0","6,176.0","5,157.0"
"43","25","    Educational and vocational","W044RC1","1,083.0","925.0","1,008.0","1,063.0","983.0","737.0","653.0","717.0","742.0","878.0","1,088.0","1,585.0","1,707.0","1,936.0","2,127.0","2,257.0","2,677.0","3,230.0","4,700.0","3,776.0","4,278.0","4,800.0","4,934.0","5,134.0","5,319.0","5,500.0","6,246.0","7,643.0","9,825.0","10,881.0","10,400.0","12,662.0","13,844.0","14,200.0","14,301.0","13,527.0","13,794.0","14,437.0","16,909.0","18,187.0","17,601.0","14,372.0"
"44","26","    Lodging","W045RC1","1,330.0","1,321.0","1,360.0","1,955.0","2,298.0","1,670.0","1,105.0","931.0","982.0","1,350.0","2,501.0","3,464.0","4,442.0","4,533.0","5,718.0","7,375.0","8,078.0","8,341.0","8,460.0","7,913.0","8,944.0","10,772.0","7,457.0","4,569.0","5,651.0","5,754.0","8,804.0","13,508.0","15,966.0","18,343.0","19,750.0","20,182.0","17,973.0","12,968.0","12,303.0","14,845.0","15,692.0","21,835.0","34,047.0","43,814.0","31,454.0","13,509.0"
"45","27","    Amusement and recreation","W046RC1","956.0","1,057.0","1,092.0","1,158.0","1,317.0","1,317.0","1,301.0","1,499.0","1,670.0","2,076.0","2,506.0","2,870.0","3,123.0","3,735.0","4,240.0","5,417.0","6,656.0","6,347.0","6,921.0","7,539.0","6,848.0","7,311.0","6,924.0","6,910.0","7,640.0","7,960.0","8,533.0","9,294.0","10,245.0","10,307.0","11,460.0","10,522.0","9,394.0","8,974.0","9,338.0","10,119.0","9,010.0","11,192.0","12,233.0","12,611.0","10,084.0","7,850.0"
"46","28","    Transportation","W047RC1","1,065.0","970.0","1,072.0","1,170.0","1,313.0","1,591.0","1,556.0","2,028.0","2,379.0","2,892.0","3,172.0","3,248.0","3,409.0","3,342.0","3,413.0","4,101.0","4,747.0","3,577.0","3,191.0","3,230.0","3,390.0","3,372.0","3,129.0","3,614.0","3,904.0","4,199.0","4,411.0","5,433.0","6,102.0","7,190.0","6,456.0","6,830.0","7,031.0","6,770.0","6,566.0","6,838.0","7,121.0","8,650.0","9,007.0","9,934.0","9,051.0","9,907.0"
"47","29","      Air","W048RC1","89.0","96.0","99.0","107.0","124.0","122.0","117.0","138.0","151.0","190.0","226.0","265.0","286.0","347.0","392.0","500.0","596.0","583.0","629.0","721.0","629.0","656.0","614.0","583.0","676.0","730.0","767.0","958.0","1,007.0","1,162.0","1,345.0","1,957.0","2,165.0","1,445.0","1,104.0","1,038.0","907.0","887.0","996.0","912.0","570.0","400.0"
"48","30","      Land \3\","W049RC1","976.0","874.0","972.0","1,063.0","1,189.0","1,469.0","1,439.0","1,890.0","2,228.0","2,702.0","2,946.0","2,983.0","3,123.0","2,995.0","3,020.0","3,601.0","4,151.0","2,994.0","2,562.0","2,509.0","2,761.0","2,716.0","2,514.0","3,031.0","3,227.0","3,469.0","3,644.0","4,475.0","5,094.0","6,028.0","5,111.0","4,873.0","4,866.0","5,325.0","5,462.0","5,800.0","6,214.0","7,763.0","8,010.0","9,022.0","8,481.0","9,507.0"
"49","31","    Farm","C316RC1","1,689.0","1,875.0","1,916.0","1,785.0","2,525.0","3,249.0","3,731.0","3,971.0","4,431.0","5,209.0","5,789.0","5,213.0","4,713.0","3,757.0","3,279.0","3,256.0","2,256.0","2,139.0","2,605.0","2,392.0","2,530.0","2,801.0","2,753.0","2,398.0","3,392.0","3,226.0","3,014.0","3,658.0","3,815.0","4,284.0","5,059.0","5,988.0","5,135.0","5,611.0","5,103.0","5,485.0","5,854.0","5,817.0","6,292.0","8,227.0","6,637.0","7,194.0"
"50","32","    Other \4\","W050RC1","467.0","583.0","611.0","588.0","611.0","684.0","746.0","792.0","951.0","1,131.0","1,431.0","1,491.0","1,683.0","1,890.0","2,175.0","2,823.0","3,958.0","3,362.0","3,853.0","3,255.0","3,634.0","4,300.0","4,254.0","5,050.0","4,737.0","4,264.0","4,980.0","4,255.0","3,800.0","3,886.0","3,496.0","4,278.0","3,255.0","2,367.0","2,721.0","3,289.0","3,126.0","3,994.0","4,433.0","4,328.0","2,943.0","3,020.0"
"51","33","    Brokers' commissions on sale of structures","C321RC1","265.0","228.0","202.0","194.0","315.0","415.0","403.0","402.0","564.0","571.0","580.0","582.0","586.0","586.0","627.0","832.0","1,027.0","1,059.0","1,146.0","1,278.0","1,424.0","1,519.0","1,330.0","1,290.0","1,302.0","1,439.0","1,635.0","1,827.0","2,017.0","2,212.0","2,250.0","2,416.0","2,380.0","2,066.0","1,997.0","2,080.0","2,242.0","2,608.0","3,236.0","3,573.0","2,994.0","2,289.0"
"52","34","    Net purchases of used structures","E322RC1","-87.0","-138.0","-205.0","-213.0","-249.0","-279.0","-279.0","-323.0","-330.0","-236.0","-310.0","-363.0","-471.0","-380.0","-573.0","-658.0","-700.0","-809.0","-893.0","-818.0","-1,052.0","-1,396.0","-1,401.0","-1,377.0","-1,263.0","-1,227.0","-1,265.0","-1,109.0","-220.0","-1,346.0","-1,463.0","-1,464.0","1,544.0","-1,943.0","-2,031.0","-1,438.0","-827.0","-1,671.0","-2,943.0","-3,067.0","-3,111.0","-3,146.0"
"53","35","Residential","A012RC1","41,610.0","40,244.0","54,486.0","68,129.0","73,607.0","64,082.0","60,811.0","80,361.0","107,900.0","128,865.0","137,826.0","119,815.0","118,946.0","101,991.0","148,633.0","175,870.0","183,116.0","214,615.0","227,881.0","233,245.0","233,361.0","217,973.0","199,363.0","230,411.0","259,893.0","295,866.0","296,527.0","327,728.0","342,782.0","379,237.0","418,486.0","441,187.0","464,414.0","501,261.0","569,122.0","671,448.0","765,166.0","751,573.0","618,402.0","462,659.0","345,928.0","329,224.0"
"54","36","  Permanent site","A943RC1","29,224.0","27,059.0","38,670.0","50,095.0","54,619.0","43,420.0","36,318.0","50,770.0","72,231.0","85,601.0","89,272.0","69,629.0","69,425.0","57,000.0","94,961.0","114,616.0","115,889.0","135,169.0","142,668.0","142,391.0","143,233.0","132,136.0","114,575.0","135,070.0","150,911.0","176,390.0","171,404.0","191,114.0","198,062.0","223,983.0","251,271.0","265,047.0","279,391.0","298,841.0","345,691.0","417,501.0","480,808.0","468,798.0","354,144.0","230,114.0","133,873.0","127,239.0"
"55","37","    Single-family structures","A944RC1","19,696.0","17,541.0","25,806.0","32,848.0","35,181.0","29,701.0","29,639.0","43,860.0","62,214.0","72,769.0","72,257.0","52,921.0","51,965.0","41,462.0","72,514.0","86,395.0","87,350.0","104,131.0","117,216.0","120,093.0","120,929.0","112,886.0","99,427.0","121,976.0","140,123.0","162,309.0","153,515.0","170,790.0","175,179.0","199,409.0","223,837.0","236,788.0","249,086.0","265,889.0","310,575.0","377,557.0","433,510.0","415,997.0","305,185.0","185,776.0","105,335.0","112,571.0"
"56","38","    Multifamily structures","C292RC1","9,528.0","9,518.0","12,864.0","17,247.0","19,438.0","13,720.0","6,679.0","6,910.0","10,017.0","12,832.0","17,015.0","16,708.0","17,460.0","15,538.0","22,447.0","28,221.0","28,539.0","31,038.0","25,452.0","22,298.0","22,304.0","19,250.0","15,148.0","13,094.0","10,788.0","14,081.0","17,889.0","20,324.0","22,883.0","24,574.0","27,434.0","28,259.0","30,305.0","32,952.0","35,116.0","39,944.0","47,298.0","52,801.0","48,959.0","44,338.0","28,538.0","14,668.0"
"57","39","  Other structures","A863RC1","12,386.0","13,185.0","15,816.0","18,034.0","18,988.0","20,662.0","24,493.0","29,591.0","35,669.0","43,264.0","48,554.0","50,186.0","49,521.0","44,991.0","53,672.0","61,254.0","67,227.0","79,446.0","85,213.0","90,854.0","90,128.0","85,837.0","84,788.0","95,341.0","108,982.0","119,476.0","125,123.0","136,614.0","144,720.0","155,254.0","167,215.0","176,140.0","185,023.0","202,420.0","223,431.0","253,947.0","284,358.0","282,775.0","264,258.0","232,545.0","212,055.0","201,985.0"
"58","40","    Manufactured homes","A945RC1","2,333.0","2,316.0","3,152.0","3,944.0","4,386.0","3,338.0","2,536.0","3,223.0","4,161.0","4,651.0","5,104.0","4,604.0","4,936.0","4,810.0","6,266.0","6,346.0","6,110.0","5,325.0","5,288.0","5,220.0","5,093.0","4,898.0","4,375.0","5,542.0","7,348.0","9,567.0","11,604.0","13,191.0","13,864.0","14,695.0","14,304.0","11,015.0","8,953.0","9,513.0","7,911.0","8,378.0","10,110.0","8,316.0","6,900.0","5,838.0","3,503.0","3,479.0"
"59","41","    Dormitories","C295RC1","346.0","232.0","166.0","107.0","135.0","116.0","210.0","122.0","60.0","104.0","66.0","99.0","202.0","263.0","328.0","401.0","366.0","423.0","632.0","605.0","650.0","751.0","263.0","345.0","535.0","324.0","490.0","574.0","790.0","956.0","1,275.0","1,357.0","1,555.0","1,528.0","1,761.0","1,669.0","1,537.0","2,065.0","2,900.0","3,791.0","2,496.0","1,635.0"
