"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Personal consumption expenditures (PCE)","DPCERC1","588,443.0","599,810.0","610,129.0","622,128.0","633,204.0","643,146.0","655,083.0","661,787.0","680,809.0","694,862.0","707,279.0","723,502.0","740,875.0","759,406.0","777,934.0","802,711.0","827,303.0","842,909.0","861,353.0","876,472.0","894,660.0","923,204.0","952,002.0","961,838.0","988,078.0","1,016,845.0","1,050,630.0","1,079,591.0","1,113,375.0","1,133,042.0","1,162,427.0","1,196,170.0","1,231,661.0","1,259,667.0","1,290,867.0","1,329,097.0","1,359,078.0","1,416,706.0","1,447,739.0","1,486,962.0","1,522,584.0","1,563,196.0","1,617,680.0","1,661,199.0","1,707,955.0","1,710,038.0","1,768,722.0","1,836,591.0","1,892,399.0","1,923,951.0","1,963,424.0","1,978,219.0","2,016,169.0","2,042,679.0","2,090,696.0","2,152,427.0","2,192,241.0","2,256,377.0","2,326,528.0","2,379,161.0","2,425,486.0","2,484,127.0","2,522,758.0","2,571,970.0","2,643,442.0","2,687,420.0","2,755,851.0","2,783,735.0","2,827,237.0","2,859,187.0","2,930,635.0","2,969,914.0","3,004,750.0","3,071,877.0","3,138,264.0","3,172,952.0","3,253,507.0","3,313,020.0","3,380,394.0","3,453,317.0","3,507,724.0","3,569,989.0","3,626,753.0","3,673,508.0","3,758,718.0","3,811,849.0","3,875,207.0","3,896,024.0","3,909,742.0","3,963,292.0","4,008,695.0","4,038,575.0","4,140,147.0","4,193,515.0","4,267,652.0","4,346,246.0","4,384,909.0","4,452,115.0","4,516,277.0","4,581,056.0","4,650,404.0","4,709,848.0","4,786,316.0","4,856,664.0","4,888,650.0","4,957,494.0","5,022,885.0","5,080,087.0","5,156,543.0","5,248,780.0","5,304,411.0","5,384,689.0","5,467,062.0","5,503,981.0","5,613,341.0","5,698,114.0","5,757,518.0","5,870,215.0","5,967,995.0","6,078,213.0","6,157,445.0","6,289,967.0","6,398,875.0","6,524,861.0","6,682,986.0","6,775,651.0","6,881,730.0","6,981,120.0","7,058,139.0","7,118,678.0","7,151,248.0","7,267,166.0","7,308,976.0","7,403,386.0","7,491,203.0","7,553,191.0","7,645,887.0","7,727,369.0","7,881,966.0","7,961,235.0","8,098,063.0","8,193,925.0","8,316,480.0","8,473,822.0","8,591,931.0","8,730,343.0","8,895,769.0","8,996,064.0","9,126,165.0","9,249,269.0","9,371,716.0","9,456,838.0","9,601,691.0","9,720,947.0","9,817,723.0","9,948,725.0","10,018,512.0","10,126,485.0","10,135,780.0","9,861,309.0","9,781,716.0","9,781,637.0","9,911,080.0","9,990,035.0","10,103,669.0","10,184,772.0","10,276,582.0","10,417,057.0","10,571,665.0","10,676,031.0","10,784,488.0","10,871,610.0","11,014,530.0"
"21","2","Goods","DGDSRC1","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,099.0","1,803,889.0","1,826,231.0","1,843,910.0","1,871,010.0","1,915,884.0","1,925,867.0","1,957,924.0","1,986,709.0","1,974,514.0","2,020,482.0","2,045,357.0","2,045,218.0","2,090,573.0","2,121,783.0","2,182,510.0","2,207,106.0","2,275,625.0","2,314,431.0","2,362,808.0","2,417,876.0","2,442,740.0","2,475,537.0","2,500,382.0","2,506,786.0","2,518,367.0","2,523,993.0","2,586,881.0","2,569,558.0","2,599,243.0","2,631,974.0","2,639,052.0","2,673,931.0","2,683,775.0","2,769,387.0","2,785,076.0","2,838,573.0","2,860,252.0","2,897,895.0","2,971,744.0","3,000,902.0","3,049,159.0","3,126,767.0","3,130,080.0","3,181,066.0","3,211,646.0","3,255,948.0","3,250,263.0","3,296,723.0","3,349,158.0","3,378,732.0","3,431,163.0","3,422,347.0","3,466,857.0","3,456,078.0","3,181,421.0","3,130,691.0","3,143,633.0","3,245,580.0","3,269,960.0","3,338,095.0","3,340,057.0","3,386,478.0","3,483,381.0","3,592,237.0","3,622,714.0","3,661,243.0","3,710,095.0","3,789,473.0"
