"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,703,117.0","13,087,981.0","13,315,057.0"
"20","2","Less: Exports of goods and services","A020RX1","158,318.0","175,338.0","178,313.0","191,696.0","227,832.0","245,839.0","244,283.0","254,950.0","261,085.0","288,613.0","317,221.0","351,389.0","355,708.0","328,527.0","320,056.0","346,175.0","356,687.0","384,065.0","425,376.0","493,507.0","550,226.0","599,724.0","639,540.0","683,459.0","705,851.0","767,403.0","845,093.0","915,270.0","1,024,346.0","1,047,719.0","1,093,443.0","1,187,406.0","1,120,789.0","1,098,339.0","1,116,007.0","1,222,538.0","1,305,057.0","1,422,104.0","1,554,433.0","1,649,274.0","1,494,020.0","1,663,216.0","1,774,174.0"
"21","3","Plus: Imports of goods and services","A021RX1","226,728.0","236,399.0","249,016.0","277,039.0","289,895.0","283,327.0","251,838.0","301,081.0","333,995.0","362,933.0","368,960.0","344,460.0","353,511.0","349,067.0","393,105.0","488,796.0","520,517.0","564,998.0","598,430.0","621,946.0","649,336.0","672,571.0","671,572.0","718,657.0","780,800.0","873,945.0","943,868.0","1,025,959.0","1,164,139.0","1,300,202.0","1,449,861.0","1,638,724.0","1,592,630.0","1,646,823.0","1,719,684.0","1,910,415.0","2,027,790.0","2,151,464.0","2,203,245.0","2,144,034.0","1,852,823.0","2,084,990.0","2,187,735.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,354,984.0","4,348,326.0","4,503,084.0","4,751,777.0","4,987,000.0","4,922,077.0","4,867,949.0","5,184,810.0","5,459,797.0","5,758,368.0","5,898,333.0","5,784,766.0","5,939,679.0","5,860,441.0","6,203,064.0","6,739,709.0","7,039,416.0","7,297,185.0","7,512,126.0","7,752,244.0","7,984,233.0","8,097,814.0","8,027,837.0","8,302,655.0","8,585,701.0","8,968,522.0","9,181,331.0","9,534,038.0","9,984,376.0","10,531,094.0","11,131,792.0","11,671,594.0","11,815,776.0","12,097,502.0","12,444,726.0","12,935,498.0","13,345,689.0","13,688,111.0","13,855,274.0","13,653,063.0","13,051,550.0","13,500,435.0","13,720,078.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","229,925.0","250,896.0","251,639.0","271,077.0","344,598.0","415,457.0","416,190.0","424,305.0","423,602.0","463,895.0","525,008.0","579,530.0","576,902.0","506,570.0","478,680.0","504,763.0","490,254.0","508,461.0","559,826.0","660,394.0","721,196.0","760,489.0","795,662.0","826,895.0","836,157.0","900,543.0","993,214.0","1,042,615.0","1,129,915.0","1,121,744.0","1,145,345.0","1,234,780.0","1,139,403.0","1,096,224.0","1,112,406.0","1,224,111.0","1,305,057.0","1,423,290.0","1,561,710.0","1,681,062.0","1,441,720.0","1,650,972.0","1,825,989.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","223,590.0","234,304.0","249,158.0","283,982.0","329,730.0","418,130.0","368,252.0","428,933.0","484,994.0","526,862.0","576,442.0","606,479.0","600,577.0","542,310.0","567,936.0","676,264.0","677,265.0","718,831.0","782,901.0","824,212.0","847,176.0","867,381.0","831,618.0","869,651.0","918,280.0","1,016,408.0","1,104,162.0","1,158,331.0","1,249,907.0","1,312,055.0","1,448,758.0","1,666,298.0","1,550,706.0","1,563,090.0","1,651,085.0","1,865,810.0","2,027,790.0","2,167,638.0","2,231,875.0","2,327,091.0","1,798,284.0","2,114,815.0","2,332,728.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,359,341.0","4,363,060.0","4,503,474.0","4,736,703.0","4,999,775.0","4,918,727.0","4,913,935.0","5,177,953.0","5,396,774.0","5,693,750.0","5,845,369.0","5,754,892.0","5,909,853.0","5,819,034.0","6,108,334.0","6,562,014.0","6,846,003.0","7,079,407.0","7,289,176.0","7,588,236.0","7,858,047.0","7,989,592.0","7,991,635.0","8,259,466.0","8,503,781.0","8,853,205.0","9,070,726.0","9,418,931.0","9,864,476.0","10,341,176.0","10,828,713.0","11,239,907.0","11,403,940.0","11,631,169.0","11,906,157.0","12,294,027.0","12,622,956.0","12,943,072.0","13,184,552.0","13,009,158.0","12,694,549.0","13,035,594.0","13,216,035.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","52,161.0","53,924.0","55,997.0","62,287.0","85,150.0","97,820.0","84,086.0","91,842.0","98,890.0","114,810.0","155,865.0","163,251.0","173,929.0","180,648.0","176,067.0","203,434.0","182,520.0","176,184.0","189,008.0","225,578.0","253,953.0","259,652.0","224,249.0","197,682.0","197,965.0","230,036.0","280,474.0","295,398.0","330,896.0","336,603.0","369,853.0","429,765.0","358,127.0","342,636.0","377,542.0","465,248.0","573,037.0","697,651.0","818,546.0","779,279.0","582,666.0","630,713.0","682,344.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","25,082.0","27,061.0","25,645.0","29,539.0","39,507.0","46,909.0","45,068.0","44,033.0","44,947.0","61,240.0","83,019.0","92,691.0","111,681.0","115,342.0","111,979.0","142,854.0","139,429.0","148,229.0","161,838.0","190,821.0","216,794.0","212,238.0","184,357.0","159,734.0","158,195.0","199,952.0","244,194.0","257,343.0","303,134.0","316,238.0","337,666.0","387,133.0","300,577.0","288,963.0","304,142.0","370,647.0","475,889.0","627,586.0","702,692.0","625,294.0","443,997.0","460,791.0","467,405.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,386,420.0","4,389,923.0","4,533,825.0","4,769,451.0","5,045,418.0","4,969,638.0","4,952,954.0","5,225,762.0","5,450,717.0","5,747,319.0","5,918,214.0","5,825,452.0","5,972,101.0","5,884,340.0","6,172,422.0","6,622,594.0","6,889,095.0","7,107,362.0","7,316,346.0","7,622,993.0","7,895,207.0","8,037,005.0","8,031,526.0","8,297,415.0","8,543,552.0","8,883,289.0","9,107,006.0","9,456,987.0","9,892,238.0","10,361,541.0","10,860,900.0","11,282,539.0","11,461,489.0","11,684,842.0","11,979,558.0","12,388,627.0","12,720,104.0","13,013,137.0","13,300,406.0","13,163,143.0","12,833,218.0","13,205,515.0","13,430,973.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","4,067,708.0","4,052,987.0","4,183,038.0","4,406,792.0","4,652,808.0","4,544,624.0","4,520,237.0","4,776,040.0","4,979,593.0","5,259,640.0","5,383,035.0","5,255,872.0","5,387,569.0","5,260,872.0","5,535,776.0","5,973,386.0","6,222,731.0","6,423,118.0","6,599,183.0","6,869,227.0","7,107,569.0","7,205,144.0","7,177,475.0","7,423,744.0","7,639,509.0","7,955,451.0","8,130,161.0","8,429,616.0","8,817,297.0","9,223,730.0","9,631,025.0","9,957,798.0","10,051,918.0","10,230,224.0","10,464,612.0","10,805,878.0","11,081,580.0","11,344,070.0","11,523,479.0","11,300,637.0","10,960,930.0","11,284,788.0","11,428,538.0"
"31","12","  Net domestic product","A362RX1","3,965,965.0","3,956,269.0","4,089,325.0","4,314,183.0","4,566,560.0","4,514,636.0","4,484,481.0","4,737,846.0","4,959,650.0","5,242,856.0","5,393,158.0","5,343,182.0","5,467,693.0","5,313,906.0","5,563,510.0","5,987,439.0","6,224,007.0","6,428,103.0","6,621,062.0","6,892,381.0","7,132,585.0","7,246,541.0","7,197,310.0","7,447,505.0","7,654,972.0","7,968,397.0","8,148,485.0","8,439,288.0","8,801,797.0","9,159,830.0","9,575,424.0","9,936,616.0","9,987,182.0","10,143,348.0","10,395,166.0","10,758,638.0","11,081,580.0","11,359,995.0","11,545,272.0","11,451,655.0","10,966,984.0","11,333,251.0","11,522,748.0"
"32","13","  Command-basis net national product \4\","C027RX1","4,095,806.0","4,080,848.0","4,214,520.0","4,440,747.0","4,700,100.0","4,597,427.0","4,560,851.0","4,825,818.0","5,035,781.0","5,315,490.0","5,458,978.0","5,329,386.0","5,452,481.0","5,328,992.0","5,602,354.0","6,036,100.0","6,267,233.0","6,451,965.0","6,627,154.0","6,904,974.0","7,145,712.0","7,253,687.0","7,218,229.0","7,462,389.0","7,679,957.0","7,986,019.0","8,166,998.0","8,468,162.0","8,845,358.0","9,244,279.0","9,663,446.0","10,000,670.0","10,109,702.0","10,284,030.0","10,538,050.0","10,900,460.0","11,178,728.0","11,414,183.0","11,639,334.0","11,454,339.0","11,099,169.0","11,453,687.0","11,641,981.0"
"33","14","  Net national product","A027RX1","3,996,176.0","3,986,158.0","4,122,553.0","4,349,889.0","4,614,929.0","4,569,863.0","4,527,000.0","4,788,695.0","5,016,854.0","5,299,493.0","5,470,121.0","5,419,349.0","5,534,317.0","5,383,530.0","5,631,037.0","6,051,253.0","6,269,120.0","6,458,064.0","6,649,894.0","6,929,050.0","7,170,821.0","7,294,813.0","7,237,980.0","7,487,016.0","7,694,908.0","7,998,217.0","8,184,218.0","8,476,577.0","8,829,150.0","9,180,160.0","9,607,608.0","9,979,400.0","10,044,688.0","10,197,285.0","10,468,684.0","10,853,306.0","11,178,728.0","11,429,790.0","11,660,875.0","11,606,645.0","11,107,092.0","11,506,207.0","11,740,532.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.425","102.315","102.181","102.051","101.816","100.692","100.834","100.845","100.474","100.401","99.948","98.697","98.898","99.299","99.722","99.950","100.132","100.090","99.754","99.751","99.734","99.550","99.795","99.757","99.852","99.882","99.829","99.920","100.187","100.643","100.536","100.211","100.591","100.758","100.588","100.383","100.000","99.886","99.839","98.823","99.936","99.607","99.237"
"36","16","    Terms of trade index \6\","W369RG3","147.268","144.372","141.042","137.953","132.978","114.512","116.513","116.820","111.732","110.722","105.932","93.672","95.465","99.250","103.521","105.391","105.636","104.057","100.597","100.977","100.463","98.326","100.468","99.980","100.725","100.901","100.466","100.896","102.737","106.098","104.826","102.269","104.409","105.154","103.819","102.522","100.000","99.337","99.179","93.909","99.426","97.864","96.563"
"37","17","      Terms of trade, goods \7\","W370RG3","165.292","161.753","157.979","150.633","148.332","125.445","128.648","128.504","122.005","120.970","116.132","100.884","102.309","105.395","109.191","110.902","109.671","108.506","103.902","105.564","104.028","101.183","103.025","101.930","102.499","102.844","102.552","102.502","103.966","107.159","105.619","101.966","104.365","105.534","104.552","103.262","100.000","99.162","99.074","93.255","99.173","97.409","96.242"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","117.892","114.984","112.635","107.103","106.370","106.764","107.606","108.841","102.952","99.730","101.837","98.813","103.058","104.482","106.249","108.021","106.431","97.125","94.152","93.387","93.452","92.930","92.687","91.281","91.046","90.734","91.068","92.702","93.919","94.416","94.716","95.258","96.029","97.484","98.186","99.354","100.000","102.109","103.572","103.580","100.788","103.493","107.243"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
