"","Table 1#1#6D# Real Gross Domestic Product, Chained (1987) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"18","Line",NA,NA,"1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"19","1","    Gross domestic product","A191DX1","3,482,770.0","3,677,044.0","3,791,951.0","3,781,543.0","3,877,530.0","3,802,245.0","3,974,015.0","4,259,588.0","4,435,842.0","4,589,490.0","4,736,354.0","4,931,041.0","5,107,224.0","5,203,062.0","5,190,909.0","5,367,020.0","5,520,107.0","5,744,982.0","5,889,438.0","6,109,746.0","6,382,038.0"
"20","2","Personal consumption expenditures","DPCEDX1","2,248,440.0","2,347,576.0","2,403,370.0","2,394,875.0","2,431,213.0","2,465,135.0","2,606,059.0","2,744,228.0","2,887,184.0","3,004,284.0","3,096,960.0","3,221,792.0","3,312,911.0","3,380,507.0","3,385,591.0","3,501,044.0","3,625,346.0","3,763,784.0","3,865,594.0","4,000,499.0","4,148,177.0"
"21","3","  Goods","DGDSDX1","926,759.0","965,064.0","980,500.0","955,673.0","966,967.0","973,713.0","1,035,677.0","1,110,306.0","1,168,709.0","1,234,082.0","1,256,297.0","1,302,967.0","1,335,844.0","1,344,124.0","1,317,450.0","1,358,971.0","1,415,422.0","1,490,073.0","1,534,586.0","1,603,302.0","1,679,750.0"
"22","4","    Durable goods","DDURDX1","283,360.0","298,233.0","296,727.0","273,094.0","275,817.0","275,358.0","314,690.0","359,637.0","395,613.0","433,565.0","442,022.0","467,344.0","477,604.0","475,537.0","449,908.0","475,754.0","511,408.0","552,190.0","573,985.0","616,830.0","667,190.0"
"23","5","    Nondurable goods","DNDGDX1","642,841.0","666,054.0","683,226.0","682,076.0","690,632.0","697,797.0","720,515.0","750,343.0","772,999.0","800,519.0","814,275.0","835,688.0","858,260.0","868,275.0","865,728.0","882,550.0","904,993.0","940,276.0","963,559.0","991,403.0","1,020,570.0"
"24","6","  Services","DSERDX1","1,315,191.0","1,376,370.0","1,418,425.0","1,440,260.0","1,466,102.0","1,494,667.0","1,572,879.0","1,634,450.0","1,718,990.0","1,770,120.0","1,840,663.0","1,918,780.0","1,976,920.0","2,035,610.0","2,066,070.0","2,139,701.0","2,208,195.0","2,274,088.0","2,331,898.0","2,400,182.0","2,474,211.0"
"25","7","Gross private domestic investment","A006DX1","566,887.0","635,229.0","655,484.0","583,484.0","635,946.0","546,851.0","597,789.0","773,912.0","766,712.0","761,492.0","784,951.0","803,426.0","835,658.0","807,524.0","741,831.0","801,957.0","873,634.0","992,346.0","1,023,262.0","1,113,785.0","1,252,380.0"
"26","8","  Fixed investment","A007DX1","536,068.0","600,965.0","634,885.0","593,636.0","606,909.0","564,357.0","605,510.0","707,768.0","745,003.0","753,669.0","757,802.0","782,794.0","806,323.0","789,487.0","738,292.0","782,063.0","849,101.0","928,511.0","988,313.0","1,076,956.0","1,176,313.0"
"27","9","    Nonresidential","A008DX1","339,656.0","390,494.0","429,822.0","428,691.0","453,106.0","436,049.0","430,413.0","506,367.0","539,931.0","524,507.0","524,116.0","551,532.0","582,321.0","585,197.0","553,818.0","571,499.0","621,393.0","678,573.0","749,916.0","819,959.0","918,932.0"
"28","10","      Structures","B009DX1","127,607.0","146,023.0","164,541.0","174,166.0","188,128.0","185,048.0","165,054.0","188,068.0","201,436.0","179,363.0","174,202.0","175,344.0","178,828.0","181,462.0","161,272.0","151,550.0","150,569.0","153,313.0","163,092.0","172,334.0","184,973.0"
"29","11","      Equipment and software","B010DX1","211,305.0","243,475.0","264,735.0","255,214.0","266,068.0","252,233.0","265,811.0","318,530.0","338,762.0","345,182.0","349,914.0","376,299.0","403,875.0","404,001.0","393,615.0","422,306.0","475,025.0","531,674.0","595,294.0","658,566.0","749,124.0"
"30","12","    Residential","A011DX1","203,571.0","216,389.0","208,449.0","164,339.0","151,165.0","123,719.0","174,931.0","200,894.0","204,073.0","229,114.0","233,686.0","231,318.0","224,295.0","204,941.0","185,248.0","210,880.0","228,102.0","250,278.0","242,088.0","261,422.0","266,366.0"
"31","13","  Change in private inventories","A014DX1","35,251.0","37,275.0","22,881.0","-7,628.0","31,862.0","-16,093.0","-6,257.0","64,007.0","20,789.0","6,944.0","27,149.0","17,925.0","25,043.0","13,548.0","-1,168.0","14,638.0","18,197.0","56,664.0","26,229.0","25,502.0","63,277.0"
"32","14","Net exports of goods and services","A019DX1","-60,654.0","-61,712.0","-42,372.0","7,674.0","3,673.0","-15,793.0","-60,473.0","-119,482.0","-137,458.0","-151,858.0","-144,950.0","-106,678.0","-81,458.0","-58,881.0","-23,983.0","-26,451.0","-60,129.0","-86,673.0","-79,677.0","-89,448.0","-113,635.0"
"33","15","  Exports","A020DX1","223,269.0","246,809.0","271,274.0","300,492.0","304,186.0","280,942.0","273,697.0","296,033.0","305,023.0","328,435.0","363,763.0","422,026.0","470,529.0","512,858.0","546,907.0","584,465.0","603,613.0","656,249.0","722,686.0","782,699.0","875,976.0"
"34","16","    Goods","A253DX1","162,106.0","180,225.0","201,519.0","225,534.0","223,091.0","202,930.0","197,092.0","212,674.0","220,517.0","231,844.0","257,546.0","306,075.0","342,547.0","371,373.0","397,001.0","426,703.0","440,607.0","483,468.0","540,043.0","587,674.0","672,163.0"
"35","17","    Services","A646DX1","60,958.0","66,055.0","68,088.0","72,338.0","80,040.0","77,822.0","76,527.0","83,353.0","84,344.0","96,590.0","106,217.0","115,787.0","127,748.0","141,222.0","149,672.0","157,737.0","162,969.0","173,318.0","184,216.0","197,119.0","208,808.0"
"36","18","  Imports","A021DX1","283,922.0","308,522.0","313,645.0","292,819.0","300,513.0","296,735.0","334,171.0","415,516.0","442,481.0","480,293.0","508,713.0","528,704.0","551,987.0","571,739.0","570,890.0","610,916.0","663,742.0","742,923.0","802,363.0","872,147.0","989,611.0"
"37","19","    Goods","A255DX1","234,955.0","256,026.0","260,418.0","241,086.0","246,053.0","239,872.0","272,454.0","338,369.0","359,538.0","396,392.0","414,768.0","431,567.0","450,152.0","463,259.0","465,356.0","509,225.0","560,184.0","634,990.0","692,191.0","757,074.0","866,181.0"
"38","20","    Services","B656DX1","48,303.0","51,747.0","52,459.0","51,288.0","54,243.0","57,133.0","61,746.0","77,228.0","83,103.0","84,040.0","93,945.0","97,137.0","101,844.0","108,501.0","105,683.0","102,837.0","105,584.0","111,210.0","114,562.0","120,553.0","131,033.0"
"39","21","Government consumption expenditures and gross investment","A822DX1","731,217.0","752,755.0","766,807.0","781,753.0","788,882.0","802,732.0","832,059.0","860,024.0","919,921.0","975,848.0","999,393.0","1,011,937.0","1,039,477.0","1,072,416.0","1,084,128.0","1,089,179.0","1,080,563.0","1,080,461.0","1,086,721.0","1,097,665.0","1,118,288.0"
"40","22","  Federal","A823DX1","296,064.0","303,484.0","310,813.0","325,555.0","341,119.0","354,311.0","377,794.0","389,442.0","419,957.0","443,769.0","459,537.0","452,002.0","459,030.0","468,305.0","467,359.0","458,887.0","440,864.0","423,987.0","412,678.0","407,898.0","403,886.0"
"41","23","    National defense","A824DX1","207,652.0","209,425.0","215,795.0","225,204.0","239,463.0","257,559.0","276,039.0","289,510.0","314,044.0","334,158.0","349,979.0","348,322.0","346,611.0","346,504.0","342,699.0","325,729.0","308,458.0","293,352.0","282,411.0","278,643.0","270,834.0"
"42","24","    Nondefense","A825DX1","88,723.0","94,237.0","95,231.0","100,562.0","101,905.0","97,016.0","102,029.0","100,081.0","105,997.0","109,638.0","109,558.0","103,707.0","112,357.0","121,617.0","124,402.0","132,646.0","131,780.0","129,881.0","129,363.0","128,333.0","131,862.0"
"43","25","  State and local","A829DX1","437,591.0","451,890.0","458,531.0","458,195.0","448,975.0","449,192.0","454,418.0","470,809.0","499,982.0","532,162.0","539,856.0","559,881.0","580,321.0","603,858.0","616,363.0","629,709.0","638,947.0","655,526.0","672,935.0","688,582.0","713,124.0"
"44","26","Residual","A960DX1","-10,200.0","-1,000.0","7,000.0","10,500.0","14,500.0","2,000.0","-5,400.0","2,800.0","900.0","700.0","0.0","3,300.0","4,900.0","7,000.0","11,200.0","9,100.0","6,600.0","-3,000.0","-8,900.0","-19,100.0","-43,400.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Chained (1987) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","index rebased with the reference year 1987 equal to 100 and of the 1987 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
