"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"22","3","Less: Income payments to the rest of the world","A655RC1","4,750.0","5,373.0","6,112.0","6,421.0","6,585.0","6,538.0","6,440.0","6,197.0","5,871.0","6,099.0","6,692.0","7,005.0","7,017.0","7,630.0","7,765.0","8,467.0","9,611.0","10,796.0","11,356.0","11,926.0","12,603.0","13,931.0","15,185.0","15,481.0","15,529.0","14,873.0","15,090.0","14,588.0","15,638.0","15,609.0","15,435.0","15,383.0","15,015.0","16,204.0","17,245.0","19,168.0","20,379.0","23,835.0","25,349.0","29,121.0","31,938.0","34,655.0","37,319.0","41,649.0","45,585.0","43,812.0","40,455.0","49,776.0","54,337.0","59,733.0","63,214.0","59,073.0","62,332.0","66,255.0","66,423.0","62,923.0","59,753.0","62,051.0","67,374.0","70,010.0","77,795.0","85,669.0","89,935.0","88,901.0","86,001.0","85,555.0","85,615.0","86,409.0","92,608.0","95,411.0","90,387.0","95,134.0","97,848.0","102,427.0","107,367.0","112,996.0","119,646.0","122,653.0","131,870.0","138,872.0","147,286.0","156,154.0","152,686.0","148,856.0","153,249.0","153,054.0","157,842.0","152,203.0","148,654.0","140,840.0","137,780.0","125,648.0","123,917.0","126,546.0","121,501.0","118,663.0","115,009.0","123,776.0","120,503.0","136,840.0","136,672.0","151,230.0","168,558.0","183,620.0","189,225.0","196,627.0","208,753.0","203,840.0","201,486.0","208,713.0","218,601.0","227,844.0","246,486.0","251,560.0","262,334.0","263,829.0","263,907.0","269,897.0","271,944.0","269,888.0","270,388.0","281,098.0","303,625.0","311,550.0","330,533.0","349,627.0","346,846.0","344,018.0","317,767.0","285,966.0","281,105.0","199,626.0","246,663.0","278,864.0","280,473.0","251,584.0","279,545.0","277,052.0","289,112.0","292,797.0","307,579.0","348,577.0","359,482.0","413,797.0","428,713.0","455,075.0","475,315.0","544,452.0","578,500.0","640,902.0","679,673.0","695,470.0","727,374.0","783,107.0","760,837.0","719,406.0","726,949.0","718,018.0","676,321.0","626,444.0","491,882.0","480,828.0","473,178.0","504,191.0","504,577.0","502,841.0","501,562.0","544,999.0","525,000.0","541,988.0","524,897.0","543,406.0","....."
"23","4","Equals: Gross national product","A001RC1","967,212.0","982,260.0","1,002,251.0","1,010,475.0","1,023,398.0","1,039,699.0","1,057,069.0","1,058,747.0","1,105,471.0","1,126,736.0","1,146,314.0","1,159,119.0","1,198,310.0","1,233,667.0","1,258,189.0","1,295,617.0","1,345,769.0","1,383,083.0","1,404,581.0","1,446,101.0","1,463,577.0","1,501,240.0","1,528,934.0","1,566,109.0","1,580,829.0","1,616,643.0","1,675,445.0","1,729,888.0","1,787,655.0","1,820,881.0","1,854,814.0","1,902,371.0","1,959,262.0","2,025,974.0","2,086,852.0","2,129,594.0","2,171,153.0","2,293,460.0","2,356,117.0","2,440,632.0","2,488,992.0","2,555,893.0","2,635,832.0","2,695,898.0","2,762,063.0","2,763,827.0","2,819,599.0","2,943,827.0","3,082,767.0","3,114,278.0","3,209,720.0","3,232,295.0","3,220,911.0","3,281,874.0","3,309,402.0","3,346,618.0","3,415,016.0","3,518,977.0","3,624,964.0","3,727,812.0","3,844,422.0","3,943,828.0","4,013,314.0","4,067,176.0","4,143,475.0","4,204,326.0","4,282,533.0","4,345,759.0","4,406,006.0","4,439,654.0","4,509,792.0","4,555,256.0","4,625,220.0","4,705,219.0","4,782,538.0","4,903,060.0","4,973,980.0","5,082,596.0","5,163,889.0","5,274,686.0","5,383,903.0","5,476,620.0","5,558,405.0","5,613,366.0","5,738,263.0","5,828,497.0","5,877,190.0","5,895,835.0","5,918,087.0","5,988,942.0","6,057,188.0","6,123,821.0","6,221,407.0","6,325,478.0","6,416,841.0","6,522,053.0","6,581,077.0","6,653,005.0","6,724,822.0","6,835,193.0","6,944,627.0","7,068,719.0","7,153,788.0","7,269,813.0","7,339,192.0","7,390,347.0","7,473,066.0","7,574,630.0","7,676,616.0","7,829,904.0","7,919,286.0","8,054,694.0","8,160,138.0","8,307,696.0","8,433,128.0","8,522,290.0","8,625,994.0","8,721,394.0","8,856,824.0","9,039,019.0","9,171,391.0","9,280,534.0","9,430,062.0","9,643,173.0","9,740,515.0","9,983,514.0","10,047,996.0","10,184,872.0","10,206,212.0","10,350,860.0","10,332,175.0","10,463,057.0","10,549,731.0","10,634,673.0","10,749,106.0","10,832,175.0","10,939,177.0","11,077,134.0","11,320,653.0","11,506,624.0","11,700,502.0","11,848,754.0","12,033,115.0","12,195,495.0","12,468,666.0","12,596,225.0","12,835,715.0","12,979,821.0","13,241,950.0","13,405,960.0","13,494,689.0","13,655,923.0","13,828,809.0","14,056,304.0","14,270,918.0","14,451,756.0","14,452,549.0","14,596,760.0","14,594,024.0","14,199,483.0","14,026,421.0","13,994,420.0","14,084,218.0","14,259,784.0","14,447,358.0","14,664,018.0","14,812,837.0","14,939,415.0","15,094,929.0","15,274,021.0","15,443,378.0","15,545,623.0","....."
"24","5","Less: Consumption of fixed capital","A262RC1","95,638.0","97,984.0","100,280.0","102,865.0","105,583.0","107,787.0","109,400.0","110,484.0","113,832.0","116,721.0","119,200.0","121,338.0","123,463.0","125,590.0","128,245.0","131,308.0","134,587.0","138,431.0","142,690.0","147,418.0","153,076.0","159,734.0","167,229.0","174,704.0","182,051.0","188,136.0","193,424.0","197,901.0","201,430.0","205,492.0","210,169.0","215,591.0","222,056.0","228,402.0","234,796.0","241,849.0","249,175.0","257,043.0","265,419.0","274,019.0","283,300.0","293,431.0","304,035.0","314,842.0","325,966.0","337,935.0","349,940.0","362,498.0","375,340.0","387,650.0","399,487.0","410,895.0","422,066.0","431,283.0","438,194.0","442,624.0","445,145.0","448,411.0","452,997.0","457,869.0","464,027.0","470,608.0","477,536.0","485,218.0","493,282.0","501,085.0","509,493.0","517,912.0","525,896.0","534,543.0","542,745.0","550,716.0","558,391.0","566,203.0","575,146.0","584,631.0","595,460.0","605,919.0","616,165.0","626,511.0","636,413.0","646,370.0","656,459.0","666,566.0","676,820.0","686,555.0","696,149.0","705,288.0","713,812.0","721,317.0","728,265.0","734,050.0","738,710.0","743,194.0","746,337.0","749,164.0","761,961.0","773,262.0","783,612.0","793,221.0","802,227.0","812,732.0","824,258.0","837,452.0","851,372.0","864,119.0","875,666.0","886,684.0","896,201.0","906,288.0","917,700.0","929,879.0","943,540.0","957,118.0","970,271.0","984,293.0","997,302.0","1,011,941.0","1,027,928.0","1,045,014.0","1,063,156.0","1,083,175.0","1,104,164.0","1,127,062.0","1,151,597.0","1,174,413.0","1,195,845.0","1,215,441.0","1,233,455.0","1,249,951.0","1,264,395.0","1,277,081.0","1,288,286.0","1,299,451.0","1,310,504.0","1,321,674.0","1,333,152.0","1,345,860.0","1,360,414.0","1,376,782.0","1,396,670.0","1,419,536.0","1,444,406.0","1,470,447.0","1,495,671.0","1,524,171.0","1,556,030.0","1,589,628.0","1,617,994.0","1,648,178.0","1,675,221.0","1,701,318.0","1,733,930.0","1,757,645.0","1,778,207.0","1,800,262.0","1,817,437.0","1,842,734.0","1,869,621.0","1,886,516.0","1,885,184.0","1,868,350.0","1,854,099.0","1,857,054.0","1,858,602.0","1,866,868.0","1,878,153.0","1,896,136.0","1,914,284.0","1,939,885.0","1,962,833.0","1,983,403.0","2,003,336.0"
"25","6","        Private","A024RC1","71,580.0","73,436.0","75,420.0","77,524.0","79,752.0","81,425.0","82,538.0","83,093.0","85,967.0","88,541.0","90,816.0","92,788.0","94,462.0","96,431.0","98,699.0","101,260.0","104,120.0","107,398.0","111,099.0","115,219.0","119,760.0","124,806.0","130,357.0","136,417.0","142,981.0","148,593.0","153,257.0","156,965.0","159,730.0","163,160.0","167,259.0","172,027.0","177,465.0","183,114.0","188,971.0","195,042.0","201,318.0","208,088.0","215,347.0","223,095.0","231,335.0","239,882.0","248,736.0","257,895.0","267,363.0","277,120.0","287,169.0","297,508.0","308,139.0","318,437.0","328,397.0","338,023.0","347,317.0","354,681.0","360,121.0","363,633.0","365,218.0","367,572.0","370,697.0","374,589.0","379,255.0","384,407.0","390,041.0","396,161.0","402,770.0","409,414.0","416,097.0","422,815.0","429,573.0","436,074.0","442,314.0","448,291.0","454,016.0","460,493.0","467,725.0","475,706.0","484,447.0","493,010.0","501,395.0","509,604.0","517,631.0","525,631.0","533,604.0","541,550.0","549,467.0","557,013.0","564,190.0","570,994.0","577,428.0","583,206.0","588,320.0","592,778.0","596,576.0","599,425.0","601,324.0","602,275.0","612,656.0","622,298.0","631,205.0","639,373.0","646,801.0","655,432.0","665,270.0","676,309.0","688,557.0","699,880.0","710,281.0","719,758.0","728,311.0","737,750.0","748,071.0","759,276.0","771,361.0","783,535.0","795,797.0","808,147.0","820,584.0","833,951.0","848,252.0","863,481.0","879,643.0","897,145.0","915,989.0","936,171.0","957,694.0","977,956.0","996,961.0","1,014,701.0","1,031,187.0","1,045,943.0","1,058,972.0","1,070,270.0","1,079,847.0","1,089,352.0","1,098,786.0","1,108,147.0","1,117,442.0","1,128,553.0","1,141,490.0","1,156,247.0","1,172,825.0","1,190,676.0","1,209,799.0","1,230,196.0","1,251,865.0","1,276,112.0","1,302,934.0","1,332,329.0","1,357,425.0","1,381,050.0","1,403,199.0","1,423,879.0","1,449,582.0","1,468,596.0","1,484,822.0","1,501,780.0","1,514,989.0","1,534,601.0","1,555,546.0","1,566,524.0","1,562,591.0","1,545,189.0","1,530,528.0","1,531,439.0","1,529,603.0","1,534,369.0","1,542,620.0","1,557,030.0","1,570,471.0","1,590,465.0","1,607,586.0","1,622,917.0","1,637,409.0"
"26","7","          Domestic business","W276RC1","59,493.0","61,032.0","62,708.0","64,515.0","66,456.0","67,914.0","68,883.0","69,367.0","71,711.0","73,805.0","75,649.0","77,239.0","78,580.0","80,151.0","81,954.0","83,987.0","86,251.0","88,899.0","91,936.0","95,358.0","99,164.0","103,459.0","108,243.0","113,518.0","119,282.0","124,174.0","128,197.0","131,347.0","133,632.0","136,473.0","139,875.0","143,836.0","148,358.0","153,006.0","157,778.0","162,678.0","167,698.0","173,195.0","179,164.0","185,607.0","192,521.0","199,684.0","207,092.0","214,747.0","222,648.0","230,905.0","239,519.0","248,488.0","257,817.0","266,899.0","275,731.0","284,317.0","292,656.0","299,200.0","303,951.0","306,909.0","308,071.0","309,864.0","312,291.0","315,346.0","319,037.0","323,280.0","328,072.0","333,415.0","339,314.0","345,138.0","350,891.0","356,569.0","362,177.0","367,504.0","372,548.0","377,307.0","381,790.0","387,003.0","392,945.0","399,614.0","407,018.0","414,216.0","421,208.0","427,998.0","434,577.0","441,137.0","447,676.0","454,194.0","460,690.0","466,939.0","472,942.0","478,697.0","484,206.0","488,966.0","492,972.0","496,228.0","498,734.0","500,613.0","501,867.0","502,494.0","510,398.0","517,865.0","524,900.0","531,497.0","537,658.0","544,826.0","553,005.0","562,191.0","572,387.0","581,891.0","590,707.0","598,831.0","606,266.0","614,397.0","623,224.0","632,745.0","642,961.0","653,251.0","663,615.0","674,053.0","684,565.0","695,775.0","707,689.0","720,299.0","733,611.0","748,228.0","764,150.0","781,375.0","799,906.0","817,080.0","832,902.0","847,364.0","860,475.0","872,145.0","882,377.0","891,167.0","898,522.0","905,458.0","911,974.0","918,070.0","923,750.0","930,693.0","938,907.0","948,386.0","959,135.0","971,266.0","984,779.0","999,676.0","1,015,955.0","1,034,376.0","1,054,936.0","1,077,633.0","1,096,721.0","1,114,982.0","1,132,414.0","1,149,018.0","1,169,327.0","1,184,894.0","1,197,477.0","1,211,176.0","1,223,239.0","1,240,075.0","1,259,386.0","1,270,479.0","1,267,152.0","1,253,131.0","1,240,617.0","1,238,804.0","1,235,603.0","1,241,185.0","1,247,206.0","1,258,678.0","1,270,069.0","1,287,781.0","1,303,172.0","1,316,748.0","1,330,581.0"
"27","8","            Capital consumption allowances","Y0000C1","66,584.0","68,068.0","69,605.0","70,890.0","72,101.0","73,246.0","74,331.0","75,585.0","76,366.0","78,579.0","80,556.0","82,172.0","84,929.0","87,186.0","89,301.0","91,776.0","93,324.0","95,445.0","97,363.0","101,020.0","103,220.0","106,085.0","109,403.0","111,544.0","114,649.0","117,544.0","119,706.0","121,856.0","123,713.0","126,195.0","129,843.0","134,145.0","138,430.0","143,583.0","148,955.0","153,460.0","157,587.0","162,433.0","167,922.0","173,947.0","180,599.0","186,778.0","192,808.0","198,659.0","204,180.0","211,638.0","220,665.0","231,161.0","249,964.0","264,332.0","278,419.0","284,621.0","295,932.0","304,815.0","314,401.0","322,376.0","335,017.0","344,370.0","354,154.0","357,899.0","366,968.0","389,411.0","401,954.0","415,487.0","431,701.0","442,684.0","451,090.0","456,749.0","454,994.0","456,936.0","459,226.0","462,720.0","466,716.0","472,124.0","478,050.0","484,242.0","492,243.0","498,491.0","504,442.0","509,936.0","514,468.0","519,155.0","524,153.0","527,473.0","516,859.0","520,134.0","522,794.0","525,101.0","526,749.0","528,782.0","531,065.0","533,808.0","537,183.0","541,040.0","536,420.0","550,573.0","556,337.0","563,064.0","570,760.0","579,419.0","589,046.0","599,321.0","610,241.0","621,812.0","634,026.0","645,734.0","656,934.0","667,626.0","677,811.0","689,703.0","703,295.0","718,591.0","735,594.0","751,036.0","764,917.0","777,241.0","788,004.0","801,333.0","817,226.0","835,685.0","856,712.0","875,943.0","893,383.0","909,030.0","922,885.0","937,390.0","952,543.0","968,350.0","983,271.0","996,541.0","1,020,490.0","1,075,002.0","1,109,549.0","1,113,408.0","1,112,806.0","1,107,745.0","1,096,610.0","1,131,234.0","1,138,111.0","1,135,265.0","1,132,690.0","1,134,895.0","1,139,924.0","1,147,783.0","953,151.0","962,418.0","970,268.0","976,707.0","980,883.0","1,021,498.0","1,047,961.0","1,060,274.0","1,076,973.0","1,077,048.0","1,086,956.0","1,107,635.0","1,306,103.0","1,321,196.0","1,333,290.0","1,340,275.0","1,290,939.0","1,288,870.0","1,288,129.0","1,289,926.0","1,303,333.0","1,310,233.0","1,445,823.0","1,709,193.0","1,607,897.0","1,616,361.0","1,626,506.0","1,637,895.0","1,309,703.0"
"28","9","            Less: Capital consumption adjustment","Y0004C1","7,091.0","7,036.0","6,897.0","6,375.0","5,645.0","5,332.0","5,448.0","6,218.0","4,655.0","4,774.0","4,907.0","4,933.0","6,349.0","7,035.0","7,347.0","7,789.0","7,073.0","6,546.0","5,427.0","5,662.0","4,056.0","2,626.0","1,160.0","-1,974.0","-4,633.0","-6,630.0","-8,491.0","-9,491.0","-9,919.0","-10,278.0","-10,032.0","-9,691.0","-9,928.0","-9,423.0","-8,823.0","-9,218.0","-10,111.0","-10,762.0","-11,242.0","-11,660.0","-11,922.0","-12,906.0","-14,284.0","-16,088.0","-18,468.0","-19,267.0","-18,854.0","-17,327.0","-7,853.0","-2,567.0","2,688.0","304.0","3,276.0","5,615.0","10,450.0","15,467.0","26,946.0","34,506.0","41,863.0","42,553.0","47,931.0","66,131.0","73,882.0","82,072.0","92,387.0","97,546.0","100,199.0","100,180.0","92,817.0","89,432.0","86,678.0","85,413.0","84,926.0","85,121.0","85,105.0","84,628.0","85,225.0","84,275.0","83,234.0","81,938.0","79,891.0","78,018.0","76,477.0","73,279.0","56,169.0","53,195.0","49,852.0","46,404.0","42,543.0","39,816.0","38,093.0","37,580.0","38,449.0","40,427.0","34,553.0","48,079.0","45,939.0","45,199.0","45,860.0","47,922.0","51,388.0","54,495.0","57,236.0","59,621.0","61,639.0","63,843.0","66,227.0","68,795.0","71,545.0","75,306.0","80,071.0","85,846.0","92,633.0","97,785.0","101,302.0","103,188.0","103,439.0","105,558.0","109,537.0","115,386.0","123,101.0","127,715.0","129,233.0","127,655.0","122,979.0","120,310.0","119,641.0","120,986.0","122,796.0","124,396.0","138,113.0","183,835.0","211,027.0","207,950.0","200,832.0","189,675.0","172,860.0","200,541.0","199,204.0","186,879.0","173,555.0","163,629.0","155,145.0","148,107.0","-62,804.0","-71,958.0","-84,668.0","-100,926.0","-115,838.0","-93,484.0","-84,453.0","-88,745.0","-92,353.0","-107,846.0","-110,521.0","-103,541.0","82,864.0","81,121.0","73,904.0","69,795.0","23,786.0","35,739.0","47,512.0","51,122.0","67,730.0","69,048.0","198,617.0","450,514.0","337,828.0","328,580.0","323,333.0","321,147.0","-20,878.0"
"29","10","          Households and institutions","W279RC1","12,087.0","12,404.0","12,712.0","13,009.0","13,296.0","13,511.0","13,655.0","13,726.0","14,256.0","14,736.0","15,167.0","15,549.0","15,882.0","16,280.0","16,745.0","17,273.0","17,869.0","18,499.0","19,163.0","19,861.0","20,596.0","21,347.0","22,114.0","22,899.0","23,699.0","24,419.0","25,060.0","25,618.0","26,098.0","26,687.0","27,384.0","28,191.0","29,107.0","30,108.0","31,193.0","32,364.0","33,620.0","34,893.0","36,183.0","37,488.0","38,814.0","40,198.0","41,644.0","43,148.0","44,715.0","46,215.0","47,650.0","49,020.0","50,322.0","51,538.0","52,666.0","53,706.0","54,661.0","55,481.0","56,170.0","56,724.0","57,147.0","57,708.0","58,406.0","59,243.0","60,218.0","61,127.0","61,969.0","62,746.0","63,456.0","64,276.0","65,206.0","66,246.0","67,396.0","68,570.0","69,766.0","70,984.0","72,226.0","73,490.0","74,780.0","76,092.0","77,429.0","78,794.0","80,187.0","81,606.0","83,054.0","84,494.0","85,928.0","87,356.0","88,777.0","90,074.0","91,248.0","92,297.0","93,222.0","94,240.0","95,348.0","96,550.0","97,842.0","98,812.0","99,457.0","99,781.0","102,258.0","104,433.0","106,305.0","107,876.0","109,143.0","110,606.0","112,265.0","114,118.0","116,170.0","117,989.0","119,574.0","120,927.0","122,045.0","123,353.0","124,847.0","126,531.0","128,400.0","130,284.0","132,182.0","134,094.0","136,019.0","138,176.0","140,563.0","143,182.0","146,032.0","148,917.0","151,839.0","154,796.0","157,788.0","160,876.0","164,059.0","167,337.0","170,712.0","173,798.0","176,595.0","179,103.0","181,325.0","183,894.0","186,812.0","190,077.0","193,692.0","197,860.0","202,583.0","207,861.0","213,690.0","219,410.0","225,020.0","230,520.0","235,910.0","241,736.0","247,998.0","254,696.0","260,704.0","266,068.0","270,785.0","274,859.0","280,257.0","283,703.0","287,345.0","290,603.0","291,749.0","294,525.0","296,161.0","296,045.0","295,438.0","292,058.0","289,912.0","292,636.0","294,000.0","293,184.0","295,414.0","298,351.0","300,402.0","302,684.0","304,413.0","306,168.0","306,828.0"
"30","11","        Government","A264RC1","24,058.0","24,548.0","24,860.0","25,341.0","25,831.0","26,362.0","26,862.0","27,391.0","27,865.0","28,180.0","28,384.0","28,550.0","29,001.0","29,159.0","29,546.0","30,048.0","30,467.0","31,033.0","31,591.0","32,199.0","33,316.0","34,928.0","36,872.0","38,287.0","39,070.0","39,543.0","40,167.0","40,936.0","41,700.0","42,332.0","42,910.0","43,564.0","44,591.0","45,288.0","45,825.0","46,807.0","47,857.0","48,955.0","50,072.0","50,924.0","51,965.0","53,549.0","55,299.0","56,947.0","58,603.0","60,815.0","62,771.0","64,990.0","67,201.0","69,213.0","71,090.0","72,872.0","74,749.0","76,602.0","78,073.0","78,991.0","79,927.0","80,839.0","82,300.0","83,280.0","84,772.0","86,201.0","87,495.0","89,057.0","90,512.0","91,671.0","93,396.0","95,097.0","96,323.0","98,469.0","100,431.0","102,425.0","104,375.0","105,710.0","107,421.0","108,925.0","111,013.0","112,909.0","114,770.0","116,907.0","118,782.0","120,739.0","122,855.0","125,016.0","127,353.0","129,542.0","131,959.0","134,294.0","136,384.0","138,111.0","139,945.0","141,272.0","142,134.0","143,769.0","145,013.0","146,889.0","149,305.0","150,964.0","152,407.0","153,848.0","155,426.0","157,300.0","158,988.0","161,143.0","162,815.0","164,239.0","165,385.0","166,926.0","167,890.0","168,538.0","169,629.0","170,603.0","172,179.0","173,583.0","174,474.0","176,146.0","176,718.0","177,990.0","179,676.0","181,533.0","183,513.0","186,030.0","188,175.0","190,891.0","193,903.0","196,457.0","198,884.0","200,740.0","202,268.0","204,008.0","205,423.0","206,811.0","208,439.0","210,099.0","211,718.0","213,527.0","215,710.0","217,307.0","218,924.0","220,535.0","223,845.0","228,860.0","234,607.0","240,251.0","243,806.0","248,059.0","253,096.0","257,299.0","260,569.0","267,128.0","272,022.0","277,439.0","284,348.0","289,049.0","293,385.0","298,482.0","302,448.0","308,133.0","314,075.0","319,992.0","322,593.0","323,161.0","323,571.0","325,615.0","328,999.0","332,499.0","335,533.0","339,106.0","343,813.0","349,420.0","355,247.0","360,486.0","365,927.0"
"31","12","          General government","A265RC1","21,948.0","22,380.0","22,636.0","23,042.0","23,471.0","23,928.0","24,353.0","24,810.0","25,211.0","25,439.0","25,556.0","25,631.0","25,995.0","26,089.0","26,395.0","26,814.0","27,128.0","27,582.0","28,032.0","28,528.0","29,465.0","30,833.0","32,445.0","33,616.0","34,192.0","34,534.0","35,037.0","35,678.0","36,348.0","36,846.0","37,335.0","37,884.0","38,797.0","39,370.0","39,729.0","40,588.0","41,512.0","42,400.0","43,301.0","43,965.0","44,802.0","46,132.0","47,584.0","48,924.0","50,293.0","52,212.0","53,813.0","55,718.0","57,634.0","59,366.0","60,936.0","62,530.0","64,249.0","65,828.0","67,039.0","67,828.0","68,626.0","69,399.0","70,716.0","71,592.0","72,917.0","74,130.0","75,214.0","76,592.0","77,821.0","78,825.0","80,414.0","81,897.0","82,917.0","84,808.0","86,553.0","88,290.0","90,086.0","91,213.0","92,673.0","93,985.0","95,844.0","97,421.0","98,987.0","100,859.0","102,517.0","104,159.0","105,940.0","107,882.0","109,960.0","111,799.0","113,877.0","116,033.0","117,918.0","119,393.0","120,944.0","122,123.0","122,832.0","124,138.0","125,071.0","126,619.0","128,638.0","129,919.0","131,196.0","132,292.0","133,456.0","135,046.0","136,456.0","138,351.0","139,690.0","140,792.0","141,609.0","142,801.0","143,557.0","144,020.0","144,887.0","145,633.0","146,682.0","147,760.0","148,389.0","149,730.0","150,045.0","151,097.0","152,462.0","153,930.0","155,520.0","157,612.0","159,373.0","161,518.0","163,988.0","165,964.0","167,948.0","169,376.0","170,601.0","172,043.0","173,149.0","174,194.0","175,382.0","176,628.0","177,854.0","179,311.0","181,025.0","182,182.0","183,377.0","184,440.0","187,022.0","190,953.0","195,584.0","200,120.0","203,135.0","206,565.0","210,749.0","214,310.0","217,430.0","222,843.0","226,975.0","231,470.0","237,476.0","241,395.0","244,885.0","249,118.0","252,218.0","257,101.0","262,103.0","267,058.0","269,287.0","269,998.0","270,489.0","272,213.0","274,840.0","277,478.0","279,625.0","282,476.0","286,433.0","290,971.0","295,607.0","299,754.0","304,158.0"
"32","13","          Government enterprises","A266RC1","2,110.0","2,168.0","2,224.0","2,299.0","2,360.0","2,434.0","2,509.0","2,581.0","2,654.0","2,741.0","2,828.0","2,919.0","3,006.0","3,070.0","3,151.0","3,234.0","3,339.0","3,451.0","3,559.0","3,671.0","3,851.0","4,095.0","4,427.0","4,671.0","4,878.0","5,009.0","5,130.0","5,258.0","5,352.0","5,486.0","5,575.0","5,680.0","5,794.0","5,918.0","6,096.0","6,219.0","6,345.0","6,555.0","6,771.0","6,959.0","7,163.0","7,417.0","7,715.0","8,023.0","8,310.0","8,603.0","8,958.0","9,272.0","9,567.0","9,847.0","10,154.0","10,342.0","10,500.0","10,774.0","11,034.0","11,163.0","11,301.0","11,440.0","11,584.0","11,688.0","11,855.0","12,071.0","12,281.0","12,465.0","12,691.0","12,846.0","12,982.0","13,200.0","13,406.0","13,661.0","13,878.0","14,135.0","14,289.0","14,497.0","14,748.0","14,940.0","15,169.0","15,488.0","15,783.0","16,048.0","16,265.0","16,580.0","16,915.0","17,134.0","17,393.0","17,743.0","18,082.0","18,261.0","18,466.0","18,718.0","19,001.0","19,149.0","19,302.0","19,631.0","19,942.0","20,270.0","20,667.0","21,045.0","21,211.0","21,556.0","21,970.0","22,254.0","22,532.0","22,792.0","23,125.0","23,447.0","23,776.0","24,125.0","24,333.0","24,518.0","24,742.0","24,970.0","25,497.0","25,823.0","26,085.0","26,416.0","26,673.0","26,893.0","27,214.0","27,603.0","27,993.0","28,418.0","28,802.0","29,373.0","29,915.0","30,493.0","30,936.0","31,364.0","31,667.0","31,965.0","32,274.0","32,617.0","33,057.0","33,471.0","33,864.0","34,216.0","34,685.0","35,125.0","35,547.0","36,095.0","36,823.0","37,907.0","39,023.0","40,131.0","40,671.0","41,494.0","42,347.0","42,989.0","43,139.0","44,285.0","45,047.0","45,969.0","46,872.0","47,654.0","48,500.0","49,364.0","50,230.0","51,032.0","51,972.0","52,934.0","53,306.0","53,163.0","53,082.0","53,402.0","54,159.0","55,021.0","55,908.0","56,630.0","57,380.0","58,449.0","59,640.0","60,732.0","61,769.0"
