"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2012 11:20:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"19","1","    National income without capital consumption adjustment","A422RC1","4,065,097.0","4,438,635.0","4,723,597.0","5,008,143.0","5,178,399.0","5,476,726.0","5,738,492.0","6,125,575.0","6,457,203.0","6,853,497.0","7,307,254.0","7,767,106.0","8,231,037.0","8,817,910.0"
"20","2","Domestic industries","A423RC1","4,047,442.0","4,415,273.0","4,697,673.0","4,973,720.0","5,148,489.0","5,447,586.0","5,707,310.0","6,101,499.0","6,427,547.0","6,821,827.0","7,283,804.0","7,749,789.0","8,203,235.0","8,780,165.0"
"21","3","  Private industries","A736RC1","3,495,609.0","3,824,027.0","4,067,091.0","4,298,263.0","4,428,550.0","4,691,691.0","4,927,522.0","5,294,443.0","5,597,740.0","5,965,086.0","6,396,624.0","6,829,774.0","7,236,560.0","7,762,367.0"
"22","4","    Agriculture, forestry, and fishing","B424RC1","66,173.0","68,229.0","78,157.0","83,031.0","78,046.0","86,315.0","79,696.0","90,422.0","81,562.0","100,025.0","97,860.0","92,803.0","91,061.0","94,193.0"
"23","5","    Mining","B734RC1","43,130.0","49,715.0","52,839.0","57,788.0","54,754.0","54,538.0","55,022.0","58,385.0","58,994.0","70,410.0","79,852.0","68,172.0","63,067.0","87,301.0"
"24","6","    Construction","B735RC1","201,470.0","218,911.0","227,644.0","231,786.0","218,026.0","220,610.0","235,183.0","262,441.0","282,226.0","309,112.0","335,335.0","373,867.0","421,523.0","464,089.0"
"25","7","    Manufacturing","A426RC1","770,373.0","852,342.0","879,985.0","902,652.0","898,519.0","924,153.0","961,951.0","1,037,843.0","1,087,929.0","1,110,767.0","1,172,332.0","1,194,630.0","1,245,338.0","1,310,251.0"
"26","8","      Durable goods","B428RC1","450,897.0","491,856.0","506,459.0","505,060.0","498,303.0","516,446.0","545,315.0","594,157.0","613,095.0","628,885.0","669,165.0","693,864.0","716,459.0","750,382.0"
"27","9","      Nondurable goods","B427RC1","319,476.0","360,487.0","373,526.0","397,592.0","400,216.0","407,707.0","416,636.0","443,686.0","474,835.0","481,881.0","503,167.0","500,768.0","528,880.0","559,869.0"
"28","10","    Transportation and public utilities","A737RC1","321,729.0","341,948.0","352,683.0","373,384.0","396,130.0","415,882.0","440,937.0","476,726.0","492,915.0","511,720.0","522,342.0","548,962.0","571,834.0","600,802.0"
"29","11","      Transportation","B429RC1","127,760.0","138,949.0","139,676.0","146,479.0","155,304.0","162,836.0","174,478.0","189,271.0","197,125.0","205,878.0","224,231.0","244,005.0","256,312.0","271,000.0"
"30","12","      Communications","B430RC1","94,010.0","99,344.0","101,260.0","109,172.0","115,432.0","121,981.0","131,738.0","143,790.0","145,910.0","152,822.0","145,747.0","155,352.0","156,166.0","168,548.0"
"31","13","      Electric, gas, and sanitary services","B431RC1","99,959.0","103,654.0","111,746.0","117,733.0","125,395.0","131,065.0","134,724.0","143,665.0","149,879.0","153,021.0","152,363.0","149,605.0","159,355.0","161,254.0"
