"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2012 11:20:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","323,321.0","363,124.0","389,709.0","395,214.0","405,096.0","421,361.0","428,318.0","451,697.0","431,424.0","423,868.0","428,551.0","418,405.0","427,304.0","452,364.0","426,943.0","431,187.0","462,374.0","455,824.0","453,221.0","457,680.0","491,016.0","498,678.0","480,520.0","514,695.0","509,329.0","533,647.0","543,428.0","588,411.0","590,465.0","610,023.0","643,181.0","669,236.0","674,833.0","702,185.0","737,722.0","750,001.0","783,223.0","795,855.0","802,100.0","824,827.0","855,678.0","878,761.0","911,987.0","892,907.0","817,703.0","811,526.0","820,132.0","800,324.0","859,723.0","859,444.0","848,367.0","857,561.0","840,516.0","831,709.0","814,651.0","790,014.0"
"21","2","Domestic industries","A445RC1","282,017.0","314,656.0","341,953.0","340,694.0","352,400.0","363,628.0","371,166.0","391,341.0","367,424.0","359,884.0","361,999.0","344,426.0","353,878.0","377,235.0","355,994.0","346,335.0","378,221.0","381,129.0","383,213.0","380,660.0","412,492.0","423,073.0","409,264.0","447,718.0","426,525.0","460,690.0","463,348.0","516,531.0","515,392.0","532,723.0","563,916.0","589,008.0","586,072.0","605,450.0","650,710.0","650,721.0","682,563.0","697,958.0","703,447.0","714,152.0","752,334.0","765,772.0","802,479.0","788,524.0","709,067.0","705,514.0","724,048.0","700,007.0","745,788.0","742,821.0","729,849.0","720,569.0","709,412.0","693,223.0","670,193.0","621,565.0"
"22","3","  Financial","A587RC1","51,462.0","60,031.0","64,528.0","63,673.0","58,002.0","65,409.0","69,639.0","68,370.0","74,872.0","75,083.0","76,946.0","72,671.0","77,647.0","82,898.0","84,189.0","81,796.0","103,005.0","108,126.0","112,816.0","114,119.0","130,837.0","128,329.0","124,639.0","124,426.0","113,991.0","118,118.0","117,002.0","127,916.0","114,690.0","108,232.0","122,466.0","121,785.0","137,973.0","153,423.0","163,255.0","155,976.0","163,079.0","165,408.0","163,468.0","156,485.0","182,534.0","190,031.0","194,294.0","197,568.0","170,787.0","162,599.0","162,648.0","167,615.0","191,172.0","190,872.0","209,635.0","213,439.0","210,943.0","200,010.0","206,036.0","207,396.0"
"23","4","  Nonfinancial","A463RC1","230,555.0","254,625.0","277,425.0","277,021.0","294,398.0","298,219.0","301,527.0","322,972.0","292,552.0","284,801.0","285,053.0","271,755.0","276,231.0","294,338.0","271,805.0","264,539.0","275,217.0","273,003.0","270,397.0","266,541.0","281,655.0","294,744.0","284,625.0","323,292.0","312,534.0","342,573.0","346,346.0","388,616.0","400,701.0","424,491.0","441,450.0","467,223.0","448,099.0","452,027.0","487,456.0","494,744.0","519,484.0","532,550.0","539,980.0","557,667.0","569,800.0","575,741.0","608,185.0","590,956.0","538,281.0","542,915.0","561,400.0","532,392.0","554,617.0","551,949.0","520,215.0","507,129.0","498,467.0","493,213.0","464,157.0","414,169.0"
"24","5","Rest of the world","B394RC1","41,304.0","48,468.0","47,756.0","54,520.0","52,696.0","57,732.0","57,152.0","60,356.0","64,000.0","63,984.0","66,552.0","73,980.0","73,424.0","75,128.0","70,948.0","84,852.0","84,152.0","74,696.0","70,008.0","77,020.0","78,524.0","75,604.0","71,256.0","66,976.0","82,804.0","72,956.0","80,080.0","71,880.0","75,072.0","77,300.0","79,264.0","80,228.0","88,760.0","96,736.0","87,012.0","99,280.0","100,660.0","97,896.0","98,652.0","110,676.0","103,344.0","112,988.0","109,508.0","104,384.0","108,636.0","106,012.0","96,084.0","100,316.0","113,934.0","116,622.0","118,517.0","136,992.0","131,105.0","138,486.0","144,457.0","168,450.0"
