"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"1","[Millions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 27, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2012 11:20:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Motor vehicle output","A953RX1","281,899.0","274,446.0","271,342.0","288,690.0","260,881.0","295,179.0","296,297.0","283,765.0","295,241.0","293,872.0","313,730.0","328,291.0","322,233.0","321,746.0","323,141.0","365,396.0","355,807.0","358,091.0","369,506.0","376,916.0","382,594.0","368,024.0","350,187.0","337,965.0","324,018.0","348,512.0","343,172.0","359,309.0","375,719.0","381,345.0","394,491.0","381,576.0","371,209.0","390,907.0","391,563.0","395,660.0","398,772.0","392,610.0","410,916.0","409,650.0","411,042.0","417,543.0","440,208.0","406,957.0","420,912.0","412,644.0","416,698.0","405,644.0","415,649.0","420,137.0","418,026.0","401,799.0","386,798.0","359,451.0","333,358.0","268,190.0","219,335.0","228,973.0","281,431.0","288,290.0","313,654.0","325,279.0","336,788.0","321,121.0","360,715.0","356,996.0","361,502.0","378,659.0","419,703.0"
"21","2","        Auto output","A133RX1","145,835.0","137,386.0","130,473.0","141,843.0","120,115.0","147,546.0","145,160.0","129,896.0","134,402.0","133,356.0","139,506.0","140,621.0","138,545.0","133,984.0","146,143.0","155,132.0","143,926.0","148,070.0","146,802.0","156,325.0","159,969.0","151,686.0","147,711.0","142,522.0","136,885.0","144,240.0","141,953.0","146,169.0","156,741.0","149,932.0","143,785.0","143,819.0","132,104.0","137,277.0","132,503.0","130,842.0","130,632.0","137,438.0","131,891.0","139,860.0","152,563.0","146,886.0","148,756.0","152,803.0","162,171.0","155,191.0","148,158.0","149,892.0","154,173.0","154,229.0","149,018.0","148,989.0","154,380.0","150,584.0","148,119.0","110,911.0","76,908.0","88,192.0","100,719.0","104,947.0","116,253.0","115,191.0","103,723.0","96,861.0","114,414.0","118,707.0","105,121.0","116,077.0","146,837.0"
"22","3","        Truck output","A716RX1","135,275.0","136,376.0","140,266.0","146,193.0","140,256.0","146,883.0","150,444.0","153,452.0","160,404.0","160,079.0","173,805.0","187,343.0","183,370.0","187,563.0","176,528.0","209,928.0","211,618.0","209,757.0","222,407.0","220,308.0","222,341.0","216,066.0","202,221.0","195,194.0","186,891.0","204,020.0","200,965.0","212,870.0","218,645.0","231,220.0","250,754.0","237,688.0","239,110.0","253,640.0","259,067.0","264,788.0","268,087.0","255,167.0","278,993.0","269,787.0","258,595.0","270,675.0","291,463.0","254,008.0","258,535.0","257,350.0","268,626.0","255,742.0","261,459.0","265,920.0","269,082.0","252,702.0","232,150.0","208,429.0","184,417.0","156,954.0","142,769.0","140,704.0","180,766.0","183,345.0","197,418.0","210,313.0","233,687.0","224,917.0","246,930.0","238,761.0","257,345.0","263,431.0","273,423.0"
"23","4","Final sales of domestic product","AB60RX1","264,709.0","261,349.0","276,294.0","284,612.0","282,063.0","281,248.0","285,119.0","294,202.0","298,618.0","287,442.0","307,311.0","318,518.0","303,365.0","329,787.0","329,716.0","364,973.0","336,402.0","359,098.0","364,763.0","352,360.0","376,895.0","343,762.0","340,191.0","335,380.0","349,260.0","342,839.0","338,127.0","396,649.0","363,809.0","364,724.0","392,693.0","357,940.0","361,501.0","376,576.0","398,902.0","380,296.0","382,523.0","383,224.0","406,548.0","421,718.0","416,284.0","432,689.0","451,154.0","390,147.0","417,324.0","412,474.0","424,488.0","416,965.0","422,438.0","424,236.0","415,916.0","425,001.0","399,371.0","361,848.0","347,455.0","278,866.0","284,010.0","279,982.0","294,641.0","267,052.0","295,876.0","303,745.0","313,745.0","345,191.0","368,533.0","373,392.0","361,879.0","390,279.0","409,199.0"
"24","5","  Personal consumption expenditures","AB61RX1","215,806.0","214,921.0","220,455.0","224,239.0","226,172.0","229,795.0","228,928.0","230,517.0","242,025.0","232,526.0","249,297.0","256,752.0","248,025.0","269,937.0","274,940.0","303,435.0","286,712.0","309,221.0","309,635.0","298,845.0","327,454.0","301,520.0","307,339.0","309,282.0","320,178.0","313,434.0","318,219.0","371,740.0","343,316.0","345,236.0","369,214.0","345,162.0","345,392.0","361,210.0","372,255.0","364,086.0","363,487.0","361,589.0","366,168.0","369,024.0","361,186.0","375,529.0","379,668.0","330,021.0","343,688.0","345,094.0","352,042.0","351,150.0","352,930.0","358,584.0","355,118.0","353,081.0","337,078.0","316,009.0","297,630.0","262,181.0","275,822.0","272,627.0","305,438.0","277,261.0","275,714.0","279,973.0","286,273.0","312,612.0","326,448.0","300,081.0","300,724.0","330,188.0","354,513.0"
"25","6","    New motor vehicles","AB67RX1","142,398.0","143,597.0","142,802.0","149,805.0","148,802.0","147,342.0","143,998.0","148,639.0","149,974.0","144,921.0","159,301.0","166,042.0","159,000.0","178,847.0","167,471.0","184,054.0","183,406.0","192,756.0","194,690.0","198,513.0","211,243.0","200,975.0","203,959.0","195,116.0","209,803.0","208,128.0","205,751.0","266,801.0","239,812.0","228,710.0","252,688.0","237,282.0","235,692.0","254,084.0","261,343.0","253,538.0","256,899.0","250,744.0","253,626.0","253,433.0","242,184.0","263,853.0","269,294.0","220,246.0","232,131.0","232,650.0","238,375.0","235,076.0","240,955.0","240,160.0","233,034.0","235,010.0","220,422.0","201,491.0","187,181.0","156,020.0","158,663.0","157,202.0","192,317.0","170,367.0","168,263.0","173,538.0","176,633.0","196,469.0","204,761.0","187,019.0","189,105.0","216,420.0","229,291.0"
"26","7","      Autos","A136RX1","77,631.0","79,056.0","78,990.0","82,803.0","79,981.0","78,718.0","75,801.0","77,730.0","78,593.0","72,872.0","80,276.0","82,332.0","79,306.0","86,487.0","81,124.0","87,056.0","86,480.0","92,652.0","93,445.0","97,345.0","102,281.0","98,609.0","95,888.0","91,782.0","95,264.0","91,304.0","87,688.0","110,490.0","95,909.0","92,937.0","98,511.0","91,051.0","92,974.0","90,883.0","92,667.0","90,084.0","93,844.0","91,515.0","90,496.0","95,287.0","94,220.0","99,280.0","102,031.0","94,260.0","99,408.0","98,818.0","100,752.0","97,355.0","97,490.0","96,951.0","90,770.0","97,144.0","96,372.0","97,981.0","81,577.0","66,384.0","64,333.0","62,733.0","88,143.0","71,085.0","67,555.0","64,453.0","66,679.0","74,540.0","83,428.0","73,767.0","69,441.0","83,285.0","98,235.0"
"27","8","      Light trucks (including utility vehicles)","B704RX1","64,788.0","64,535.0","63,796.0","66,990.0","68,859.0","68,676.0","68,272.0","70,997.0","71,468.0","72,158.0","79,144.0","83,841.0","79,819.0","92,507.0","86,482.0","97,138.0","97,055.0","100,251.0","101,386.0","101,346.0","109,133.0","102,546.0","108,202.0","103,459.0","114,638.0","116,888.0","118,106.0","156,340.0","143,915.0","135,787.0","154,192.0","146,244.0","142,748.0","163,165.0","168,630.0","163,406.0","163,026.0","159,199.0","163,093.0","158,146.0","148,008.0","164,600.0","167,286.0","125,893.0","132,602.0","133,715.0","137,513.0","137,687.0","143,530.0","143,275.0","142,420.0","137,776.0","123,704.0","102,684.0","105,383.0","89,535.0","94,433.0","94,609.0","103,699.0","99,222.0","100,799.0","109,431.0","110,272.0","122,275.0","121,506.0","113,503.0","120,160.0","133,517.0","131,017.0"
"28","9","    Net purchases of used autos and used light trucks","W240RX1","73,298.0","71,182.0","77,689.0","74,291.0","77,302.0","82,479.0","85,049.0","81,915.0","92,242.0","87,776.0","90,045.0","90,688.0","89,031.0","90,790.0","107,890.0","119,842.0","103,286.0","116,643.0","115,058.0","100,234.0","116,256.0","100,436.0","103,261.0","114,133.0","110,258.0","105,162.0","112,319.0","104,897.0","103,491.0","116,247.0","116,550.0","107,927.0","109,689.0","107,028.0","110,804.0","110,541.0","106,348.0","110,855.0","112,559.0","115,642.0","119,136.0","111,662.0","110,391.0","109,637.0","111,510.0","112,423.0","113,666.0","116,066.0","111,978.0","118,399.0","122,007.0","118,024.0","116,530.0","114,449.0","110,482.0","106,681.0","118,135.0","116,403.0","113,022.0","107,057.0","107,705.0","106,803.0","110,043.0","116,693.0","122,253.0","113,560.0","112,151.0","114,565.0","126,020.0"
"29","10","      Used autos","A137RX1","52,623.0","49,745.0","54,956.0","49,745.0","50,929.0","55,160.0","56,678.0","52,128.0","59,948.0","54,658.0","54,509.0","55,895.0","53,979.0","53,525.0","64,251.0","68,802.0","58,172.0","65,230.0","64,385.0","54,237.0","64,646.0","53,752.0","54,760.0","64,601.0","59,340.0","57,714.0","59,554.0","53,356.0","54,305.0","59,911.0","59,225.0","54,498.0","55,719.0","53,924.0","55,693.0","55,527.0","52,380.0","55,180.0","55,397.0","56,806.0","58,734.0","55,444.0","54,400.0","54,117.0","54,390.0","54,482.0","54,275.0","53,838.0","51,127.0","53,440.0","54,898.0","54,063.0","54,746.0","54,115.0","50,831.0","46,162.0","50,320.0","48,974.0","47,746.0","46,059.0","46,702.0","45,685.0","47,074.0","50,510.0","52,977.0","48,813.0","46,714.0","48,350.0","53,641.0"
"30","11","      Used light trucks (including utility vehicles)","W241RX1","20,888.0","21,631.0","22,958.0","24,699.0","26,514.0","27,493.0","28,550.0","29,955.0","32,449.0","33,293.0","35,682.0","34,958.0","35,204.0","37,402.0","43,809.0","51,201.0","45,236.0","51,544.0","50,800.0","46,082.0","51,722.0","46,748.0","48,553.0","49,705.0","50,991.0","47,553.0","52,821.0","51,541.0","49,224.0","56,360.0","57,341.0","53,441.0","53,984.0","53,112.0","55,118.0","55,022.0","53,964.0","55,674.0","57,165.0","58,838.0","60,404.0","56,221.0","55,990.0","55,517.0","57,124.0","57,945.0","59,388.0","62,214.0","60,844.0","64,958.0","67,108.0","63,958.0","61,800.0","60,349.0","59,646.0","60,497.0","67,775.0","67,379.0","65,228.0","60,959.0","60,968.0","61,079.0","62,930.0","66,154.0","69,246.0","64,723.0","65,441.0","66,213.0","72,372.0"
"31","12","  Private fixed investment","AB62RX1","104,007.0","100,063.0","102,490.0","104,534.0","102,660.0","105,548.0","110,969.0","113,632.0","116,008.0","113,425.0","115,372.0","117,299.0","114,284.0","121,202.0","117,473.0","134,588.0","131,314.0","134,587.0","144,184.0","141,605.0","144,222.0","135,737.0","129,978.0","120,918.0","123,500.0","121,613.0","111,254.0","113,178.0","112,032.0","112,730.0","118,873.0","108,876.0","102,598.0","107,919.0","113,106.0","109,967.0","113,225.0","119,524.0","132,498.0","142,064.0","138,472.0","143,306.0","156,477.0","153,589.0","170,512.0","163,039.0","160,089.0","161,139.0","155,183.0","143,557.0","140,434.0","141,039.0","135,111.0","112,198.0","92,574.0","60,258.0","33,832.0","34,458.0","35,298.0","45,826.0","73,526.0","88,636.0","95,042.0","97,403.0","109,933.0","112,192.0","126,612.0","125,109.0","133,151.0"
