"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Ratio, based on chained (2005) dollars]                                                                                                                                                                                                                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 01, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2013 7:38:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Manufacturing and trade industries","RMT3",1.376,1.376,1.371,1.381,1.352,1.355,1.341,1.342,1.326,1.329,1.337,1.36,1.371,1.365,1.349
"9","2","Manufacturing industries","R303",1.342,1.346,1.346,1.351,1.36,1.353,1.328,1.316,1.313,1.34,1.377,1.425,1.562,1.532,1.534
"10","3","  Durable goods manufacturing industries","R30D3",1.555,1.569,1.523,1.532,1.552,1.547,1.504,1.494,1.506,1.526,1.568,1.665,1.921,1.838,1.835
"11","4","    Wood product manufacturing","R3213",1.128,1.159,1.18,1.224,1.236,1.237,1.22,1.265,1.27,1.255,1.313,1.364,1.428,1.438,1.522
"12","5","    Nonmetallic mineral product manufacturing","R3273",1.333,1.257,1.269,1.291,1.273,1.298,1.266,1.269,1.217,1.24,1.33,1.494,1.644,1.594,1.614
"13","6","    Primary metal manufacturing","R3313",1.555,1.626,1.671,1.693,1.67,1.651,1.554,1.598,1.639,1.73,1.743,1.733,1.769,1.577,1.369
"14","7","    Fabricated metal product manufacturing","R3323",1.561,1.553,1.575,1.569,1.615,1.648,1.632,1.633,1.639,1.621,1.627,1.698,1.942,1.889,1.857
"15","8","    Machinery manufacturing","R3333",1.63,1.642,1.688,1.728,1.706,1.762,1.668,1.616,1.602,1.629,1.627,1.681,1.92,1.828,1.85
"16","9","    Computer and electronic product manufacturing","R3343",1.699,1.586,1.534,1.625,1.646,1.778,1.781,1.728,1.749,1.658,1.684,1.753,2.061,1.947,1.946
"17","10","    Electrical equipment, appliance, and component manufacturing","R3353",1.555,1.543,1.504,1.514,1.549,1.662,1.643,1.571,1.534,1.602,1.636,1.663,1.843,1.828,1.762
"18","11","    Transportation equipment manufacturing","R3363",1.524,1.659,1.492,1.408,1.464,1.355,1.284,1.276,1.308,1.37,1.448,1.631,2.007,1.883,1.987
"19","12","      Motor vehicle and parts manufacturing","R336MV3",0.713,0.703,0.66,0.694,0.684,0.645,0.629,0.642,0.648,0.663,0.646,0.708,0.878,0.713,0.7
"20","13","      Other transportation equipment manufacturing","R336OT3",3.365,3.669,3.448,3.131,3.141,3.165,3.131,3.069,3.07,3.235,3.274,3.314,3.724,4.26,5.146
"21","14","    Furniture and related product manufacturing","R3373",1.328,1.26,1.277,1.303,1.294,1.309,1.268,1.288,1.286,1.29,1.318,1.364,1.663,1.714,1.644
"22","15","    Miscellaneous durable goods manufacturing","R3393",1.716,1.687,1.722,1.748,1.75,1.639,1.696,1.68,1.694,1.707,1.793,1.867,2.021,2.095,2.083
"23","16","  Nondurable goods manufacturing industries","R30N3",1.122,1.107,1.155,1.153,1.159,1.154,1.145,1.132,1.111,1.14,1.17,1.174,1.245,1.238,1.226
"24","17","    Food manufacturing","R3113",0.979,0.934,0.966,0.971,0.954,0.954,0.918,0.906,0.909,0.909,0.896,0.907,0.933,0.929,0.88
"25","18","    Beverage and tobacco product manufacturing","R3123",1.159,1.158,1.24,1.241,1.302,1.51,1.415,1.372,1.341,1.355,1.303,1.359,1.559,1.51,1.477
"26","19","    Textile mills","R3133",1.416,1.457,1.531,1.496,1.575,1.476,1.533,1.601,1.582,1.743,1.834,2.039,2.171,2.072,2.252
"27","20","    Textile product mills","R3143",1.322,1.249,1.297,1.42,1.572,1.21,1.297,1.221,1.279,1.394,1.549,1.682,1.815,1.948,2.032
"28","21","    Apparel manufacturing","R3153",1.574,1.655,1.856,1.865,1.671,2.063,2.237,2.54,2.595,2.683,3.118,3.732,4.787,4.887,4.792
"29","22","    Leather and allied product manufacturing","R3163",1.974,2.106,2.221,2.127,2.152,2.911,2.911,2.925,2.851,3.228,3.335,3.606,4.097,3.402,3.362
"30","23","    Paper manufacturing","R3223",1.222,1.176,1.232,1.212,1.284,1.357,1.334,1.343,1.341,1.341,1.372,1.396,1.435,1.414,1.415
"31","24","    Printing and related support activities","R3233",0.794,0.721,0.793,0.754,0.757,0.842,0.83,0.841,0.824,0.835,0.888,0.861,0.932,0.947,0.906
"32","25","    Petroleum and coal product manufacturing","R3243",0.787,0.746,0.742,0.753,0.784,0.723,0.779,0.748,0.715,0.757,0.854,0.811,0.898,0.944,0.973
"33","26","    Chemical manufacturing","R3253",1.391,1.427,1.498,1.491,1.499,1.43,1.398,1.371,1.339,1.364,1.352,1.383,1.52,1.447,1.424
"34","27","    Plastics and rubber product manufacturing","R3263",1.299,1.301,1.309,1.291,1.312,1.295,1.286,1.296,1.285,1.348,1.401,1.444,1.58,1.543,1.533
"35","28","Merchant wholesale industries","R42W3",1.315,1.323,1.298,1.296,1.258,1.227,1.203,1.2,1.193,1.19,1.179,1.219,1.19,1.197,1.202
"36","29","  Durable goods merchant wholesale industries","R42WD3",1.73,1.738,1.675,1.654,1.558,1.529,1.499,1.483,1.463,1.431,1.396,1.477,1.466,1.42,1.401
"37","30","    Motor vehicles, parts, and supplies wholesalers","R42113",1.559,1.499,1.466,1.476,1.332,1.338,1.341,1.301,1.35,1.245,1.24,1.557,1.483,1.368,1.442
"38","31","    Furniture and home furnishings wholesalers","R42123",1.482,1.481,1.451,1.434,1.356,1.382,1.409,1.38,1.411,1.386,1.393,1.429,1.374,1.456,1.462
"39","32","    Lumber and other construction materials wholesalers","R42133",0.92,0.842,0.84,0.903,0.868,0.871,0.947,1.047,1.023,1.037,1.068,1.097,1.106,1.179,1.127
"40","33","    Professional and commercial equipment wholesalers","R42143",1.57,1.353,1.22,1.16,1.015,0.976,0.945,0.936,0.897,0.922,0.873,0.86,0.817,0.798,0.799
"41","34","      Computers and software wholesalers","R42433",1.608,1.337,1.131,0.983,0.866,0.82,0.867,0.838,0.785,0.803,0.725,0.703,0.734,0.688,0.667
"42","35","      Other professional and commercial equipment wholesalers","R424X3",1.288,1.175,1.185,1.286,1.124,1.109,1,1.026,1.022,1.062,1.064,1.087,0.98,1.011,1.052
"43","36","    Metal and mineral (except petroleum) wholesalers","R42153",1.843,1.987,1.929,1.874,1.846,1.917,1.966,2.022,1.907,2.084,2.025,2.382,2.415,2.537,2.6
"44","37","    Electrical goods wholesalers","R42163",1.31,1.368,1.387,1.349,1.259,1.241,1.168,1.134,1.129,1.124,1.111,1.144,1.078,1.103,1.109
