"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"34","15","  Rents and royalties \4\","B1040C1","318.0","317.0","327.0","341.0","361.0","381.0","409.0","439.0","480.0","504.0","515.0","524.0","507.0","505.0","505.0","523.0","558.0","616.0","688.0","753.0","821.0","863.0","900.0","926.0","942.0","956.0","984.0","1,008.0","1,036.0","1,062.0","1,080.0","1,092.0","1,195.0","1,261.0","1,322.0","1,370.0","1,415.0","1,474.0","1,551.0","1,645.0","1,768.0","1,934.0","2,141.0","2,387.0","2,641.0","2,907.0","3,179.0","3,467.0","3,838.0","4,216.0","4,597.0","4,981.0","5,205.0","5,237.0","5,086.0","4,752.0","4,436.0","4,269.0","4,261.0","4,410.0","4,763.0","4,924.0","5,012.0","5,019.0","4,922.0","4,733.0","4,461.0","4,121.0","3,627.0","3,335.0","3,125.0","3,002.0","3,118.0","3,089.0","3,056.0","3,010.0","3,002.0","2,804.0","2,732.0","2,753.0","2,829.0","2,928.0","3,042.0","3,147.0","3,280.0","3,425.0","3,570.0","3,719.0","3,798.0","3,814.0","3,761.0","3,654.0","3,494.0","3,432.0","3,430.0","3,479.0","3,609.0","3,697.0","3,787.0","3,937.0","3,931.0","3,788.0","3,509.0","2,997.0","2,835.0","2,724.0","3,160.0","3,158.0","3,864.0","3,931.0","4,403.0","4,235.0","4,578.0","4,439.0","4,659.0","4,409.0","4,453.0","4,058.0","4,356.0","3,977.0","3,633.0","3,757.0","4,169.0","4,478.0","5,059.0","5,355.0","6,849.0","7,890.0","9,057.0","9,064.0","8,833.0","6,614.0","6,670.0","6,449.0","6,599.0","6,187.0","5,746.0","7,119.0","7,227.0","8,009.0","8,007.0","8,665.0","8,423.0","9,540.0","9,435.0","9,645.0","10,011.0","9,560.0","10,511.0","11,042.0","9,142.0","9,045.0","9,669.0","9,574.0","11,753.0","13,449.0","14,615.0","16,532.0","14,242.0","9,622.0","8,203.0","7,335.0","5,775.0","6,766.0","6,711.0","7,849.0","8,357.0","9,103.0","9,392.0","9,664.0","10,528.0","10,140.0","10,120.0","10,300.0","10,168.0","10,340.0","8,904.0","8,764.0","9,376.0","8,900.0","9,020.0","9,592.0"
"35","16","Current transfer receipts","W011RC1","964.0","992.0","1,008.0","1,028.0","1,016.0","1,020.0","904.0","896.0","916.0","916.0","924.0","956.0","1,032.0","1,104.0","1,156.0","1,188.0","1,248.0","1,288.0","812.0","844.0","1,004.0","1,084.0","1,120.0","1,116.0","1,096.0","1,100.0","1,104.0","1,124.0","1,260.0","1,188.0","1,184.0","1,260.0","1,264.0","1,404.0","1,756.0","1,884.0","2,028.0","2,180.0","2,304.0","2,400.0","2,452.0","2,520.0","2,572.0","2,628.0","2,736.0","2,832.0","2,780.0","4,220.0","3,472.0","2,980.0","3,016.0","3,044.0","3,952.0","4,256.0","4,524.0","4,792.0","4,788.0","5,108.0","5,304.0","5,680.0","6,096.0","6,288.0","6,344.0","6,368.0","7,048.0","12,804.0","7,252.0","7,280.0","7,308.0","7,536.0","6,708.0","8,892.0","9,620.0","10,772.0","10,136.0","10,296.0","8,984.0","9,228.0","9,864.0","10,352.0","10,860.0","11,252.0","12,544.0","12,492.0","12,120.0","12,504.0","13,436.0","15,176.0","16,548.0","16,936.0","17,476.0","17,788.0","17,480.0","17,264.0","17,644.0","21,288.0","20,064.0","19,796.0","19,760.0","20,996.0","22,720.0","21,524.0","22,044.0","20,076.0","18,868.0","17,860.0","17,128.0","16,288.0","16,980.0","17,908.0","18,768.0","37,252.0","19,232.0","19,768.0","20,756.0","20,500.0","20,904.0","21,456.0","21,612.0","21,892.0","21,884.0","22,204.0","21,884.0","23,108.0","23,232.0","23,948.0","24,116.0","25,036.0","24,408.0","24,572.0","25,152.0","25,556.0","25,896.0","24,364.0","23,668.0","23,784.0","25,092.0","25,100.0","25,636.0","26,200.0","28,076.0","28,872.0","29,576.0","29,584.0","30,604.0","31,928.0","32,164.0","33,172.0","35,708.0","36,208.0","37,088.0","38,304.0","40,076.0","40,196.0","40,672.0","42,976.0","43,508.0","43,036.0","41,696.0","57,760.0","60,932.0","75,720.0","58,528.0","60,648.0","63,756.0","61,732.0","66,000.0","66,060.0","67,494.0","64,959.0","65,553.0","62,038.0","59,920.0","53,692.0","46,104.0","40,028.0","58,064.0","62,712.0","56,300.0","61,016.0","55,480.0","54,620.0"
"36","17","  From business","W012RC1","924.0","940.0","940.0","944.0","928.0","932.0","816.0","808.0","844.0","848.0","864.0","896.0","944.0","980.0","1,004.0","1,012.0","1,092.0","1,156.0","696.0","736.0","896.0","972.0","1,000.0","996.0","976.0","980.0","976.0","992.0","1,124.0","1,044.0","1,036.0","1,104.0","1,108.0","1,236.0","1,588.0","1,704.0","1,848.0","1,996.0","2,116.0","2,220.0","2,272.0","2,340.0","2,388.0","2,432.0","2,524.0","2,604.0","2,540.0","3,972.0","3,220.0","2,724.0","2,752.0","2,780.0","3,376.0","3,608.0","3,784.0","3,956.0","3,892.0","4,152.0","4,280.0","4,636.0","5,072.0","5,244.0","5,304.0","5,364.0","5,932.0","11,636.0","6,028.0","6,008.0","6,152.0","6,336.0","5,460.0","7,224.0","7,928.0","8,944.0","7,848.0","7,988.0","6,444.0","6,324.0","6,932.0","7,412.0","7,904.0","8,220.0","9,416.0","9,264.0","8,856.0","9,144.0","9,968.0","11,616.0","12,836.0","13,088.0","13,560.0","13,732.0","13,488.0","13,168.0","13,500.0","17,108.0","15,032.0","14,788.0","14,760.0","15,868.0","17,316.0","15,916.0","16,300.0","14,260.0","12,980.0","11,824.0","10,876.0","9,768.0","10,184.0","10,848.0","11,464.0","29,736.0","11,532.0","11,904.0","12,760.0","12,380.0","12,572.0","12,868.0","12,716.0","12,616.0","12,368.0","12,460.0","11,936.0","13,000.0","12,868.0","13,332.0","13,268.0","13,960.0","13,444.0","13,704.0","14,312.0","14,704.0","15,020.0","13,556.0","12,944.0","13,176.0","14,436.0","14,280.0","14,516.0","14,636.0","15,588.0","15,900.0","16,180.0","15,820.0","15,876.0","16,924.0","16,912.0","17,688.0","18,908.0","19,068.0","19,560.0","20,340.0","20,928.0","20,740.0","21,004.0","23,212.0","24,084.0","23,560.0","22,180.0","38,196.0","41,660.0","56,332.0","38,948.0","40,796.0","42,988.0","40,888.0","45,336.0","45,848.0","47,586.0","45,155.0","45,593.0","41,654.0","38,848.0","32,252.0","24,592.0","18,756.0","37,344.0","42,324.0","36,008.0","40,600.0","34,712.0","33,596.0"
"37","18","  From persons","B233RC1","40.0","52.0","68.0","84.0","88.0","88.0","88.0","88.0","72.0","68.0","60.0","60.0","88.0","124.0","152.0","176.0","156.0","132.0","116.0","108.0","108.0","112.0","120.0","120.0","120.0","120.0","128.0","132.0","136.0","144.0","148.0","156.0","156.0","168.0","168.0","180.0","180.0","184.0","188.0","180.0","180.0","180.0","184.0","196.0","212.0","228.0","240.0","248.0","252.0","256.0","264.0","264.0","576.0","648.0","740.0","836.0","896.0","956.0","1,024.0","1,044.0","1,024.0","1,044.0","1,040.0","1,004.0","1,116.0","1,168.0","1,224.0","1,272.0","1,156.0","1,200.0","1,248.0","1,668.0","1,692.0","1,828.0","2,288.0","2,308.0","2,540.0","2,904.0","2,932.0","2,940.0","2,956.0","3,032.0","3,128.0","3,228.0","3,264.0","3,360.0","3,468.0","3,560.0","3,712.0","3,848.0","3,916.0","4,056.0","3,992.0","4,096.0","4,144.0","4,180.0","5,032.0","5,008.0","5,000.0","5,128.0","5,404.0","5,608.0","5,744.0","5,816.0","5,888.0","6,036.0","6,252.0","6,520.0","6,796.0","7,060.0","7,304.0","7,516.0","7,700.0","7,864.0","7,996.0","8,120.0","8,332.0","8,588.0","8,896.0","9,276.0","9,516.0","9,744.0","9,948.0","10,108.0","10,364.0","10,616.0","10,848.0","11,076.0","10,964.0","10,868.0","10,840.0","10,852.0","10,876.0","10,808.0","10,724.0","10,608.0","10,656.0","10,820.0","11,120.0","11,564.0","12,488.0","12,972.0","13,396.0","13,764.0","14,728.0","15,004.0","15,252.0","15,484.0","16,800.0","17,140.0","17,528.0","17,964.0","19,148.0","19,456.0","19,668.0","19,764.0","19,424.0","19,476.0","19,516.0","19,564.0","19,272.0","19,388.0","19,580.0","19,852.0","20,768.0","20,844.0","20,664.0","20,212.0","19,908.0","19,804.0","19,960.0","20,384.0","21,072.0","21,440.0","21,512.0","21,272.0","20,720.0","20,388.0","20,292.0","20,416.0","20,768.0","21,024.0"
"38","19","Current surplus of government enterprises \5\","B097RC1","-1,255.0","-1,266.0","-1,297.0","-1,233.0","-1,978.0","-2,585.0","-2,538.0","-2,751.0","-3,066.0","-2,495.0","-2,815.0","-2,749.0","-2,734.0","-2,466.0","-2,381.0","-1,927.0","-2,856.0","-3,227.0","-3,586.0","-3,870.0","-3,623.0","-2,831.0","-3,104.0","-3,440.0","-4,043.0","-4,214.0","-4,614.0","-4,807.0","-2,904.0","-2,935.0","-2,862.0","-2,921.0","-3,094.0","-3,184.0","-3,652.0","-3,786.0","-3,808.0","-3,293.0","-1,877.0","-2,602.0","-2,525.0","-2,492.0","-2,467.0","-3,186.0","-3,161.0","-3,582.0","-3,546.0","-4,275.0","-4,257.0","-1,962.0","-2,368.0","-1,866.0","-1,771.0","-1,936.0","-2,318.0","-2,535.0","-2,130.0","-2,022.0","-2,001.0","-1,622.0","-2,605.0","-2,565.0","-2,769.0","-2,806.0","-2,461.0","-1,433.0","-1,283.0","-1,314.0","-919.0","-670.0","-538.0","-220.0","189.0","-146.0","-643.0","-1,398.0","-2,062.0","1,732.0","1,454.0","1,504.0","1,140.0","1,133.0","959.0","1,036.0","-1,023.0","-2,294.0","-2,621.0","-3,389.0","-214.0","2,232.0","2,549.0","3,940.0","3,936.0","4,619.0","4,846.0","3,078.0","2,265.0","4,135.0","3,464.0","3,959.0","4,882.0","4,635.0","3,859.0","2,784.0","6,176.0","5,189.0","4,604.0","4,228.0","4,250.0","4,076.0","4,567.0","4,946.0","5,485.0","6,862.0","6,745.0","7,202.0","8,124.0","8,067.0","7,706.0","6,305.0","7,981.0","7,363.0","7,165.0","6,301.0","7,008.0","6,779.0","4,554.0","2,931.0","3,524.0","2,643.0","2,646.0","2,379.0","4,285.0","4,477.0","9,396.0","9,253.0","7,442.0","6,739.0","6,187.0","6,350.0","5,503.0","5,525.0","4,557.0","3,955.0","2,005.0","1,266.0","129.0","370.0","2,721.0","2,080.0","1,302.0","1,072.0","451.0","2,188.0","3,800.0","1,739.0","1,187.0","717.0","881.0","582.0","103.0","754.0","1,507.0","635.0","-448.0","-2,392.0","-3,908.0","-5,592.0","-6,474.0","-6,637.0","-7,512.0","-7,973.0","-7,198.0","-8,095.0","-9,386.0","-11,873.0","-12,994.0","-15,228.0","-15,997.0","-16,935.0","-16,931.0","-19,316.0"
"39","20","    Current expenditures","W013RC1","188,072.0","194,904.0","199,744.0","205,052.0","208,652.0","220,040.0","223,332.0","227,544.0","233,040.0","242,812.0","242,536.0","247,740.0","258,760.0","267,860.0","260,056.0","284,904.0","282,568.0","287,272.0","286,160.0","291,740.0","301,248.0","314,272.0","323,632.0","337,432.0","352,928.0","377,196.0","377,940.0","387,168.0","392,464.0","394,768.0","405,864.0","415,220.0","419,132.0","427,252.0","440,692.0","454,592.0","466,908.0","476,028.0","488,244.0","502,412.0","508,916.0","519,936.0","538,196.0","558,132.0","581,728.0","602,504.0","635,220.0","657,704.0","678,901.0","692,462.0","716,566.0","737,125.0","750,625.0","763,299.0","789,932.0","826,767.0","830,699.0","850,224.0","860,856.0","855,104.0","873,440.0","895,673.0","908,962.0","933,929.0","949,472.0","962,441.0","979,283.0","992,275.0","1,003,055.0","1,029,006.0","1,048,890.0","1,038,974.0","1,042,311.0","1,058,332.0","1,061,676.0","1,086,198.0","1,105,201.0","1,106,002.0","1,117,677.0","1,146,214.0","1,167,552.0","1,189,780.0","1,207,926.0","1,224,652.0","1,258,443.0","1,281,004.0","1,291,717.0","1,315,193.0","1,280,943.0","1,343,054.0","1,377,415.0","1,405,621.0","1,453,599.0","1,474,846.0","1,494,782.0","1,515,725.0","1,516,950.0","1,529,129.0","1,548,106.0","1,568,069.0","1,548,169.0","1,564,900.0","1,591,302.0","1,617,263.0","1,637,949.0","1,653,910.0","1,664,343.0","1,658,671.0","1,695,499.0","1,706,558.0","1,708,411.0","1,728,174.0","1,731,502.0","1,748,989.0","1,752,001.0","1,778,746.0","1,762,543.0","1,774,998.0","1,780,144.0","1,806,477.0","1,810,631.0","1,815,434.0","1,837,496.0","1,872,822.0","1,861,909.0","1,906,598.0","1,917,482.0","1,940,576.0","1,978,604.0","2,000,559.0","2,032,026.0","2,038,212.0","2,091,307.0","2,129,965.0","2,140,586.0","2,183,202.0","2,218,457.0","2,307,117.0","2,307,401.0","2,338,282.0","2,388,701.0","2,400,059.0","2,429,749.0","2,467,160.0","2,551,327.0","2,576,458.0","2,618,929.0","2,664,624.0","2,720,678.0","2,756,328.0","2,789,453.0","2,768,559.0","2,868,206.0","2,920,398.0","2,942,942.0","2,974,212.0","3,042,603.0","3,190,981.0","3,168,333.0","3,148,726.0","3,248,059.0","3,544,324.0","3,553,633.0","3,560,503.0","3,660,929.0","3,701,454.0","3,749,161.0","3,770,291.0","3,750,968.0","3,833,419.0","3,743,454.0","3,726,819.0","3,737,227.0","3,782,085.0","3,759,590.0","3,773,939.0","3,721,037.0","3,787,214.0","3,793,728.0","3,746,434.0","3,802,727.0","3,874,776.0"
"40","21","Consumption expenditures","A957RC1","97,096.0","99,468.0","102,308.0","102,820.0","102,676.0","101,360.0","102,376.0","102,756.0","105,568.0","106,664.0","106,688.0","107,524.0","112,804.0","113,984.0","110,216.0","111,684.0","113,128.0","114,220.0","112,720.0","115,584.0","118,580.0","119,508.0","123,104.0","128,672.0","129,852.0","132,092.0","133,156.0","136,600.0","136,812.0","138,536.0","137,984.0","142,684.0","144,984.0","148,364.0","150,144.0","154,896.0","157,172.0","160,968.0","162,484.0","167,236.0","170,800.0","174,848.0","174,176.0","184,132.0","191,332.0","202,020.0","201,712.0","213,380.0","221,112.0","229,812.0","230,864.0","243,412.0","247,632.0","249,188.0","257,316.0","268,496.0","273,328.0","278,780.0","287,400.0","271,904.0","280,616.0","293,256.0","295,100.0","299,148.0","307,484.0","312,780.0","321,320.0","325,420.0","325,148.0","335,940.0","344,760.0","340,124.0","342,300.0","346,040.0","346,192.0","356,556.0","356,592.0","357,568.0","357,716.0","371,468.0","368,520.0","382,152.0","383,488.0","386,492.0","396,704.0","401,008.0","398,688.0","410,860.0","427,160.0","426,196.0","423,452.0","418,956.0","423,092.0","425,540.0","435,612.0","436,600.0","424,644.0","424,088.0","430,104.0","431,964.0","423,240.0","424,852.0","434,224.0","427,008.0","428,892.0","430,920.0","430,240.0","420,584.0","423,492.0","430,440.0","427,256.0","432,484.0","430,620.0","443,320.0","438,764.0","442,080.0","427,488.0","439,356.0","433,860.0","445,028.0","446,396.0","446,728.0","457,496.0","471,660.0","461,776.0","482,988.0","477,696.0","477,768.0","493,712.0","502,868.0","509,136.0","515,848.0","542,532.0","554,580.0","561,596.0","582,600.0","600,412.0","635,136.0","631,360.0","646,908.0","668,896.0","677,756.0","691,604.0","687,236.0","714,548.0","716,768.0","736,216.0","726,232.0","762,064.0","760,276.0","763,172.0","770,248.0","775,268.0","789,088.0","809,168.0","819,876.0","850,088.0","865,668.0","897,960.0","905,572.0","904,776.0","931,196.0","945,908.0","952,928.0","979,104.0","1,005,092.0","1,018,772.0","1,012,652.0","1,000,560.0","1,015,152.0","1,009,028.0","999,504.0","1,003,248.0","998,656.0","1,024,896.0","987,640.0","970,244.0","965,188.0","965,696.0","951,060.0","957,136.0","955,632.0"
"41","22","Current transfer payments","W014RC1","61,000.0","64,332.0","64,968.0","67,888.0","69,740.0","81,004.0","81,968.0","85,356.0","87,992.0","96,612.0","95,964.0","99,612.0","103,372.0","110,540.0","104,828.0","127,300.0","122,620.0","124,780.0","124,612.0","126,316.0","133,032.0","144,608.0","148,616.0","155,764.0","168,704.0","189,524.0","187,348.0","190,744.0","193,824.0","193,488.0","203,568.0","206,092.0","206,492.0","209,460.0","218,560.0","220,164.0","227,316.0","229,580.0","236,768.0","240,832.0","242,500.0","246,724.0","263,952.0","269,408.0","279,292.0","283,944.0","315,724.0","321,852.0","321,581.0","322,806.0","339,246.0","338,221.0","342,641.0","350,051.0","364,104.0","382,219.0","379,039.0","387,172.0","381,648.0","386,280.0","389,212.0","393,401.0","394,570.0","408,673.0","412,952.0","415,853.0","422,431.0","426,131.0","432,551.0","444,914.0","454,274.0","447,042.0","445,011.0","452,980.0","451,300.0","458,850.0","474,441.0","474,330.0","482,229.0","492,490.0","508,220.0","511,356.0","526,330.0","536,504.0","554,667.0","568,400.0","573,261.0","580,109.0","526,167.0","585,934.0","622,495.0","650,937.0","695,895.0","712,562.0","721,486.0","741,817.0","746,446.0","755,997.0","768,170.0","789,813.0","782,477.0","791,392.0","801,478.0","824,871.0","831,053.0","836,646.0","843,631.0","845,595.0","877,687.0","883,786.0","885,127.0","898,806.0","904,730.0","907,685.0","913,177.0","934,966.0","933,363.0","933,438.0","943,740.0","961,925.0","969,019.0","971,362.0","984,032.0","1,001,834.0","1,000,521.0","1,022,754.0","1,041,426.0","1,065,500.0","1,091,140.0","1,113,699.0","1,130,286.0","1,163,584.0","1,205,299.0","1,229,869.0","1,237,862.0","1,258,118.0","1,280,310.0","1,323,854.0","1,336,904.0","1,350,066.0","1,375,855.0","1,379,417.0","1,383,560.0","1,412,978.0","1,459,262.0","1,457,209.0","1,477,753.0","1,503,481.0","1,548,279.0","1,569,521.0","1,586,573.0","1,581,126.0","1,654,485.0","1,653,746.0","1,674,914.0","1,706,541.0","1,744,013.0","1,874,682.0","1,806,840.0","1,855,610.0","1,984,992.0","2,186,876.0","2,169,224.0","2,188,391.0","2,267,793.0","2,257,804.0","2,294,525.0","2,306,613.0","2,283,398.0","2,302,220.0","2,252,922.0","2,251,114.0","2,266,570.0","2,272,574.0","2,284,228.0","2,289,730.0","2,302,225.0","2,320,010.0","2,342,161.0","2,323,501.0","2,367,338.0","2,387,247.0"
"42","23","  Government social benefits","W015RC1","45,124.0","45,924.0","46,720.0","47,596.0","48,912.0","58,212.0","57,704.0","60,600.0","61,784.0","68,700.0","68,048.0","69,032.0","71,140.0","71,188.0","71,236.0","81,716.0","83,312.0","84,772.0","86,228.0","88,496.0","95,068.0","101,976.0","107,852.0","113,512.0","122,348.0","136,116.0","138,816.0","139,996.0","143,340.0","141,732.0","147,548.0","149,908.0","151,952.0","151,072.0","156,728.0","158,896.0","160,936.0","160,424.0","168,388.0","170,852.0","175,088.0","178,436.0","192,968.0","196,788.0","204,740.0","210,020.0","238,436.0","239,536.0","243,960.0","245,164.0","263,112.0","265,332.0","268,616.0","275,824.0","291,024.0","305,944.0","305,336.0","310,488.0","304,332.0","306,500.0","309,400.0","311,556.0","312,284.0","318,396.0","326,708.0","327,652.0","331,128.0","332,136.0","342,064.0","345,696.0","351,356.0","353,172.0","357,256.0","361,272.0","361,688.0","363,536.0","378,516.0","379,640.0","382,948.0","386,664.0","407,144.0","411,588.0","417,356.0","424,772.0","441,444.0","447,616.0","452,224.0","463,608.0","484,848.0","494,996.0","498,780.0","513,320.0","543,372.0","555,184.0","559,548.0","564,728.0","581,072.0","586,116.0","589,848.0","593,772.0","605,824.0","610,308.0","614,216.0","622,688.0","639,188.0","647,396.0","652,524.0","658,396.0","677,496.0","683,032.0","686,184.0","691,356.0","706,580.0","709,844.0","711,292.0","712,452.0","721,892.0","722,960.0","725,604.0","726,948.0","739,376.0","742,532.0","745,084.0","748,172.0","761,028.0","777,252.0","781,980.0","790,992.0","822,208.0","835,888.0","854,444.0","870,284.0","900,104.0","925,740.0","929,912.0","935,324.0","952,604.0","969,652.0","979,904.0","990,340.0","1,010,988.0","1,019,648.0","1,028,952.0","1,042,596.0","1,073,032.0","1,082,988.0","1,097,512.0","1,110,108.0","1,180,400.0","1,192,152.0","1,201,532.0","1,212,608.0","1,248,140.0","1,264,348.0","1,279,420.0","1,296,936.0","1,330,408.0","1,468,684.0","1,397,308.0","1,433,300.0","1,530,896.0","1,657,448.0","1,645,608.0","1,665,644.0","1,720,968.0","1,722,916.0","1,728,444.0","1,734,268.0","1,734,276.0","1,741,380.0","1,746,776.0","1,755,120.0","1,775,824.0","1,779,368.0","1,787,080.0","1,798,100.0","1,819,412.0","1,819,188.0","1,828,556.0","1,835,412.0","1,854,292.0","1,879,996.0"
"43","24","    To persons","B087RC1","44,568.0","45,348.0","46,124.0","46,984.0","48,276.0","57,476.0","56,948.0","59,844.0","61,024.0","67,868.0","67,228.0","68,200.0","70,224.0","70,240.0","70,336.0","80,620.0","82,180.0","83,628.0","85,060.0","87,308.0","94,116.0","100,656.0","106,388.0","111,960.0","120,540.0","134,168.0","136,776.0","137,844.0","140,972.0","139,272.0","144,988.0","147,336.0","149,444.0","148,564.0","154,080.0","156,244.0","158,280.0","157,728.0","165,624.0","168,000.0","172,240.0","175,444.0","189,828.0","193,572.0","201,480.0","206,608.0","234,772.0","235,700.0","239,904.0","240,976.0","258,668.0","260,868.0","264,596.0","271,584.0","286,888.0","301,928.0","301,628.0","306,852.0","300,760.0","302,916.0","305,868.0","307,876.0","308,628.0","314,572.0","322,732.0","323,680.0","327,064.0","328,036.0","337,740.0","341,404.0","347,208.0","348,344.0","353,024.0","357,056.0","357,364.0","359,188.0","374,040.0","375,092.0","378,340.0","381,976.0","402,288.0","406,704.0","412,048.0","419,292.0","435,492.0","441,396.0","445,912.0","457,436.0","478,736.0","489,012.0","492,848.0","506,260.0","537,684.0","548,228.0","553,232.0","558,788.0","575,420.0","579,780.0","583,464.0","587,348.0","599,184.0","603,584.0","607,404.0","615,560.0","633,072.0","640,416.0","645,524.0","651,320.0","669,864.0","675,540.0","678,584.0","683,784.0","698,796.0","701,880.0","703,516.0","704,576.0","713,704.0","714,672.0","717,472.0","718,724.0","730,940.0","734,040.0","736,500.0","739,572.0","752,524.0","768,564.0","773,244.0","782,248.0","812,840.0","826,548.0","844,940.0","860,744.0","890,544.0","916,084.0","920,212.0","925,628.0","942,640.0","959,588.0","969,788.0","980,124.0","1,000,456.0","1,009,080.0","1,018,360.0","1,031,680.0","1,061,944.0","1,071,816.0","1,086,208.0","1,098,732.0","1,168,144.0","1,179,780.0","1,189,124.0","1,199,936.0","1,234,988.0","1,251,008.0","1,265,996.0","1,283,588.0","1,316,700.0","1,449,200.0","1,383,176.0","1,418,720.0","1,515,560.0","1,640,628.0","1,629,736.0","1,649,608.0","1,704,700.0","1,706,448.0","1,711,800.0","1,717,580.0","1,717,288.0","1,724,308.0","1,729,660.0","1,737,984.0","1,758,020.0","1,761,368.0","1,768,896.0","1,779,800.0","1,800,760.0","1,800,320.0","1,809,528.0","1,816,392.0","1,835,376.0","1,861,084.0"
"44","25","    To the rest of the world \6\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,560.0","9,656.0","9,700.0","9,696.0","9,964.0","10,064.0","10,116.0","10,216.0","10,532.0","10,568.0","10,592.0","10,916.0","11,088.0","11,172.0","11,304.0","11,376.0","12,256.0","12,372.0","12,408.0","12,672.0","13,152.0","13,340.0","13,424.0","13,348.0","13,708.0","19,484.0","14,132.0","14,580.0","15,336.0","16,820.0","15,872.0","16,036.0","16,268.0","16,468.0","16,644.0","16,688.0","16,988.0","17,072.0","17,116.0","17,136.0","17,804.0","18,000.0","18,184.0","18,300.0","18,652.0","18,868.0","19,028.0","19,020.0","18,916.0","18,912.0"
