"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Private fixed investment","A007RC1","35,361.0","35,744.0","37,826.0","41,793.0","43,574.0","44,474.0","45,361.0","45,335.0","42,749.0","41,387.0","40,854.0","42,161.0","44,723.0","49,455.0","54,466.0","54,394.0","54,197.0","52,587.0","52,236.0","52,362.0","53,398.0","54,523.0","51,642.0","55,464.0","57,769.0","58,540.0","59,102.0","58,451.0","57,678.0","58,824.0","61,058.0","62,454.0","64,916.0","68,065.0","70,451.0","71,648.0","71,905.0","73,433.0","74,695.0","74,902.0","75,566.0","75,249.0","76,529.0","75,564.0","70,740.0","69,297.0","70,451.0","74,767.0","79,289.0","82,092.0","83,222.0","82,405.0","85,273.0","83,870.0","82,053.0","81,775.0","80,925.0","82,316.0","84,258.0","86,935.0","88,667.0","91,260.0","91,972.0","91,606.0","92,818.0","96,812.0","98,891.0","102,124.0","105,349.0","106,066.0","107,939.0","109,966.0","114,994.0","118,480.0","121,944.0","126,166.0","130,325.0","131,184.0","131,339.0","129,351.0","127,386.0","131,152.0","133,573.0","139,221.0","143,850.0","144,860.0","148,003.0","154,750.0","160,899.0","163,498.0"
"21","2","Nonresidential","A008RC1","24,820.0","25,171.0","25,360.0","26,539.0","28,229.0","28,047.0","29,078.0","30,158.0","28,580.0","27,474.0","26,110.0","25,623.0","26,384.0","28,852.0","31,911.0","32,916.0","33,140.0","34,120.0","34,838.0","34,639.0","35,129.0","35,760.0","32,888.0","35,817.0","37,787.0","38,467.0","39,612.0","39,200.0","38,327.0","38,156.0","38,875.0","38,889.0","39,497.0","42,060.0","44,825.0","47,083.0","47,773.0","49,059.0","50,743.0","51,411.0","52,465.0","52,639.0","54,065.0","53,215.0","49,370.0","47,828.0","47,434.0","49,333.0","50,941.0","52,734.0","54,421.0","54,399.0","56,319.0","57,186.0","56,161.0","55,882.0","55,011.0","56,198.0","56,708.0","58,473.0","59,657.0","61,354.0","62,101.0","61,821.0","61,970.0","63,882.0","65,707.0","67,668.0","69,112.0","71,078.0","73,406.0","75,322.0","80,226.0","83,378.0","86,686.0","90,643.0","94,379.0","96,822.0","98,321.0","99,163.0","97,997.0","98,295.0","98,787.0","101,745.0","105,582.0","105,297.0","107,609.0","112,178.0","115,993.0","118,368.0"
"22","3","  Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,084.0","17,594.0","17,259.0","17,579.0","17,397.0","18,037.0","18,644.0","18,519.0","19,360.0","19,473.0","19,418.0","20,022.0","19,929.0","19,634.0","19,665.0","19,632.0","20,030.0","20,828.0","21,355.0","20,900.0","20,233.0","21,233.0","21,436.0","21,891.0","22,425.0","23,450.0","24,250.0","24,823.0","26,142.0","28,166.0","28,535.0","30,442.0","31,098.0","31,172.0","31,907.0","31,217.0","31,668.0","30,934.0","31,476.0","31,966.0","33,051.0","33,184.0","33,232.0","34,762.0","35,794.0","36,671.0"
"23","4","    Commercial and health care","W001RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,140.0","4,222.0","4,278.0","4,308.0","4,274.0","4,631.0","4,744.0","4,576.0","4,762.0","4,724.0","4,720.0","5,139.0","5,406.0","5,388.0","5,544.0","5,630.0","5,543.0","5,897.0","6,969.0","6,336.0","6,049.0","6,261.0","6,150.0","5,921.0","6,023.0","6,669.0","7,075.0","7,265.0","7,731.0","7,987.0","8,131.0","8,832.0","8,522.0","7,986.0","8,339.0","8,179.0","8,373.0","8,099.0","7,959.0","8,313.0","9,020.0","9,418.0","9,386.0","9,789.0","10,590.0","11,143.0"
"24","5","    Manufacturing","C307RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,982.0","2,461.0","2,103.0","1,982.0","1,884.0","1,985.0","2,212.0","2,343.0","2,682.0","2,762.0","2,918.0","3,042.0","2,985.0","2,808.0","2,676.0","2,651.0","2,684.0","3,041.0","2,669.0","2,974.0","2,591.0","2,800.0","3,011.0","3,222.0","3,142.0","3,348.0","3,731.0","4,039.0","4,491.0","5,056.0","5,031.0","5,790.0","6,170.0","6,682.0","6,877.0","6,535.0","6,434.0","5,696.0","6,026.0","5,668.0","6,000.0","5,851.0","5,762.0","6,471.0","6,741.0","6,636.0"
"25","6","    Power and communication","W003RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,400.0","4,386.0","4,343.0","4,455.0","4,340.0","4,281.0","4,303.0","4,304.0","4,399.0","4,455.0","4,286.0","4,344.0","4,125.0","4,104.0","4,107.0","4,004.0","4,115.0","4,034.0","4,027.0","4,088.0","4,118.0","4,419.0","4,358.0","4,525.0","4,628.0","4,718.0","4,786.0","4,884.0","5,092.0","5,272.0","5,438.0","5,738.0","6,031.0","6,257.0","6,485.0","6,391.0","6,617.0","6,995.0","7,199.0","7,561.0","7,888.0","8,073.0","8,493.0","8,670.0","8,483.0","8,512.0"
"26","7","    Mining exploration, shafts, and wells \1\","E318RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,499.0","2,383.0","2,259.0","2,335.0","2,452.0","2,537.0","2,541.0","2,554.0","2,431.0","2,350.0","2,311.0","2,264.0","2,250.0","2,274.0","2,345.0","2,427.0","2,533.0","2,567.0","2,493.0","2,347.0","2,308.0","2,284.0","2,254.0","2,158.0","2,266.0","2,432.0","2,426.0","2,536.0","2,403.0","2,610.0","2,379.0","2,348.0","2,458.0","2,396.0","2,543.0","2,415.0","2,385.0","2,479.0","2,428.0","2,428.0","2,537.0","2,465.0","2,571.0","2,667.0","2,591.0","2,761.0"
"27","8","    Other structures \2\","W004RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,063.0","4,142.0","4,276.0","4,499.0","4,447.0","4,603.0","4,844.0","4,742.0","5,086.0","5,182.0","5,183.0","5,233.0","5,163.0","5,060.0","4,993.0","4,920.0","5,155.0","5,289.0","5,197.0","5,155.0","5,167.0","5,469.0","5,663.0","6,065.0","6,366.0","6,283.0","6,232.0","6,099.0","6,425.0","7,241.0","7,556.0","7,734.0","7,917.0","7,851.0","7,663.0","7,697.0","7,859.0","7,665.0","7,864.0","7,996.0","7,606.0","7,377.0","7,020.0","7,165.0","7,389.0","7,619.0"
"28","9","  Equipment","Y033RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,526.0","24,365.0","24,136.0","25,482.0","27,077.0","28,059.0","29,118.0","29,127.0","30,089.0","30,749.0","29,471.0","28,407.0","27,408.0","28,635.0","28,944.0","30,628.0","31,401.0","32,197.0","32,321.0","32,304.0","32,872.0","33,467.0","34,894.0","36,238.0","37,146.0","37,940.0","39,264.0","40,390.0","43,542.0","44,296.0","46,825.0","48,457.0","51,069.0","53,024.0","53,418.0","54,581.0","52,712.0","53,577.0","53,193.0","55,286.0","57,601.0","56,698.0","58,582.0","61,233.0","63,690.0","64,691.0"
"29","10","    Information processing equipment","Y034RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,696.0","3,475.0","3,564.0","3,691.0","3,752.0","3,831.0","3,949.0","4,362.0","4,517.0","4,821.0","4,668.0","4,965.0","4,675.0","5,177.0","5,187.0","5,336.0","5,667.0","5,521.0","5,328.0","5,424.0","5,722.0","6,059.0","6,288.0","6,313.0","6,648.0","6,746.0","6,690.0","7,213.0","7,269.0","7,626.0","8,070.0","8,395.0","8,958.0","9,522.0","9,884.0","10,245.0","9,953.0","10,043.0","9,904.0","10,512.0","10,625.0","10,426.0","10,690.0","10,642.0","11,515.0","12,492.0"
"30","11","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5.0","2.0","17.0","56.0","118.0","176.0","215.0","259.0","225.0","260.0","273.0","286.0","293.0","298.0","350.0","447.0","576.0","717.0","806.0","841.0","950.0","947.0","888.0","927.0","1,020.0","1,076.0","1,219.0","1,341.0","1,439.0","1,621.0","1,766.0","1,966.0","1,860.0","1,859.0","1,818.0","1,935.0","1,871.0","1,908.0","1,979.0","1,938.0","2,096.0","2,408.0"
"31","12","      Other \3\","A937RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,688.0","3,468.0","3,557.0","3,681.0","3,747.0","3,829.0","3,932.0","4,306.0","4,399.0","4,645.0","4,453.0","4,706.0","4,450.0","4,917.0","4,914.0","5,050.0","5,374.0","5,223.0","4,978.0","4,977.0","5,146.0","5,342.0","5,482.0","5,472.0","5,698.0","5,799.0","5,802.0","6,286.0","6,249.0","6,550.0","6,851.0","7,054.0","7,519.0","7,901.0","8,118.0","8,279.0","8,093.0","8,184.0","8,086.0","8,577.0","8,754.0","8,518.0","8,711.0","8,704.0","9,419.0","10,084.0"
"32","13","    Industrial equipment","A680RC1","4,718.0","4,585.0","4,710.0","4,384.0","4,714.0","4,503.0","4,396.0","4,825.0","4,427.0","3,761.0","3,469.0","3,236.0","3,544.0","4,292.0","4,566.0","5,507.0","5,073.0","5,550.0","6,088.0","5,964.0","5,964.0","6,539.0","5,517.0","5,696.0","6,261.0","6,656.0","6,944.0","6,999.0","6,983.0","6,957.0","7,326.0","6,935.0","6,466.0","6,890.0","7,391.0","8,261.0","8,087.0","8,552.0","9,363.0","9,374.0","9,581.0","9,544.0","9,791.0","9,584.0","8,675.0","8,200.0","7,838.0","8,132.0","8,403.0","8,294.0","8,407.0","8,992.0","9,234.0","9,935.0","9,339.0","8,993.0","8,397.0","8,685.0","8,735.0","9,386.0","9,404.0","9,529.0","9,182.0","8,895.0","9,385.0","9,833.0","10,288.0","10,599.0","10,828.0","10,885.0","11,502.0","12,520.0","12,732.0","13,332.0","14,161.0","14,496.0","15,061.0","16,117.0","16,519.0","16,903.0","17,266.0","17,077.0","16,410.0","16,925.0","17,332.0","17,095.0","17,058.0","17,628.0","18,349.0","18,799.0"
"33","14","    Transportation equipment","A681RC1","4,684.0","4,861.0","4,675.0","5,444.0","5,690.0","5,326.0","5,497.0","5,415.0","5,531.0","5,754.0","5,713.0","5,814.0","5,560.0","5,918.0","7,401.0","6,821.0","6,935.0","6,629.0","6,518.0","6,170.0","6,279.0","5,813.0","4,844.0","6,033.0","6,462.0","6,566.0","6,699.0","6,579.0","6,187.0","5,875.0","5,877.0","6,113.0","6,650.0","7,454.0","8,135.0","7,774.0","7,399.0","7,402.0","7,106.0","7,697.0","8,130.0","8,109.0","8,614.0","8,207.0","6,598.0","5,834.0","5,584.0","6,444.0","7,563.0","8,396.0","9,094.0","8,038.0","8,992.0","8,647.0","8,688.0","7,709.0","7,413.0","7,687.0","8,025.0","8,978.0","9,291.0","9,647.0","10,117.0","10,100.0","9,486.0","8,991.0","9,313.0","9,938.0","10,173.0","10,554.0","11,321.0","10,259.0","12,870.0","12,833.0","13,342.0","13,814.0","14,720.0","14,736.0","14,248.0","14,368.0","13,340.0","13,965.0","14,660.0","15,099.0","17,211.0","16,625.0","17,711.0","18,968.0","19,393.0","19,136.0"
"34","15","    Other equipment \4\","A862RC1","3,815.0","4,117.0","3,890.0","4,490.0","5,100.0","5,071.0","5,498.0","5,849.0","5,058.0","4,941.0","4,451.0","4,261.0","4,418.0","5,082.0","5,498.0","5,225.0","5,396.0","5,388.0","5,341.0","5,847.0","5,776.0","5,828.0","5,069.0","5,699.0","5,896.0","5,403.0","5,671.0","5,321.0","4,943.0","5,243.0","5,527.0","5,587.0","5,631.0","6,156.0","6,460.0","7,014.0","6,833.0","6,576.0","6,921.0","6,641.0","6,847.0","6,491.0","6,644.0","6,773.0","6,557.0","6,856.0","7,150.0","7,215.0","7,359.0","7,538.0","7,668.0","7,735.0","7,346.0","7,346.0","6,776.0","6,740.0","6,923.0","7,086.0","6,997.0","6,928.0","7,039.0","7,500.0","7,694.0","7,885.0","8,279.0","8,584.0","9,005.0","9,388.0","9,497.0","9,755.0","9,751.0","10,398.0","10,671.0","10,505.0","11,252.0","11,752.0","12,330.0","12,649.0","12,767.0","13,065.0","12,153.0","12,492.0","12,219.0","12,750.0","12,433.0","12,552.0","13,123.0","13,995.0","14,433.0","14,264.0"
