"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:43:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","A422RC1","3,905,936.0","4,004,389.0","4,098,789.0","4,193,295.0","4,284,856.0","4,378,742.0","4,471,281.0","4,577,456.0","4,659,557.0","4,694,437.0","4,750,281.0","4,793,727.0","4,911,226.0","5,000,518.0","5,036,009.0","5,068,199.0","5,098,972.0","5,136,434.0","5,185,853.0","5,243,884.0","5,372,948.0","5,456,449.0","5,495,332.0","5,592,206.0","5,597,558.0","5,699,139.0","5,743,195.0","5,880,540.0","5,943,859.0","6,069,057.0","6,156,564.0","6,261,021.0","6,328,057.0","6,389,322.0","6,486,763.0","6,569,147.0","6,686,784.0","6,810,269.0","6,886,434.0","7,014,185.0","7,129,153.0","7,236,335.0","7,381,538.0","7,498,073.0","7,598,177.0","7,721,158.0","7,847,747.0","7,938,112.0","8,082,072.0","8,149,570.0","8,242,685.0","8,427,859.0","8,675,739.0","8,769,042.0","8,888,891.0","8,936,218.0"
"21","2","Domestic industries","A423RC1","3,891,568.0","3,986,256.0","4,081,024.0","4,173,611.0","4,259,867.0","4,355,926.0","4,451,119.0","4,554,793.0","4,637,161.0","4,672,771.0","4,725,985.0","4,762,928.0","4,881,707.0","4,968,894.0","5,008,872.0","5,017,712.0","5,059,515.0","5,107,876.0","5,160,743.0","5,210,663.0","5,340,215.0","5,424,393.0","5,466,122.0","5,561,897.0","5,559,545.0","5,667,659.0","5,706,181.0","5,859,056.0","5,915,598.0","6,045,283.0","6,134,374.0","6,239,786.0","6,297,407.0","6,355,895.0","6,467,125.0","6,537,832.0","6,648,623.0","6,780,341.0","6,859,687.0","6,981,893.0","7,105,213.0","7,204,865.0","7,357,681.0","7,480,932.0","7,571,999.0","7,697,831.0","7,837,358.0","7,925,068.0","8,059,985.0","8,122,184.0","8,218,147.0","8,393,343.0","8,644,965.0","8,735,220.0","8,859,603.0","8,882,074.0"
"22","3","  Private industries","A736RC1","3,367,742.0","3,455,134.0","3,543,684.0","3,626,291.0","3,699,818.0","3,782,706.0","3,869,160.0","3,961,586.0","4,030,076.0","4,055,635.0","4,097,175.0","4,123,916.0","4,226,972.0","4,303,038.0","4,333,493.0","4,332,411.0","4,355,274.0","4,395,033.0","4,440,163.0","4,479,120.0","4,590,521.0","4,662,634.0","4,696,170.0","4,789,084.0","4,779,774.0","4,884,656.0","4,916,471.0","5,065,380.0","5,110,742.0","5,231,465.0","5,316,116.0","5,416,986.0","5,461,970.0","5,517,735.0","5,626,139.0","5,692,843.0","5,793,911.0","5,919,226.0","5,992,491.0","6,107,602.0","6,218,547.0","6,310,373.0","6,454,367.0","6,568,718.0","6,647,173.0","6,763,517.0","6,892,427.0","6,970,122.0","7,087,270.0","7,137,567.0","7,218,955.0","7,380,096.0","7,611,564.0","7,687,823.0","7,802,770.0","7,815,611.0"
"23","4","    Agriculture, forestry, and fishing","B424RC1","64,572.0","65,138.0","66,867.0","69,795.0","74,100.0","68,648.0","71,250.0","60,460.0","79,649.0","76,552.0","75,760.0","79,486.0","84,460.0","83,800.0","83,556.0","81,534.0","77,653.0","78,633.0","75,227.0","79,677.0","84,368.0","87,202.0","87,617.0","83,229.0","76,471.0","81,967.0","72,476.0","86,807.0","94,550.0","91,612.0","88,473.0","84,982.0","77,773.0","76,438.0","80,180.0","88,130.0","96,891.0","105,477.0","95,719.0","98,689.0","102,484.0","93,768.0","98,566.0","96,671.0","92,498.0","90,863.0","90,085.0","96,387.0","95,592.0","90,439.0","88,179.0","88,819.0","90,864.0","97,863.0","97,906.0","98,246.0"
