"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"29","8","    Gross domestic purchases","A712RX1","4,821,778.0","4,815,746.0","4,983,714.0","5,255,383.0","5,509,168.0","5,440,629.0","5,383,104.0","5,732,844.0","6,036,441.0","6,365,739.0","6,524,813.0","6,403,869.0","6,578,771.0","6,491,975.0","6,876,605.0","7,473,767.0","7,811,237.0","8,100,330.0","8,359,283.0","8,634,912.0","8,903,196.0","9,036,045.0","8,974,109.0","9,295,324.0","9,600,756.0","10,023,213.0","10,280,205.0","10,681,642.0","11,188,569.0","11,807,073.0","12,462,127.0","13,057,851.0","13,208,495.0","13,518,391.0","13,938,467.0","14,531,663.0","15,040,258.0","15,431,643.0","15,606,796.0","15,399,898.0","14,814,175.0","15,244,934.0","15,483,876.0","15,824,636.0","16,131,049.0"
"30","9","    Final sales to domestic purchasers \2\","A713RX1","4,807,532.0","4,835,492.0","4,977,460.0","5,247,859.0","5,477,716.0","5,423,143.0","5,432,790.0","5,709,473.0","6,000,581.0","6,324,278.0","6,509,061.0","6,444,875.0","6,548,124.0","6,546,961.0","6,915,234.0","7,385,567.0","7,799,878.0","8,113,338.0","8,340,618.0","8,627,947.0","8,882,792.0","9,034,060.0","8,994,549.0","9,291,525.0","9,591,164.0","9,956,043.0","10,257,260.0","10,657,727.0","11,110,255.0","11,734,214.0","12,391,947.0","12,994,008.0","13,257,335.0","13,499,583.0","13,917,421.0","14,461,256.0","14,975,753.0","15,361,009.0","15,570,193.0","15,435,784.0","14,961,745.0","15,183,617.0","15,442,532.0","15,760,130.0","16,057,889.0"
"31",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10","    Command-basis gross domestic product","C191RX1","4,822,329.0","4,827,401.0","4,979,907.0","5,234,862.0","5,518,147.0","5,432,439.0","5,427,816.0","5,720,641.0","5,963,704.0","6,291,006.0","6,462,451.0","6,366,421.0","6,541,231.0","6,448,073.0","6,775,286.0","7,282,760.0","7,605,687.0","7,867,208.0","8,119,003.0","8,459,486.0","8,769,510.0","8,919,480.0","8,933,436.0","9,246,765.0","9,511,013.0","9,898,700.0","10,161,724.0","10,556,862.0","11,057,468.0","11,599,339.0","12,139,656.0","12,597,162.0","12,765,214.0","13,012,735.0","13,354,110.0","13,834,129.0","14,255,447.0","14,618,565.0","14,868,428.0","14,682,793.0","14,418,738.0","14,739,288.0","14,925,414.0","15,286,026.0","15,655,647.0"
"33","11","    Command-basis net domestic product \1\","C362RX1","4,385,847.0","4,364,560.0","4,500,494.0","4,739,547.0","4,998,347.0","4,878,748.0","4,849,650.0","5,129,683.0","5,350,350.0","5,651,929.0","5,785,070.0","5,642,453.0","5,786,070.0","5,648,472.0","5,953,043.0","6,433,342.0","6,706,608.0","6,918,314.0","7,119,740.0","7,416,631.0","7,682,375.0","7,786,588.0","7,760,832.0","8,044,837.0","8,272,391.0","8,618,954.0","8,828,540.0","9,165,382.0","9,595,854.0","10,051,399.0","10,492,624.0","10,846,051.0","10,924,557.0","11,108,547.0","11,392,154.0","11,804,027.0","12,145,902.0","12,424,107.0","12,593,124.0","12,343,826.0","12,050,358.0","12,357,857.0","12,514,254.0","12,831,516.0","13,150,434.0"
"34","12","    Command-basis gross national product","CB22RX1","4,851,243.0","4,856,085.0","5,012,293.0","5,269,796.0","5,566,891.0","5,486,875.0","5,469,608.0","5,771,970.0","6,021,719.0","6,348,617.0","6,540,848.0","6,442,451.0","6,608,324.0","6,518,453.0","6,844,349.0","7,348,167.0","7,650,069.0","7,896,271.0","8,148,156.0","8,495,976.0","8,807,934.0","8,971,228.0","8,979,140.0","9,290,709.0","9,555,255.0","9,931,022.0","10,199,853.0","10,598,283.0","11,088,426.0","11,622,609.0","12,173,750.0","12,642,490.0","12,827,471.0","13,070,344.0","13,431,972.0","13,934,583.0","14,356,229.0","14,689,886.0","14,997,399.0","14,854,385.0","14,569,786.0","14,942,158.0","15,162,635.0","15,501,050.0","15,865,093.0"
"35","13","    Command-basis net national product \1\","C027RX1","4,415,812.0","4,394,272.0","4,534,038.0","4,775,714.0","5,048,787.0","4,935,142.0","4,893,101.0","5,183,081.0","5,410,746.0","5,711,969.0","5,866,769.0","5,721,618.0","5,855,978.0","5,721,844.0","6,024,777.0","6,501,085.0","6,752,459.0","6,948,333.0","7,149,798.0","7,454,222.0","7,721,872.0","7,839,630.0","7,807,588.0","8,089,646.0","8,317,445.0","8,651,848.0","8,867,353.0","9,207,452.0","9,627,241.0","10,074,960.0","10,527,090.0","10,891,816.0","10,987,314.0","11,166,500.0","11,470,304.0","11,904,773.0","12,247,086.0","12,495,770.0","12,722,610.0","12,515,678.0","12,201,406.0","12,560,143.0","12,750,454.0","13,045,513.0","13,359,052.0"
"36",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","14","    Disposable personal income","A067RX1","3,264,449.0","3,413,240.0","3,570,368.0","3,741,152.0","3,968,594.0","3,923,596.0","4,020,036.0","4,143,963.0","4,274,827.0","4,470,485.0","4,557,845.0","4,590,528.0","4,705,578.0","4,803,340.0","4,971,027.0","5,314,034.0","5,476,155.0","5,687,787.0","5,811,028.0","6,083,851.0","6,268,682.0","6,393,465.0","6,438,418.0","6,714,201.0","6,823,554.0","7,010,697.0","7,245,757.0","7,476,111.0","7,751,271.0","8,208,143.0","8,477,739.0","8,902,216.0","9,148,727.0","9,431,593.0","9,690,066.0","10,035,654.0","10,189,365.0","10,595,367.0","10,820,564.0","10,987,280.0","10,942,527.0","11,055,131.0","11,331,222.0","11,676,216.0","11,650,791.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
