"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","15,190.0","14,372.0","11,658.0","9,056.0","7,670.0","7,046.0","8,145.0","8,939.0","10,916.0","9,896.0","10,674.0","9,347.0","10,628.0","9,784.0","9,573.0","10,280.0","9,726.0","11,111.0","14,507.0","17,269.0","16,724.0","18,471.0","22,239.0","22,827.0","22,261.0","23,552.0","26,305.0","28,628.0","30,113.0","26,747.0","28,621.0","32,216.0","34,615.0","37,820.0","40,960.0","44,636.0","47,280.0","46,810.0","48,862.0","54,233.0","60,279.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","4,881.0","4,553.0","3,777.0","2,778.0","2,480.0","2,623.0","2,860.0","4,681.0","4,917.0","3,680.0","4,146.0","4,210.0","3,840.0","3,448.0","4,132.0","4,603.0","5,104.0","3,978.0","4,080.0","4,466.0","5,080.0","5,578.0","6,106.0","6,218.0","6,587.0","6,630.0","7,276.0","7,571.0","7,803.0","7,962.0","9,361.0","10,851.0","10,895.0","11,019.0","12,163.0","13,501.0","14,749.0","16,400.0","17,462.0","20,320.0","27,091.0"
"22","4","Equals: Gross national product","A001RX1","1,066,782.0","976,305.0","912,870.0","794,755.0","783,969.0","867,458.0","945,113.0","1,065,987.0","1,121,560.0","1,084,837.0","1,171,206.0","1,272,835.0","1,498,931.0","1,780,910.0","2,082,928.0","2,249,136.0","2,226,590.0","1,971,210.0","1,952,479.0","2,035,202.0","2,023,092.0","2,199,568.0","2,378,705.0","2,475,440.0","2,590,177.0","2,576,659.0","2,761,000.0","2,821,256.0","2,881,282.0","2,857,279.0","3,053,666.0","3,133,298.0","3,214,930.0","3,412,990.0","3,562,312.0","3,768,350.0","4,012,619.0","4,273,404.0","4,390,768.0","4,607,084.0","4,749,731.0"
"23","5","Less: Consumption of fixed capital","A262RX1","102,315.0","104,720.0","104,817.0","102,509.0","100,109.0","98,458.0","98,953.0","100,716.0","103,938.0","105,748.0","107,182.0","109,933.0","116,580.0","130,287.0","151,500.0","176,113.0","191,927.0","194,648.0","192,275.0","192,640.0","194,856.0","198,785.0","206,441.0","216,966.0","229,580.0","241,645.0","252,649.0","263,997.0","275,703.0","288,744.0","298,205.0","307,574.0","319,378.0","333,060.0","348,830.0","365,662.0","385,542.0","408,844.0","432,980.0","456,683.0","480,649.0"
"24","6","  Private","A024RX1","99,019.0","100,998.0","100,408.0","97,390.0","94,360.0","92,147.0","92,071.0","93,107.0","95,730.0","96,779.0","97,422.0","99,381.0","102,796.0","103,721.0","101,289.0","99,925.0","100,746.0","105,984.0","114,928.0","124,119.0","131,607.0","138,686.0","145,623.0","151,260.0","158,192.0","165,379.0","173,216.0","181,618.0","189,776.0","199,042.0","204,305.0","208,963.0","215,899.0","223,947.0","233,957.0","245,292.0","260,132.0","277,795.0","295,067.0","312,102.0","330,672.0"
"25","7","  Government","A264RX1","9,219.0","9,755.0","10,399.0","10,947.0","11,396.0","11,774.0","12,290.0","13,017.0","13,734.0","14,517.0","15,312.0","16,198.0","19,536.0","31,954.0","55,712.0","82,970.0","99,470.0","96,535.0","83,816.0","73,664.0","67,375.0","63,405.0","63,900.0","69,336.0","75,657.0","81,026.0","84,338.0","87,365.0","91,111.0","95,068.0","99,726.0","105,023.0","110,384.0","116,572.0","122,805.0","128,675.0","133,868.0","139,629.0","146,820.0","153,790.0","159,198.0"
"26","8","    General government","A265RX1","7,575.0","7,995.0","8,512.0","8,938.0","9,308.0","9,638.0","10,101.0","10,732.0","11,328.0","11,987.0","12,649.0","13,389.0","16,535.0","28,530.0","51,547.0","78,009.0","94,097.0","91,227.0","78,809.0","68,802.0","62,537.0","58,483.0","58,803.0","63,895.0","69,906.0","74,965.0","78,021.0","80,773.0","84,213.0","87,856.0","92,145.0","97,004.0","101,907.0","107,607.0","113,360.0","118,740.0","123,432.0","128,667.0","135,272.0","141,596.0","146,374.0"
"27","9","    Government enterprises","A266RX1","2,176.0","2,339.0","2,515.0","2,688.0","2,790.0","2,847.0","2,904.0","3,020.0","3,180.0","3,341.0","3,516.0","3,707.0","3,872.0","3,956.0","3,982.0","3,980.0","3,938.0","3,955.0","3,999.0","4,143.0","4,302.0","4,530.0","4,743.0","5,032.0","5,254.0","5,503.0","5,739.0","6,006.0","6,293.0","6,584.0","6,926.0","7,341.0","7,778.0","8,231.0","8,671.0","9,136.0","9,635.0","10,148.0","10,699.0","11,330.0","11,979.0"
"28","10","Equals: Net national product","A027RX1","974,362.0","880,182.0","815,686.0","697,920.0","689,554.0","776,751.0","855,603.0","977,177.0","1,030,445.0","990,529.0","1,077,829.0","1,179,347.0","1,404,736.0","1,679,190.0","1,965,074.0","2,106,087.0","2,063,225.0","1,797,574.0","1,781,114.0","1,866,155.0","1,850,828.0","2,028,904.0","2,205,141.0","2,292,041.0","2,394,941.0","2,365,219.0","2,542,577.0","2,590,387.0","2,637,342.0","2,594,875.0","2,787,040.0","2,857,611.0","2,927,090.0","3,115,206.0","3,249,953.0","3,442,207.0","3,670,192.0","3,910,938.0","4,002,143.0","4,196,348.0","4,314,043.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","1,049,181.0","971,306.0","896,213.0","784,615.0","771,300.0","857,401.0","941,995.0","1,045,794.0","1,115,119.0","1,069,343.0","1,147,604.0","1,252,982.0","1,486,647.0","1,781,460.0","2,092,517.0","2,214,291.0","2,180,667.0","1,950,327.0","1,917,382.0","2,021,882.0","1,996,215.0","2,174,965.0","2,336,736.0","2,438,946.0","2,546,493.0","2,538,025.0","2,725,522.0","2,810,254.0","2,858,598.0","2,831,780.0","3,030,133.0","3,116,497.0","3,193,622.0","3,383,635.0","3,538,810.0","3,734,068.0","3,972,602.0","4,212,384.0","4,338,032.0","4,553,774.0","4,705,055.0"
"31","12","  Gross national income \2\","A023RX1","1,059,384.0","981,005.0","904,241.0","791,215.0","776,971.0","862,671.0","948,106.0","1,051,171.0","1,122,094.0","1,076,539.0","1,155,123.0","1,259,679.0","1,495,230.0","1,790,625.0","2,101,689.0","2,223,955.0","2,189,201.0","1,960,664.0","1,930,339.0","2,037,226.0","2,010,377.0","2,190,382.0","2,355,354.0","2,458,279.0","2,565,284.0","2,557,738.0","2,747,443.0","2,834,147.0","2,883,565.0","2,853,617.0","3,052,881.0","3,141,140.0","3,220,464.0","3,413,389.0","3,570,668.0","3,768,449.0","4,008,545.0","4,246,704.0","4,373,467.0","4,591,733.0","4,742,294.0"
"32","13","  Net domestic product","A362RX1","963,930.0","870,370.0","807,534.0","691,305.0","683,815.0","771,436.0","849,408.0","971,582.0","1,023,304.0","983,213.0","1,070,077.0","1,172,472.0","1,395,802.0","1,669,761.0","1,955,597.0","2,096,084.0","2,054,265.0","1,787,160.0","1,767,864.0","1,850,619.0","1,836,423.0","2,013,000.0","2,185,979.0","2,272,249.0","2,375,738.0","2,345,002.0","2,520,117.0","2,566,027.0","2,611,772.0","2,572,550.0","2,763,939.0","2,832,555.0","2,899,752.0","3,084,663.0","3,217,364.0","3,407,140.0","3,633,436.0","3,875,747.0","3,965,909.0","4,157,548.0","4,276,100.0"
"33","14","  Net domestic income \3\","W256RX1","956,391.0","875,125.0","798,799.0","687,650.0","676,693.0","766,530.0","852,453.0","956,462.0","1,023,974.0","974,619.0","1,053,593.0","1,158,941.0","1,392,040.0","1,679,876.0","1,974,952.0","2,070,020.0","2,015,965.0","1,776,364.0","1,744,959.0","1,852,688.0","1,823,221.0","2,003,615.0","2,161,836.0","2,254,383.0","2,349,859.0","2,325,470.0","2,506,038.0","2,579,362.0","2,614,147.0","2,568,855.0","2,763,024.0","2,840,648.0","2,905,503.0","3,085,077.0","3,225,993.0","3,407,228.0","3,629,078.0","3,848,053.0","3,948,133.0","4,141,719.0","4,268,334.0"
"34","15","  Net domestic purchases","W367RX1","983,715.0","891,044.0","828,755.0","711,131.0","704,350.0","792,039.0","880,109.0","1,003,813.0","1,052,051.0","1,000,379.0","1,088,924.0","1,187,801.0","1,426,567.0","1,728,378.0","2,045,740.0","2,190,848.0","2,131,715.0","1,768,858.0","1,727,198.0","1,856,002.0","1,839,819.0","2,047,553.0","2,205,339.0","2,307,499.0","2,430,740.0","2,388,711.0","2,568,425.0","2,604,804.0","2,644,427.0","2,630,685.0","2,826,586.0","2,874,258.0","2,941,274.0","3,137,760.0","3,265,459.0","3,446,481.0","3,689,705.0","3,949,869.0","4,051,868.0","4,261,878.0","4,385,195.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
