"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","57,944.0","59,471.0","61,258.0","62,443.0","63,710.0","64,098.0","62,918.0","58,580.0","62,275.0","64,949.0","63,598.0","66,709.0","67,881.0","69,683.0","73,204.0","75,497.0","86,297.0","93,625.0","103,412.0","104,925.0","117,002.0","117,370.0","114,604.0","106,043.0","96,353.0","93,725.0","97,077.0","103,818.0","105,231.0","106,783.0","106,083.0","106,511.0","113,112.0","114,461.0","116,060.0","113,609.0","125,493.0","122,608.0","130,688.0","148,624.0","156,455.0","170,558.0","191,163.0","199,565.0","208,672.0","194,409.0","178,840.0","182,109.0","193,793.0","199,658.0","208,554.0","205,990.0","206,719.0","222,975.0","208,276.0","197,036.0","189,196.0","197,304.0","208,297.0","215,440.0","223,129.0","237,457.0","243,537.0","232,009.0","212,103.0","213,514.0","203,921.0","208,544.0","212,644.0","204,196.0","197,199.0","192,492.0","199,241.0","213,392.0","219,387.0","230,497.0","249,249.0","248,384.0","257,449.0","270,918.0","281,478.0","291,716.0","287,890.0","288,948.0","289,498.0","287,623.0","284,289.0","306,979.0","281,012.0","251,390.0","240,098.0","231,965.0","226,872.0","228,692.0","215,635.0","212,087.0","216,741.0","218,954.0","222,366.0","222,711.0","231,143.0","244,589.0","263,152.0","281,638.0","301,208.0","313,607.0","309,761.0","317,241.0","320,912.0","318,193.0","325,503.0","342,526.0","353,738.0","369,680.0","372,781.0","364,896.0","376,222.0","379,992.0","364,529.0","363,048.0","378,884.0","397,026.0","420,086.0","441,025.0","455,130.0","481,084.0","470,459.0","495,108.0","442,576.0","411,552.0","376,781.0","353,714.0","362,457.0","377,221.0","395,083.0","379,599.0","393,341.0","406,422.0","418,140.0","450,820.0","485,234.0","499,458.0","520,228.0","548,162.0","599,274.0","611,930.0","638,282.0","675,327.0","710,073.0","765,255.0","786,447.0","812,101.0","836,953.0","898,843.0","938,224.0","936,879.0","914,647.0","898,246.0","866,106.0","745,150.0","638,808.0","624,907.0","654,315.0","677,557.0","628,753.0","641,693.0","647,224.0","670,577.0","677,459.0","694,377.0","708,099.0","699,185.0","695,863.0","679,248.0","676,327.0","685,306.0","676,339.0","687,037.0","692,240.0","704,401.0","694,169.0","....."
"22","3","Less: Income payments to the rest of the world","A655RX1","23,263.0","25,920.0","29,033.0","30,149.0","30,525.0","29,831.0","29,203.0","27,823.0","25,921.0","26,542.0","28,796.0","29,942.0","29,564.0","31,872.0","32,209.0","34,636.0","38,941.0","42,935.0","44,278.0","45,306.0","46,956.0","50,838.0","53,851.0","53,700.0","52,480.0","49,692.0","49,497.0","47,223.0","50,208.0","49,621.0","48,408.0","47,491.0","45,756.0","48,409.0","50,614.0","55,311.0","57,951.0","66,023.0","68,867.0","77,408.0","83,276.0","88,488.0","93,212.0","101,948.0","108,999.0","102,377.0","92,439.0","110,752.0","117,584.0","127,228.0","131,648.0","120,531.0","125,400.0","131,868.0","130,500.0","122,386.0","115,663.0","119,077.0","128,272.0","132,397.0","145,592.0","159,029.0","165,610.0","162,327.0","157,133.0","155,974.0","156,144.0","155,603.0","165,485.0","169,590.0","159,104.0","165,802.0","169,311.0","177,150.0","184,082.0","192,056.0","201,732.0","204,972.0","218,713.0","228,330.0","239,802.0","251,679.0","244,214.0","235,607.0","239,015.0","234,767.0","239,379.0","227,974.0","219,915.0","207,375.0","201,713.0","181,968.0","177,686.0","180,590.0","171,799.0","166,883.0","160,981.0","172,575.0","168,261.0","190,356.0","189,259.0","208,873.0","229,703.0","249,671.0","256,880.0","265,950.0","280,945.0","273,077.0","267,938.0","276,285.0","287,905.0","297,759.0","319,932.0","326,054.0","339,121.0","340,152.0","339,880.0","347,519.0","349,052.0","344,441.0","348,944.0","360,535.0","387,278.0","395,655.0","414,573.0","436,699.0","431,905.0","426,197.0","391,114.0","349,466.0","342,722.0","243,301.0","299,280.0","336,683.0","337,629.0","302,444.0","333,011.0","329,905.0","341,915.0","344,023.0","358,192.0","401,938.0","411,238.0","468,600.0","482,705.0","508,397.0","524,326.0","593,465.0","626,206.0","687,108.0","722,656.0","737,313.0","761,713.0","801,183.0","781,900.0","734,383.0","728,887.0","710,478.0","663,324.0","621,996.0","509,346.0","499,737.0","475,135.0","507,178.0","444,891.0","456,278.0","467,364.0","477,976.0","475,331.0","491,807.0","485,131.0","462,437.0","489,344.0","480,107.0","490,899.0","491,527.0","497,535.0","503,395.0","495,943.0","498,537.0","515,628.0","....."
"23","4","Equals: Gross national product","A001RX1","4,730,429.0","4,744,323.0","4,772,446.0","4,751,727.0","4,744,137.0","4,753,504.0","4,794,891.0","4,743,271.0","4,874,753.0","4,904,225.0","4,938,896.0","4,954,963.0","5,044,728.0","5,160,192.0","5,210,331.0","5,296,011.0","5,431,254.0","5,495,228.0","5,473,295.0","5,524,216.0","5,488,280.0","5,499,092.0","5,440,943.0","5,411,720.0","5,339,213.0","5,380,347.0","5,471,891.0","5,553,488.0","5,676,189.0","5,720,701.0","5,750,050.0","5,794,104.0","5,868,683.0","5,981,379.0","6,085,501.0","6,079,307.0","6,108,770.0","6,333,413.0","6,399,639.0","6,493,188.0","6,507,568.0","6,523,477.0","6,584,442.0","6,600,597.0","6,623,296.0","6,483,891.0","6,469,338.0","6,572,962.0","6,711,937.0","6,659,451.0","6,739,159.0","6,669,842.0","6,555,427.0","6,599,695.0","6,563,728.0","6,567,461.0","6,651,848.0","6,806,438.0","6,939,692.0","7,084,032.0","7,217,669.0","7,343,597.0","7,414,455.0","7,465,413.0","7,525,407.0","7,596,338.0","7,704,576.0","7,766,990.0","7,832,762.0","7,856,543.0","7,939,000.0","7,968,891.0","8,027,406.0","8,123,037.0","8,195,356.0","8,332,949.0","8,388,111.0","8,494,406.0","8,538,457.0","8,654,622.0","8,740,466.0","8,807,120.0","8,876,235.0","8,904,357.0","8,998,489.0","9,035,457.0","9,029,943.0","8,986,622.0","8,927,476.0","8,979,818.0","9,017,308.0","9,067,921.0","9,173,710.0","9,273,275.0","9,358,890.0","9,453,640.0","9,481,572.0","9,528,347.0","9,582,205.0","9,687,922.0","9,791,948.0","9,918,968.0","9,974,794.0","10,086,032.0","10,132,487.0","10,170,942.0","10,238,970.0","10,326,632.0","10,402,803.0","10,572,617.0","10,665,734.0","10,785,039.0","10,855,962.0","11,028,887.0","11,158,914.0","11,236,495.0","11,358,846.0","11,464,841.0","11,597,763.0","11,791,013.0","11,896,115.0","12,000,359.0","12,147,227.0","12,369,846.0","12,400,794.0","12,637,957.0","12,647,405.0","12,748,958.0","12,695,928.0","12,773,596.0","12,705,911.0","12,816,317.0","12,886,832.0","12,935,232.0","13,014,601.0","13,042,332.0","13,092,819.0","13,229,732.0","13,449,743.0","13,636,236.0","13,733,956.0","13,804,462.0","13,940,353.0","14,030,599.0","14,215,858.0","14,276,463.0","14,405,805.0","14,455,308.0","14,629,889.0","14,667,393.0","14,665,986.0","14,791,136.0","14,800,512.0","14,935,278.0","15,093,672.0","15,193,451.0","15,074,472.0","15,150,625.0","15,094,458.0","14,699,662.0","14,504,239.0","14,480,604.0","14,581,715.0","14,712,587.0","14,790,042.0","14,932,906.0","15,026,350.0","15,133,776.0","15,086,527.0","15,195,087.0","15,249,120.0","15,433,233.0","15,484,571.0","15,538,079.0","15,617,490.0","15,629,059.0","15,717,192.0","15,790,582.0","15,977,640.0","16,124,269.0","16,009,760.0","....."
"24","5","Less: Consumption of fixed capital","A262RX1","472,039.0","477,850.0","483,596.0","489,110.0","494,299.0","499,293.0","504,108.0","508,453.0","512,619.0","516,769.0","521,065.0","525,234.0","529,905.0","535,194.0","541,348.0","548,177.0","555,614.0","562,773.0","569,499.0","575,980.0","582,160.0","587,873.0","593,286.0","598,285.0","602,722.0","607,199.0","611,613.0","616,009.0","620,434.0","625,332.0","630,556.0","636,376.0","642,642.0","649,180.0","656,056.0","663,210.0","670,472.0","678,282.0","686,405.0","694,932.0","703,908.0","712,752.0","721,313.0","729,621.0","737,736.0","745,582.0","753,075.0","760,319.0","767,191.0","774,407.0","781,904.0","789,721.0","797,871.0","805,521.0","812,658.0","819,342.0","825,538.0","832,383.0","839,812.0","847,955.0","856,774.0","866,589.0","877,504.0","889,523.0","902,600.0","915,304.0","927,564.0","939,366.0","950,663.0","962,147.0","973,789.0","985,641.0","997,619.0","1,009,316.0","1,020,694.0","1,031,777.0","1,042,552.0","1,053,426.0","1,064,351.0","1,075,392.0","1,086,526.0","1,097,566.0","1,108,520.0","1,119,400.0","1,130,233.0","1,140,413.0","1,149,973.0","1,158,888.0","1,167,176.0","1,175,227.0","1,183,081.0","1,190,692.0","1,198,078.0","1,205,894.0","1,214,244.0","1,223,060.0","1,232,367.0","1,241,985.0","1,251,881.0","1,261,963.0","1,272,373.0","1,283,426.0","1,295,202.0","1,307,649.0","1,320,762.0","1,334,137.0","1,347,814.0","1,361,745.0","1,375,929.0","1,390,939.0","1,406,765.0","1,423,420.0","1,440,908.0","1,459,330.0","1,479,181.0","1,500,449.0","1,523,129.0","1,545,253.0","1,566,722.0","1,587,498.0","1,607,599.0","1,633,802.0","1,666,514.0","1,705,864.0","1,702,551.0","1,742,706.0","1,775,887.0","1,800,606.0","1,819,749.0","1,834,861.0","1,849,120.0","1,863,835.0","1,881,391.0","1,897,416.0","1,913,376.0","1,928,263.0","1,942,193.0","1,955,587.0","1,970,474.0","1,987,260.0","2,006,109.0","2,022,741.0","2,041,071.0","2,060,643.0","2,081,113.0","2,100,446.0","2,120,879.0","2,141,493.0","2,162,446.0","2,184,226.0","2,205,172.0","2,225,866.0","2,246,831.0","2,266,253.0","2,284,258.0","2,301,211.0","2,315,722.0","2,331,477.0","2,347,010.0","2,359,509.0","2,366,483.0","2,369,224.0","2,369,358.0","2,368,458.0","2,372,718.0","2,378,743.0","2,385,539.0","2,392,536.0","2,400,516.0","2,407,777.0","2,416,502.0","2,426,810.0","2,438,472.0","2,450,675.0","2,461,852.0","2,473,489.0","2,486,468.0","2,499,564.0","2,512,632.0","2,526,066.0","2,539,499.0","2,553,009.0"
"25","6","  Private","A024RX1","323,777.0","328,480.0","333,024.0","337,406.0","341,623.0","345,733.0","349,735.0","353,626.0","357,403.0","361,289.0","365,293.0","369,420.0","373,678.0","378,699.0","384,455.0","390,887.0","397,910.0","404,482.0","410,688.0","416,593.0","422,236.0","427,455.0","432,235.0","436,562.0","440,424.0","444,221.0","447,954.0","451,626.0","455,238.0","459,296.0","463,803.0","468,763.0","474,181.0","479,828.0","485,705.0","491,814.0","498,156.0","504,843.0","511,878.0","519,263.0","527,000.0","534,481.0","541,704.0","548,668.0","555,372.0","561,766.0","567,847.0","573,611.0","579,054.0","584,757.0","590,726.0","596,965.0","603,483.0","609,469.0","614,917.0","619,822.0","624,181.0","629,051.0","634,437.0","640,347.0","646,787.0","654,094.0","662,278.0","671,354.0","681,334.0","690,825.0","699,818.0","708,304.0","716,274.0","724,403.0","732,694.0","741,150.0","749,775.0","758,188.0","766,385.0","774,363.0","782,118.0","790,056.0","798,179.0","806,488.0","814,985.0","823,412.0","831,765.0","840,042.0","848,239.0","855,948.0","863,161.0","869,872.0","876,071.0","882,174.0","888,183.0","894,097.0","899,916.0","906,298.0","913,247.0","920,771.0","928,876.0","937,345.0","946,180.0","955,386.0","964,967.0","975,224.0","986,170.0","997,816.0","1,010,175.0","1,022,748.0","1,035,538.0","1,048,547.0","1,061,778.0","1,075,763.0","1,090,511.0","1,106,034.0","1,122,343.0","1,139,820.0","1,158,492.0","1,178,387.0","1,199,532.0","1,220,008.0","1,239,767.0","1,258,756.0","1,276,922.0","1,301,169.0","1,331,759.0","1,368,995.0","1,364,186.0","1,402,075.0","1,433,179.0","1,455,933.0","1,473,134.0","1,486,367.0","1,498,727.0","1,511,630.0","1,527,349.0","1,541,400.0","1,555,176.0","1,567,768.0","1,579,625.0","1,590,509.0","1,602,805.0","1,616,827.0","1,632,863.0","1,646,636.0","1,662,035.0","1,678,647.0","1,696,123.0","1,712,433.0","1,729,807.0","1,747,251.0","1,765,078.0","1,783,594.0","1,801,259.0","1,818,673.0","1,836,279.0","1,852,345.0","1,866,973.0","1,880,537.0","1,891,587.0","1,903,838.0","1,915,714.0","1,924,464.0","1,927,627.0","1,927,275.0","1,925,083.0","1,922,622.0","1,923,216.0","1,925,957.0","1,929,824.0","1,934,303.0","1,939,833.0","1,944,830.0","1,951,436.0","1,959,803.0","1,969,742.0","1,980,522.0","1,990,557.0","2,001,337.0","2,013,717.0","2,025,965.0","2,037,856.0","2,049,825.0","2,061,519.0","2,073,228.0"
"26","7","  Government","A264RX1","157,526.0","158,594.0","159,780.0","160,894.0","161,831.0","162,674.0","163,443.0","163,809.0","164,109.0","164,260.0","164,439.0","164,326.0","164,638.0","164,775.0","165,045.0","165,294.0","165,539.0","165,992.0","166,385.0","166,862.0","167,324.0","167,751.0","168,347.0","168,989.0","169,523.0","170,168.0","170,814.0","171,513.0","172,318.0","173,136.0","173,794.0","174,595.0","175,360.0","176,161.0","177,070.0","178,017.0","178,805.0","179,810.0","180,754.0","181,738.0","182,811.0","184,043.0","185,256.0","186,492.0","187,820.0","189,213.0","190,576.0","192,036.0","193,451.0","194,955.0","196,464.0","198,016.0","199,622.0","201,294.0","203,021.0","204,876.0","206,822.0","208,906.0","211,044.0","213,378.0","215,858.0","218,451.0","221,266.0","224,291.0","227,459.0","230,777.0","234,176.0","237,649.0","241,158.0","244,696.0","248,224.0","251,798.0","255,314.0","258,758.0","262,093.0","265,351.0","268,521.0","271,586.0","274,488.0","277,300.0","279,993.0","282,663.0","285,322.0","287,987.0","290,695.0","293,230.0","295,641.0","297,911.0","300,068.0","302,066.0","303,951.0","305,669.0","307,242.0","308,644.0","309,988.0","311,191.0","312,276.0","313,293.0","314,199.0","314,891.0","315,525.0","316,104.0","316,704.0","317,259.0","317,750.0","318,295.0","318,932.0","319,608.0","320,318.0","321,099.0","321,922.0","322,794.0","323,705.0","324,331.0","325,195.0","326,251.0","327,462.0","328,828.0","330,292.0","331,862.0","333,608.0","335,258.0","336,995.0","338,668.0","340,369.0","342,152.0","343,919.0","345,722.0","347,542.0","349,324.0","351,139.0","352,869.0","354,609.0","356,523.0","358,658.0","360,922.0","362,954.0","365,464.0","368,044.0","370,785.0","373,552.0","376,398.0","379,298.0","382,216.0","385,157.0","388,143.0","391,155.0","394,282.0","397,358.0","400,570.0","403,816.0","407,066.0","410,400.0","413,749.0","417,132.0","420,531.0","424,017.0","427,542.0","431,224.0","435,006.0","438,850.0","441,954.0","444,277.0","445,833.0","449,487.0","452,748.0","455,653.0","458,151.0","460,585.0","462,831.0","464,939.0","466,878.0","468,611.0","470,058.0","471,228.0","472,121.0","472,768.0","473,656.0","474,862.0","476,349.0","478,104.0","479,918.0"
"27","8","    General government","A265RX1","144,910.0","145,848.0","146,887.0","147,851.0","148,659.0","149,359.0","149,971.0","150,229.0","150,394.0","150,423.0","150,450.0","150,240.0","150,377.0","150,395.0","150,482.0","150,613.0","150,674.0","150,949.0","151,180.0","151,485.0","151,764.0","152,049.0","152,456.0","152,931.0","153,296.0","153,804.0","154,279.0","154,817.0","155,479.0","156,125.0","156,637.0","157,318.0","157,956.0","158,623.0","159,393.0","160,198.0","160,861.0","161,717.0","162,515.0","163,346.0","164,238.0","165,285.0","166,319.0","167,357.0","168,494.0","169,682.0","170,856.0","172,114.0","173,321.0","174,621.0","175,926.0","177,267.0","178,670.0","180,137.0","181,667.0","183,319.0","185,060.0","186,928.0","188,870.0","190,990.0","193,237.0","195,604.0","198,179.0","200,940.0","203,841.0","206,872.0","210,015.0","213,204.0","216,445.0","219,726.0","222,985.0","226,295.0","229,554.0","232,748.0","235,824.0","238,815.0","241,739.0","244,552.0","247,201.0","249,772.0","252,204.0","254,616.0","257,000.0","259,403.0","261,835.0","264,096.0","266,225.0","268,214.0","270,097.0","271,805.0","273,401.0","274,842.0","276,122.0","277,229.0","278,281.0","279,183.0","279,962.0","280,688.0","281,320.0","281,762.0","282,150.0","282,506.0","282,876.0","283,207.0","283,495.0","283,836.0","284,256.0","284,710.0","285,201.0","285,747.0","286,328.0","286,932.0","287,597.0","288,090.0","288,758.0","289,571.0","290,507.0","291,552.0","292,687.0","293,899.0","295,272.0","296,523.0","297,902.0","299,223.0","300,542.0","301,973.0","303,412.0","304,898.0","306,434.0","307,915.0","309,427.0","310,851.0","312,289.0","313,871.0","315,648.0","317,523.0","319,133.0","321,226.0","323,369.0","325,673.0","328,003.0","330,429.0","332,936.0","335,481.0","338,084.0","340,746.0","343,448.0","346,262.0","349,061.0","351,974.0","354,930.0","357,896.0","360,934.0","363,990.0","367,070.0","370,174.0","373,359.0","376,572.0","379,935.0","383,385.0","386,880.0","389,648.0","391,626.0","392,861.0","396,144.0","399,068.0","401,655.0","403,863.0","405,923.0","407,861.0","409,683.0","411,406.0","412,959.0","414,237.0","415,249.0","415,986.0","416,485.0","417,204.0","418,217.0","419,477.0","420,976.0","422,569.0"
"28","9","    Government enterprises","A266RX1","11,762.0","11,897.0","12,050.0","12,208.0","12,345.0","12,501.0","12,675.0","12,799.0","12,957.0","13,102.0","13,282.0","13,400.0","13,603.0","13,743.0","13,955.0","14,091.0","14,304.0","14,507.0","14,690.0","14,883.0","15,090.0","15,249.0","15,454.0","15,635.0","15,816.0","15,962.0","16,143.0","16,312.0","16,460.0","16,640.0","16,793.0","16,915.0","17,047.0","17,185.0","17,327.0","17,472.0","17,600.0","17,752.0","17,902.0","18,056.0","18,241.0","18,429.0","18,612.0","18,812.0","19,003.0","19,210.0","19,400.0","19,603.0","19,813.0","20,018.0","20,222.0","20,435.0","20,639.0","20,844.0","21,039.0","21,241.0","21,442.0","21,655.0","21,845.0","22,052.0","22,278.0","22,494.0","22,724.0","22,976.0","23,231.0","23,505.0","23,743.0","24,013.0","24,264.0","24,503.0","24,756.0","25,002.0","25,242.0","25,475.0","25,720.0","25,974.0","26,206.0","26,445.0","26,689.0","26,922.0","27,176.0","27,427.0","27,697.0","27,953.0","28,224.0","28,495.0","28,776.0","29,056.0","29,330.0","29,626.0","29,920.0","30,204.0","30,507.0","30,816.0","31,121.0","31,439.0","31,763.0","32,070.0","32,361.0","32,628.0","32,890.0","33,128.0","33,372.0","33,611.0","33,830.0","34,049.0","34,280.0","34,516.0","34,749.0","34,997.0","35,254.0","35,537.0","35,796.0","35,934.0","36,139.0","36,396.0","36,684.0","37,023.0","37,367.0","37,743.0","38,133.0","38,552.0","38,925.0","39,292.0","39,692.0","40,057.0","40,396.0","40,722.0","41,013.0","41,321.0","41,632.0","41,947.0","42,257.0","42,597.0","42,962.0","43,361.0","43,798.0","44,222.0","44,669.0","45,114.0","45,558.0","45,981.0","46,376.0","46,750.0","47,086.0","47,408.0","47,717.0","48,027.0","48,301.0","48,598.0","48,887.0","49,170.0","49,466.0","49,759.0","50,060.0","50,356.0","50,657.0","50,969.0","51,288.0","51,621.0","51,971.0","52,305.0","52,652.0","52,972.0","53,342.0","53,680.0","53,998.0","54,288.0","54,661.0","54,969.0","55,255.0","55,471.0","55,652.0","55,820.0","55,978.0","56,134.0","56,280.0","56,446.0","56,638.0","56,864.0","57,118.0","57,339.0"
"29","10","Equals: Net national product","A027RX1","4,304,802.0","4,311,929.0","4,333,856.0","4,305,586.0","4,291,303.0","4,294,803.0","4,331,613.0","4,272,841.0","4,403,604.0","4,428,920.0","4,459,443.0","4,470,902.0","4,557,924.0","4,670,684.0","4,714,865.0","4,794,960.0","4,925,553.0","4,982,811.0","4,951,819.0","4,996,399.0","4,951,563.0","4,955,611.0","4,888,523.0","4,851,830.0","4,770,767.0","4,807,636.0","4,897,089.0","4,976,253.0","5,098,140.0","5,138,081.0","5,161,823.0","5,200,086.0","5,269,527.0","5,378,303.0","5,477,720.0","5,461,827.0","5,482,959.0","5,706,851.0","5,765,144.0","5,851,420.0","5,854,551.0","5,859,432.0","5,911,666.0","5,917,447.0","5,930,287.0","5,774,234.0","5,749,040.0","5,847,624.0","5,983,572.0","5,919,036.0","5,992,241.0","5,909,202.0","5,778,573.0","5,814,631.0","5,767,569.0","5,762,720.0","5,842,667.0","5,994,729.0","6,123,649.0","6,263,034.0","6,390,336.0","6,508,337.0","6,567,830.0","6,605,354.0","6,650,984.0","6,708,425.0","6,804,983.0","6,854,740.0","6,908,601.0","6,918,838.0","6,989,539.0","7,005,655.0","7,051,219.0","7,135,468.0","7,196,043.0","7,324,332.0","7,367,932.0","7,464,189.0","7,496,180.0","7,602,383.0","7,677,210.0","7,732,379.0","7,790,194.0","7,805,947.0","7,889,653.0","7,915,410.0","7,898,348.0","7,843,335.0","7,772,937.0","7,817,138.0","7,846,368.0","7,889,323.0","7,988,931.0","8,081,619.0","8,159,414.0","8,245,968.0","8,263,810.0","8,300,545.0","8,344,211.0","8,440,522.0","8,534,722.0","8,651,581.0","8,695,115.0","8,794,326.0","8,826,795.0","8,850,836.0","8,904,694.0","8,978,271.0","9,039,859.0","9,195,751.0","9,272,727.0","9,375,400.0","9,428,056.0","9,583,225.0","9,693,295.0","9,748,682.0","9,847,950.0","9,931,255.0","10,042,515.0","10,215,528.0","10,300,111.0","10,377,372.0","10,490,868.0","10,673,826.0","10,708,673.0","10,905,170.0","10,879,297.0","10,955,631.0","10,882,192.0","10,944,465.0","10,861,199.0","10,956,965.0","11,009,710.0","11,041,848.0","11,105,212.0","11,117,827.0","11,154,295.0","11,278,019.0","11,483,527.0","11,653,441.0","11,732,247.0","11,786,050.0","11,903,667.0","11,974,275.0","12,139,277.0","12,180,356.0","12,289,267.0","12,317,781.0","12,471,592.0","12,486,831.0","12,463,870.0","12,568,351.0","12,556,196.0","12,671,603.0","12,812,120.0","12,894,782.0","12,760,275.0","12,820,583.0","12,748,543.0","12,340,038.0","12,137,528.0","12,111,387.0","12,212,491.0","12,344,218.0","12,417,271.0","12,553,835.0","12,640,291.0","12,740,498.0","12,685,610.0","12,786,713.0","12,832,028.0","13,005,401.0","13,045,141.0","13,086,518.0","13,154,700.0","13,154,888.0","13,229,998.0","13,290,314.0","13,463,921.0","13,596,906.0","13,469,531.0","....."
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","4,665,358.0","4,697,627.0","4,732,382.0","4,723,900.0","4,690,448.0","4,690,187.0","4,728,903.0","4,684,518.0","4,777,974.0","4,809,373.0","4,851,025.0","4,912,875.0","4,983,729.0","5,047,580.0","5,129,695.0","5,261,496.0","5,355,438.0","5,384,827.0","5,402,750.0","5,459,534.0","5,417,237.0","5,395,554.0","5,366,976.0","5,303,044.0","5,242,554.0","5,287,015.0","5,393,844.0","5,449,109.0","5,562,535.0","5,597,323.0","5,638,801.0","5,655,937.0","5,707,334.0","5,853,184.0","5,965,671.0","6,000,669.0","6,037,722.0","6,216,812.0","6,257,520.0","6,313,388.0","6,372,367.0","6,338,309.0","6,345,114.0","6,371,657.0","6,376,222.0","6,257,249.0","6,303,417.0","6,463,995.0","6,514,395.0","6,514,956.0","6,605,888.0","6,531,203.0","6,478,301.0","6,504,235.0","6,478,837.0","6,452,108.0","6,524,052.0","6,635,083.0","6,725,838.0","6,879,524.0","7,070,439.0","7,184,666.0","7,263,747.0","7,342,552.0","7,407,482.0","7,461,495.0","7,552,944.0","7,595,715.0","7,673,006.0","7,693,356.0","7,744,500.0","7,805,592.0","7,884,235.0","8,009,358.0","8,129,196.0","8,235,957.0","8,335,519.0","8,432,676.0","8,507,638.0","8,624,956.0","8,681,671.0","8,664,636.0","8,697,800.0","8,704,465.0","8,795,351.0","8,845,347.0","8,836,997.0","8,794,780.0","8,783,328.0","8,806,301.0","8,829,629.0","8,862,661.0","9,017,556.0","9,091,209.0","9,120,143.0","9,209,656.0","9,171,933.0","9,284,927.0","9,300,817.0","9,482,334.0","9,533,464.0","9,683,678.0","9,774,942.0","9,887,438.0","9,933,980.0","9,991,416.0","10,113,965.0","10,178,358.0","10,289,054.0","10,443,814.0","10,542,262.0","10,673,751.0","10,795,952.0","10,923,166.0","11,105,855.0","11,250,900.0","11,371,081.0","11,534,106.0","11,697,943.0","11,805,671.0","11,952,019.0","12,026,153.0","12,137,432.0","12,335,948.0","12,587,749.0","12,657,484.0","12,751,608.0","12,729,029.0","12,876,362.0","12,852,971.0","12,807,259.0","12,742,915.0","12,907,659.0","12,986,883.0","13,003,772.0","13,078,916.0","13,099,567.0","13,221,522.0","13,348,104.0","13,479,072.0","13,581,781.0","13,722,417.0","13,878,831.0","13,948,952.0","14,084,882.0","14,185,814.0","14,310,753.0","14,507,996.0","14,782,801.0","14,805,139.0","14,863,690.0","14,920,195.0","14,882,581.0","14,904,056.0","14,822,358.0","14,816,575.0","14,842,191.0","14,832,428.0","14,767,029.0","14,479,481.0","14,257,785.0","14,259,204.0","14,328,099.0","14,528,344.0","14,547,312.0","14,648,623.0","14,839,486.0","14,904,939.0","14,924,420.0","14,996,076.0","15,093,113.0","15,217,011.0","15,484,862.0","15,509,841.0","15,558,972.0","15,718,383.0","15,774,114.0","15,879,092.0","15,955,389.0","16,027,647.0","16,000,137.0","....."
