"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"56","38","    New","W244RC1",".....",".....",".....",".....","110.0","829.0","-640.0","244.0","1,173.0","237.0","217.0","-2,004.0","-289.0","-293.0","230.0","2,716.0","236.0","398.0","1,631.0","362.0","1,311.0","-1,194.0","-1,734.0","678.0","-491.0","3,245.0","3,140.0","-625.0","3,264.0","-2,375.0","8,413.0","4,577.0","-11,427.0","5,941.0","8,935.0","4,983.0","-119.0","-2,743.0","-2,695.0","-13,218.0","-16,500.0","8,673.0","2,810.0","8,576.0","3,166.0"
"57","39","      Domestic","AB73RC1",".....",".....",".....",".....","51.0","873.0","-604.0","169.0","1,204.0","106.0","271.0","-2,069.0","-240.0","-232.0","434.0","2,530.0","221.0","-220.0","1,778.0","433.0","1,383.0","-838.0","-1,459.0","661.0","25.0","2,964.0","3,414.0","-748.0","2,737.0","-2,277.0","7,975.0","3,689.0","-10,895.0","4,512.0","8,881.0","5,054.0","-764.0","-3,517.0","-2,004.0","-14,254.0","-12,824.0","7,835.0","2,990.0","7,528.0","3,005.0"
"58","40","      Foreign","AB74RC1",".....",".....",".....",".....","59.0","-44.0","-36.0","75.0","-31.0","131.0","-54.0","65.0","-49.0","-61.0","-204.0","186.0","15.0","618.0","-147.0","-71.0","-72.0","-356.0","-275.0","17.0","-515.0","281.0","-274.0","124.0","527.0","-98.0","438.0","887.0","-532.0","1,429.0","54.0","-71.0","645.0","774.0","-691.0","1,036.0","-3,676.0","838.0","-181.0","1,048.0","161.0"
"59","41","    Used \1\","W245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","137.0","65.0","222.0","-431.0","288.0","202.0","65.0","231.0","-134.0","214.0","692.0","979.0","157.0","1,689.0","-672.0","-361.0","831.0","1,930.0","1,693.0","-212.0","599.0","727.0","436.0","726.0","850.0","1,118.0","1,732.0","115.0","-128.0","564.0","1,034.0"
"60",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1","46,726.0","41,183.0","52,087.0","60,072.0","67,349.0","60,753.0","62,490.0","82,510.0","100,675.0","115,095.0","115,891.0","102,497.0","113,314.0","118,885.0","149,139.0","185,955.0","213,180.0","230,137.0","226,634.0","242,293.0","245,337.0","240,072.0","220,785.0","243,192.0","274,062.0","317,516.0","325,730.0","348,057.0","375,700.0","408,439.0","454,660.0","460,554.0","463,653.0","478,476.0","476,629.0","502,043.0","519,364.0","517,881.0","506,905.0","402,969.0","323,314.0","396,130.0","448,063.0","507,898.0","548,365.0"
"62","43","  Private fixed investment in new autos and new light trucks","AB76RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","57,869.0","65,194.0","61,522.0","65,167.0","70,478.0","75,389.0","86,452.0","108,710.0","112,669.0","131,269.0","144,010.0","151,941.0","171,316.0","171,891.0","160,779.0","155,884.0","148,452.0","161,388.0","176,550.0","189,298.0","188,493.0","148,987.0","99,816.0","142,940.0","162,830.0","186,741.0","211,656.0"
"63","44","  Domestic output of new autos \2\","B148RC1","30,181.0","24,042.0","33,172.0","35,329.0","40,008.0","33,289.0","34,029.0","46,616.0","54,817.0","59,012.0","59,173.0","50,870.0","57,670.0","51,488.0","71,784.0","86,787.0","94,992.0","97,035.0","93,722.0","97,390.0","97,470.0","91,504.0","87,652.0","93,287.0","99,165.0","115,630.0","111,440.0","109,644.0","109,031.0","108,760.0","112,439.0","114,491.0","105,911.0","109,420.0","95,528.0","94,703.0","106,423.0","108,187.0","104,569.0","100,474.0","59,868.0","77,225.0","85,379.0","115,285.0","120,731.0"
"64","45","  Sales of imported new autos \3\","B149RC1","5,063.0","5,797.0","7,041.0","7,967.0","9,049.0","8,913.0","10,364.0","11,425.0","14,907.0","16,363.0","19,285.0","21,800.0","24,733.0","28,419.0","33,138.0","38,378.0","44,760.0","54,127.0","53,183.0","57,650.0","53,646.0","54,443.0","48,321.0","51,280.0","54,536.0","56,921.0","55,940.0","55,133.0","59,982.0","66,805.0","77,099.0","82,171.0","80,098.0","85,448.0","82,086.0","84,468.0","86,362.0","95,811.0","99,163.0","88,684.0","73,943.0","85,257.0","95,219.0","105,117.0","110,065.0"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
