"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"21","2","Exports of goods \1\","A253RC1","32,063.0","40,446.0","39,960.0","42,508.0","43,416.0","45,576.0","45,274.0","45,881.0","46,517.0","46,369.0","49,021.0","42,877.0","50,440.0","49,696.0","52,520.0","57,688.0","65,224.0","72,560.0","77,236.0","88,064.0","95,116.0","103,536.0","103,664.0","111,660.0","114,936.0","108,464.0","109,792.0","116,768.0","117,016.0","119,084.0","122,700.0","127,136.0","126,324.0","131,340.0","130,636.0","125,340.0","129,843.0","150,607.0","153,627.0","165,550.0","170,867.0","178,907.0","191,254.0","208,037.0","221,979.0","227,700.0","232,517.0","239,515.0","247,245.0","248,749.0","241,700.0","243,129.0","232,306.0","233,876.0","218,518.0","205,501.0","209,692.0","209,101.0","214,318.0","223,084.0","224,343.0","229,958.0","234,401.0","236,443.0","232,102.0","228,745.0","222,171.0","226,936.0","224,488.0","227,868.0","229,819.0","243,612.0","242,984.0","258,805.0","272,080.0","288,348.0","311,241.0","328,499.0","338,687.0","349,792.0","360,484.0","379,590.0","379,039.0","379,887.0","396,228.0","400,633.0","406,337.0","409,862.0","420,656.0","427,097.0","431,630.0","441,158.0","449,682.0","448,789.0","460,554.0","462,207.0","460,366.0","466,912.0","462,555.0","481,060.0","484,124.0","505,253.0","533,801.0","550,305.0","571,566.0","583,183.0","605,751.0","609,266.0","617,146.0","621,187.0","626,468.0","650,337.0","668,863.0","700,974.0","717,535.0","712,176.0","708,166.0","683,706.0","676,575.0","701,814.0","688,061.0","697,300.0","717,130.0","744,398.0","762,212.0","791,320.0","822,784.0","812,699.0","799,304.0","763,955.0","717,838.0","694,236.0","690,509.0","718,302.0","729,829.0","714,006.0","722,810.0","724,613.0","739,626.0","778,628.0","803,238.0","829,115.0","840,593.0","864,586.0","890,358.0","924,982.0","929,006.0","961,978.0","1,010,027.0","1,040,622.0","1,056,951.0","1,090,674.0","1,111,529.0","1,142,225.0","1,182,860.0","1,229,065.0","1,280,442.0","1,365,182.0","1,375,816.0","1,173,774.0","1,012,084.0","1,010,910.0","1,074,200.0","1,163,272.0","1,208,680.0","1,256,434.0","1,287,987.0","1,365,267.0","1,415,987.0","1,467,674.0","1,487,761.0","1,496,022.0","1,510,105.0","1,530,742.0","1,538,540.0","1,529,204.0","1,528,401.0","1,543,235.0","1,565,655.0","1,613,975.0","1,575,255.0","1,617,066.0"
"22","3","  Foods, feeds, and beverages","B638RC1","3,280.0","5,300.0","4,804.0","5,412.0","5,392.0","5,568.0","6,220.0","6,316.0","6,168.0","5,856.0","6,648.0","5,768.0","6,292.0","7,056.0","7,660.0","9,012.0","12,128.0","14,220.0","15,592.0","18,856.0","19,264.0","18,752.0","17,124.0","19,412.0","21,936.0","16,596.0","18,144.0","20,260.0","19,184.0","19,852.0","20,076.0","20,204.0","20,164.0","21,308.0","18,744.0","18,680.0","21,230.0","28,594.0","27,134.0","25,764.0","24,815.0","28,237.0","33,144.0","35,806.0","32,714.0","34,200.0","38,802.0","39,397.0","42,644.0","38,512.0","37,005.0","37,198.0","34,100.0","36,328.0","30,363.0","27,988.0","31,040.0","30,440.0","33,566.0","33,317.0","33,072.0","32,364.0","31,818.0","31,530.0","26,900.0","24,397.0","22,718.0","24,249.0","24,531.0","22,058.0","23,252.0","24,247.0","21,638.0","23,838.0","28,703.0","26,737.0","30,211.0","33,116.0","36,644.0","35,110.0","37,533.0","38,074.0","34,585.0","34,964.0","36,970.0","36,943.0","34,935.0","31,592.0","34,361.0","34,084.0","36,522.0","37,945.0","39,388.0","39,373.0","41,648.0","40,642.0","40,940.0","41,204.0","39,063.0","40,939.0","40,395.0","39,707.0","42,092.0","47,227.0","47,692.0","49,632.0","54,283.0","51,638.0","56,219.0","58,160.0","55,760.0","53,676.0","52,279.0","51,739.0","50,788.0","53,008.0","50,320.0","46,576.0","43,310.0","47,125.0","43,814.0","45,837.0","47,898.0","46,355.0","46,442.0","47,922.0","49,739.0","47,384.0","49,648.0","49,659.0","49,346.0","48,973.0","48,926.0","49,223.0","50,684.0","49,626.0","52,595.0","53,043.0","55,498.0","58,968.0","56,935.0","56,008.0","55,001.0","58,336.0","57,320.0","60,508.0","58,070.0","59,920.0","61,882.0","64,458.0","67,796.0","69,714.0","74,468.0","77,107.0","87,890.0","97,592.0","108,886.0","116,530.0","115,348.0","92,633.0","86,023.0","95,558.0","93,460.0","100,594.0","103,976.0","96,841.0","106,423.0","123,632.0","127,598.0","127,625.0","125,881.0","123,886.0","119,403.0","132,222.0","147,950.0","132,044.0","135,611.0","124,768.0","133,169.0","151,188.0","143,057.0","142,010.0"
"23","4","  Industrial supplies and materials","A639RC1","8,704.0","12,596.0","12,420.0","12,996.0","13,604.0","14,092.0","13,356.0","13,996.0","13,072.0","12,952.0","13,956.0","10,608.0","14,056.0","12,564.0","13,568.0","15,400.0","16,960.0","18,468.0","20,436.0","23,096.0","26,504.0","30,624.0","31,036.0","31,248.0","31,064.0","28,656.0","28,376.0","29,224.0","30,192.0","30,992.0","32,004.0","33,368.0","32,652.0","34,068.0","34,836.0","31,320.0","32,345.0","36,919.0","40,963.0","43,431.0","46,628.0","50,396.0","55,584.0","60,553.0","66,624.0","71,293.0","68,197.0","65,689.0","68,185.0","63,704.0","63,530.0","67,467.0","66,326.0","63,878.0","59,608.0","57,386.0","55,141.0","56,259.0","57,868.0","59,247.0","58,797.0","62,615.0","63,438.0","62,854.0","60,788.0","58,360.0","58,680.0","59,733.0","58,524.0","56,786.0","58,787.0","62,021.0","61,388.0","66,287.0","68,640.0","73,390.0","79,112.0","83,063.0","86,334.0","88,324.0","90,051.0","99,117.0","97,412.0","94,960.0","98,726.0","98,192.0","101,099.0","109,748.0","110,081.0","106,852.0","103,446.0","104,487.0","103,927.0","105,759.0","106,183.0","104,803.0","103,395.0","102,992.0","101,545.0","103,746.0","103,354.0","110,960.0","120,481.0","126,794.0","137,015.0","141,471.0","143,886.0","141,591.0","140,848.0","138,129.0","140,265.0","146,047.0","147,792.0","153,908.0","156,440.0","153,880.0","150,225.0","144,297.0","139,366.0","139,117.0","137,314.0","141,507.0","146,606.0","157,466.0","164,708.0","168,054.0","176,103.0","175,566.0","169,676.0","162,043.0","155,846.0","150,313.0","148,668.0","158,441.0","160,412.0","161,609.0","171,755.0","170,249.0","171,805.0","179,280.0","193,619.0","202,891.0","207,979.0","220,613.0","228,565.0","239,881.0","237,524.0","241,281.0","261,810.0","280,059.0","283,786.0","290,829.0","294,090.0","310,435.0","319,778.0","340,833.0","371,050.0","418,092.0","430,819.0","327,711.0","262,849.0","272,407.0","308,174.0","330,732.0","355,050.0","385,490.0","388,613.0","425,093.0","461,447.0","489,825.0","495,766.0","493,996.0","486,826.0","489,672.0","475,281.0","477,911.0","479,244.0","477,900.0","495,729.0","515,332.0","492,597.0","505,389.0"
"24","5","    Durable goods","B686RC1","3,480.0","4,824.0","5,100.0","5,312.0","5,660.0","5,912.0","5,488.0","5,320.0","4,608.0","4,436.0","4,180.0","3,912.0","4,556.0","4,352.0","4,736.0","5,212.0","6,188.0","6,984.0","7,796.0","8,480.0","9,420.0","10,992.0","10,292.0","10,488.0","10,072.0","9,712.0","9,456.0","9,560.0","9,652.0","9,992.0","10,604.0","10,876.0","10,232.0","10,696.0","10,492.0","9,900.0","11,134.0","12,847.0","13,552.0","14,691.0","16,340.0","17,532.0","18,999.0","21,434.0","25,938.0","27,122.0","23,881.0","22,258.0","22,175.0","21,609.0","19,472.0","19,940.0","18,684.0","18,342.0","17,144.0","16,278.0","15,938.0","16,830.0","17,372.0","17,682.0","17,444.0","18,044.0","17,432.0","17,937.0","16,852.0","17,237.0","16,856.0","16,535.0","17,558.0","17,268.0","17,302.0","18,702.0","18,807.0","20,519.0","21,574.0","23,203.0","25,805.0","28,966.0","29,250.0","31,083.0","31,865.0","33,986.0","33,944.0","33,607.0","35,623.0","34,900.0","35,315.0","37,231.0","36,900.0","38,053.0","37,326.0","36,361.0","36,298.0","36,061.0","37,574.0","37,590.0","37,487.0","37,500.0","37,675.0","37,968.0","38,044.0","39,672.0","42,881.0","44,897.0","48,429.0","49,693.0","51,907.0","49,752.0","49,878.0","51,070.0","51,410.0","52,091.0","53,466.0","55,698.0","56,181.0","55,860.0","56,816.0","53,799.0","52,099.0","52,942.0","51,937.0","52,961.0","54,197.0","57,942.0","62,182.0","63,580.0","64,201.0","64,507.0","61,472.0","57,823.0","55,377.0","53,645.0","50,866.0","54,300.0","54,445.0","54,386.0","55,870.0","57,290.0","56,890.0","59,168.0","66,390.0","69,221.0","70,873.0","73,775.0","76,984.0","80,393.0","83,217.0","88,165.0","94,670.0","99,931.0","101,967.0","108,769.0","108,872.0","112,986.0","114,445.0","119,418.0","125,146.0","139,177.0","139,768.0","110,490.0","88,384.0","88,068.0","98,210.0","109,217.0","115,238.0","126,335.0","123,918.0","135,060.0","138,944.0","145,616.0","146,652.0","142,498.0","144,031.0","142,850.0","138,062.0","136,226.0","138,299.0","133,942.0","136,062.0","139,341.0","137,540.0","137,285.0"
"25","6","    Nondurable goods","B687RC1","5,224.0","7,772.0","7,320.0","7,684.0","7,944.0","8,180.0","7,868.0","8,676.0","8,464.0","8,516.0","9,776.0","6,696.0","9,500.0","8,212.0","8,832.0","10,188.0","10,772.0","11,484.0","12,640.0","14,616.0","17,084.0","19,632.0","20,744.0","20,760.0","20,992.0","18,944.0","18,920.0","19,664.0","20,540.0","21,000.0","21,400.0","22,492.0","22,420.0","23,372.0","24,344.0","21,420.0","21,211.0","24,072.0","27,411.0","28,740.0","30,288.0","32,864.0","36,585.0","39,119.0","40,686.0","44,171.0","44,316.0","43,431.0","46,010.0","42,095.0","44,058.0","47,527.0","47,642.0","45,536.0","42,464.0","41,108.0","39,203.0","39,429.0","40,496.0","41,565.0","41,353.0","44,571.0","46,006.0","44,917.0","43,936.0","41,123.0","41,824.0","43,198.0","40,966.0","39,518.0","41,485.0","43,319.0","42,581.0","45,768.0","47,066.0","50,187.0","53,307.0","54,097.0","57,084.0","57,241.0","58,186.0","65,131.0","63,468.0","61,353.0","63,103.0","63,292.0","65,784.0","72,517.0","73,181.0","68,799.0","66,120.0","68,126.0","67,629.0","69,698.0","68,609.0","67,213.0","65,908.0","65,492.0","63,870.0","65,778.0","65,310.0","71,288.0","77,600.0","81,897.0","88,586.0","91,778.0","91,979.0","91,839.0","90,970.0","87,059.0","88,855.0","93,956.0","94,326.0","98,210.0","100,259.0","98,020.0","93,409.0","90,498.0","87,267.0","86,175.0","85,377.0","88,546.0","92,409.0","99,524.0","102,526.0","104,474.0","111,902.0","111,059.0","108,204.0","104,220.0","100,469.0","96,668.0","97,802.0","104,141.0","105,967.0","107,223.0","115,885.0","112,959.0","114,915.0","120,112.0","127,229.0","133,670.0","137,106.0","146,838.0","151,581.0","159,488.0","154,307.0","153,116.0","167,140.0","180,128.0","181,819.0","182,060.0","185,218.0","197,449.0","205,333.0","221,415.0","245,904.0","278,915.0","291,051.0","217,221.0","174,465.0","184,339.0","209,964.0","221,515.0","239,812.0","259,155.0","264,695.0","290,033.0","322,503.0","344,209.0","349,114.0","351,498.0","342,795.0","346,822.0","337,219.0","341,685.0","340,945.0","343,958.0","359,667.0","375,991.0","355,057.0","368,104.0"
"26","7","  Capital goods, except automotive","A640RC1","10,904.0","12,584.0","12,772.0","13,432.0","13,912.0","14,856.0","14,700.0","15,168.0","15,488.0","15,364.0","15,788.0","14,848.0","16,680.0","16,368.0","16,808.0","17,800.0","19,620.0","21,360.0","22,576.0","24,440.0","27,244.0","29,944.0","31,476.0","34,848.0","35,824.0","36,864.0","36,368.0","37,500.0","37,724.0","39,216.0","39,116.0","40,396.0","38,952.0","39,864.0","40,368.0","39,880.0","41,263.0","46,041.0","48,342.0","54,343.0","56,321.0","58,069.0","60,689.0","65,646.0","69,844.0","76,443.0","76,896.0","81,949.0","82,860.0","87,150.0","82,504.0","84,185.0","80,242.0","79,999.0","75,623.0","70,139.0","71,381.0","71,224.0","69,819.0","74,224.0","73,804.0","76,189.0","77,096.0","80,938.0","80,195.0","81,218.0","76,638.0","79,235.0","80,081.0","82,869.0","82,431.0","85,884.0","83,754.0","88,080.0","95,469.0","103,526.0","112,332.0","117,579.0","118,804.0","127,696.0","128,196.0","137,840.0","142,967.0","138,760.0","151,441.0","152,260.0","155,218.0","153,039.0","156,773.0","167,049.0","169,596.0","173,001.0","177,007.0","171,941.0","176,839.0","179,716.0","178,962.0","180,620.0","180,890.0","190,367.0","197,126.0","201,107.0","211,872.0","212,727.0","219,824.0","230,670.0","239,534.0","247,640.0","250,267.0","251,284.0","249,285.0","264,994.0","278,657.0","295,102.0","306,706.0","302,860.0","302,210.0","292,949.0","296,578.0","307,552.0","301,978.0","301,176.0","315,378.0","326,460.0","329,469.0","356,398.0","374,197.0","367,933.0","364,227.0","331,797.0","302,059.0","288,813.0","285,153.0","293,489.0","297,155.0","285,943.0","282,842.0","283,195.0","293,135.0","315,519.0","320,857.0","326,166.0","330,207.0","332,935.0","342,123.0","358,092.0","357,349.0","376,137.0","391,574.0","403,182.0","403,792.0","417,557.0","420,448.0","424,340.0","439,520.0","447,766.0","454,368.0","470,834.0","473,251.0","432,171.0","394,254.0","377,323.0","383,718.0","410,692.0","423,757.0","443,085.0","455,537.0","468,980.0","473,310.0","493,462.0","499,744.0","510,284.0","526,674.0","525,450.0","531,360.0","526,611.0","523,793.0","539,123.0","535,785.0","539,506.0","538,089.0","550,163.0"
"27","8","    Civilian aircraft, engines, and parts","B688RC1","1,456.0","1,000.0","1,168.0","1,440.0","1,520.0","1,788.0","1,344.0","1,460.0","1,956.0","1,956.0","1,824.0","1,936.0","1,836.0","1,580.0","1,620.0","1,664.0","2,020.0","2,320.0","2,484.0","2,436.0","3,128.0","3,472.0","2,884.0","4,096.0","3,644.0","3,196.0","3,304.0","2,612.0","2,668.0","3,532.0","3,416.0","3,240.0","2,236.0","3,176.0","2,540.0","3,048.0","5,084.0","6,365.0","7,792.0","9,825.0","10,009.0","9,595.0","11,342.0","11,310.0","12,558.0","14,059.0","13,736.0","16,130.0","13,656.0","16,203.0","12,667.0","13,056.0","11,838.0","10,863.0","8,909.0","8,669.0","12,905.0","12,504.0","8,438.0","10,738.0","9,658.0","10,390.0","9,083.0","11,515.0","12,878.0","14,067.0","12,468.0","14,696.0","14,770.0","15,067.0","15,691.0","16,269.0","15,812.0","14,170.0","17,685.0","17,880.0","19,378.0","23,195.0","19,573.0","22,688.0","23,613.0","26,645.0","32,226.0","25,256.0","32,208.0","32,464.0","33,968.0","30,136.0","31,081.0","35,832.0","38,914.0","40,613.0","42,652.0","34,372.0","37,115.0","36,763.0","33,470.0","33,192.0","30,352.0","34,134.0","34,496.0","30,003.0","32,274.0","29,125.0","24,742.0","28,252.0","26,510.0","25,010.0","26,157.0","30,368.0","30,119.0","36,525.0","39,483.0","41,953.0","42,888.0","41,110.0","48,295.0","47,819.0","56,229.0","61,849.0","56,673.0","49,919.0","52,483.0","52,607.0","43,990.0","51,708.0","48,693.0","47,972.0","56,334.0","54,860.0","50,944.0","48,336.0","49,471.0","50,454.0","53,662.0","48,113.0","45,981.0","43,566.0","45,663.0","51,683.0","46,703.0","44,367.0","46,590.0","46,639.0","51,809.0","59,934.0","53,567.0","58,244.0","62,475.0","63,971.0","62,950.0","68,616.0","68,645.0","68,824.0","76,215.0","78,393.0","75,699.0","77,700.0","79,067.0","63,530.0","78,640.0","75,143.0","70,600.0","74,638.0","70,613.0","70,806.0","73,005.0","73,263.0","73,326.0","78,707.0","82,093.0","87,285.0","94,347.0","88,136.0","96,471.0","98,428.0","95,905.0","106,714.0","110,740.0","106,636.0","103,966.0","113,272.0"
"28","9","    Computers, peripherals, and parts","B850RC1","668.0","716.0","840.0","920.0","1,056.0","1,196.0","1,312.0","1,384.0","1,312.0","1,256.0","1,212.0","1,268.0","1,344.0","1,304.0","1,328.0","1,388.0","1,516.0","1,676.0","1,780.0","1,896.0","2,060.0","2,240.0","2,172.0","2,320.0","2,240.0","2,192.0","2,220.0","2,260.0","2,360.0","2,560.0","2,668.0","2,764.0","3,080.0","3,096.0","3,388.0","3,492.0","3,644.0","4,084.0","4,504.0","4,920.0","5,324.0","5,392.0","5,748.0","6,444.0","7,032.0","7,456.0","8,188.0","8,556.0","8,764.0","8,788.0","8,992.0","9,112.0","8,823.0","9,530.0","9,376.0","9,683.0","10,224.0","10,736.0","11,352.0","11,918.0","12,500.0","13,717.0","15,186.0","15,490.0","15,409.0","15,151.0","14,276.0","13,978.0","14,366.0","15,049.0","16,114.0","17,070.0","16,545.0","18,013.0","19,404.0","21,308.0","23,120.0","23,368.0","24,040.0","25,333.0","22,486.0","24,426.0","24,825.0","24,775.0","25,730.0","25,233.0","26,605.0","25,988.0","27,420.0","27,535.0","26,911.0","27,314.0","27,518.0","29,111.0","28,984.0","29,441.0","28,912.0","28,577.0","29,462.0","30,311.0","31,346.0","32,459.0","33,907.0","35,568.0","36,480.0","37,690.0","40,778.0","43,666.0","45,304.0","43,459.0","42,729.0","43,385.0","47,192.0","50,028.0","51,347.0","48,873.0","45,906.0","45,152.0","44,202.0","45,730.0","44,671.0","46,381.0","47,484.0","48,360.0","50,836.0","55,315.0","58,910.0","57,103.0","55,309.0","48,907.0","44,612.0","41,392.0","38,571.0","39,328.0","37,870.0","38,440.0","38,489.0","37,914.0","40,521.0","42,775.0","42,167.0","42,389.0","43,156.0","43,509.0","44,305.0","46,228.0","46,074.0","45,539.0","47,577.0","48,112.0","46,504.0","48,128.0","47,857.0","44,659.0","45,121.0","44,546.0","44,272.0","46,744.0","45,809.0","38,767.0","37,107.0","35,778.0","37,665.0","40,317.0","42,266.0","43,203.0","43,796.0","45,990.0","47,353.0","48,403.0","49,339.0","48,742.0","51,895.0","49,514.0","48,240.0","47,442.0","47,761.0","48,499.0","48,040.0","48,078.0","49,733.0","49,791.0"
"29","10","    Other","B689RC1","8,780.0","10,868.0","10,764.0","11,072.0","11,336.0","11,872.0","12,044.0","12,324.0","12,220.0","12,152.0","12,752.0","11,644.0","13,500.0","13,484.0","13,860.0","14,748.0","16,084.0","17,364.0","18,312.0","20,108.0","22,056.0","24,232.0","26,420.0","28,432.0","29,940.0","31,476.0","30,844.0","32,628.0","32,696.0","33,124.0","33,032.0","34,392.0","33,636.0","33,592.0","34,440.0","33,340.0","32,535.0","35,592.0","36,046.0","39,598.0","40,988.0","43,082.0","43,599.0","47,892.0","50,254.0","54,928.0","54,972.0","57,263.0","60,440.0","62,159.0","60,845.0","62,017.0","59,581.0","59,606.0","57,338.0","51,787.0","48,252.0","47,984.0","50,029.0","51,568.0","51,646.0","52,082.0","52,827.0","53,933.0","51,908.0","52,000.0","49,894.0","50,561.0","50,945.0","52,753.0","50,626.0","52,545.0","51,397.0","55,897.0","58,380.0","64,338.0","69,834.0","71,016.0","75,191.0","79,675.0","82,097.0","86,769.0","85,916.0","88,729.0","93,503.0","94,563.0","94,645.0","96,915.0","98,272.0","103,682.0","103,771.0","105,074.0","106,837.0","108,458.0","110,740.0","113,512.0","116,580.0","118,851.0","121,076.0","125,922.0","131,284.0","138,645.0","145,691.0","148,034.0","158,602.0","164,728.0","172,246.0","178,964.0","178,806.0","177,457.0","176,437.0","185,084.0","191,982.0","203,121.0","212,471.0","212,877.0","208,009.0","199,978.0","196,147.0","199,973.0","200,634.0","204,876.0","215,411.0","225,493.0","234,643.0","249,375.0","266,594.0","262,858.0","252,584.0","228,030.0","206,503.0","199,085.0","197,111.0","203,707.0","205,623.0","199,390.0","198,372.0","201,715.0","206,951.0","221,061.0","231,987.0","239,410.0","240,461.0","242,787.0","246,009.0","251,930.0","257,708.0","272,354.0","281,522.0","291,099.0","294,338.0","300,813.0","303,946.0","310,857.0","318,184.0","324,827.0","334,397.0","346,390.0","348,375.0","329,874.0","278,507.0","266,402.0","275,453.0","295,737.0","310,878.0","329,076.0","338,736.0","349,727.0","352,631.0","366,352.0","368,312.0","374,257.0","380,432.0","387,800.0","386,649.0","380,741.0","380,127.0","383,910.0","377,005.0","384,792.0","384,390.0","387,100.0"
"30","11","  Automotive vehicles, engines, and parts","B641RC1","3,544.0","3,948.0","4,032.0","4,200.0","3,708.0","4,384.0","4,008.0","3,496.0","4,528.0","4,872.0","4,976.0","4,540.0","5,028.0","5,320.0","5,712.0","6,044.0","6,492.0","7,016.0","6,912.0","7,388.0","7,908.0","8,220.0","9,076.0","10,056.0","9,380.0","10,860.0","11,212.0","11,724.0","11,684.0","12,044.0","12,348.0","12,840.0","13,128.0","14,060.0","13,268.0","13,684.0","13,164.0","15,346.0","15,094.0","17,046.0","17,541.0","17,720.0","17,240.0","19,090.0","17,560.0","16,364.0","16,486.0","19,362.0","18,689.0","20,822.0","20,648.0","18,612.0","17,269.0","18,767.0","17,778.0","15,105.0","16,040.0","17,935.0","18,577.0","21,295.0","21,636.0","21,400.0","23,688.0","22,964.0","23,273.0","24,911.0","26,409.0","25,184.0","24,150.0","26,149.0","24,609.0","25,476.0","25,814.0","26,864.0","26,745.0","30,908.0","32,297.0","32,714.0","33,890.0","34,688.0","37,286.0","33,205.0","33,577.0","36,497.0","36,777.0","37,114.0","36,064.0","34,826.0","36,739.0","38,613.0","42,881.0","41,364.0","43,396.0","45,748.0","48,163.0","50,225.0","50,662.0","51,215.0","49,385.0","54,958.0","53,704.0","56,427.0","58,707.0","61,290.0","63,351.0","59,338.0","61,547.0","61,342.0","61,914.0","62,765.0","67,468.0","65,291.0","69,905.0","72,655.0","75,905.0","75,278.0","76,736.0","71,646.0","67,180.0","74,483.0","73,249.0","74,678.0","75,931.0","77,169.0","83,547.0","80,216.0","79,198.0","78,463.0","73,532.0","76,790.0","76,492.0","74,925.0","75,037.0","81,046.0","80,652.0","79,037.0","79,734.0","81,978.0","78,354.0","82,467.0","83,842.0","87,692.0","92,119.0","93,196.0","94,978.0","95,496.0","98,776.0","104,376.0","106,706.0","105,569.0","106,554.0","110,222.0","114,851.0","122,301.0","124,055.0","123,849.0","122,208.0","126,411.0","130,300.0","106,888.0","68,278.0","67,959.0","88,326.0","102,294.0","106,521.0","111,017.0","112,497.0","117,997.0","127,682.0","128,877.0","136,622.0","138,964.0","145,955.0","147,772.0","145,776.0","145,095.0","147,708.0","153,308.0","154,838.0","154,371.0","149,081.0","158,023.0"
"31","12","  Consumer goods, except food and automotive","A642RC1","2,332.0","2,692.0","2,704.0","2,688.0","2,808.0","2,744.0","2,760.0","2,880.0","2,808.0","2,796.0","3,304.0","2,744.0","3,488.0","3,324.0","3,620.0","3,900.0","4,256.0","4,676.0","4,952.0","5,316.0","6,084.0","6,608.0","6,528.0","6,376.0","6,248.0","6,204.0","6,632.0","7,156.0","7,660.0","7,980.0","8,008.0","8,440.0","8,584.0","8,792.0","9,520.0","8,828.0","10,037.0","11,551.0","11,426.0","12,506.0","12,893.0","13,554.0","13,812.0","15,659.0","19,845.0","16,774.0","16,717.0","17,668.0","17,960.0","18,191.0","17,555.0","17,079.0","16,136.0","16,686.0","16,538.0","15,154.0","14,807.0","14,790.0","14,797.0","15,305.0","14,924.0","15,096.0","15,009.0","15,309.0","14,761.0","14,595.0","14,146.0","14,875.0","15,330.0","16,388.0","16,896.0","18,305.0","18,118.0","20,179.0","20,745.0","22,186.0","23,889.0","26,625.0","27,473.0","29,940.0","33,070.0","36,607.0","35,886.0","37,927.0","40,764.0","44,259.0","44,487.0","44,501.0","46,935.0","45,941.0","46,146.0","47,284.0","49,360.0","50,605.0","52,196.0","52,777.0","53,012.0","53,860.0","55,448.0","55,519.0","55,796.0","58,583.0","61,490.0","62,975.0","62,510.0","63,576.0","65,214.0","65,309.0","67,356.0","68,508.0","69,342.0","72,087.0","74,592.0","77,459.0","77,638.0","78,435.0","77,983.0","79,741.0","80,292.0","79,458.0","78,700.0","79,387.0","81,002.0","84,383.0","87,583.0","88,685.0","91,464.0","89,488.0","92,639.0","91,462.0","85,089.0","83,944.0","82,578.0","84,286.0","85,490.0","84,939.0","86,810.0","87,783.0","91,043.0","93,875.0","97,635.0","102,582.0","104,217.0","108,346.0","111,525.0","114,119.0","115,968.0","119,301.0","123,873.0","126,998.0","129,531.0","135,733.0","141,205.0","143,994.0","147,782.0","150,472.0","157,488.0","164,626.0","167,656.0","154,859.0","145,035.0","144,182.0","149,694.0","158,235.0","162,388.0","159,596.0","163,792.0","173,860.0","169,338.0","175,369.0","176,098.0","178,068.0","177,186.0","181,549.0","181,819.0","183,319.0","182,200.0","194,313.0","187,433.0","189,491.0","193,256.0","197,225.0"
