"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"21","2","Exports of goods and services","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,669.0","220,906.0","234,278.0","253,665.0","268,508.0","277,389.0","284,673.0","292,517.0","305,468.0","308,454.0","302,337.0","304,694.0","293,202.0","294,728.0","279,634.0","265,275.0","270,701.0","272,515.0","278,181.0","286,588.0","292,973.0","302,201.0","305,745.0","308,605.0","306,008.0","304,126.0","297,273.0","305,434.0","313,405.0","315,119.0","320,476.0","335,000.0","336,450.0","355,360.0","371,855.0","392,107.0","418,728.0","439,472.0","453,586.0","466,619.0","485,189.0","507,229.0","509,352.0","515,387.0","538,235.0","545,926.0","555,149.0","568,186.0","573,177.0","590,733.0","600,596.0","615,216.0","625,283.0","626,163.0","639,365.0","641,397.0","643,603.0","653,094.0","650,897.0","671,600.0","681,231.0","706,988.0","736,883.0","758,649.0","781,573.0","798,851.0","831,399.0","839,422.0","847,940.0","859,046.0","859,577.0","903,797.0","918,374.0","954,450.0","974,057.0","968,334.0","963,021.0","947,295.0","935,263.0","966,340.0","961,573.0","972,753.0","1,002,420.0","1,031,175.0","1,054,005.0","1,092,723.0","1,125,202.0","1,115,402.0","1,096,683.0","1,054,592.0","998,510.0","957,053.0","973,326.0","1,007,493.0","1,021,602.0","1,007,614.0","1,011,490.0","1,012,331.0","1,042,523.0","1,094,772.0","1,141,286.0","1,172,310.0","1,185,987.0","1,226,443.0","1,268,200.0","1,300,133.0","1,310,884.0","1,356,376.0","1,417,188.0","1,463,415.0","1,480,136.0","1,544,523.0","1,580,470.0","1,625,070.0","1,687,522.0","1,765,432.0","1,814,612.0","1,920,458.0","1,923,587.0","1,709,112.0","1,519,493.0","1,522,743.0","1,596,440.0","1,712,284.0","1,753,227.0","1,814,026.0","1,869,845.0","1,972,239.0","2,033,325.0","2,108,323.0","2,142,856.0","2,140,977.0","2,162,372.0","2,192,543.0","2,203,226.0","2,218,464.0","2,219,424.0","2,236,412.0","2,268,403.0","2,324,627.0","2,284,709.0","2,334,753.0"
"22","3","  Goods \1\","A253RC1","32,063.0","40,446.0","39,960.0","42,508.0","43,416.0","45,576.0","45,274.0","45,881.0","46,517.0","46,369.0","49,021.0","42,877.0","50,440.0","49,696.0","52,520.0","57,688.0","65,224.0","72,560.0","77,236.0","88,064.0","95,116.0","103,536.0","103,664.0","111,660.0","114,936.0","108,464.0","109,792.0","116,768.0","117,016.0","119,084.0","122,700.0","127,136.0","126,324.0","131,340.0","130,636.0","125,340.0","129,843.0","150,607.0","153,627.0","165,550.0","170,867.0","178,907.0","191,254.0","208,037.0","221,979.0","227,700.0","232,517.0","239,515.0","247,245.0","248,749.0","241,700.0","243,129.0","232,306.0","233,876.0","218,518.0","205,501.0","209,692.0","209,101.0","214,318.0","223,084.0","224,343.0","229,958.0","234,401.0","236,443.0","232,102.0","228,745.0","222,171.0","226,936.0","224,488.0","227,868.0","229,819.0","243,612.0","242,984.0","258,805.0","272,080.0","288,348.0","311,241.0","328,499.0","338,687.0","349,792.0","360,484.0","379,590.0","379,039.0","379,887.0","396,228.0","400,633.0","406,337.0","409,862.0","420,656.0","427,097.0","431,630.0","441,158.0","449,682.0","448,789.0","460,554.0","462,207.0","460,366.0","466,912.0","462,555.0","481,060.0","484,124.0","505,253.0","533,801.0","550,305.0","571,566.0","583,183.0","605,751.0","609,266.0","617,146.0","621,187.0","626,468.0","650,337.0","668,863.0","700,974.0","717,535.0","712,176.0","708,166.0","683,706.0","676,575.0","701,814.0","688,061.0","697,300.0","717,130.0","744,398.0","762,212.0","791,320.0","822,784.0","812,699.0","799,304.0","763,955.0","717,838.0","694,236.0","690,509.0","718,302.0","729,829.0","714,006.0","722,810.0","724,613.0","739,626.0","778,628.0","803,238.0","829,115.0","840,593.0","864,586.0","890,358.0","924,982.0","929,006.0","961,978.0","1,010,027.0","1,040,622.0","1,056,951.0","1,090,674.0","1,111,529.0","1,142,225.0","1,182,860.0","1,229,065.0","1,280,442.0","1,365,182.0","1,375,816.0","1,173,774.0","1,012,084.0","1,010,910.0","1,074,200.0","1,163,272.0","1,208,680.0","1,256,434.0","1,287,987.0","1,365,267.0","1,415,987.0","1,467,674.0","1,487,761.0","1,496,022.0","1,510,105.0","1,530,742.0","1,538,540.0","1,529,204.0","1,528,401.0","1,543,235.0","1,565,655.0","1,613,975.0","1,575,255.0","1,617,066.0"
"23","4","    Durable","A332RC1","20,669.0","24,247.0","24,770.0","26,022.0","26,464.0","28,262.0","27,471.0","27,261.0","28,055.0","28,120.0","28,491.0","26,804.0","30,364.0","30,152.0","31,536.0","33,694.0","37,312.0","41,130.0","43,244.0","47,456.0","51,784.0","57,290.0","58,376.0","63,420.0","63,482.0","65,030.0","64,810.0","67,624.0","68,182.0","69,628.0","71,598.0","74,196.0","72,898.0","75,352.0","75,378.0","74,054.0","76,703.0","86,420.0","88,122.0","98,812.0","103,170.0","105,797.0","109,340.0","120,215.0","133,116.0","135,322.0","133,602.0","140,558.0","141,215.0","149,080.0","141,811.0","140,573.0","133,040.0","134,335.0","128,141.0","118,281.0","120,774.0","122,142.0","122,208.0","129,928.0","130,804.0","133,572.0","136,441.0","140,013.0","139,786.0","142,571.0","137,811.0","139,311.0","139,355.0","145,467.0","143,868.0","152,672.0","152,813.0","161,796.0","169,111.0","184,041.0","198,655.0","210,291.0","213,165.0","225,546.0","232,456.0","242,420.0","246,919.0","248,217.0","262,036.0","264,154.0","268,467.0","266,492.0","272,409.0","284,924.0","290,703.0","294,225.0","300,933.0","297,434.0","307,000.0","311,399.0","311,017.0","315,896.0","314,991.0","329,560.0","334,275.0","346,525.0","363,906.0","370,371.0","384,362.0","391,377.0","406,274.0","412,394.0","415,766.0","420,712.0","425,673.0","443,323.0","462,422.0","488,603.0","504,162.0","498,481.0","501,052.0","483,468.0","482,142.0","502,964.0","492,748.0","496,924.0","512,619.0","532,508.0","546,975.0","571,153.0","591,283.0","584,067.0","573,183.0","540,923.0","503,061.0","483,970.0","479,387.0","498,459.0","504,402.0","488,836.0","486,108.0","491,112.0","499,709.0","530,331.0","545,542.0","562,355.0","573,001.0","581,917.0","600,747.0","622,633.0","632,727.0","663,032.0","691,542.0","708,439.0","715,708.0","744,369.0","755,018.0","772,165.0","792,484.0","812,009.0","825,571.0","864,975.0","866,031.0","760,350.0","650,883.0","630,497.0","672,006.0","733,193.0","755,507.0","796,499.0","811,137.0","842,593.0","862,030.0","891,095.0","907,203.0","915,624.0","942,499.0","941,870.0","940,939.0","938,469.0","938,644.0","961,629.0","956,826.0","972,009.0","962,917.0","989,642.0"
"24","5","    Nondurable","A339RC1","11,394.0","16,199.0","15,190.0","16,486.0","16,952.0","17,314.0","17,803.0","18,620.0","18,462.0","18,249.0","20,530.0","16,073.0","20,076.0","19,544.0","20,984.0","23,994.0","27,912.0","31,430.0","33,992.0","40,608.0","43,332.0","46,246.0","45,288.0","48,240.0","51,454.0","43,434.0","44,982.0","49,144.0","48,834.0","49,456.0","51,102.0","52,940.0","53,426.0","55,988.0","55,258.0","51,286.0","53,140.0","64,187.0","65,505.0","66,738.0","67,697.0","73,110.0","81,914.0","87,822.0","88,863.0","92,378.0","98,915.0","98,957.0","106,030.0","99,669.0","99,889.0","102,556.0","99,266.0","99,541.0","90,377.0","87,220.0","88,918.0","86,959.0","92,110.0","93,156.0","93,539.0","96,386.0","97,960.0","96,430.0","92,316.0","86,174.0","84,360.0","87,625.0","85,133.0","82,401.0","85,951.0","90,940.0","90,171.0","97,009.0","102,969.0","104,307.0","112,586.0","118,208.0","125,522.0","124,246.0","128,028.0","137,170.0","132,120.0","131,670.0","134,192.0","136,479.0","137,870.0","143,370.0","148,247.0","142,173.0","140,927.0","146,933.0","148,749.0","151,355.0","153,554.0","150,808.0","149,349.0","151,016.0","147,564.0","151,500.0","149,849.0","158,728.0","169,895.0","179,934.0","187,204.0","191,806.0","199,477.0","196,872.0","201,380.0","200,475.0","200,795.0","207,014.0","206,441.0","212,371.0","213,373.0","213,695.0","207,114.0","200,238.0","194,433.0","198,850.0","195,313.0","200,376.0","204,511.0","211,890.0","215,237.0","220,167.0","231,501.0","228,632.0","226,121.0","223,032.0","214,777.0","210,266.0","211,122.0","219,843.0","225,427.0","225,170.0","236,702.0","233,501.0","239,917.0","248,297.0","257,696.0","266,760.0","267,592.0","282,669.0","289,611.0","302,349.0","296,279.0","298,946.0","318,485.0","332,183.0","341,243.0","346,305.0","356,511.0","370,060.0","390,376.0","417,056.0","454,871.0","500,207.0","509,785.0","413,424.0","361,201.0","380,413.0","402,194.0","430,079.0","453,173.0","459,935.0","476,850.0","522,674.0","553,957.0","576,579.0","580,558.0","580,398.0","567,606.0","588,872.0","597,601.0","590,735.0","589,757.0","581,606.0","608,829.0","641,966.0","612,338.0","627,424.0"
"25","6","  Services \1\","A646RC1","11,911.0","13,469.0","13,380.0","13,951.0","13,497.0","15,013.0","15,000.0","15,177.0","16,557.0","16,734.0","16,372.0","17,405.0","18,199.0","17,456.0","18,933.0","18,441.0","18,735.0","19,363.0","20,340.0","19,556.0","21,593.0","23,132.0","22,974.0","24,925.0","26,433.0","28,363.0","24,306.0","25,763.0","26,572.0","27,537.0","29,075.0","28,940.0","29,030.0","30,566.0","31,689.0","32,469.0","34,756.0","35,609.0","37,675.0","39,865.0","40,802.0","41,999.0","43,024.0","45,628.0","46,529.0","49,689.0","52,156.0","53,002.0","58,223.0","59,705.0","60,637.0","61,565.0","60,896.0","60,852.0","61,116.0","59,774.0","61,009.0","63,414.0","63,863.0","63,504.0","68,630.0","72,243.0","71,344.0","72,162.0","73,906.0","75,381.0","75,102.0","78,498.0","88,917.0","87,251.0","90,657.0","91,388.0","93,466.0","96,555.0","99,775.0","103,759.0","107,487.0","110,973.0","114,899.0","116,827.0","124,705.0","127,639.0","130,313.0","135,500.0","142,007.0","145,293.0","148,812.0","158,324.0","152,521.0","163,636.0","168,966.0","174,058.0","175,601.0","177,374.0","178,811.0","179,190.0","183,237.0","186,182.0","188,342.0","190,540.0","197,107.0","201,735.0","203,082.0","208,344.0","210,007.0","215,668.0","225,648.0","230,156.0","230,794.0","237,859.0","233,109.0","253,460.0","249,511.0","253,476.0","256,522.0","256,158.0","254,855.0","263,589.0","258,688.0","264,526.0","273,512.0","275,453.0","285,290.0","286,777.0","291,793.0","301,403.0","302,418.0","302,703.0","297,379.0","290,637.0","280,672.0","262,817.0","282,817.0","289,191.0","291,773.0","293,608.0","288,680.0","287,718.0","302,897.0","316,144.0","338,048.0","343,195.0","345,394.0","361,857.0","377,842.0","375,151.0","381,878.0","394,398.0","407,161.0","422,793.0","423,185.0","453,849.0","468,941.0","482,845.0","504,662.0","536,367.0","534,170.0","555,276.0","547,771.0","535,338.0","507,409.0","511,833.0","522,240.0","549,012.0","544,547.0","557,592.0","581,858.0","606,972.0","617,338.0","640,649.0","655,095.0","644,955.0","652,267.0","661,801.0","664,686.0","689,260.0","691,023.0","693,177.0","702,748.0","710,652.0","709,454.0","717,687.0"
"26","7","Income receipts","B645RC1","11,084.0","11,534.0","12,060.0","12,438.0","12,872.0","13,175.0","13,024.0","12,261.0","13,285.0","14,074.0","13,952.0","14,733.0","15,192.0","15,746.0","16,684.0","17,490.0","20,281.0","22,422.0","25,233.0","26,228.0","29,670.0","30,328.0","30,462.0","28,820.0","26,925.0","26,529.0","28,088.0","30,554.0","31,384.0","32,254.0","32,554.0","33,260.0","35,780.0","36,953.0","38,130.0","37,937.0","42,472.0","42,584.0","46,239.0","53,712.0","57,618.0","64,106.0","73,413.0","78,147.0","83,574.0","79,623.0","74,869.0","78,302.0","85,740.0","89,746.0","95,908.0","96,702.0","98,324.0","107,183.0","101,450.0","97,016.0","93,804.0","98,792.0","105,241.0","109,690.0","114,835.0","123,208.0","127,291.0","122,125.0","112,635.0","114,332.0","110,019.0","113,660.0","116,479.0","112,127.0","109,209.0","107,480.0","112,383.0","121,378.0","125,897.0","133,485.0","145,471.0","146,475.0","153,453.0","163,066.0","171,439.0","179,764.0","178,658.0","180,934.0","183,763.0","184,516.0","184,722.0","202,387.0","186,772.0","167,995.0","161,533.0","157,152.0","154,791.0","157,094.0","148,901.0","147,421.0","151,953.0","154,392.0","157,408.0","158,646.0","165,410.0","176,125.0","190,956.0","205,681.0","221,248.0","231,694.0","229,869.0","236,521.0","240,530.0","239,222.0","245,764.0","260,100.0","270,174.0","283,013.0","286,111.0","280,986.0","289,855.0","293,271.0","282,138.0","281,853.0","295,235.0","310,987.0","330,557.0","348,903.0","363,341.0","386,129.0","379,632.0","401,656.0","361,356.0","337,998.0","310,245.0","291,634.0","299,720.0","313,935.0","330,255.0","319,310.0","334,093.0","345,471.0","357,485.0","387,405.0","421,103.0","437,310.0","459,108.0","488,256.0","538,567.0","554,202.0","585,093.0","625,288.0","661,948.0","719,546.0","744,661.0","770,803.0","803,048.0","869,151.0","911,712.0","918,709.0","906,108.0","899,608.0","876,317.0","745,682.0","635,914.0","622,594.0","654,877.0","682,203.0","696,611.0","711,991.0","720,513.0","750,959.0","765,109.0","791,197.0","811,351.0","802,913.0","804,066.0","786,259.0","785,739.0","799,253.0","791,239.0","804,360.0","814,214.0","831,780.0","822,583.0","....."
"27","8","  Wage and salary receipts","B4188C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","876.0","892.0","920.0","944.0","984.0","992.0","1,000.0","1,000.0","996.0","988.0","996.0","1,000.0","996.0","996.0","1,024.0","1,052.0","1,128.0","1,168.0","1,168.0","1,224.0","1,272.0","1,276.0","1,300.0","1,312.0","1,720.0","1,752.0","1,824.0","1,888.0","1,740.0","1,784.0","1,848.0","1,908.0","1,860.0","1,900.0","1,972.0","2,040.0","2,172.0","2,176.0","2,188.0","2,180.0","2,176.0","2,176.0","2,188.0","2,184.0","2,268.0","2,264.0","2,276.0","2,272.0","2,360.0","2,400.0","2,464.0","2,524.0","4,240.0","4,244.0","4,248.0","4,252.0","4,396.0","4,392.0","4,392.0","4,400.0","4,508.0","4,508.0","4,516.0","4,520.0","4,560.0","4,564.0","4,576.0","4,580.0","4,655.0","4,666.0","4,677.0","4,688.0","4,732.0","4,720.0","4,737.0","4,748.0","4,790.0","4,788.0","4,801.0","4,805.0","5,038.0","5,058.0","5,082.0","5,098.0","5,188.0","5,205.0","5,231.0","5,253.0","5,344.0","5,364.0","5,384.0","5,365.0","5,684.0","5,729.0","5,770.0","5,775.0","5,906.0","5,937.0","5,944.0","5,938.0","6,094.0","6,109.0","6,125.0","6,090.0","6,151.0","6,251.0","6,385.0","6,628.0","6,641.0","6,683.0","6,712.0","6,746.0","6,827.0","....."
"28","9","  Income receipts on assets","W160RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115,596.0","111,235.0","108,291.0","106,536.0","111,394.0","120,387.0","124,897.0","132,485.0","144,480.0","145,487.0","152,454.0","162,064.0","170,442.0","178,768.0","177,634.0","179,882.0","182,630.0","183,347.0","183,555.0","201,164.0","185,510.0","166,722.0","160,233.0","155,839.0","153,071.0","155,339.0","147,078.0","145,528.0","150,212.0","152,611.0","155,554.0","156,738.0","163,549.0","174,227.0","188,984.0","203,641.0","219,073.0","229,515.0","227,680.0","234,339.0","238,353.0","237,044.0","243,574.0","257,915.0","267,906.0","280,750.0","283,834.0","278,714.0","287,495.0","290,869.0","279,672.0","279,329.0","290,994.0","306,743.0","326,309.0","344,651.0","358,945.0","381,738.0","375,239.0","397,256.0","356,847.0","333,489.0","305,728.0","287,114.0","295,159.0","309,370.0","325,679.0","314,729.0","329,441.0","340,803.0","352,811.0","382,714.0","416,379.0","432,592.0","454,373.0","483,506.0","533,778.0","549,418.0","580,292.0","620,486.0","656,916.0","714,493.0","739,584.0","765,707.0","797,872.0","863,955.0","906,483.0","913,454.0","900,753.0","894,235.0","870,934.0","740,340.0","630,231.0","616,865.0","649,107.0","676,428.0","690,706.0","706,054.0","714,571.0","745,023.0","759,014.0","785,088.0","805,227.0","796,823.0","797,916.0","780,008.0","779,354.0","792,624.0","784,598.0","797,677.0","807,502.0","825,035.0","815,757.0","....."
"29","10","    Interest","A2067C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,231.0","61,527.0","60,985.0","59,048.0","58,367.0","61,346.0","64,217.0","69,545.0","76,431.0","72,375.0","81,117.0","88,242.0","96,067.0","103,000.0","101,994.0","103,626.0","102,151.0","101,768.0","104,818.0","118,287.0","103,116.0","91,651.0","88,685.0","82,884.0","74,571.0","71,947.0","68,799.0","72,387.0","63,984.0","65,126.0","64,844.0","65,370.0","68,217.0","74,078.0","80,119.0","89,886.0","97,776.0","100,265.0","101,283.0","101,828.0","103,573.0","102,118.0","105,152.0","108,612.0","114,648.0","121,317.0","123,111.0","130,148.0","137,077.0","138,186.0","140,027.0","134,931.0","129,781.0","135,036.0","142,551.0","152,157.0","160,973.0","177,503.0","178,427.0","184,132.0","164,953.0","146,525.0","128,952.0","109,607.0","102,683.0","106,238.0","107,535.0","107,361.0","98,953.0","103,484.0","101,508.0","101,652.0","101,687.0","109,460.0","121,659.0","141,334.0","160,589.0","175,063.0","196,473.0","217,089.0","246,957.0","279,078.0","299,059.0","316,528.0","332,479.0","365,461.0","378,085.0","364,026.0","301,267.0","275,252.0","270,080.0","231,703.0","164,888.0","150,232.0","135,763.0","129,404.0","124,927.0","129,071.0","130,362.0","133,565.0","133,171.0","140,509.0","143,348.0","151,798.0","147,743.0","141,792.0","140,667.0","142,357.0","146,523.0","148,050.0","144,598.0","147,396.0","147,052.0","....."
"30","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","26,852.0","23,344.0","31,712.0","29,584.0","25,148.0","28,564.0","29,860.0","28,076.0","46,836.0","50,008.0","33,964.0","49,704.0","45,152.0","42,320.0","44,760.0","59,280.0","43,184.0","46,104.0","43,564.0","41,780.0","43,256.0","40,728.0","41,120.0","40,680.0","47,592.0","46,108.0","45,556.0","39,476.0","39,092.0","40,780.0","39,432.0","38,564.0","59,768.0","53,308.0","62,304.0","63,228.0","58,520.0","61,268.0","57,488.0","56,960.0","63,952.0","69,856.0","70,276.0","72,212.0","73,928.0","82,896.0","80,676.0","82,460.0","82,180.0","78,692.0","88,856.0","83,260.0","103,952.0","87,548.0","97,340.0","81,112.0","80,768.0","86,620.0","79,800.0","97,440.0","92,508.0","88,156.0","81,592.0","86,568.0","86,216.0","84,863.0","103,885.0","95,638.0","109,334.0","94,199.0","93,298.0","107,222.0","125,882.0","141,960.0","130,344.0","144,386.0","194,956.0","233,598.0","452,747.0","572,058.0","176,752.0","200,552.0","176,000.0","190,759.0","202,049.0","266,674.0","246,545.0","280,658.0","347,773.0","299,253.0","288,287.0","330,153.0","264,786.0","225,703.0","240,066.0","218,060.0","233,442.0","244,112.0","233,562.0","280,861.0","277,108.0","286,190.0","308,649.0","322,436.0","317,388.0","340,089.0","319,680.0","309,494.0","289,612.0","297,313.0","278,526.0","281,817.0","329,638.0","....."
"31","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,513.0","26,364.0","15,594.0","17,904.0","27,879.0","30,477.0","30,820.0","34,864.0","21,213.0","23,104.0","37,373.0","24,118.0","29,223.0","33,448.0","30,880.0","16,976.0","37,295.0","35,475.0","35,173.0","41,097.0","39,138.0","34,343.0","30,428.0","32,275.0","30,908.0","37,284.0","32,723.0","33,665.0","47,136.0","46,705.0","51,278.0","52,804.0","35,564.0","46,841.0","46,561.0","50,527.0","62,777.0","67,982.0","68,909.0","75,551.0","70,828.0","65,070.0","68,146.0","77,091.0","79,330.0","76,537.0","80,047.0","66,106.0","68,238.0","73,991.0","50,789.0","61,138.0","57,261.0","84,159.0","86,418.0","111,382.0","117,204.0","117,615.0","117,012.0","115,684.0","99,386.0","98,808.0","95,184.0","90,939.0","106,260.0","118,269.0","114,259.0","111,730.0","121,154.0","143,120.0","158,005.0","173,840.0","188,810.0","181,172.0","202,370.0","197,786.0","178,233.0","140,757.0","-68,928.0","-168,661.0","233,207.0","234,863.0","264,525.0","258,420.0","263,344.0","231,820.0","281,853.0","268,770.0","251,713.0","319,730.0","312,567.0","178,484.0","200,557.0","240,930.0","273,278.0","328,964.0","332,337.0","332,871.0","350,647.0","330,597.0","348,735.0","358,389.0","353,230.0","322,589.0","332,785.0","298,127.0","319,007.0","340,773.0","348,463.0","352,314.0","384,378.0","395,822.0","339,067.0","....."
"32","13","    Current payments to the rest of the world","W163RC1","53,453.0","64,804.0","63,948.0","66,183.0","65,994.0","68,538.0","69,807.0","70,934.0","72,019.0","77,106.0","79,690.0","77,836.0","88,862.0","87,651.0","91,736.0","96,401.0","102,035.0","108,937.0","110,334.0","118,491.0","129,861.0","154,333.0","156,791.0","161,013.0","150,405.0","141,902.0","143,797.0","151,462.0","161,820.0","169,881.0","181,923.0","185,510.0","199,156.0","207,701.0","208,312.0","214,681.0","232,081.0","241,655.0","248,927.0","260,389.0","271,097.0","287,712.0","305,258.0","334,399.0","362,749.0","347,166.0","331,384.0","364,112.0","389,538.0","398,029.0","391,172.0","396,805.0","390,874.0","384,473.0","395,121.0","379,542.0","372,401.0","398,944.0","431,331.0","453,046.0","486,345.0","513,332.0","523,472.0","534,150.0","508,056.0","529,820.0","528,567.0","554,261.0","558,206.0","569,106.0","579,903.0","592,775.0","599,765.0","631,121.0","651,801.0","682,601.0","691,071.0","695,901.0","713,493.0","749,300.0","763,328.0","780,566.0","769,663.0","783,801.0","812,032.0","803,304.0","822,248.0","824,886.0","713,378.0","743,956.0","775,155.0","789,161.0","801,866.0","822,644.0","840,969.0","857,228.0","852,076.0","881,152.0","884,852.0","937,638.0","938,707.0","991,385.0","1,048,651.0","1,101,979.0","1,121,210.0","1,149,132.0","1,160,271.0","1,160,173.0","1,190,502.0","1,206,685.0","1,237,929.0","1,277,287.0","1,319,681.0","1,338,546.0","1,382,174.0","1,412,267.0","1,416,917.0","1,435,801.0","1,441,183.0","1,483,169.0","1,497,783.0","1,557,822.0","1,639,228.0","1,706,854.0","1,796,095.0","1,865,441.0","1,928,139.0","1,945,340.0","1,877,036.0","1,773,027.0","1,721,112.0","1,592,809.0","1,679,549.0","1,772,785.0","1,804,762.0","1,819,780.0","1,878,347.0","1,873,852.0","1,914,904.0","1,984,678.0","2,100,220.0","2,227,057.0","2,280,531.0","2,429,750.0","2,503,993.0","2,560,403.0","2,631,903.0","2,813,886.0","2,872,121.0","2,997,148.0","3,082,804.0","3,066,234.0","3,181,702.0","3,252,155.0","3,284,690.0","3,313,050.0","3,442,003.0","3,533,667.0","3,505,998.0","3,058,295.0","2,542,132.0","2,496,827.0","2,621,159.0","2,795,565.0","2,888,169.0","2,977,956.0","3,067,118.0","3,147,764.0","3,286,830.0","3,402,952.0","3,413,200.0","3,415,110.0","3,490,098.0","3,481,307.0","3,455,970.0","3,453,387.0","3,466,665.0","3,499,995.0","3,503,093.0","3,509,339.0","3,572,882.0","....."
