"","Table 6#13C# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 2:03:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Noncorporate capital consumption allowances","A1700C0",110357,115575,121152,114710,113624,116627,119084,118557,124250,134311,148227,161782,181199,200651
"9","2","Agriculture, forestry, and fishing","A1701C0",11562,11240,11445,11827,12212,12198,12556,12801,13502,14142,15160,16330,17000,17077
"10","3","  Farms","B1702C0",10050,10030,10272,10617,10841,10849,10964,11329,11860,12451,13232,14054,14368,14345
"11","4","  Agricultural services, forestry, and fishing","B1703C0",1512,1210,1173,1210,1371,1349,1592,1472,1642,1691,1928,2276,2632,2732
"12","5","Mining","B1704C0",9744,8559,7414,6728,6298,6513,6064,5659,5844,5738,6460,9146,10116,12583
"13","6","Construction","B1705C0",3475,3883,3601,3237,3168,3308,3731,3976,3918,4390,4812,5199,5891,6824
"14","7","Manufacturing","A1706C0",3680,4345,5446,5541,5803,6549,6796,6385,6896,9457,10970,10656,13279,15512
"15","8","  Durable goods","B1707C0",1941,2363,2948,3046,2901,2839,2939,2914,3322,5458,6358,5447,7011,7627
"16","9","  Nondurable goods","B1708C0",1739,1982,2498,2495,2902,3710,3857,3471,3574,3999,4612,5209,6268,7885
"17","10","Transportation and public utilities","A1709C0",8793,9416,10367,10913,11447,11741,14280,12710,14312,18599,21867,23552,27873,31084
"18","11","  Transportation","B1710C0",3504,3248,3488,3173,3493,3388,3653,3947,4103,4638,5441,7344,8035,8956
"19","12","  Communications","B1711C0",3125,3825,4360,5147,5160,5409,7367,5495,7131,10819,12991,13052,16399,18681
"20","13","  Electric, gas, and sanitary services","B1712C0",2164,2343,2519,2593,2794,2944,3260,3268,3078,3142,3435,3156,3439,3447
"21","14","Wholesale trade","B1713C0",945,855,811,923,1032,997,1065,1518,1634,1305,1784,1663,1916,2154
"22","15","Retail trade","B1714C0",5003,5179,5499,4542,4939,4979,5157,5697,6047,6378,6721,6685,7583,8479
"23","16","Finance, insurance, and real estate","A1715C0",46410,50203,50995,48883,46565,46585,45378,45489,46591,47989,50714,55113,58023,63528
"24","17","  Finance and insurance","Q1716C0",1955,2462,1662,1902,1759,1670,1896,2228,2530,2874,3723,4572,4049,4476
"25","18","  Real estate \1\","Q1717C0",44455,47741,49333,46981,44806,44915,43482,43261,44061,45115,46991,50541,53974,59052
"26","19","Services","B1720C0",20745,21896,25574,22115,22160,23758,24056,24321,25507,26313,29742,33439,39520,43408
"27","20","  Hotels and other lodging places","B2616C0",4611,5050,4994,4765,4468,4335,4209,3869,4032,4188,4488,4724,4641,5230
"28","21","  Personal services","B2617C0",1084,1151,1246,1151,1039,1104,1099,1199,1044,1078,1100,1445,1287,1481
"29","22","  Business services","B2618C0",5998,6364,6031,5608,5902,6587,6914,6920,7568,7505,9173,9365,11253,13365
"30","23","  Auto repair, services, and parking","B2619C0",1342,1092,1033,1210,1388,1538,1525,1776,1946,1888,2751,3981,7303,8058
"31","24","  Miscellaneous repair services","B2620C0",441,429,256,286,360,306,397,421,358,379,351,388,635,653
"32","25","  Motion pictures","B2621C0",533,559,712,480,792,676,838,515,726,348,317,1671,1071,262
"33","26","  Amusement and recreation services","B2622C0",1100,1181,1026,964,852,1494,901,1221,1258,1693,1735,1979,1935,2773
"34","27","  Health services","B2623C0",2551,2711,5508,2906,2998,3136,3275,3219,3256,3611,3860,4064,4405,4569
"35","28","  Legal services","B2624C0",1158,1190,1366,1339,1241,1239,1301,1321,1281,1424,1412,1443,1533,1544
"36","29","  Other \2\","B2625C0",1927,2168,3403,3406,3120,3343,3598,3860,4038,4199,4557,4380,5457,5473
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological gardens; membership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","organizations; engineering and management services, except for commercial research and testing services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and for management and public relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
