"","Table 1#9#3# Real Net Value Added by Sector, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 1:35:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Net domestic product","A362RA3",35.485,35.352,36.508,38.508,40.712,40.219,39.926,42.227,44.22,46.751,48.096,47.602,48.729,47.292,49.591,53.453,55.598,57.4,59.25,61.726,63.946,64.967,64.576,66.974,68.78,71.63,73.424,76.143,79.487,82.841,86.499,89.735,90.004,91.35,93.869,97.469,100.642,103.094,104.576,103.672,100,102.911,104.621,107.014,108.475,111.151
"9","2","Business \1\","A363RA3",32.126,31.92,33.101,35.314,37.763,36.879,36.303,38.914,41.197,43.87,45.254,44.444,45.651,43.76,46.287,50.67,52.912,54.75,56.595,59.029,61.265,62.064,61.368,64.105,65.876,69.123,71.06,74.272,78.089,81.86,86.157,89.646,89.546,90.917,93.883,98.314,102.071,105.182,107.115,105.155,100,103.686,105.946,109.131,111.159,114.488
"10","3","  Nonfarm \2\","A364RA3",32.471,32.233,33.405,35.708,38.303,37.424,36.557,39.35,41.659,44.49,45.814,45.024,45.903,43.892,46.913,51.072,53.103,55.004,56.856,59.451,61.581,62.306,61.59,64.194,66.129,69.206,71.425,74.527,78.272,82.162,86.47,89.828,89.805,91.152,94.043,98.447,102.182,105.322,107.491,105.388,100,103.71,106.077,109.537,111.257,114.612
