"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:35:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Current receipts","W730RC1",21.6,23.3,25,27.1,29.1,31.8,35.1,41.5,45.6,53.8,61.6
"9","2","Current tax receipts","W731RC1",16.7,18.1,19.3,21,22.4,24.5,26.9,30.2,32.7,38.6,44
"10","3","  Personal current taxes","W732RC1",3.1,3.4,3.7,4,4.3,4.9,5.4,6.4,7,8.8,10.8
"11","4","    Income taxes","W733RC1",2,2.3,2.5,2.8,3.1,3.6,3.9,4.8,5.3,6.9,8.6
"12","5","    Other","W734RC1",1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.9,2.2
"13","6","  Taxes on production and imports","W7735C1",12.5,13.5,14.4,15.4,16.4,17.7,19.6,21.7,23.3,26.7,29.9
"14","7","    Sales taxes","W736RC1",10,10.8,11.6,12.6,13.4,14.5,16.1,18,19.4,22.8,25.7
"15","8","    Property taxes","W737RC1",0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9
"16","9","    Other","W738RC1",2,2.2,2.3,2.3,2.4,2.6,2.8,3,3.1,3.2,3.3
"17","10","  Taxes on corporate income","W739RC1",1.1,1.2,1.3,1.5,1.6,1.8,1.9,2.2,2.5,3.1,3.4
"18","11","Contributions for government social insurance","W740RC1",0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1
"19","12","Income receipts on assets","W741RC1",0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.7,2.1
"20","13","  Interest receipts","W742RC1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.8,1.4,1.8
"21","14","  Dividends","W743RC1",0,0,0,0,0,0,0,0,0,0,0
"22","15","  Rents and royalties","W744RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"23","16","Current transfer receipts","W745RC1",3.6,3.7,4.2,4.6,5,5.5,6.1,8.9,10.3,11.8,13.7
"24","17","  Federal grants-in-aid","W746RC1",3.2,3.3,3.7,4.1,4.5,4.9,5.5,8.2,9.4,10.7,12.4
"25","18","  Local government grants-in-aid","W747RC1",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8
"26","19","  From business (net)","W748RC1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"27","20","  From persons","W749RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4
"28","21","  From the rest of the world","LA0000201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","22","Current surplus of government enterprises","W750RC1",0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7
"30","23","    Current expenditures","W751RC1",20.9,22.9,25,27,29.4,31.9,35.6,40.7,46.8,54.6,62.8
"31","24","Consumption expenditures","W752RC1",8.2,8.9,9.6,10.2,11,11.8,13,14.6,16.7,19.2,22.4
"32","25","Current transfer payments","W753RC1",11.4,12.6,13.9,15.2,16.6,18.1,20.5,23.8,27.5,32.5,37.2
"33","26","  Government social benefit payments to persons","W754RC1",3.6,3.8,4.1,4.4,4.7,5.1,5.5,6.4,7.7,9.5,10.8
"34","27","  Grants-in-aid to local governments","W755RC1",7.8,8.8,9.8,10.8,11.9,13,15,17.4,19.9,23,26.4
"35","28","  Current transfer payments to the rest of the world","LA0000191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","Interest payments","W756RC1",1.2,1.3,1.5,1.6,1.7,1.8,2,2.2,2.3,2.7,2.9
"37","30","  To persons and business \1\","Y707RC1",1.2,1.3,1.5,1.6,1.7,1.8,2,2.2,2.3,2.7,2.9
"38","31","  To the rest of the world","Y708RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","Subsidies","W757RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"40","33","    Net state government saving","W759RC1",0.7,0.4,0,0.1,-0.3,-0.1,-0.4,0.8,-1.2,-0.8,-1.2
"41","34","Social insurance funds","W760RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
"42","35","Other","W761RC1",0.7,0.4,0,0.1,-0.3,-0.1,-0.5,0.6,-1.3,-1,-1.3
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W762RC1",23.9,25.1,27,29.3,31.8,34.9,38.2,44.9,48.7,57.7,65.3
"45","37","    Current receipts","W730RC1",21.6,23.3,25,27.1,29.1,31.8,35.1,41.5,45.6,53.8,61.6
