"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 2:10:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Current receipts, accrual basis","Y268RC1",38.2,48.3,54.5,59,63.3,68.1,73,78,86,100.1,107.6,116.1,125.4,133.9,141.5,150.8,161,169.4,174.5,183.7,192.7,201.1,211.4,219.9,224.3,230.3,237.2,242.3,251,258.9,264.8,271.6,279.6,283.7,295.5,306.7,316.8,323.2,333.5,340.4,345.3,357.6,370.9,379.2,388.3,398.3
"9","2","  Output \1\","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"10","3","  Contributions","Y269RC1",25.7,31.6,35.9,38.6,41.2,44.1,47.2,50.3,55,62.9,67.5,73.1,79.3,84.6,88.9,94.6,100.9,105.2,106.2,111.2,116,120,125.8,129.7,129.8,132.5,135.3,137.3,141.6,145.6,149,152.9,157.6,160.9,168.1,174.4,180.2,183.6,189.8,195.2,199.6,209.5,216.8,221.3,225.8,231.2
"11","4","    Claims to benefits accrued through service to employers","Y285RC1",13.1,14.9,17.2,18.2,19,20.1,21.3,22.5,23.9,25.7,27.4,30,33.2,35.4,36.3,38.4,40.9,41.1,38,38.8,39.3,39,40.3,39.5,35.4,34.8,33.6,32.5,32.4,32.4,33.2,34.4,35.8,38.2,40.8,42.2,43.6,44.1,46.1,50,54,61.5,62.8,63.6,63.5,64.3
