"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:34:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RC1",6.7,7,7.1,6.7,6.9,8.1,8.3,9.2,9.3,9.9,10.6,11.2,17.1,36.5,58.2,70.6,71.3,38.5,34.3,35.5,38.7,39.3,54,65.2,70.4,67.4,68.9,71.4,77.3,81.9,83,85,89.9,98.3,103.4,109.1,117,132.8,150.4,167.5,180.9
"9","2","        Gross output of general government","W101RC1",7.4,7.8,7.9,7.4,8.1,10,10.3,12.4,11.9,13.3,13.7,13.9,19.7,39,60.9,74.4,76.7,43.9,36.8,37.9,41.3,42.3,57.6,68.9,74.3,71.6,74.1,76.5,83.3,88.5,90.2,92.6,98.1,107.4,113.7,120.5,129.8,147.3,165.8,184.6,199.7
"10","3","          Value added","W102RC1",5.5,5.7,5.8,5.4,5.7,6.7,7.2,8.7,8.4,9.2,9.3,9.7,12.6,21.2,34.8,44.3,48.7,36.3,30.9,30.4,31.7,32.7,41.3,46.7,48.7,50.2,52.7,56.4,60.5,64.5,67.3,71.7,76.5,81.8,87.3,93.7,100.4,111.8,122.9,136.6,149.3
