"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2016 6:29:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Personal consumption expenditures","DPCERA3",28.803,29.481,30.607,32.484,34.094,33.813,34.58,36.509,38.047,39.72,40.664,40.535,41.137,41.722,44.101,46.426,48.867,50.919,52.642,54.844,56.444,57.608,57.74,59.882,61.962,64.365,66.29,68.606,71.188,74.995,78.968,82.977,85.129,87.324,90.054,93.513,96.799,99.743,101.976,101.627,100,101.923,104.23,105.751,107.55,110.448
"9","2","Goods","DGDSRA3",28.957,29.185,30.407,32.395,34.073,32.83,33.053,35.367,36.885,38.41,39.024,38.036,38.486,38.754,41.219,44.19,46.514,49.116,50,51.858,53.166,53.496,52.434,54.086,56.333,59.304,61.076,63.811,66.853,71.321,76.94,80.922,83.373,86.61,90.808,95.419,99.335,102.942,105.731,103.106,100,103.446,106.67,109.562,112.954,116.656
"10","3","  Durable goods","DDURRA3",15.005,14.607,16.075,18.072,19.962,18.682,18.726,21.06,22.921,24.124,24.002,22.09,22.31,22.273,25.453,29.088,31.998,35.068,35.752,37.8,38.63,38.463,36.39,38.48,41.364,44.663,46.425,49.891,53.963,60.482,68.24,74.105,77.983,83.707,89.673,97.03,102.309,106.667,111.565,105.855,100,106.092,112.529,120.804,127.777,135.256
