"","Table 5#7#5B# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2016      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 1:58:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","    Change in private inventories","A014RC1",70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,61.8,71.8,77.1,109.2
"9","2","Farm","B018RC1",3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.2,-3.6,-0.7,1.6,-1.6,-7.3,2.1,-19.5,11.3,5.9,6.2
"10","3","Mining, utilities, and construction","N541RC1",1.5,5.4,-1.3,-2.2,8.2,-2.9,6,1.2,3.6,16.2,-3.4,-7.7,-2.6,1.4,-5.1,7.3,-4.4,1.4,6.7
"11","4","Manufacturing","N150RC1",21.1,15.4,13.9,6.9,-23.5,-0.2,-7.1,5.6,20.7,18.4,17.2,-15,-26.3,23.4,24.3,12.5,6.1,15.7,19.7
"12","5","  Durable goods industries","N624RC1",14.1,16,6.3,6.2,-19.5,-2.8,-4.6,3.9,16.5,12.4,12.5,-5.7,-24.1,17.3,22.3,10.9,7.5,23.1,13
"13","6","  Nondurable goods industries","N625RC1",6.9,-0.6,7.6,0.7,-4,2.5,-2.5,1.7,4.2,6,4.8,-9.4,-2.2,6.1,2,1.6,-1.4,-7.4,6.7
"14","7","Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,0.2,1.3,20.8,27.7,22.4,15.3,18.7,-61.9,26.1,18.3,30.3,27.7,33.3,35.1
"15","8","  Durable goods industries","N661RC1",17.3,17,14.1,13.5,-16.7,-1.5,2.5,19.3,20.7,18.1,3.2,8.9,-49.6,10.8,24.5,22.8,16,22.3,13.8
