"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"11","2","A   Durable goods industries","KS30DM0",80628,82476,85077,86400,89069,91188,91958,91209,92987,93148,94008,96820,96431,100098,102303,104450,104122,102114,98783,96805,96480,94870,94119,93189,92306,91397,89521,89916,90759,91899,92602,93067,94106,94465
"12","3","A     Wood product manufacturing","KS321M0",3464,3475,3644,3744,3572,3816,3869,3907,4030,3887,3858,4119,4021,3979,4048,4049,3999,4062,3960,3979,4193,4165,4135,4136,4181,4160,3993,4167,4170,4045,4065,3932,4098,4314
"13","4","A     Nonmetallic mineral product manufacturing","KS327M0",3202,3251,3260,3319,3259,3259,3349,3330,3366,3338,3387,3442,3413,3496,3508,3521,3543,3511,3496,3467,3492,3502,3481,3484,3531,3550,3544,3436,3460,3457,3422,3365,3411,3360
"14","5","A     Primary metal manufacturing","KS331M0",6373,6391,6561,6703,6845,7265,7587,7632,7602,7411,7420,7593,7713,7675,7504,7264,7428,7252,6964,6857,6619,6577,6715,6743,6803,6367,6022,5778,6101,6619,6807,7022,7397,7596
"15","6","A     Fabricated metal product manufacturing","KS332M0",10761,10718,10856,11139,11179,11663,11700,11540,11364,11552,11854,11923,11807,12189,12204,12247,12167,12081,11923,11742,12113,11703,11797,11520,11511,11409,11358,11337,11403,11410,11877,12075,12359,12309
"16","7","A     Machinery manufacturing","KS333M0",11720,12026,12210,12431,12814,12937,13087,12617,13220,12994,12986,13276,12740,13436,13781,14014,14085,13784,13250,13045,12888,12466,12165,12261,11982,12131,11854,11980,11953,12016,12172,12459,12538,12873
"17","8","A     Computer and electronic product manufacturing","KS334M0",16019,16819,17829,18288,18865,18851,19019,18465,19451,19757,20366,21856,22979,25115,26401,27845,28042,27281,25764,24420,23701,22915,22774,22487,21854,21313,20825,21381,21721,22030,21804,22054,21683,21238
"18","9","A     Electrical equipment, appliance, and component manufacturing","KS335M0",4712,4970,5048,5077,5220,5193,5113,5163,5135,5172,5270,5312,5359,5316,5711,5829,5887,5893,5684,5553,5471,5487,5470,5450,5417,5332,5158,5187,4991,4952,5036,5039,5074,5095
"19","10","A     Transportation equipment manufacturing","KS336M0",16260,16488,17185,16998,18599,19306,19199,19501,19622,19856,19608,19856,19017,19354,19470,20036,19338,18634,18326,18278,18406,18311,17930,17629,17705,17644,17253,17251,17648,17480,17299,16928,17398,17270
"20","11","D       Motor vehicle and parts manufacturing","KS3MVM0",9916,10026,9965,10021,10384,11352,11102,10899,10890,11259,11051,12056,11915,11577,11712,11391,10893,10855,10656,10359,10662,10705,10959,10965,11086,11098,11053,11124,11246,11259,11187,10857,11104,11086
"21","12","D       Other transportation equipment manufacturing","KS3OTM0",6331,6450,7217,6972,8218,7951,8096,8600,8731,8596,8557,7800,7100,7778,7758,8645,8445,7784,7676,7917,7748,7613,6988,6683,6640,6568,6226,6155,6426,6247,6139,6096,6320,6211
"22","13","A     Furniture and related product manufacturing","KS337M0",3235,3366,3361,3407,3394,3460,3439,3412,3401,3417,3410,3536,3473,3634,3687,3635,3645,3602,3554,3443,3474,3570,3505,3559,3502,3558,3482,3464,3370,3587,3714,3737,3621,3768
"23","14","A     Miscellaneous durable goods manufacturing","KS339M0",5084,5100,5170,5307,5354,5494,5651,5729,5835,5792,5872,5901,5894,5895,5982,6004,6003,6033,5865,6001,6078,6110,6095,5867,5731,5813,5907,5886,5876,6162,6132,6131,5992,5980
"24","15","A   Nondurable goods industries","KS30NM0",62011,62112,62614,62944,63941,63468,63356,62673,62973,63590,64099,65798,65938,65743,65330,63822,63900,63188,62997,62961,63799,63999,64235,63529,64111,63795,63616,62375,62748,61658,61460,61297,61563,61276
"25","16","A     Food manufacturing","KS311M0",9907,9907,10186,10143,10337,10260,10268,10327,10618,10847,10697,11095,11117,10828,10835,10690,10689,10628,10649,10604,10505,10817,10635,10431,10574,10493,10497,10459,10218,9664,9605,9464,9238,9405
"26","17","A     Beverage and tobacco product manufacturing","KS312M0",7212,7311,7256,7064,7226,7103,7238,7130,6928,6752,6669,6847,6608,6547,6599,6206,6287,6459,6421,6338,6473,6433,6469,6389,6203,6216,6362,6040,6123,6020,6169,5871,5796,5728
"27","18","A     Textile mills","KS313M0",2323,2264,2288,2308,2344,2312,2243,2196,2154,2211,2240,2267,2195,2150,2158,2154,2109,2040,2013,1909,1851,1822,1887,1841,1904,1866,1869,1862,1876,1874,1840,1847,1837,1812
"28","19","A     Textile product mills","KS314M0",1290,1286,1289,1258,1227,1222,1196,1195,1255,1276,1258,1281,1308,1416,1471,1496,1490,1457,1462,1503,1351,1278,1226,1116,1121,1094,1037,1125,1111,1145,1164,1206,1215,1238
"29","20","A     Apparel manufacturing","KS315M0",2799,2824,2802,2730,2786,2718,2632,2633,2553,2574,2620,2692,2634,2563,2545,2500,2426,2341,2225,2027,2043,2010,2000,2040,2002,2006,1953,1927,1903,1906,1937,1915,1902,1887
"30","21","A     Leather and allied product manufacturing","KS316M0",485,517,526,538,532,534,561,517,514,511,487,498,495,487,455,466,481,482,474,428,408,375,375,389,377,377,369,383,372,376,369,385,369,355
"31","22","A     Paper manufacturing","KS322M0",7965,7653,7699,7906,7947,8078,7938,7572,7720,7909,8344,8358,8498,8496,8298,8014,7883,7647,7613,7713,7935,8173,8345,8521,8510,8478,8239,8046,7735,7725,7533,7329,7455,7497
"32","23","A     Printing and related support activities","KS323M0",2416,2420,2261,2504,2409,2362,2330,2113,2083,2173,2417,2533,2651,2502,2470,2313,2353,2173,2096,2265,2200,2504,2522,2523,2448,2506,2471,2440,2428,2526,2546,2648,2559,2529
"33","24","A     Petroleum and coal product manufacturing","KS324M0",5037,4975,4877,5070,4902,4469,4616,4807,4795,4512,4695,4856,4829,5022,4668,4249,4349,4611,4762,5040,4960,4823,4791,4765,4962,5332,5866,5372,5694,5452,5504,5485,5830,5664
"34","25","A     Chemical manufacturing","KS325M0",15842,16201,16568,16417,17088,17050,17073,17002,17123,17426,17129,17676,17903,18035,18294,18289,18348,18130,18118,18162,18412,18324,18636,18416,18768,18472,17974,17554,18121,17831,17490,17724,17637,17649
"35","26","A     Plastics and rubber product manufacturing","KS326M0",6825,6840,6914,7093,7156,7187,7177,7250,7282,7326,7531,7688,7694,7686,7525,7438,7474,7251,7216,7081,7766,7542,7458,7220,7328,7030,7051,7235,7185,7229,7392,7476,7693,7521
