"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2004 12:45:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","      Government consumption expenditures \1\","A955RA3",40.794,41.313,42.68,45.556,47.163,48.247,49.947,54.364,58.959,61.729,62.619,61.786,61.638,61.926,61.317,62.568,64.031,64.177,65.431,66.752,67.407,68.589,69.803,71.453,73.501,74.656,78.809,83.082,84.532,85.972,87.935,90.129,91.286,91.694,91.419,91.68,91.87,92.21,93.849,95.349,98.306,100,102.797,106.484,110.495
"9","2","        Gross output of general government","W101RA3",38.253,38.708,40.009,42.771,44.428,45.563,47.347,51.63,55.768,58.484,59.424,58.835,59.005,59.722,59.386,60.584,61.772,62.001,63.302,64.759,65.689,66.787,68.006,69.605,71.585,72.684,76.592,80.606,82.051,83.521,85.519,87.634,88.991,89.7,89.86,90.577,90.969,91.492,93.186,95.059,97.801,100,103.031,106.763,110.668
"10","3","          Value added","W102RA3",48.107,49.755,51.505,53.521,55.118,57.005,58.932,62.609,65.93,68.504,70.241,70.504,70.619,70.478,70.792,72.231,73.399,74.033,74.808,76.242,77.056,78.164,78.592,79.393,79.904,80.894,83.209,85.257,87.121,89.384,91.515,93.854,94.831,95.146,95.348,95.359,95.418,95.564,96.298,97.327,98.302,100,101.72,103.345,104.793
"11","4","            Compensation of general government employees","A194RA3",51.011,52.836,54.81,56.949,58.499,60.587,62.779,67.226,71.079,73.968,75.971,76.186,76.463,76.54,77.106,78.919,80.318,80.981,81.801,83.4,84.085,85.101,85.264,85.835,85.92,86.377,88.338,89.876,91.228,93.172,94.93,96.966,97.428,97.272,97.129,96.878,96.698,96.588,97.072,97.906,98.534,100,101.557,103.062,104.317
"12","5","            Consumption of general government fixed capital \2\","A265RA3",34.128,35.24,36.218,37.647,39.037,40.233,41.241,42.451,44.083,45.498,46.338,46.72,46.353,45.602,45.15,45.178,45.64,46.318,47.027,47.768,48.737,50.007,51.346,52.853,54.815,57.491,60.98,64.892,68.771,72.281,75.729,79.315,82.509,85.066,86.962,88.245,89.393,90.761,92.477,94.532,97.212,100,102.492,104.883,107.529
"13","6","          Intermediate goods and services purchased \3\","W104RA3",23.998,23.135,23.828,27.166,28.757,28.935,30.427,35.15,40.026,42.763,42.643,40.955,41.197,43.13,41.84,42.669,43.854,43.507,45.521,46.978,48.046,49.095,51.319,53.938,57.886,59.114,65.293,72.237,73.01,73.204,74.965,76.699,78.665,80.027,80.115,82.049,83.021,84.198,87.572,90.945,96.893,100,105.415,113.061,121.575
"14","7","            Durable goods","W105RA3",46.236,40.164,34.367,42.207,43.351,38.648,41.187,56.352,55.614,63.296,55.292,51.399,41.823,51.135,49.141,45.288,46.867,44.641,52.573,57.351,61.176,63.308,70.87,76.094,87.982,90.001,96.016,102.724,108.638,111.716,109.923,108.247,105.943,99.859,94.789,87.698,85.3,86.327,89.256,92.603,97.852,100,103.435,106.859,111.726
"15","8","            Nondurable goods","W106RA3",26.561,21.087,20.974,26.61,25.72,26.955,28.919,31.158,41.854,47.94,49.832,43.133,43.026,45.041,41.081,41.752,42.789,44.642,47.41,48.654,48.532,49.274,52.764,51.528,54.318,52.445,57.374,66.32,62.278,57.957,65.435,65.847,68.926,71.365,73.664,76.208,78.106,80.222,84.041,89.837,94.962,100,105.294,110.332,112.758
"16","9","            Services","W107RA3",19.047,21.243,23.434,24.984,27.764,28.324,29.441,33.532,36.858,37.414,37.729,38.369,40.292,41.066,40.92,42.501,43.689,42.628,43.411,44.46,45.652,46.689,47.472,51.61,54.902,57.405,64.163,70.376,72.202,73.676,73.795,76.49,78.593,80.534,80.506,83.382,84.456,85.319,88.589,91.153,97.451,100,105.672,114.648,125.63
"17","10","        Less: Own-account investment \4\","W108RA3",49.59,47.051,49.207,51.216,53.627,52.657,54.222,58.056,53.591,54.131,53.58,54.355,54.91,54.641,52.464,54.049,51.74,46.927,42.549,46.135,52.969,55.616,53.929,55.691,56.734,63.058,69.037,72.877,76.016,79.187,88.198,92.252,95.862,95.215,93.975,92.363,93.091,92.333,97.519,98.931,99.643,100,108.668,109.731,110.041
"18","11","              Sales to other sectors","W109RA3",16.998,17.26,17.956,19.945,22.027,23.877,26.499,29.884,31.19,33.82,35.423,36.808,39.828,44.693,47.097,47.856,46.956,48.548,51.032,53.636,56.503,56.76,58.425,59.66,61.286,61.456,63.347,65.472,66.794,68.391,70.069,71.505,74.057,76.856,79.892,83.639,85.256,86.997,88.758,92.945,94.523,100,104.039,108.262,111.795
"19","12","Federal consumption expenditures","A957RA3",69.05,68.018,69.264,75.839,77.814,77.312,78.333,86.906,96.772,100.087,97.887,90.776,86.244,83.797,79.051,78.367,77.719,76.754,78.305,79.893,81.014,84.502,88.266,91.277,95.736,96.938,102.698,107.173,109.725,109.383,110.961,112.664,112.968,110.596,106.837,103.728,100.722,98.814,99.064,97.063,98.688,100,103.943,111.858,121.996
"20","13","      Gross output of general government","W110RA3",69.226,68.103,69.251,75.779,77.768,77.262,78.357,87.216,96.377,99.539,97.392,90.378,85.91,84.174,79.664,79.191,78.174,76.989,78.788,80.517,81.868,85.159,88.687,91.583,95.903,97.242,102.968,107.443,110.132,109.967,111.551,113.344,113.805,111.331,107.417,104.773,101.217,99.378,99.096,97.261,98.499,100,103.679,111.33,121.209
"21","14","        Value added","W111RA3",88.599,90.25,92.112,95.926,96.789,97.73,98.415,104.869,111.672,113.541,113.847,108.958,103.942,98.867,95.168,94.865,94.331,94.478,94.741,95.934,95.843,97.358,98.852,100.456,102.807,105.124,108.116,110.035,112.914,114.311,115.719,117.823,118.534,116.046,113.81,110.101,105.953,103.042,101.102,99.953,99.149,100,100.232,101.93,105.277
"22","15","          Compensation of general government employees","B568RA3",107.641,109.331,111.688,116.709,116.681,117.32,117.958,128.121,138.245,140.387,140.806,133.314,126.684,120.419,115.946,116.285,115.709,115.804,115.927,117.431,116.728,118.235,119.526,120.7,122.521,123.742,125.482,125.392,126.839,126.614,126.788,128.073,127.659,123.184,119.592,114.39,108.758,104.769,102.137,100.582,99.176,100,100.139,102.174,106.058
"23","16","          Consumption of general government fixed capital","B995RA3",48.167,49.369,50.289,51.978,53.528,54.571,55.157,56.009,57.563,58.729,58.837,58.169,56.172,53.55,51.495,50.245,49.839,50.05,50.501,51.069,51.946,53.306,54.974,57.124,60.121,64.144,69.272,74.974,80.603,85.318,89.312,93.137,96.316,98.428,99.409,99.267,98.697,98.454,98.302,98.233,99.075,100,100.503,101.177,102.848
"24","17","        Intermediate goods and services purchased","W113RA3",46.605,43.131,43.555,51.983,54.845,53.016,54.433,65.09,75.986,80.219,75.743,66.819,63.101,65.355,59.887,59.215,57.646,54.91,58.507,60.853,63.891,69.149,74.907,79.245,85.796,85.919,95.043,102.774,105.183,102.939,104.751,106.099,106.211,103.776,97.438,96.387,93.735,93.541,95.847,92.931,97.444,100,109.322,126.895,147.796
"25","18","          Durable goods","W114RA3",75.755,64.624,53.908,67.35,68.888,59.955,63.391,89.703,87.797,99.66,83.331,74.238,54.178,68.619,62.98,54.478,56.644,51.242,64.64,72.564,78.817,83.033,95.659,104.071,124.022,125.65,134.597,143.622,152.764,157.126,151.592,147.183,140.972,128.056,116.961,101.372,92.929,93.017,93.784,94.762,100.136,100,102.207,107.68,115.79
"26","19","          Nondurable goods","W115RA3",102.247,62.009,56.101,91.133,80.425,81.994,88.063,98.308,165.611,197.392,198.279,135.768,118.237,125.566,95.205,95.455,84.645,80.007,84.036,86.389,87.381,101.374,123.342,111.025,117.817,94.39,109.109,143.573,107.764,68.887,110.037,100.886,105.188,104.445,102.027,94.185,86.28,88.448,93.318,95.331,90.007,100,109.072,123.429,122.325
"27","20","          Services","W116RA3",31.352,35.904,40.045,43.19,48.56,47.841,48.103,55.494,60.919,59.598,56.873,55.306,56.901,56.031,53.944,54.625,53.811,51.876,53.522,54.788,57.556,61.465,62.697,69.616,73.501,77.544,85.91,89.337,95.857,97.44,95.611,99.414,100.135,99.399,93.451,95.832,94.817,94.296,96.561,92.425,97.893,100,110.47,130.28,155.694
"28","21","      Less: Own-account investment","W117RA3",101.273,98.127,102.386,102.893,93.533,90.78,93.847,103.636,85.5,77.132,72.584,74.332,77.18,81.362,75.78,70.571,71.042,69.627,62.087,68.713,77.284,82.899,83.806,92.357,100.128,111.558,126.162,128.766,140.853,145.43,160.855,167.81,172.27,172.158,167.027,153.808,152.528,143.475,137.014,136.968,122.678,100,122.339,121.298,119.461
"29","22","            Sales to other sectors","W118RA3",59.801,53.753,46.988,52.289,59.919,60.158,65.364,93,63.295,60.464,63.25,59.968,57.215,106.289,120.993,138.651,108.774,90.818,114.878,124.39,138.41,127.953,117.307,110.459,103.608,110.804,109.937,115.1,124.786,136.933,132.515,138.844,149.778,138.193,123.098,160.384,113.905,120.744,83.11,92.781,72.598,100,74.496,66.494,62.819
"30","23","    Defense consumption expenditures","A997RA3",87.19,88.195,90.353,96.585,97.643,95.081,95.429,108.865,123.145,128.366,123.319,112.116,103.412,97.07,90.042,87.145,84.98,83.516,84.368,85.282,86.367,89.738,94.836,101.19,106.589,109.835,116.439,121.763,126.269,127.712,126.789,125.929,125.801,119.282,114.204,109.04,105.173,103.343,102.051,99.478,100.973,100,103.897,112.664,124.864
"31","24","      Gross output of general government","W085RA3",87.072,88.202,90.184,96.47,97.388,94.995,95.566,109.518,122.633,127.56,122.56,111.455,102.772,97.137,90.564,88.029,85.375,83.323,84.311,85.224,86.296,89.774,94.934,101.324,106.354,109.733,116.275,121.576,126.149,127.665,126.721,126.173,125.988,119.691,114.695,110.17,105.49,103.764,102.253,99.56,100.976,100,103.958,112.715,124.656
