"","Table 6#22D# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2005 8:28:34 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Corporate capital consumption allowances","A677RC0",652101,706424,748623,800628,875623,943313
"9","2","Agriculture, forestry, fishing, and hunting","N7722C0",5406,5838,5903,6160,7528,8166
"10","3","  Farms \1\","N7723C0",3730,4192,4279,4519,NA,NA
"11","4","  Forestry, fishing, and related activities","N7724C0",1676,1646,1624,1641,NA,NA
"12","5","Mining","N7725C0",12010,12267,12873,14113,17050,18919
"13","6","  Oil and gas extraction","N7726C0",3939,3854,4655,5086,NA,NA
"14","7","  Mining, except oil and gas","N7727C0",4926,5076,4777,4933,NA,NA
"15","8","  Support activities for mining","N7728C0",3145,3337,3441,4094,NA,NA
"16","9","Utilities","N7729C0",32780,33222,33973,34548,42220,45754
"17","10","Construction","N7730C0",15093,17282,19121,19935,25926,28983
"18","11","Manufacturing","N7731C0",234864,243066,251027,257398,273274,287357
"19","12","  Durable goods","N7732C0",140261,147171,156080,160866,175298,186676
"20","13","    Wood products","N7733C0",2845,2940,3118,3463,NA,NA
"21","14","    Nonmetallic mineral products","N7734C0",6530,7045,7643,8547,NA,NA
"22","15","    Primary metals","N7735C0",8217,8592,8508,8545,NA,NA
"23","16","    Fabricated metal products","N7736C0",9606,10307,10834,11087,NA,NA
"24","17","    Machinery","N7737C0",12050,12379,12806,14190,NA,NA
"25","18","    Computer and electronic products","N7738C0",25139,26100,26584,30705,NA,NA
"26","19","    Electrical equipment, appliances, and components","N7739C0",17137,17501,17944,20343,NA,NA
"27","20","    Motor vehicles, bodies and trailers, and parts","N7740C0",43931,45516,50596,45145,NA,NA
"28","21","    Other transportation equipment","N7741C0",7524,8633,9429,9806,NA,NA
"29","22","    Furniture and related products","N7742C0",1601,1762,1941,2118,NA,NA
"30","23","    Miscellaneous manufacturing","N7743C0",5681,6396,6677,6917,NA,NA
"31","24","  Nondurable goods","N7744C0",94603,95895,94947,96532,97976,100681
"32","25","    Food and beverage and tobacco products","N7745C0",18520,18267,18563,19077,NA,NA
"33","26","    Textile mills and textile product mills","N7746C0",2879,2804,2791,2501,NA,NA
"34","27","    Apparel and leather and allied products","N7747C0",2054,2013,2093,2190,NA,NA
"35","28","    Paper products","N7748C0",11865,11377,10835,11189,NA,NA
"36","29","    Printing and related support activities","N7749C0",5009,5527,5395,5579,NA,NA
"37","30","    Petroleum and coal products","N7750C0",23068,23403,22595,22570,NA,NA
"38","31","    Chemical products","N7751C0",25460,26104,25718,26191,NA,NA
"39","32","    Plastics and rubber products","N7752C0",5748,6400,6957,7235,NA,NA
"40","33","Wholesale trade","N7753C0",53568,57342,61345,61782,74093,79920
"41","34","  Durable goods","N7754C0",38936,41261,43383,41899,NA,NA
"42","35","  Nondurable goods","N7755C0",14632,16081,17962,19883,NA,NA
