"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2005 7:53:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Sources of private enterprise income","W259RC1",89,83.5,95.5,108.5,109.7,112.2,113.9,129.7,133.7,139.4,139.9,156.8,160.1,167.6,184,196.1,213,235.1,253.1,261.3,282.6,302,310.1,344,386.5,453.3,493.3,549.1,594.1,667,773,885.9,984,1201,1291.3,1391.9,1609.6,1736.2,1782.1,1903.2,2142,2370.6,2436.1,2388.1,2350.2,2392.8,2590.5,2899.9,3137.7,3426.7,3604.5,3844.2,4263.6,4217.3,4046.5,4221.4
"9","2","Net operating surplus","W260RC1",80.3,74.3,85.4,97,97,98.4,99.1,112.8,114.3,117.6,117.7,131,130.8,136.8,149.7,158.3,171.1,189.6,203,206.2,219.3,225.5,220.6,245.9,275.6,311.8,315.6,356,396,447.9,509.3,547,567.2,663.9,679.4,765,922.8,983.9,1012.4,1085.4,1209.6,1276.9,1313.5,1313.6,1383.2,1462.4,1572.8,1685,1850.9,2001.5,2092.8,2200.6,2299.1,2317,2396.3,2569.2
"10","3","Income receipts on assets","W261RC1",8.7,9.2,10.1,11.4,12.7,13.9,14.8,16.9,19.4,21.8,22.2,25.8,29.2,30.8,34.2,37.9,41.9,45.5,50.2,55.1,63.3,76.5,89.5,98.1,110.9,141.5,177.7,193.1,198.1,219.1,263.8,338.9,416.8,537.2,611.9,626.8,686.8,752.3,769.7,817.8,932.4,1093.8,1122.6,1074.5,967.1,930.3,1017.8,1214.9,1286.8,1425.2,1511.8,1643.6,1964.5,1900.4,1650.2,1652.2
