"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2005 8:00:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.8,27.1,29.1,28.9,31.5,34.3,36.6,37.7,41.1,44.6,47,50.4,53.4,57.3,60.8,63.3,68,76.5,84,91.5,100.6,108.1,117.3,125,135.5,146.6,159.9,171.2,180.4,200.7,236,241.3,263.7,290.2,308.5,323.7,347.9,374.9,399.3,425.5,457.5,483.8,503.4,545.6,558.2,581.1,612,639.8,674,708.9,728.6,762.6,798.1
"9","2","Federal","W007RC1",1.1,1,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4,4.8,6,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11,11.5,11.2,12.2,13.1,13.2,14.2,14.7,15.5,15.5,14.5,15.2,17,17.9,18.2,19.1,18.6,19.9,20.2,22.2,21.6,22.9,25.6,26,34,50.3,41.4,44.8,47.8,46.4,44,46.3,50.3,50.2,51.4,62.2,63.7,66.7,79.4,75.9,73.2,78.2,81.1,83.9,87.8,85.8,87.3,89.4
"10","3","  Excise taxes","B234RC1",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.2,9,9.8,10.3,10.8,10.4,11.2,12,12.2,13,13.5,14.2,13.9,12.6,13.3,14.7,15.5,15.7,16,15.6,16.7,16.5,16.4,17,17.5,18.5,18.5,26.9,41.7,32.8,35.7,35.9,34.3,30.3,30.7,33.9,32.7,33.9,45.3,45.4,46.9,57.9,56.1,54,58.6,61.5,64.7,66.7,65.2,67.4,67.9
