"","Table 6#13C# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 23, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2005 8:25:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Noncorporate capital consumption allowances","A1700C0",107678,113354,119255,112433,111053,115178,119170,122861,124206,133047,146676,157543,177128,195292
"9","2","Agriculture, forestry, and fishing","A1701C0",11517,11235,11564,11973,12491,12562,13001,13117,13793,14248,15072,16080,16814,17060
"10","3","  Farms","B1702C0",9805,9783,10146,10523,10836,10881,10946,11202,11589,11906,12444,13095,13364,13507
"11","4","  Agricultural services, forestry, and fishing","B1703C0",1712,1452,1418,1450,1655,1681,2055,1915,2204,2342,2628,2985,3450,3553
"12","5","Mining","B1704C0",9781,8603,7485,6811,6397,6613,6161,5777,5961,5878,6602,9267,10189,12633
"13","6","Construction","B1705C0",4203,4768,4457,4031,3887,4201,4947,5357,5329,5868,6481,6746,8005,8934
"14","7","Manufacturing","A1706C0",3259,3921,5103,5054,5203,5995,6276,5879,6347,8708,10007,9249,11540,13249
"15","8","  Durable goods","B1707C0",1872,2318,2981,2987,2781,2753,2947,2958,3307,5421,6226,5038,6466,6834
"16","9","  Nondurable goods","B1708C0",1387,1603,2122,2067,2422,3242,3329,2921,3040,3287,3781,4211,5074,6415
"17","10","Transportation and public utilities","A1709C0",8872,9411,10242,11015,11043,11334,14023,12585,14087,18321,21734,23684,28023,31310
"18","11","  Transportation","B1710C0",3838,3654,3897,3897,3831,3826,4262,4639,4795,5353,6274,8451,9032,9924
"19","12","  Communications","B1711C0",2814,3419,3845,4553,4494,4688,6607,4730,6363,10021,12251,12310,15742,18081
"20","13","  Electric, gas, and sanitary services","B1712C0",2220,2338,2500,2565,2718,2820,3154,3216,2929,2947,3209,2923,3249,3305
"21","14","Wholesale trade","B1713C0",1066,993,969,1080,1236,1228,1304,2038,1941,1624,2096,2002,2281,2529
"22","15","Retail trade","B1714C0",5444,5719,6161,5171,5612,5897,6487,7086,7268,7623,7865,7668,8809,9552
"23","16","Finance, insurance, and real estate","A1715C0",41823,45541,46278,44131,41785,42121,40898,44014,41393,42049,44470,47584,49944,54976
"24","17","  Finance and insurance","B1716C0",2167,2718,1875,2157,1970,1884,2228,2537,2879,3244,4122,4904,4478,4882
"25","18","  Real estate \1\","A1717C0",39656,42823,44403,41974,39815,40237,38670,41477,38514,38805,40348,42680,45466,50094
"26","19","Services","B1720C0",21713,23163,26996,23167,23399,25227,26073,27008,28087,28728,32349,35263,41523,45049
"27","20","  Hotels and other lodging places","B2616C0",4639,5083,5045,4784,4481,4392,4276,3916,4092,4231,4515,4757,4653,5236
"28","21","  Personal services","B2617C0",1331,1452,1625,1417,1311,1449,1509,1653,1472,1623,1576,1993,1801,1989
"29","22","  Business services","B2618C0",6310,6765,6429,6084,6417,7038,7464,7761,8332,8156,9953,9939,11654,13700
"30","23","  Auto repair, services, and parking","B2619C0",1505,1289,1271,1383,1584,1770,1759,2121,2331,2209,3090,4250,7689,8441
"31","24","  Miscellaneous repair services","B2620C0",519,524,357,341,439,390,529,613,487,518,461,535,858,877
"32","25","  Motion pictures","B2621C0",496,536,696,488,810,692,886,586,864,445,448,1680,1088,212
"33","26","  Amusement and recreation services","B2622C0",1045,1132,940,988,808,1464,819,1202,1196,1474,1639,1862,1736,2484
"34","27","  Health services","B2623C0",2883,3120,5951,3289,3388,3562,3849,3788,3823,4271,4416,4599,5075,5244
"35","28","  Legal services","B2624C0",1275,1332,1564,1562,1410,1491,1565,1613,1521,1783,1761,1738,1810,1822
"36","29","  Other \2\","B2625C0",1710,1930,3118,2831,2751,2979,3417,3755,3969,4018,4490,3910,5159,5044
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","research and testing services and for management and public relations; and services, not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
