"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"11","2","  Durable goods industries","KS30DM0",89529,91465,94489,96013,98307,99840,100565,100394,102508,102834,103685,105950,105947,109850,111507,113940,112095,109097,106089,105105,104343,102868,102541,102321,102445,101258,99031,98924,100139,101343,102028,103393,105468,106508,107291,108572,109806,110671,112827,113457,112491,111395,110082,110537,110154,108696,109283,111701,111642
"12","3","    Wood product manufacturing","KS321M0",3776,3769,3925,3982,3847,4119,4183,4176,4315,4170,4188,4454,4446,4388,4401,4320,4334,4398,4147,4178,4294,4326,4334,4323,4446,4365,4164,4380,4605,4665,4906,4821,5088,5084,5064,5132,5073,5269,5113,5102,5024,4875,4768,4611,4445,4317,4301,4223,4385
"13","4","    Nonmetallic mineral product manufacturing","KS327M0",3834,3913,3975,4034,3938,3953,4090,3997,3998,4005,4098,4081,4016,4151,4189,4156,4111,4104,4145,4070,4056,4102,4054,4072,4084,4077,4133,4070,4105,4180,4193,4277,4351,4391,4319,4362,4382,4428,4502,4492,4535,4471,4476,4515,4536,4390,4402,4297,4289
"14","5","    Primary metal manufacturing","KS331M0",9081,9125,9365,9587,9652,10251,10719,10790,10622,10401,10459,10698,10685,10499,10371,10180,10121,9748,9450,9418,8987,9111,9341,9429,9425,8963,8690,8358,8754,9385,9772,10287,10534,10825,10812,10655,10895,10871,11454,11487,11097,10702,10371,10113,10110,10464,10975,11963,12103
"15","6","    Fabricated metal product manufacturing","KS332M0",13646,13658,13799,14038,13905,14394,14419,14380,14210,14501,14826,14753,14733,15181,15117,15253,14940,14987,14729,14625,14788,14402,14490,14348,14962,14536,14193,14096,14137,14035,14303,14234,14723,14953,15082,15338,15521,15498,15433,15785,15600,15051,14942,14965,14650,14338,14735,15236,15063
"16","7","    Machinery manufacturing","KS333M0",13643,13921,14152,14454,14847,14841,15055,14613,15239,14932,15038,15241,14940,15650,15964,16084,16135,15571,15118,14965,15197,14957,14925,15195,15047,14963,14555,14395,14258,14333,14304,14501,14725,15193,15403,15669,15972,16077,16506,16791,16858,16883,17136,17263,17270,17075,17013,17421,17924
"17","8","    Computer and electronic product manufacturing","KS334M0",13714,14432,15343,15781,16261,16175,16075,15725,16853,17185,17364,18460,19178,21063,21863,23428,23035,21816,20861,20401,20024,19390,19068,18702,18667,18459,17842,18081,18532,18313,17923,18507,18535,18306,18786,19017,19216,19597,20169,20088,19927,20340,19675,19781,20051,19517,19604,19477,19460
"18","9","    Electrical equipment, appliance, and component manufacturing","KS335M0",5460,5727,5794,5873,5987,5936,5855,5938,5894,5922,6052,6102,6242,6195,6617,6701,6635,6582,6402,6389,6332,6327,6324,6263,6267,6220,6005,6000,5946,5976,6012,5961,6040,6062,6116,6085,6102,5934,5885,6057,6043,5919,5765,5935,5969,5902,5873,5740,5602
"19","10","    Transportation equipment manufacturing","KS336M0",18182,18288,19174,19090,20566,20923,20936,21591,21619,21922,21827,21924,21300,21761,21625,21985,20819,20264,20076,20024,19678,19403,19199,19326,19088,19067,18930,18924,19450,19822,20044,20315,20965,21057,20851,21271,21496,21958,22575,22355,22155,22077,21860,22263,22228,21895,21567,22329,21752
"20","11","      Motor vehicle and parts manufacturing","KS3MVM0",11189,11097,11054,11302,11445,12201,11937,12036,12257,12739,12509,13252,13175,12708,12800,12488,11981,11848,11588,11252,11397,11566,11898,11936,12039,12108,12118,12136,12426,12529,12567,12497,12928,12854,12627,12724,12828,12991,12931,13078,12882,12518,12521,12326,12094,11659,11284,11232,10811
"21","12","      Other transportation equipment manufacturing","KS3OTM0",6978,7177,8110,7777,9110,8712,8986,9538,9349,9174,9308,8667,8123,9043,8818,9481,8826,8408,8477,8755,8270,7830,7299,7386,7048,6959,6812,6790,7024,7292,7477,7819,8037,8203,8225,8548,8669,8967,9645,9277,9274,9560,9339,9934,10128,10228,10274,11086,10928
"22","13","    Furniture and related product manufacturing","KS337M0",3767,3909,3908,3952,3917,3971,3952,3931,3964,3984,3954,4071,4005,4138,4210,4202,4328,4171,4047,3952,4005,3998,4005,4082,4019,4045,3898,3921,3793,3993,4054,3996,3978,4047,4073,4165,4237,4197,4227,4261,4202,4267,4236,4243,4192,4113,4028,3981,3727
"23","14","    Miscellaneous durable goods manufacturing","KS339M0",5889,5932,6005,6110,6182,6298,6476,6570,6699,6597,6694,6709,6715,6682,6794,6835,6901,6939,6719,6770,6706,6687,6752,6603,6530,6565,6632,6614,6467,6597,6512,6492,6527,6589,6780,6876,6907,6880,6979,7025,7064,6951,6965,6986,6944,6833,6824,6932,7200
"24","15","  Nondurable goods industries","KS30NM0",77089,77193,77920,78519,79189,78340,78260,77677,78455,79355,79783,81156,80483,79993,79783,78397,77992,77561,77476,77138,76181,76600,77708,77746,77802,77367,76779,75955,76142,75455,75913,76185,77445,77094,76823,77369,77906,79050,79919,78355,77947,78603,79609,77945,78254,76790,74435,71061,69722
"25","16","    Food manufacturing","KS311M0",12458,12459,12741,12738,12884,12738,12690,12703,12960,13233,13059,13486,13389,13145,13106,12820,12600,12531,12634,12607,12460,12768,12777,12771,12918,12886,12497,12597,12410,11931,12210,12212,12242,12749,13026,12975,13063,13190,13190,13109,12457,12615,12895,12133,11864,11772,11356,11882,12122
"26","17","    Beverage and tobacco product manufacturing","KS312M0",7918,8046,7942,7801,7975,7887,7986,7875,7746,7661,7528,7602,7288,7241,7235,6940,6936,7135,7061,7119,7175,7142,7111,7198,6941,6925,6995,6807,6752,6713,6811,6673,6630,6715,6857,6769,6699,6736,6676,6728,6623,6565,6382,6362,6367,6299,6319,6278,6305
"27","18","    Textile mills","KS313M0",2397,2345,2359,2391,2402,2360,2292,2270,2264,2328,2351,2344,2277,2235,2241,2211,2114,2099,2130,2015,1977,1955,2002,1940,1975,1968,1938,1920,1934,1937,1931,1947,1948,1942,1928,1923,1919,1905,1922,1880,1872,1894,1813,1821,1786,1771,1726,1702,1633
"28","19","    Textile product mills","KS314M0",1348,1335,1345,1321,1297,1297,1267,1253,1294,1315,1308,1334,1362,1466,1530,1559,1563,1593,1576,1568,1433,1360,1324,1194,1203,1183,1162,1189,1202,1203,1227,1227,1258,1284,1253,1279,1293,1286,1300,1267,1273,1244,1239,1236,1258,1232,1238,1177,1055
"29","20","    Apparel manufacturing","KS315M0",2850,2871,2863,2776,2845,2773,2687,2685,2688,2712,2719,2728,2693,2599,2595,2538,2467,2294,2179,2059,2043,1992,1995,2016,2008,1995,1948,1927,1923,1935,1964,1935,1918,1901,1885,1874,1862,1828,1847,1852,1859,1872,1850,1893,1863,1843,1823,1770,1739
"30","21","    Leather and allied product manufacturing","KS316M0",567,608,620,622,601,612,640,595,590,593,567,570,568,563,530,533,554,570,549,493,493,469,448,451,451,461,455,454,455,462,455,464,463,446,455,476,438,466,498,513,517,511,557,555,541,517,505,499,541
"31","22","    Paper manufacturing","KS322M0",8864,8495,8585,8837,8763,8805,8714,8427,8645,8769,9230,9225,9214,9088,8944,8800,8760,8645,8639,8567,8618,8793,9020,9232,9005,9030,8916,8796,8643,8929,8969,8891,8888,8924,8888,8875,8919,8882,8829,8819,8760,8729,8703,8639,8507,8409,8317,8138,8024
"32","23","    Printing and related support activities","KS323M0",2676,2625,2449,2706,2620,2469,2466,2253,2385,2381,2574,2659,2744,2489,2514,2442,2532,2415,2280,2380,2366,2555,2568,2617,2575,2541,2540,2508,2542,2523,2548,2557,2590,2628,2476,2503,2579,2635,2558,2538,2541,2600,2680,2857,2863,2769,2581,2606,2247
"33","24","    Petroleum and coal product manufacturing","KS324M0",8265,8183,8160,8468,8468,7896,8006,8082,8352,8074,8301,8396,8071,8274,7861,7451,7794,8308,8407,8734,8275,8465,8413,8195,8552,8879,9317,8902,9526,9050,9132,9321,9779,9024,9282,9735,9729,10350,10900,9644,10073,10601,11320,10717,11341,11216,9756,7845,7819
"34","25","    Chemical manufacturing","KS325M0",20342,20723,21308,21263,21719,21583,21766,21900,21884,22328,22019,22575,22704,22822,23169,23110,22905,22706,22752,22735,22624,22441,23128,22971,23057,22607,22210,21949,21903,21906,21612,21808,22229,22238,21556,21659,21924,21974,22308,22353,22224,22054,21903,21736,21519,20510,21188,20062,19400
"35","26","    Plastics and rubber product manufacturing","KS326M0",8505,8629,8706,8836,8860,8917,8876,8966,9049,9162,9376,9481,9361,9390,9267,9152,9060,8800,8912,8687,8339,8350,8592,8760,8828,8697,8798,8784,8915,8878,9036,9153,9562,9271,9252,9304,9496,9760,9798,9661,9685,9714,9813,9782,9780,9786,9609,9140,8885
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2005 equals the current-dollar change in inventories for 2005 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2004 and 2005 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
