"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:20:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","A191RL1",3.1,0.2,3.3,5.2,5.6,-0.5,-0.2,5.4,4.6,5.6,3.2,-0.2,2.6,-1.9,4.6,7.3,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.6,2.7,4,2.7,3.8,4.5,4.5,4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.3,2.2,2.4
"9","2","Personal consumption expenditures","DPCERL1",3.7,2.4,3.8,6.1,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.3,1.5,1.4,5.7,5.3,5.3,4.2,3.4,4.2,2.9,2.1,0.2,3.7,3.5,3.9,3,3.5,3.8,5.3,5.3,5.1,2.6,2.6,3.1,3.8,3.5,3,2.2,-0.3,-1.6,1.9,2.3,1.8,2.4,2.5
"10","3","  Goods","DGDSRL1",3.1,0.8,4.2,6.5,5.2,-3.6,0.7,7,4.3,4.1,1.6,-2.5,1.2,0.7,6.4,7.2,5.3,5.6,1.8,3.7,2.5,0.6,-2,3.2,4.2,5.3,3,4.5,4.8,6.7,7.9,5.2,3,3.9,4.8,5.1,4.1,3.6,2.7,-2.5,-3,3.4,3.1,2.8,3.4,3.5
"11","4","    Durable goods","DDURRL1",3.7,-2.7,10,12.4,10.5,-6.4,0.2,12.5,8.8,5.2,-0.5,-8,1,-0.2,14.3,14.3,10,9.6,2,5.7,2.2,-0.4,-5.4,5.7,7.5,8,3.9,7.5,8.2,12.1,12.8,8.6,5.2,7.3,7.1,8.2,5.4,4.3,4.6,-5.1,-5.5,6.1,6.1,7.3,6.7,7
"12","5","      Motor vehicles and parts","DMOTRL1",3.7,-10.5,19.4,13.9,9.6,-16.5,-0.5,20.3,10.6,4.5,-6,-12.8,2.3,2.7,19.2,16.4,12.9,7.3,-4,5.8,-0.2,-1.6,-11.9,8.2,5.6,6.2,-1.6,4.8,6.8,10.5,9.2,3.2,5.1,5.3,2.9,2.8,-1.4,-3.7,2,-13.2,-7,2,3.2,7.2,5.1,7.9
"13","6","      Furnishings and durable household equipment","DFDHRL1",2.1,-0.1,4.5,10.4,10.6,-0.4,-5.2,6.1,9.1,5.3,4.1,-3.8,-1.9,-4.4,8.6,10,5.4,8.2,4.2,3.7,5.1,-1.4,-2.3,3.4,5.1,5.3,4.6,4.3,4.7,8.2,11.6,9.6,5.1,7.3,7.1,9.5,6.6,5.1,0.8,-4.6,-8.7,7,5.8,4.3,5.8,6
"14","7","      Recreational goods and vehicles","DREQRL1",6.7,7,3.4,16,10.5,0.4,7.1,8.8,6.7,6.7,5.2,-3.9,2.7,0.5,15.8,17.3,11.1,15.7,12,9.5,4.3,2.4,3.4,6.3,15.4,16.1,14.3,15.5,15.6,19.7,20.7,16.8,9.2,11.4,13,15.3,13.5,13.1,11.2,3.3,-1.6,10.9,9.9,11,10,8.7
"15","8","      Other durable goods","DODGRL1",3.9,4.9,4.6,5.5,13.6,4.9,5.8,10.1,5.7,5.5,-1.3,-8.5,1.5,0.2,9,11.4,7.5,11.4,3.6,3.4,1.3,0.5,-4.3,2,5,4.6,2.3,6.6,5,9.8,11.9,8.9,-2.1,6.2,9.4,8.9,7.4,7.2,4.7,-3.3,-5,4.2,5.5,5.5,5.9,3.5
