"","Table 3#15#3# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 17, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:26:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","B822RA3",32.402,32.598,34.334,36.565,37.457,38.39,39.63,43.086,46.5,48.096,48.171
"9","2","General public service","W575RA3",17.941,19.13,20.054,21.201,22.027,23.058,24.921,25.257,25.906,27.994,31.963
"10","3","National defense","B824RA3",53.936,53.498,56.159,59.877,58.56,56.742,55.98,63.203,71.129,72.266,69.292
"11","4","Public order and safety","W579RA3",16.406,17.231,17.957,18.225,18.91,20.088,21.049,21.978,22.781,24.849,25.906
"12","5","Economic affairs","W584RA3",37.827,36.411,38.126,42.359,47.115,51.408,55.117,56.535,57.752,59.452,59.626
"13","6","  Transportation","W589RA3",45.524,46.437,49.106,50.818,54.016,54.694,56.798,59.694,61.057,62.893,62.531
"14","7","  Space","W595RA3",5.652,13.682,22.114,39.94,74.996,100.828,121.231,129.695,111.303,102.084,90.891
"15","8","  Other economic affairs","W596RA3",38.406,31.288,29.833,33.085,30.781,33.147,33.96,31.54,38.111,42.634,46.573
"16","9","Housing and community services","W597RA3",40.244,40.909,44.814,50.436,47.099,53.903,55.339,55.796,57.807,63.899,58.98
"17","10","Health","W598RA3",14.361,15.212,15.998,16.256,16.975,17.997,18.028,19.373,21.048,23.128,24.481
"18","11","Recreation and culture","W599RA3",24.72,25.666,27.711,28.666,30.762,31.317,32.776,34.046,36.51,40.159,43.906
"19","12","Education","W600RA3",22.397,23.785,25.123,25.889,27.809,29.797,32.21,35.491,37.507,39.057,40.576
"20","13","Income security","W605RA3",11.879,11.354,14.305,16.156,16.189,16.198,19.899,22.485,24.653,23.379,25.976
"21","14","      Federal","B823RA3",41.095,40.393,42.342,46.121,46.225,46.059,46.41,51.354,56.562,57.436,56.034
"22","15","General public service","W611RA3",29.597,31.942,31.722,34.346,35.134,34.541,37.191,34.743,31.05,29.733,34.804
"23","16","National defense","B824RA3",53.936,53.498,56.159,59.877,58.56,56.742,55.98,63.203,71.129,72.266,69.292
"24","17","Public order and safety","W615RA3",5.41,5.602,5.693,5.833,6.057,6.033,6.187,6.316,6.677,6.846,7.756
"25","18","Economic affairs","W620RA3",28.529,24.779,25.034,32.273,37.598,44.357,48.666,48.99,49.359,51.257,52.171
"26","19","  Transportation","W625RA3",26.1,28.91,30.336,31.08,31.251,30.763,31.663,33.256,34.932,35.204,37.179
"27","20","  Space","W631RA3",5.652,13.682,22.114,39.94,74.996,100.828,121.231,129.695,111.303,102.084,90.891
"28","21","  Other economic affairs","W632RA3",40.899,29.915,26.328,31.546,26.284,27.734,26.772,23.44,30.957,37.782,43.092
"29","22","Housing and community services","W633RA3",13.55,23.314,42.695,57.166,71.603,58.748,48.628,62.657,84.597,41.378,40.89
"30","23","Health","W634RA3",8.994,9.617,9.986,10.504,10.807,11.384,10.644,12.695,14.506,16.715,17.394
"31","24","Recreation and culture","W635RA3",33.34,43.095,46.171,53.812,61.234,51.821,58.895,61.479,63.239,71.507,83.264
"32","25","Education","W636RA3",21.201,19.621,21.697,25.962,29.879,32.842,34.293,56.657,61.884,54.526,47.076
"33","26","Income security","W640RA3",19.44,16.548,27.798,34.187,31.465,25.843,35.332,40.005,42.778,29.066,31.195
"34","27","      State and local","B829RA3",24.528,25.593,27.149,27.946,29.583,31.561,33.652,35.75,37.539,39.788,41.177
"35","28","General public service","W646RA3",14.334,15.17,16.425,17.122,17.955,19.499,21.12,22.374,24.443,27.659,31.299
"36","29","Public order and safety","W650RA3",18.791,19.757,20.628,20.922,21.706,23.17,24.318,25.432,26.325,28.833,29.893
"37","30","Economic affairs","W655RA3",45.455,46.322,49.386,50.526,54.557,56.295,59.274,61.685,63.649,65.116,64.617
"38","31","  Transportation","W660RA3",49.209,49.724,52.631,54.533,58.344,59.266,61.608,64.754,66.036,68.187,67.332
"39","32","  Other economic affairs","W665RA3",31.843,33.883,37.392,35.962,40.653,45.126,50.216,50.057,54.339,53.425,54.159
"40","33","Housing and community services","W666RA3",41.625,41.78,44.792,49.886,45.523,53.483,55.618,55.244,56.039,65.108,59.931
"41","34","Health (net)","W671RA3",22.374,23.585,24.968,24.904,26.218,27.895,28.985,29.436,31.037,33.091,35.416
"42","35","  Gross expenditures","Y650RA3",17.828,18.225,19.123,19.845,20.835,22.282,23.809,25.08,27.083,29.791,31.507
"43","36","  Less: Sales to other sectors","Y651RA3",11.471,10.642,10.848,12.703,13.235,14.353,16.454,18.837,21.372,24.937,25.806
"44","37","Recreation and culture","W672RA3",24.257,24.297,26.271,26.539,28.11,29.748,30.626,31.781,34.366,37.596,40.575
"45","38","Education","W673RA3",22.42,23.851,25.179,25.896,27.789,29.763,32.19,35.207,37.18,38.848,40.485
"46","39","  Elementary and secondary","W674RA3",26.361,28.12,29.468,30.196,31.946,34.161,36.65,39.41,40.963,42.429,43.794
"47","40","  Higher","W675RA3",11.21,11.734,12.89,13.469,15.533,16.625,18.408,21.547,24.054,25.998,27.961
"48","41","  Libraries and other","W677RA3",16.859,17.848,19.41,20.524,23.117,25.796,30.425,36.237,41.674,44.696,48.658
"49","42","Income security","W678RA3",9.716,9.911,10.363,10.853,11.724,13.473,15.426,17.405,19.414,21.845,24.6
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
