"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:20:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","A191RX1",4712.5,4722,4877.6,5134.3,5424.1,5396,5385.4,5675.4,5937,6267.2,6466.2,6450.4,6617.7,6491.3,6792,7285,7593.8,7860.5,8132.6,8474.5,8786.4,8955,8948.4,9266.6,9521,9905.4,10174.8,10561,11034.9,11525.9,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15369.2,15710.3,16089.8
"9","2","Business \1\","A195RX1",3132,3130.4,3248.9,3460.6,3699.9,3643.4,3608.1,3850.9,4069.9,4327.6,4477.8,4435.3,4566.4,4429.4,4671.9,5083.2,5317.7,5512.6,5707.5,5952.1,6180.8,6281.9,6244.8,6509.3,6695.6,7020.7,7239.1,7577,7979.4,8389.2,8855.3,9253.2,9313.3,9480.6,9783.3,10224,10611.5,10947,11177.5,11046.2,10597.5,10934,11163.9,11508.9,11823.7,12168.6
"10","3","  Nonfarm \2\","A358RX1",3109.6,3105.4,3221.6,3438.1,3686.6,3631.2,3571.1,3825.8,4043.7,4311.5,4454.5,4414.8,4517.1,4372.8,4657.3,5046.7,5262.2,5462.8,5658.1,5915.7,6133.9,6228.4,6190.8,6442.2,6642.1,6949.6,7191.1,7516.4,7908.8,8325.3,8788.9,9172.6,9239.7,9403.7,9696.9,10131,10512.6,10847.6,11097.1,10954,10487.7,10822.6,11061,11417.2,11711.4,12071.1
"11","4","  Farm","B359RX1",27.3,28.1,29.5,29.5,29.2,28.6,34,32.5,34.3,33.1,36,34.9,46.1,48.4,31.5,42.7,52.6,50.5,51,45.5,51.7,55.5,55.6,64.4,56.8,69,54.9,63.6,71.2,67.7,70.7,83.9,77.7,80.9,89.8,96.1,101.6,102.4,86.2,94.7,109.8,111.5,105.7,99.7,113.9,105.1
"12","5","Households and institutions","A193RX1",608.3,620,647.9,674.1,698,727.3,753.1,764,770.9,804.5,832.7,861.2,879.8,904.7,933.5,961.1,987.2,1019.4,1061.6,1118,1162.2,1199.7,1226,1260.1,1322.8,1365.4,1406.4,1434.8,1478.3,1528.4,1571.8,1633.5,1670.7,1697.7,1732,1775.3,1829.2,1855.2,1857.2,1909.8,1913.6,1930.5,1945.5,1956.3,1985.6,2012
"13","6","  Households","B701RX1",353,361.7,379.6,395.9,409.8,428.8,441.6,448.3,449.1,475.1,490.4,507.6,515.1,520.4,532.8,548.6,570.2,582.9,601.6,626.3,644.8,657.6,669.3,687.2,718.6,752.9,779.2,795.4,817.3,839,873.2,912.8,943.5,951.3,976.9,1015.5,1066.4,1092.6,1084.7,1115.7,1110.1,1115.5,1121.3,1118.2,1136.4,1155.6
"14","7","  Nonprofit institutions serving households \3\","B702RX1",254.7,257.1,266.6,276.2,286.1,296,309.3,313.4,320,326.6,339.5,350.7,362.2,383.1,400.2,411.9,415.7,435.8,460,492.7,519.2,545.1,560.1,576.5,608.4,615.5,629.9,642.1,664.1,693.3,701.4,723,728.5,748.5,756.6,760.6,762.9,762.4,772.4,794.1,803.5,815,824.2,837.9,849.1,856.3
"15","8","General government \4\","A765RX1",1141.9,1147.6,1150.2,1149.7,1156,1179.6,1198.2,1209.3,1222.7,1247,1262,1281.7,1291.5,1307.6,1319.6,1339.8,1381.4,1419.8,1455.4,1496.9,1534.2,1573.1,1589.6,1596.7,1600.8,1602.6,1605.3,1608.8,1621,1639,1653.8,1680.9,1711.2,1743.5,1765.2,1777.8,1794.1,1809,1834.7,1872.9,1907.6,1919.5,1911.6,1904.6,1901.9,1910.3
"16","9","  Federal","A766RX1",496.7,480.8,463.6,446.4,434.1,434.8,433.7,435.5,437.9,444.4,446,454.1,462.4,471.7,484.3,497.7,514.7,528,545.2,556.2,565.2,575.6,579.2,570,560.7,545.3,528,515.7,507,501.7,498,500.9,503,511.6,525.3,533.4,540.8,545.3,553.1,574.2,603.6,624.3,630.9,630.7,618.6,618.2
"17","10","  State and local","A767RX1",613.3,640.7,667,690.2,714.5,740.5,763,773.1,785.1,803.6,818.3,829.6,829.5,835.1,831.9,837.1,861.2,886.3,903.8,934.8,963.7,992.6,1005.5,1022.7,1036.7,1054.8,1075.6,1092.3,1113.8,1137.6,1156.3,1180.7,1208.9,1232.6,1240.5,1244.8,1253.6,1264.1,1281.8,1298.9,1304,1295.2,1280.7,1273.9,1283.1,1291.9
"18","11","Residual","A961RX1",-142.1,-151.8,-150.3,-142,-136.2,-163.9,-167.3,-153.2,-133.1,-127.1,-118.5,-141.3,-114.7,-140.2,-146,-99.7,-82.8,-85.8,-87.1,-96.7,-92.1,-99.8,-112.1,-96.4,-102.3,-81.7,-83.9,-64.5,-47.3,-38.7,-22.6,-14.2,-19.1,-19.8,-14.9,-7.9,-3.7,-0.6,-1.6,-1.2,0,-0.3,-3.2,-8.4,-2.2,-8.4
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",450.4,465.9,488.4,512.1,529.5,556.2,574.6,581.2,590.5,616.2,633.9,659.5,674.3,688.3,706.8,726.3,764.4,787.5,809.8,836.4,853,870.3,889.6,914,945,983.2,1018.6,1036.5,1060.8,1085.5,1123.5,1163.7,1199.4,1204.2,1219.1,1260.2,1318.1,1352.1,1358.7,1398.5,1409,1429,1454.9,1464.4,1485.2,1506.5
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
