"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:51:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Gross domestic investment","W170RX1",878.7,824.5,869.4,937.4,1021.4,972.3,851.1,978,1085.5,1201.6,1247.8,1151.8,1229.6,1099.6,1195.5,1479.8,1515.4,1542.3,1596.6,1624.2,1683.2,1666,1578.2,1665.7,1755.5,1914.2,1969.5,2119.6,2325,2519.9,2721.6,2883,2757.9,2775.1,2885.5,3100.9,3264.8,3340.6,3266.6,3038.4,2525.1,2766.3,2845.8,3019.1,3108.6
"9","2","      Less: Consumption of fixed capital","A262RX1",480.6,501.5,518.9,538.7,566,590.4,609.4,628.2,652.8,682.5,716.9,749.2,778.3,808.8,836.4,872.6,921.2,968.1,1014.9,1058.9,1103,1144.9,1179,1210.3,1247,1289.7,1341.1,1399.3,1470,1555.7,1653.4,1755.4,1841.9,1905.1,1963.9,2032.6,2111,2194.4,2274.6,2338.4,2368.4,2382.4,2412.9,2456.1,2506.2
"10","3","      Equals: Net domestic investment","W171RX1",406.4,330.2,352.4,397.3,452.6,381.5,244.7,350.1,429.4,515,528.3,405.6,450.7,294.9,362.7,606.5,598.6,581.9,590.9,572.3,586.2,531.2,411.7,464.8,512.6,623.3,627.3,717.8,849.6,956.8,1060.5,1119.2,912.6,869.4,920.8,1064.9,1148.1,1140.9,988.4,698.6,156.8,384.6,434.8,567.2,608.1
"11","4","Gross private domestic investment","A006RX1",623.1,585.2,645.5,718.2,796.8,744,623.5,742.5,848.4,946.6,979.8,881.2,958.7,833.7,911.5,1160.3,1159.5,1161.3,1194.4,1223.8,1273.4,1240.6,1158.8,1243.7,1343.1,1502.3,1550.8,1686.7,1879,2058.3,2231.4,2375.5,2231.4,2218.2,2308.7,2511.3,2672.6,2730,2644.1,2396,1878.1,2120.4,2230.4,2435.9,2556.2
"12","5","Less: Consumption of fixed capital","B024RX1",330.7,347.7,363.4,381.9,407.4,429.6,446.1,461.8,482.9,508.5,538,564.6,587.9,611.9,632,658.6,695.1,728.6,762.2,794.2,827.6,859.3,885.1,910.1,941.9,981,1029.3,1083.5,1149.8,1229.5,1319.7,1413.8,1492.5,1547.9,1597.4,1655,1721.4,1792.2,1859,1908.9,1925.7,1928.3,1949,1985.5,2031.8
"13","6","Equals: Net private domestic investment","A557RX1",292.4,237.5,282.2,336.3,389.4,314.4,177.5,280.7,365.6,438,441.8,316.5,370.9,221.8,279.5,501.6,464.4,432.7,432.2,429.6,445.8,381.3,273.7,333.6,401.2,521.2,521.6,603.2,729.2,828.8,911.7,961.7,739,670.3,711.3,856.3,951.2,937.9,785.1,487.1,-47.5,192.1,281.4,450.4,524.3
"14","7","  Fixed investment","A007RX1",608.6,596.1,637,709.6,770.5,727.6,656.3,720.8,818.5,913.3,965.9,908.5,932.9,870.6,936.1,1087.7,1147.5,1168.3,1175.5,1214.3,1252.8,1234.7,1171.2,1235.4,1330.1,1439,1526.9,1662.3,1805.5,1990.1,2165.9,2316.2,2280,2201.1,2289.5,2443.9,2611,2662.5,2609.6,2432.6,2025.7,2056.2,2186.7,2368,2479.2
"15","8","  Less: Consumption of fixed capital","B024RX1",330.7,347.7,363.4,381.9,407.4,429.6,446.1,461.8,482.9,508.5,538,564.6,587.9,611.9,632,658.6,695.1,728.6,762.2,794.2,827.6,859.3,885.1,910.1,941.9,981,1029.3,1083.5,1149.8,1229.5,1319.7,1413.8,1492.5,1547.9,1597.4,1655,1721.4,1792.2,1859,1908.9,1925.7,1928.3,1949,1985.5,2031.8
"16","9","  Equals: Net fixed investment","A560RX1",277.9,248.4,273.7,327.7,363.1,298,210.2,259,335.6,404.8,428,343.9,345.1,258.6,304.1,429,452.5,439.7,413.3,420.1,425.2,375.4,286.1,325.3,388.2,457.9,497.7,578.8,655.7,760.6,846.2,902.4,787.6,653.2,692,788.8,889.5,870.3,750.6,523.7,100,127.8,237.7,382.5,447.3
"17","10","    Nonresidential","A008RX1",356.8,353.7,353.5,384.3,435.1,438.7,399.2,421.8,467.2,531.7,584.9,585,620.9,598.6,596,695.3,741.2,728.4,729.1,765.5,808.9,817.6,785.5,808.5,869,937.6,1028.5,1122.1,1242.9,1376.5,1510.1,1647.7,1608.4,1498,1526.1,1605.4,1717.4,1839.6,1948.4,1934.4,1633.4,1673.8,1802.3,1931.8,1990.6
"18","11","    Less: Consumption of fixed capital","A753RX1",237.3,250,261.1,274.1,293,309.6,321.7,333,348.3,367.1,389.3,410.5,429.9,451.1,468,489.3,518.9,545.1,570.9,595.7,622.2,648.3,669.8,690.2,716.3,748.7,789.8,836.2,893.2,961.9,1039.7,1121.8,1189.7,1234.1,1270.5,1312.3,1361.4,1417.2,1475.3,1523.5,1542.8,1548.8,1572.1,1609.3,1653.6
"19","12","    Equals: Net nonresidential","A593RX1",119.6,103.7,92.4,110.3,142.2,129.1,77.5,88.7,118.8,164.7,195.5,174.5,191,147.5,128,206,222.3,183.3,158.1,169.9,186.7,169.3,115.7,118.2,152.7,188.9,238.7,285.9,349.7,414.6,470.4,525.9,418.7,263.9,255.6,293.1,356.1,422.3,473.1,411,90.7,125,230.2,322.5,337
"20","13","      Structures","B009RX1",314.5,315.4,310.2,319.9,346.1,338.6,303.1,310.4,323.2,369.8,416.7,441.1,476.4,468.6,418,476.3,510.1,454.2,441.2,444.1,452.9,459.5,408.4,383.8,382.7,389.8,414.6,438.1,470.2,494.3,494.9,533.5,525.4,432.5,415.8,414.1,421.2,451.5,509,540.2,438.2,366.3,374.7,423.8,421.7
"21","14","      Less: Consumption of fixed capital","B188RX1",140.1,144.8,149.1,153.3,163.9,168.4,172.4,176.1,179.9,184.8,191,198.6,207.8,217.4,224.8,231.8,240,246.7,251.9,257,262,267.2,271.9,274.8,277.3,279.9,282.8,286.5,291.2,296.3,301.3,306.7,312.4,316.3,318.4,320.3,322.2,324.9,329,334.2,337.8,338.7,339.8,342.6,346.4
"22","15","      Equals: Net structures","A594RX1",174.4,170.6,161.1,166.6,182.1,170.2,130.6,134.3,143.2,185,225.7,242.5,268.6,251.3,193.2,244.5,270.1,207.5,189.3,187,190.9,192.3,136.5,109,105.5,109.9,131.8,151.5,179,198,193.6,226.8,213,116.2,97.4,93.8,99,126.6,180.1,206,100.4,27.5,34.9,81.2,75.3
"23","16","      Equipment","Y033RX1",120,117.9,118.8,134,158.8,162.1,145.1,154,177.9,204.8,221.6,211.8,219.7,203,212.4,253.6,267.5,270.6,271.6,289.5,304.8,298.5,284.8,301.7,340,381.7,427.8,468.6,520.7,589,662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,847.9,905.6,947.2
"24","17","      Less: Consumption of fixed capital","Y080RX1",102.1,107.7,112.8,119.3,128.2,137.3,143.5,149.2,157.3,167.3,179,188.8,196.6,205.4,211.4,219.6,232.5,243.1,254.4,264.5,274.7,283.2,288.6,293.8,303.6,318.8,340.6,364.3,391.4,424,461.3,500.6,532.3,552.3,569.2,589.9,616.4,649.2,683.7,707.3,707.2,702.5,713.3,731.2,754.2
"25","18","      Equals: Net equipment","Y081RX1",17.9,10.1,6.1,14.7,30.6,24.8,1.6,4.9,20.6,37.5,42.6,23,23.1,-2.4,1,34,35.1,27.5,17.2,24.9,30.1,15.3,-3.8,8,36.5,62.9,87.2,104.3,129.3,165.1,201.1,226.4,163.4,105.7,109.8,141.2,185.2,221.6,214.7,128.8,-62.9,44.2,134.7,174.4,193
"26","19","      Intellectual property products","Y001RX1",48.3,48.2,48.4,51.8,54.4,56,56.5,62.6,66.7,71.4,79.8,83.8,92.9,98.6,106.4,120.9,131.8,141,146.5,157,175.4,190.2,202.4,214.6,223.6,232.6,249.6,277.7,313.9,347.9,391.1,426.1,428,425.9,442.2,464.9,495,517.5,542.4,558.8,550.9,561.3,581.3,603.7,624.1
"27","20","      Less: Consumption of fixed capital","Y083RX1",37.7,40.5,42.8,44.8,47.2,49.5,51.4,53.5,56.1,59.1,63.1,67.6,72.4,77.6,83.2,90.4,99.2,108.1,116.5,125.4,136.2,148.6,160.7,173,185.2,196.6,208.2,222.6,243,268.6,297.8,329.1,355.2,373.3,388.6,405.5,424.3,443.5,462.7,482.1,497.8,507.5,519,535.4,553
"28","21","      Equals: Net intellectual property products","Y084RX1",10.6,7.7,5.6,6.9,7.2,6.5,5,9.1,10.7,12.3,16.7,16.2,20.5,21,23.2,30.5,32.7,32.9,30,31.5,39.2,41.6,41.7,41.6,38.4,36.1,41.3,55.1,70.9,79.3,93.3,97,72.8,52.6,53.6,59.4,70.7,74,79.7,76.7,53.1,53.8,62.3,68.3,71.1
"29","22","    Residential","A011RX1",281.9,267.2,338.3,397,394.5,317.1,278.8,340.5,410.3,437.7,421.3,333.1,305.7,250.3,355.4,407.9,417.2,469,478.2,474,458.7,419.7,382.3,435,470.6,512.8,495.5,535.9,548.9,596.3,633.8,637.9,643.7,682.7,744.5,818.9,872.6,806.6,654.8,497.7,392.2,382.4,384.5,436.5,488.4
"30","23","    Less: Consumption of fixed capital","A754RX1",104.7,109,114.2,120.8,127.8,133.6,138.2,143.2,149.5,157.1,164.5,169.7,172.5,173.6,175.8,180.7,186.7,194,201.8,209.2,215.7,220.7,224.5,228.6,233.9,239.9,246,252.7,260.6,270.2,281.2,292.1,302.1,313.1,326.4,342.2,359.2,374.1,383.2,385.3,382.9,379.5,376.8,376,377.9
"31","24","    Equals: Net residential","A748RX1",177.2,158.1,224.1,276.2,266.7,183.5,140.6,197.3,260.8,280.6,256.8,163.4,133.2,76.7,179.6,227.2,230.6,275,276.4,264.8,242.9,199,157.8,206.4,236.7,272.9,249.5,283.3,288.3,326.2,352.5,345.9,341.5,369.6,418.2,476.7,513.4,432.5,271.6,112.4,9.3,2.9,7.7,60.5,110.5
"32","25","  Change in private inventories","A014RX1",33.3,6.2,27.5,28.3,42.9,32,-14.1,37.7,47.5,50.2,30.8,-10.3,42.9,-21.7,-8.6,85.7,27.6,9,36.3,23.8,33.3,17.9,-2,19.5,24.1,75.4,34.6,33.8,84.8,79,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,37.6,57,63.5
"33","26","Gross government investment \1\","A782RX1",273.2,255.6,234.5,226,229.4,235.1,237.8,242.8,240.5,257.2,271.1,279,275.5,275.3,293.3,324.8,366.6,395.6,419.1,415.6,424.3,444.3,441,440.4,425.1,418.5,424.4,436.1,445.2,457.6,484.9,500.6,523.8,556.7,576.4,586.5,586.6,605.2,618.7,641,647,646.5,617.1,587.3,558.2
"34","27","Less: Consumption of fixed capital","A264RX1",159.2,162.9,164.3,164.9,166.2,168.1,170.5,173.5,176.7,180.3,184.7,189.9,195.7,202.2,210,220,232.5,246.5,260.4,273,284,294.4,302.9,309.3,313.7,316.4,318.6,321.5,324.9,329.6,336.1,343,350.2,357.7,366.8,377.9,389.7,402.2,415.5,429.4,442.7,454,463.8,470.5,474.4
"35","28","Equals: Net government investment","A889RX1",114,92.6,70.2,61.1,63.2,67,67.3,69.4,63.9,76.9,86.5,89.1,79.8,73.1,83.2,104.8,134.1,149.2,158.8,142.6,140.3,149.9,138,131.2,111.5,102.1,105.7,114.6,120.4,127.9,148.8,157.6,173.6,199,209.6,208.6,197,203,203.3,211.5,204.3,192.5,153.3,116.8,83.8
"36","29","    Federal","A890RX1",14.1,3.9,-5,-7.3,-5.2,-5.1,-3.1,1,3.5,8.5,10.1,13.1,15.1,14.3,21.3,27.5,41.2,46.3,53.1,32.5,23.2,22.3,11.2,7.5,-2.2,-10.4,-11,-9.5,-16,-11.2,-7.4,-9.1,-3.3,13.8,25.7,31.9,32.6,37,39,49.5,49.4,53.9,38.8,23.4,1.7
"37","30","      National defense","B891RX1",-10.6,-17.5,-24.6,-26.7,-23.9,-21.9,-20.1,-18,-16.5,-15.9,-12.9,-9,-4.4,2.6,11.8,17.6,30,34.3,38.1,22,11.7,7.2,-6.9,-13,-23.2,-26.9,-27.2,-25.7,-29.5,-27.1,-24.8,-22.3,-16.4,-3.4,7,14.8,17,20,23,32.4,30.3,28.3,16.2,6,-7.9
"38","31","      Nondefense","B892RX1",24.8,21,19.7,19.2,18.5,16.5,16.7,18.5,19.5,23.7,22.4,21.6,18.9,11.6,9.7,10,11.6,12.5,15.4,11,11.8,15.3,18.1,20.5,20.9,16.5,16.2,16.2,13.5,15.9,17.4,13.2,13.2,17.2,18.7,17.2,15.6,17.1,16,17.1,19.1,25.6,22.6,17.4,9.6
"39","32","    State and local","B893RX1",117.3,104.5,97.9,90.9,89.7,88.7,85.3,80.8,70.4,81.2,86.6,85.3,70.1,59.6,59.7,74.2,88.1,96.8,98.3,104.4,110.9,122.5,123,121.5,114.9,117.4,123.3,130.6,145.7,148,164.8,175.9,186,192.6,189.3,179.5,165.2,166.2,164.6,162.1,154.9,138.6,114.4,93.2,81.7
"40","33","  Structures","A760RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.4,305.3,320,335.9,337.8,329.5,314,315.1,314.5,316.6,318.9,312.3,290.3,263.9,248.3
"41","34","  Less: Consumption of fixed capital","B894RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.7,142.6,145.7,149,152.3,155.6,158.4,161,163.7,166.4,169.1,171.7,174.5,176.3,177.6
"42","35","  Equals: Net structures","A895RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.7,162.7,174.4,186.9,185.5,173.9,155.6,154.1,150.8,150.2,149.8,140.5,115.8,87.7,70.7
"43","36","      Federal","A896RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,-3.9,-5,-1.6,-0.3,-2.7,-6,-5,-1.8,1,5.2,8.8,4.7,-3.4,-8
"44","37","        National defense","B897RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.6,-5.8,-6.1,-5,-3.9,-4.5,-4.9,-4.8,-3,0.3,3.9,3.5,-0.2,-5.5,-7.1
"45","38","        Nondefense","B898RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,2,1.2,3.5,3.6,1.9,-1,-0.2,1.2,0.7,1.3,5.3,5,2.2,-0.9
"46","39","      State and local","B899RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.2,167.1,179.9,188.9,186.1,176.9,162.1,159.5,152.7,149.3,144.6,131.8,111,90.9,78.6
"47","40","  Equipment","Y054RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.3,79.8,83.1,92.5,98,105.4,111.4,122.5,131,147.2,148.3,151,143.4,140.3,132.9
"48","41","  Less: Consumption of fixed capital","Y085RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4,82.8,85.1,87,89.5,92.5,96,100.3,105.5,111.6,117.7,122.5,125.9,127.7,128.1
"49","42","  Equals: Net equipment","Y086RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,-3,-2,5.5,8.6,12.9,15.4,22.2,25.5,35.6,30.6,28.5,17.5,12.6,4.8
"50","43","      Federal","Y087RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.8,-10.1,-7.7,1.1,5.1,10.7,13.7,18.6,18,27.7,25,26.1,17.8,13.6,4.5
"51","44","        National defense","Y088RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.3,-11.4,-8.4,-1.5,2.3,7.3,9.1,12.7,13.7,22.2,20,20.3,13.6,9.8,3.2
"52","45","        Nondefense","Y089RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.3,0.7,2.5,2.8,3.4,4.6,5.9,4.3,5.4,5,5.8,4.3,3.8,1.3
"53","46","      State and local","Y090RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.5,5.3,4.2,3.3,2.1,1.6,3.5,7.5,7.9,5.6,2.3,-0.3,-1,0.3
