"","Table 3#15#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Public order and safety","W579RG3",12.248,13.184,14.266,15.339,16.396,17.726,19.521,20.688,22.407,24.245,25.917,28.293,31.058,32.909,35.627,37.632,39.735,41.126,42.911,45.281,48.032,50.897,53.388,56.283,58.129,60.373,62.263,63.651,65.183,66.658,69.634,73.299,76.08,78.247,81.129,85.512,89.142,92.497,96.093,99.98,100,102.618,105.556,107.543,108.185
"12","5","Economic affairs","W584RG3",15.82,17.213,18.451,19.322,20.654,23.843,26.239,27.02,28.153,29.499,31.697,35.301,39.268,41.998,43.247,43.836,45.017,46.267,47.65,49.02,50.396,52.279,54.163,55.174,56.455,58.047,60.31,61.747,63.2,64.25,66.151,68.942,70.643,72.402,74.397,77.915,83.569,88.575,94.617,100.02,100,102.453,106.296,109.111,110.877
"13","6","  Transportation","W589RG3",13.339,14.661,15.796,16.55,17.871,21.712,23.841,24.039,24.664,25.569,27.571,31.27,35.575,38.376,38.817,38.718,39.533,41.036,42.91,44.177,45.333,47.17,48.563,49.334,50.331,51.747,53.993,55.713,57.341,58.513,60.497,63.428,65.232,66.953,68.768,72.364,79.29,85.425,93.32,100.015,100,102.094,106.734,110.654,112.698
"14","7","  Space","W595RG3",24.029,25.459,26.935,28.028,29.728,32.692,35.61,37.435,39.457,41.9,45.162,49.701,54.115,57.691,60.13,62.622,64.25,65.206,66.253,68.891,71.224,72.978,75.226,76.462,77.934,79.536,82.128,82.821,83.735,84.146,85.357,87.44,88.022,88.71,90.191,92.187,94.253,96.156,97.874,99.827,100,102.518,104.494,104.604,105.663
"15","8","  Other economic affairs","W596RG3",18.822,20.403,21.807,22.879,24.138,26.084,28.907,30.507,32.337,34.211,36.587,39.979,43.565,46.188,48.41,49.727,51.449,52.382,53.069,54.364,55.951,58.007,60.77,62.199,63.991,65.951,68.198,69.283,70.547,71.51,73.401,76.067,77.776,79.825,82.297,85.944,89.66,92.989,96.334,100.068,100,103.079,105.856,107.146,108.532
"16","9","Housing and community services","W597RG3",14.534,15.476,16.776,18.134,19.543,22.09,24.98,26.486,28.384,31.102,34.291,38.175,41.186,42.484,43.875,45.353,46.522,47.15,48.191,49.696,51.526,53.075,53.27,54.248,56.202,58.16,59.729,61.289,62.479,62.871,65.365,69.184,71.537,72.858,75.411,80.486,87.545,93.506,98.689,102.777,100,103.132,107.847,110.836,112.368
"17","10","Health","W598RG3",21.304,22.943,25.007,26.702,28.682,31.092,34.032,35.418,37.806,40.418,42.722,45.807,49.188,50.411,52.121,53.707,55.468,56.197,56.964,58.746,59.83,60.552,61.464,61.89,62.692,64.56,66.96,67.959,69.824,71.998,75.241,79.291,81.437,82.19,83.278,86.618,90.412,93.22,96.785,101.544,100,102.722,106.524,107.154,107.871
"18","11","Recreation and culture","W599RG3",13.159,14.128,15.283,16.31,17.563,19.327,21.349,22.37,23.882,25.646,27.774,30.755,34.08,36.243,38.255,39.891,41.557,42.478,44.273,46.616,49.059,51.593,53.617,55.621,57.388,59.59,61.78,63.16,64.219,65.655,68.246,71.69,74.161,75.709,78.415,83.076,88.506,93.376,97.755,102.865,100,101.391,105.269,107.21,108.805
"19","12","Education","W600RG3",14.418,15.639,16.87,17.963,19.008,20.385,22.168,23.5,24.97,26.454,29.102,32.126,35.027,37.437,38.923,41.283,43.061,44.457,47.007,48.224,50.996,53.883,56.235,58.512,60.205,61.36,62.539,63.965,65.188,66.54,69.133,72.027,74.707,76.272,79.378,83.072,86.911,90.862,95.111,99.249,100,103.255,105.642,106.812,108.808
"20","13","Income security","W605RG3",14.306,15.538,16.896,17.955,19.14,20.695,22.641,24.032,25.866,27.75,29.808,32.757,35.983,38.279,40.596,42.681,44.694,46.06,47.744,50.229,52.928,55.649,58.333,60.789,62.648,64.659,66.647,67.859,69.148,70.139,72.219,75.243,77.528,79.406,82.059,85.587,89.071,92.323,95.73,99.436,100,102.21,105.011,107.103,108.346
"21","14","      Federal","B823RG3",19.221,20.726,22.415,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.862,46.949,50.184,51.828,53.779,54.92,55.227,55.653,57.361,58.929,60.807,63.068,64.642,66.04,67.79,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.31,84.773,87.736,91.449,94.448,97.319,100.286,100,102.614,105.422,106.341,107.53
"22","15","General public service","W611RG3",16.615,18.359,19.766,20.708,22.115,24.037,26.962,29.431,30.002,31.387,33.749,36.247,39.497,41.786,41.822,43.277,45.171,45.842,45.556,47.984,49.702,50.855,53.318,54.695,57.713,60.323,62.641,64.407,66.062,67.359,69.809,72.958,74.774,79.061,83.134,86.991,90.537,93.338,96.481,98.761,100,103.235,106.116,106.743,108.899
"23","16","National defense","B824RG3",18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.85,33.854,36.154,38.84,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.88,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.23,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100,102.365,105.274,106.415,107.275
"24","17","Public order and safety","W615RG3",17.997,20.097,22.28,23.665,25.453,26.738,29.17,30.755,32.759,34.785,36.885,39.593,43.068,45.55,46.439,48.497,50.157,51.029,51.408,54.099,56.15,57.807,61.04,62.248,64.864,66.86,69.165,70.553,71.911,73.074,75.277,78.124,79.968,82.647,85.244,88.336,91.623,94.377,97.05,99.364,100,102.424,105.281,106.251,107.936
"25","18","Economic affairs","W620RG3",22.418,24.264,25.916,27.02,28.544,30.706,33.631,35.322,37.239,39.226,41.831,45.651,49.696,52.785,54.796,56.234,57.934,58.858,59.262,60.584,61.954,63.589,66.465,67.37,69.255,71.052,73.524,74.455,75.63,76.335,77.865,80.125,81.266,83.272,85.599,88.584,91.772,94.469,97.119,99.586,100,103.216,105.642,106.187,107.854
"26","19","  Transportation","W625RG3",17.948,19.981,21.919,23.13,24.822,26.873,29.363,30.694,32.463,34.201,36.467,39.627,43.527,46.285,47.092,48.566,49.885,50.785,51.481,53.801,55.648,57.267,59.936,60.952,63.258,65.099,67.3,68.526,69.818,70.591,72.396,75.047,76.691,79.387,82.29,85.718,89.6,92.657,96.152,98.812,100,102.972,105.989,107.032,108.883
"27","20","  Space","W631RG3",24.029,25.459,26.935,28.028,29.728,32.692,35.61,37.435,39.457,41.9,45.162,49.701,54.115,57.691,60.13,62.622,64.25,65.206,66.253,68.891,71.224,72.978,75.226,76.462,77.934,79.536,82.128,82.821,83.735,84.146,85.357,87.44,88.022,88.71,90.191,92.187,94.253,96.156,97.874,99.827,100,102.518,104.494,104.604,105.663
"28","21","  Other economic affairs","W632RG3",23.159,25.281,26.955,28.031,29.394,31.168,34.265,36.02,37.947,39.858,42.361,46.154,50.149,53.196,55.406,56.515,58.355,59.277,59.414,59.896,60.694,62.301,65.576,66.309,68.241,70.117,72.651,73.583,74.836,75.643,77.207,79.413,80.586,82.831,85.231,88.408,91.738,94.59,97.236,99.822,100,103.569,105.883,106.349,108.148
"29","22","Housing and community services","W633RG3",25.981,29.158,31.926,33.66,36.009,38.067,41.767,43.951,46.371,48.452,51.187,54.788,59.991,63.558,64.186,66.573,68.609,68.981,69.077,72.336,74.743,76.403,79.379,78.762,79.969,80.387,80.059,77.908,77.745,76.415,77.923,75.33,74.56,77.116,79.291,83.002,87.815,91.94,95.89,98.994,100,103.27,106.701,107.429,109.751
"30","23","Health","W634RG3",19.093,21.033,22.979,24.26,25.936,27.821,30.264,31.833,33.738,35.806,38.18,41.283,44.996,47.844,49.213,51.451,53.154,54.005,54.626,57.27,59.471,61.229,64.172,65.431,67.931,69.987,72.585,73.831,75.163,76.1,77.884,80.459,81.834,83.794,86.252,89.031,91.782,93.914,96.626,99.288,100,103.258,105.834,105.998,107.658
"31","24","Recreation and culture","W635RG3",15.937,17.581,19.299,20.375,21.824,23.242,25.45,26.859,28.489,30.079,32.037,34.51,37.555,39.745,40.516,42.387,43.912,44.717,44.963,47.665,49.621,51.144,54.778,56.146,59.075,61.449,63.887,65.585,67.385,69.442,72.491,75.706,77.98,80.535,83.345,86.881,90.926,94.637,97.831,100.045,100,101.399,103.779,104.684,106.994
"32","25","Education","W636RG3",21.046,22.805,24.632,25.775,27.483,29.663,32.556,34.357,36.38,38.365,41.019,44.386,48.338,51.214,52.16,53.757,55.105,55.875,56.623,58.798,60.777,62.48,64.779,65.665,67.856,69.49,71.455,72.201,73.189,73.896,75.343,77.761,79.362,81.436,83.788,86.835,90.204,92.98,96.089,98.658,100,102.287,105.198,106.408,108.061
"33","26","Income security","W640RG3",16.461,18.562,20.758,22.075,23.723,25.096,27.473,28.998,30.73,32.418,34.543,37.265,40.566,42.941,43.764,45.687,47.269,48.12,48.412,51.237,53.304,54.917,58.575,59.894,62.743,65.086,67.517,69.144,70.648,71.705,73.847,76.645,78.367,81.775,85.059,88.532,91.79,94.32,96.839,99.171,100,102.672,105.593,106.501,108.162
"34","27","      State and local","B829RG3",14.18,15.323,16.505,17.56,18.716,20.767,22.768,23.868,25.372,27.017,29.399,32.582,35.822,38.01,39.698,41.405,43.095,44.339,46.407,47.955,50.275,52.781,54.621,56.599,58.046,59.591,61.209,62.624,63.998,65.287,67.877,71.162,73.628,75.143,77.761,81.719,86.333,90.677,95.426,100.279,100,102.714,105.923,107.947,109.377
"35","28","General public service","W646RG3",15.983,17.045,18.089,19.133,20.266,22.505,24.65,25.884,27.95,30.154,32.893,36.789,40.638,42.864,44.842,46.781,48.952,49.303,50.713,52.683,55.132,57.635,59.061,61.002,62.637,64.266,65.923,67.153,68.234,68.535,70.601,74.173,75.773,76.88,79.575,83.579,88.454,92.867,96.928,101.961,100,102.259,105.571,107.628,108.727
"36","29","Public order and safety","W650RG3",11.72,12.583,13.59,14.627,15.626,16.939,18.67,19.796,21.477,23.282,24.908,27.236,29.924,31.712,34.511,36.493,38.606,40.021,41.895,44.22,47.014,49.965,52.375,55.419,57.175,59.441,61.278,62.662,64.208,65.716,68.775,72.534,75.431,77.527,80.45,85.037,88.723,92.178,95.929,100.097,100,102.656,105.611,107.808,108.247
"37","30","Economic affairs","W655RG3",12.822,14.005,15.049,15.809,17.042,20.627,22.772,23.13,23.89,24.928,26.944,30.477,34.494,37.098,37.953,38.099,39.032,40.463,42.35,43.739,45.115,47.136,48.542,49.621,50.607,52.111,54.288,55.975,57.568,58.78,60.849,63.872,65.804,67.45,69.294,73.034,79.767,85.808,93.418,100.235,100,102.05,106.67,110.699,112.518
"38","31","  Transportation","W660RG3",12.761,14.003,15.051,15.752,17.026,21.042,23.121,23.194,23.686,24.492,26.456,30.202,34.542,37.342,37.736,37.436,38.188,39.756,41.756,42.898,43.971,45.824,47.063,47.803,48.636,49.996,52.241,54.013,55.674,56.887,58.882,61.824,63.634,65.238,66.909,70.525,77.848,84.407,92.915,100.196,100,101.958,106.866,111.279,113.356
"39","32","  Other economic affairs","W665RG3",13.269,14.204,15.248,16.266,17.353,19.377,21.785,23.16,24.837,26.657,28.866,31.731,34.792,36.846,39.128,40.786,42.366,43.331,44.831,47.14,49.677,52.357,54.431,56.859,58.465,60.566,62.422,63.732,65.021,66.208,68.568,71.904,74.341,76.149,78.708,82.936,87.129,91.044,95.241,100.373,100,102.398,105.878,108.376,109.181
"40","33","Housing and community services","W666RG3",14.188,15.063,16.313,17.688,19.079,21.713,24.613,26.111,28.01,30.772,33.986,37.889,40.852,42.088,43.511,44.969,46.119,46.759,47.833,49.302,51.123,52.672,52.813,53.821,55.811,57.839,59.448,61.08,62.304,62.751,65.299,69.119,71.463,72.757,75.321,80.431,87.552,93.563,98.779,102.897,100,103.127,107.895,110.986,112.483
"41","34","Health (net)","W671RG3",23.103,24.522,26.687,28.723,30.971,33.863,37.252,38.412,41.261,44.399,46.559,49.538,52.451,51.891,53.933,54.661,56.435,56.992,57.91,58.619,58.411,58.012,56.822,56.379,55.355,56.967,59.09,59.772,62.335,66.29,71.648,77.898,81.335,80.078,78.988,83.23,88.588,92.383,97.176,104.912,100,101.857,107.817,109.299,108.335
"42","35","  Gross expenditures","Y650RG3",13.022,13.903,14.891,15.878,16.995,18.607,20.552,21.741,23.44,25.336,27.209,29.83,32.734,34.802,37.485,39.45,41.452,43.035,44.938,47.461,50.289,53.068,55.555,58.243,60.067,62.126,64.224,65.487,66.889,68.518,70.939,73.983,76.503,78.082,80.662,84.467,88.172,91.764,95.353,99.745,100,102.482,105.714,107.829,109.023
"43","36","  Less: Sales to other sectors","Y651RG3",8.258,8.916,9.265,9.722,10.289,11.287,12.544,13.751,14.895,16.192,17.867,20.229,23.009,26.07,28.865,31.214,33.219,35.169,37.429,40.728,45.043,49.558,54.183,58.658,62.029,64.301,66.377,67.9,68.802,69.508,70.766,72.558,74.752,77.337,81.384,85.005,87.961,91.457,94.476,97.23,100,102.774,104.807,107.191,109.325
"44","37","Recreation and culture","W672RG3",12.681,13.54,14.606,15.622,16.842,18.666,20.66,21.612,23.11,24.922,27.094,30.183,33.573,35.738,37.949,39.551,41.238,42.174,44.163,46.46,48.962,51.615,53.444,55.528,57.135,59.312,61.467,62.804,63.789,65.14,67.671,71.141,73.633,75.053,77.744,82.567,88.194,93.224,97.759,103.248,100,101.392,105.516,107.626,109.109
"45","38","Education","W673RG3",14.36,15.577,16.803,17.896,18.935,20.305,22.078,23.406,24.871,26.351,28.997,32.017,34.908,37.314,38.804,41.17,42.953,44.353,46.918,48.127,50.904,53.799,56.151,58.44,60.128,61.279,62.45,63.883,65.108,66.466,69.07,71.968,74.659,76.219,79.333,83.034,86.879,90.842,95.102,99.254,100,103.264,105.646,106.816,108.815
"46","39","  Elementary and secondary","W674RG3",13.295,14.434,15.554,16.565,17.519,18.742,20.34,21.576,22.92,24.276,26.688,29.417,32.109,34.488,36.009,38.358,40.151,41.667,44.122,45.383,48.059,50.873,53.333,55.735,57.608,58.926,60.243,61.82,63.197,64.715,67.297,70.154,72.914,74.705,78.083,82.059,86.114,90.196,94.584,98.955,100,103.547,106.285,107.86,110.188
"47","40","  Higher","W675RG3",19.742,21.428,23.276,24.858,26.323,28.298,30.918,32.723,34.746,36.769,40.734,45.27,49.068,51.5,52.593,54.992,56.616,57.334,60.545,61.231,64.514,67.83,69.556,71.141,71.825,71.981,72.279,73.031,73.459,74.059,76.884,80.01,82.468,82.962,84.827,87.153,89.968,93.452,97.205,100.303,100,102.164,102.995,102.59,103.576
"48","41","  Libraries and other","W677RG3",14.584,15.571,16.607,17.534,18.615,20.496,22.499,23.795,25.466,27.238,29.649,32.783,35.988,38.486,40.572,42.847,44.794,46.276,48.407,50.311,53.001,55.701,57.976,60.401,62.11,63.859,65.648,66.902,68.256,69.451,71.508,74.268,76.537,77.918,80.698,84.372,88.257,91.809,95.653,100.318,100,102.985,106.212,107.909,109.165
"49","42","Income security","W678RG3",13.66,14.637,15.77,16.755,17.813,19.412,21.233,22.585,24.464,26.431,28.481,31.533,34.761,37.043,39.772,41.899,44.016,45.491,47.452,49.863,52.668,55.576,58.081,60.747,62.406,64.35,66.253,67.392,68.641,69.617,71.68,74.724,77.079,78.718,81.252,84.779,88.309,91.785,95.466,99.498,100,102.093,104.863,107.238,108.379
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
