"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2015 9:49:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Personal consumption expenditures","DPCERX1",7775.9,8170.7,8382.6,8598.8,8867.6,9208.2,9531.8,9821.7,10041.6,10007.2,9847,10036.3,10263.5,10449.7,10699.7
"9","2","Goods","DGDSRX1",2460.9,2588.3,2666.6,2770.2,2904.5,3051.9,3177.2,3292.5,3381.8,3297.8,3198.4,3308.7,3411.8,3506.5,3626
"10","3","  Durable goods","DDURRX1",698.3,758.3,798,856.6,917.6,992.9,1046.9,1091.5,1141.7,1083.2,1023.3,1085.7,1151.5,1235.7,1319
"11","4","    Motor vehicles and parts","DMOTRX1",335.8,346.4,364.1,383.3,394.6,405.5,400,385.1,392.8,340.8,317.1,323.4,333.8,357.9,376
"12","5","      New motor vehicles (55)","DNMVRX1",188.2,198.4,217.8,234.5,245.7,248.2,243.5,229.5,232,187.2,165.6,178.6,198.5,222.6,232.2
"13","6","      Net purchases of used motor vehicles (56)","DNPVRX1",95.1,94.9,94.5,97.1,95.3,100.6,97.7,96.2,100.1,96.9,99.7,91,81.1,81.6,89.1
"14","7","      Motor vehicle parts and accessories (58)","DMVPRX1",52.6,53.3,51.4,51,53.4,56.8,59.6,60.5,61.5,57,51.8,54.4,56.5,56.8,57.7
"15","8","    Furnishings and durable household equipment","DFDHRX1",171.2,187.7,197.3,211.7,226.8,248.3,264.8,278.3,280.4,267.7,244.3,261.5,276.6,288.4,305.1
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1",96.4,106,110.5,117.9,126.4,140,152.4,162.4,167.4,158.9,144.6,155.9,165,173,183.2
"17","10","      Household appliances (part of 33)","DAPPRX1",31.9,34.7,36.7,39,41.7,46.7,48.6,49.4,47.6,45.5,41.1,43.6,45.6,44.8,47.4
"18","11","      Glassware, tableware, and household utensils (34)","DUTERX1",27.2,30.4,32.9,36.7,39.6,41.4,43,45.5,45.5,43.8,41.1,43.9,47.2,51.5,55.3
"19","12","      Tools and equipment for house and garden (35)","DTOORX1",16.5,17.2,17.8,18.5,19.7,20.9,21.2,21.2,20,19.4,17.5,18.1,18.8,19.3,19.4
"20","13","    Recreational goods and vehicles","DREQRX1",113.1,132,144.2,160.7,181.6,209.3,237.6,268.8,299,308.7,303.8,336.8,370.2,410.8,452
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1",39,47.4,54.2,63.6,75.1,91.5,110.6,133.1,157.6,173.3,184.9,217.1,244.3,277.3,312
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1",31.9,36.7,39.6,42.4,44.8,48.3,51.7,55.9,57.7,56.3,50.9,52.9,58.5,64.1,69.1
"23","16","      Sports and recreational vehicles (79)","DWHLRX1",34.4,37,37,38.4,43.5,48.5,51,52,53.4,47.5,37,35.5,36,39,41.7
"24","17","      Recreational books (part of 90)","DRBKRX1",24,25.9,25.9,26.4,27.2,27.5,27.7,28.1,27.8,27.4,26.4,27.4,28,28.5,29.5
"25","18","      Musical instruments (part of 80)","DMSCRX1",3.8,4.7,4.8,5,5,5.3,5.3,5.5,5.5,5.2,4.6,4.6,4.8,5,4.9
"26","19","    Other durable goods","DODGRX1",106,115.4,112.9,119.9,131.1,142.8,153.3,164.4,172.2,166.5,158.2,164.9,173.9,183.5,194.4
"27","20","      Jewelry and watches (part of 119)","DJRYRX1",49.4,53.6,51.9,55.1,60.3,65.3,70,73.5,73.2,66.5,60.3,61.2,62.5,64.5,68.6
"28","21","      Therapeutic appliances and equipment (42)","DTAERX1",34,36.1,35,37.3,39.9,42.8,45.7,48.6,52.7,53,52.7,56,58.9,61.1,62.3
"29","22","      Educational books (96)","DEBKRX1",15.8,15.6,15,14.7,14.2,13.6,12.9,12,10.8,10.1,9.2,9,8.6,8,7.9
"30","23","      Luggage and similar personal items (part of 119)","DLUGRX1",11.2,13.1,12.6,13.5,15.3,17.5,19.7,22,23.9,24.1,23.3,25.5,29.6,32.6,37.3
