"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:54:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed investment in equipment","Y032RL1",8.4,-1.6,1,12.9,18.4,2.1,-10.4,6.1,15.4,15,8.2,-4.3,3.7,-7.5,4.8,19.3,5.5,1.3,0.4,6.5,5.2,-2.1,-4.6,5.9,12.5,12.1,12,9.4,11,13.1,12.4,9.7,-4.2,-5.3,3.2,7.7,9.6,8.6,3.1,-6.9,-22.8,15.8,13.5,6.7,4.6
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential equipment","Y033RW2",8.15,-1.75,0.8,12.52,18.15,2.04,-10.29,6.04,15.26,14.87,8.07,-4.35,3.66,-7.49,4.57,19.07,5.41,1.13,0.36,6.48,5.2,-2.04,-4.51,5.85,12.5,12.08,11.93,9.41,11,12.99,12.34,9.64,-4.26,-5.35,3.15,7.59,9.51,8.53,3.13,-6.85,-22.68,15.69,13.4,6.74,4.55
"12","3","  Information processing equipment","Y034RW2",3.54,2.05,1.39,3,3.81,2.88,-0.69,3.11,5.27,6.67,4.57,3.82,4.11,0.28,4.97,8.85,3.29,2.45,1.49,3.11,3.28,0.46,0.69,5.05,4.94,4.81,6.9,7.07,7.15,8.24,7.65,7.3,-0.44,-1.68,3.23,3.52,2.94,4.16,3.69,0.14,-3.02,3.9,0.58,1.03,0.93
"13","4","    Computers and peripheral equipment","B935RW2",1.22,0.84,1.19,1.95,0.32,1.1,0.01,1.38,1.57,3.14,2.28,2.39,2.9,0.13,3.77,5.49,2.53,1.49,2.46,1.5,2.23,-0.12,0.83,3.53,2.98,2.54,5.09,4.88,5.15,5.36,5.03,2.72,0.31,0.55,1.12,1.36,1.2,2.2,1.24,0.56,-0.04,1.19,-0.22,0.42,-0.02
"14","5","    Communication equipment \1\","C275RW2",1.3,0.84,-0.28,-0.47,1.62,0.19,-0.5,0.72,2.73,1.57,1.64,1.12,0.42,0.05,-0.06,1.41,0.77,0.61,-0.03,1.36,-0.03,0.42,-0.45,0.79,0.78,2.08,1.77,1.61,1.74,1.99,2.76,4.02,-1.01,-2.79,1.13,1.27,0.45,1.51,1.41,-0.57,-1.48,1.67,0.2,1.17,0.81
"15","6","    Medical equipment and instruments","W176RW2",0.31,0.19,0.3,0.2,0.35,0.27,0.03,0.28,0.11,0.3,0,-0.04,0.27,0.62,0.25,0.29,0.09,0.08,0.24,0.26,0.19,0.39,0.27,0.44,0.47,-0.2,0.03,0.36,0.53,0.68,0.33,0.45,0.41,0.71,0.61,0.62,1.18,0.35,0.98,0.08,-0.63,0.55,0.28,-0.19,0.25
"16","7","    Nonmedical instruments","W177RW2",0.06,0.09,-0.08,0.33,0.16,0.35,-0.14,0.12,0.98,0.24,0.05,0.07,0.1,0.06,-0.06,0.56,0.1,0.01,-0.02,0.01,0.62,0.19,0.03,0.13,-0.01,0.15,0.28,0.11,-0.29,0.05,0,0.15,0.1,0.03,-0.18,0.23,0.11,0.12,0.3,-0.01,-0.57,0.43,0.22,-0.32,-0.13
"17","8","    Photocopy and related equipment","C285RW2",0.3,0.36,0.45,0.69,0.67,0.4,0.28,0.24,-0.11,0.47,0.02,0.07,0.27,0.03,-0.1,0.68,-0.16,0,0.01,0.21,0.17,-0.13,0.09,0.05,0.62,0.24,-0.28,0.08,0.02,0.26,-0.25,-0.07,-0.37,-0.24,0.11,0,-0.04,-0.07,0.26,0.04,-0.18,0.1,0.14,0.01,0.01
"18","9","    Office and accounting equipment","B936RW2",0.33,-0.27,-0.18,0.3,0.69,0.58,-0.38,0.38,0.01,0.95,0.58,0.21,0.14,-0.61,1.16,0.4,-0.05,0.26,-1.17,-0.24,0.12,-0.29,-0.09,0.12,0.11,-0.01,0.01,0.03,-0.01,-0.1,-0.22,0.02,0.13,0.06,0.43,0.04,0.03,0.05,-0.51,0.03,-0.13,-0.04,-0.04,-0.05,0
"19","10","  Industrial equipment","A680RW2",1.94,0.41,-2.46,2.17,4.88,2.08,-4.49,0.14,1.68,2.97,1.89,-1.16,-0.44,-2.32,-2.1,3.42,1.07,-0.11,-0.59,1.2,1.68,-1.45,-1.58,0.45,2.06,2.14,2.34,0.91,0.52,1.01,0.14,1.81,-1.58,-1.43,0.09,-0.39,1.73,1.74,0.67,-1.06,-5.13,-0.12,4.41,0.86,0.86
"20","11","    Fabricated metal products","C263RW2",0.6,0.52,0.07,0.14,0.75,0.36,-0.1,0.41,-0.33,0.07,0.45,-0.33,-0.03,-0.41,-0.25,-0.17,-0.05,-0.18,-0.25,0.1,0.16,-0.01,0.01,0.03,-0.05,0.15,0.07,0.17,-0.29,0.07,0.11,0.07,-0.03,-0.19,0.15,0.01,0.13,0.24,0.16,0.09,-0.56,-0.21,0.34,-0.01,-0.01
"21","12","    Engines and turbines","A668RW2",0.19,0.1,0.12,0.25,-0.06,0.04,-0.33,-0.21,-0.16,-0.05,-0.03,-0.15,0.1,-0.15,-0.1,0.06,0.08,-0.11,0.18,0.04,0.09,-0.12,0.15,-0.06,-0.04,0.06,-0.15,0.12,-0.05,0.11,0.15,0.22,0.48,0.1,-0.21,-0.8,0.12,0.18,0.42,0,-0.33,-0.44,0.44,-0.18,-0.12
"22","13","    Metalworking machinery","C271RW2",-0.12,-0.29,-1.33,0.7,1.31,0.6,-0.97,-0.05,0.11,0.83,0.53,0.01,-0.17,-1.07,-1.24,0.74,0.3,-0.04,-0.38,0.26,0.67,-0.37,-0.25,0.22,0.38,0.7,0.68,0.09,0.37,0.01,-0.15,0.08,-0.59,-0.34,-0.04,0.01,0.27,0.15,0.06,-0.07,-0.98,-0.07,0.74,0.6,0.29
"23","14","    Special industry machinery, n.e.c.","C272RW2",0.21,-0.01,-0.45,0.45,0.56,-0.14,-1.02,-0.08,0.03,0.94,0.12,-0.01,-0.12,0.01,0.05,0.68,0.36,0.08,0.17,0.34,0.6,-0.6,-0.59,-0.04,0.55,0.35,0.77,0.16,-0.05,0.19,0.04,0.66,-0.59,-0.61,-0.28,-0.17,0.18,0.25,0.04,-0.34,-0.95,-0.12,1.45,0.31,0.56
"24","15","    General industrial, including materials handling, equipment","C273RW2",0.82,-0.09,-0.46,0.24,1.52,0.91,-1.22,0.12,1.4,1.16,0.55,-0.56,-0.31,-0.57,-0.63,1.33,0.42,0.34,-0.56,0.36,0.06,-0.24,-0.64,0.25,1.1,0.56,0.71,0.25,0.35,0.48,-0.26,0.39,-0.57,-0.06,0.43,0.22,0.78,0.49,-0.13,-0.47,-1.6,0.46,1.15,0.31,0.18
"25","16","    Electrical transmission, distribution, and industrial apparatus","C276RW2",0.24,0.18,-0.41,0.39,0.8,0.32,-0.84,-0.05,0.64,0.02,0.26,-0.12,0.08,-0.12,0.08,0.78,-0.05,-0.19,0.24,0.09,0.1,-0.11,-0.26,0.05,0.12,0.31,0.25,0.12,0.2,0.15,0.26,0.38,-0.28,-0.33,0.03,0.33,0.25,0.43,0.12,-0.28,-0.72,0.27,0.3,-0.17,-0.05
"26","17","  Transportation equipment","A681RW2",1.19,-5.15,1.94,4.25,5.48,-2.62,-3.37,2.58,5.27,2.77,1.14,-4.68,-0.61,-2.36,2.48,4.11,0.86,-0.86,-1.07,1.22,-2.05,-0.24,-0.51,0.45,3.71,3.62,1.69,0.74,1.59,1.83,4.04,-0.5,-2.1,-2.09,-1.61,2.83,2.66,1.67,-0.95,-4.84,-9.8,9.75,5.84,3.9,1.45
"27","18","    Trucks, buses, and truck trailers","C279RW2",1.75,-1.86,0.86,2.69,2.04,-0.67,-3.23,1.81,2.13,1.4,0.1,-2.99,-0.51,-0.57,1.06,2.6,1.11,-1.55,0.14,0.01,-0.49,-1.54,-0.72,0.98,2.65,2.84,1.38,0.92,1.23,1.02,1.43,-0.94,-2.03,-0.69,0.33,2.69,2.17,1.39,-1.87,-3.52,-5.24,5.8,4.01,1.34,1.3
"28","19","      Light trucks (including utility vehicles) \2\","W178RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,-0.45,-0.48,-0.15,0.05,1.32,2.28,0.82,1.57,1.53,0.05,0.89,-0.25,-0.91,-0.7,0.41,1.59,1.44,1.05,-0.72,-2.81,-4.42,4.98,2.8,0.83,1.33
"29","20","      Other trucks, buses, and truck trailers \2\","W179RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37,-0.04,-1.06,-0.57,0.94,1.34,0.56,0.56,-0.65,-0.3,0.97,0.54,-0.69,-1.12,0.01,-0.08,1.09,0.73,0.34,-1.15,-0.71,-0.81,0.83,1.21,0.51,-0.03
"30","21","    Autos \2\","C280RW2",0.32,-1.89,2.78,0.73,1.39,-1.12,-0.09,1.68,2.21,0.58,-1.02,-1.38,1.14,0.04,2.28,1.65,-0.12,0.23,-1.37,0.9,-1.1,0.5,0.14,-0.28,0.88,1.68,-0.52,-0.11,-0.22,-0.26,1.03,0.27,0.02,0.02,-0.66,-0.27,0.61,0.48,0.03,-1.42,-2.53,3.24,0.58,1.9,0.5
