"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:57:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","    National income without capital consumption adjustment","J422RC1",894,936.1,1014.1,1117.8,1253.3,1352.9,1463.1,1629.6,1813.2,2046.1,2268.4,2453.7,2734.4,2844.8,3037.7,3391.1,3601,3774.3,4050.6
"9","2","Domestic industries","J423RC1",887.9,929.7,1006.5,1109.2,1240.7,1337.4,1450.1,1612.7,1792.9,2024.5,2236.5,2419.5,2701.5,2808.3,3000.6,3354.8,3575.6,3757.4,4033.1
"10","3","  Private industries","J736RC1",760.3,789.1,852.2,940.1,1060,1142.2,1236.3,1382.9,1546.2,1755.4,1945.6,2101.2,2351,2429.5,2595.9,2918.5,3100.9,3252.8,3498.2
"11","4","    Agriculture, forestry, and fishing","J424RC1",21.5,22.1,24,28.2,43.9,42.6,43.5,41.8,41.1,47.9,56.8,50.9,61.8,58.9,47.6,63.1,63,62,66.6
"12","5","    Mining","J734RC1",9.2,10.4,10.8,11.8,14.1,20.8,25,26.3,31.8,35.1,42.6,64.6,89.2,80.8,64.2,67.4,58.1,42.4,43
"13","6","    Construction","J735RC1",45.6,47.9,52.6,58.2,66,70.4,70.4,80.6,89.3,105.4,118.6,124.8,125.5,124,130.9,152.4,167.1,186.1,201.5
"14","7","    Manufacturing","J426RC1",241,234.3,246.1,271.9,306.1,322.7,338.9,389.1,441.3,497.6,546,565,626.9,611.3,641.5,716,744.3,744.9,790.8
"15","8","      Durable goods","J428RC1",144.2,135,142.1,160.5,184,188.9,192.6,224.3,259.3,297.4,322.1,324.7,355.8,338,359.3,419.8,434.3,444.2,464.8
"16","9","      Nondurable goods","J427RC1",96.8,99.3,104.1,111.4,122.2,133.8,146.3,164.8,182,200.2,223.8,240.3,271.1,273.3,282.2,296.1,310,300.8,326
"17","10","    Transportation and public utilities","J737RC1",70.3,74.7,82,90.8,99.1,106.9,116.9,134.4,149.6,168.3,180.5,197.2,219.7,236.2,255.6,281.3,286.3,303.5,320.9
"18","11","      Transportation","J429RC1",31.3,32.9,36.3,40.3,44.9,49.4,49.2,57.9,64.6,73.2,80.7,84.4,88.4,86.7,94.3,106.4,109.7,119.2,127.7
"19","12","      Communication","J430RC1",20.9,22.8,24.3,27.1,29.5,32.1,34.7,39.5,43.6,49.8,53.8,60.1,69.2,75.6,80.8,84.9,90.7,96.6,98
"20","13","      Electric, gas, and sanitary services","J431RC1",18.1,19,21.5,23.3,24.7,25.4,33.1,37.1,41.4,45.2,46,52.7,62.2,73.9,80.5,89.9,85.9,87.7,95.2
"21","14","    Wholesale trade","J433RC1",64.2,68.3,73.8,82.1,91.9,104,113.3,120.7,133,150.1,169.5,179.6,199.3,203.2,215.7,249.4,260.2,274.6,285.6
"22","15","    Retail trade","J434RC1",89.7,95.5,103.9,112.8,124.5,130.3,145.6,164.7,181.9,203.5,220.4,227.4,249.8,264.3,292.5,326.6,355.1,382.4,402.5
"23","16","    Finance, insurance, and real estate","J435RC1",113.2,121.5,135,146.7,159.6,174.5,193.8,211.3,234.2,267.6,295.2,334,378.2,413,464.2,517.1,566.1,595.3,650.1
"24","17","    Services","J437RC1",105.6,114.3,124,137.7,154.8,170,188.8,214,243.8,279.8,316,357.7,400.4,437.8,483.6,545.3,600.7,661.5,737.2
"25","18","  Government","B436RC1",127.6,140.6,154.3,169.1,180.6,195.2,213.9,229.8,246.7,269.2,290.9,318.3,350.5,378.8,404.7,436.4,474.7,504.5,534.9
"26","19","Rest of the world","A192RC1",6.1,6.4,7.6,8.6,12.6,15.5,13,16.8,20.3,21.6,31.9,34.2,32.9,36.5,37.1,36.3,25.4,17,17.5
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
