"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA
"2","Annual data from 1968 To 1969",NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA
"5","File created 8/20/2014 3:19:11 PM",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969
"8","1","    Exports of goods and services","B020RL1",7.9,4.9
"9","2","Exports of goods \1\","A253RL1",8.1,5.2
"10","3","  Foods, feeds, and beverages","B638RL1",-1.6,-2.1
"11","4","  Industrial supplies and materials","A639RL1",13.8,4.6
"12","5","    Durable goods","B686RL1",17.9,10.6
"13","6","    Nondurable goods","B687RL1",11.4,0.9
"14","7","  Capital goods, except automotive","A640RL1",3.1,5.9
"15","8","    Civilian aircraft, engines, and parts","B688RL1",72.3,-13.3
"16","9","    Computers, peripherals, and parts","B850RL1",7.7,35.7
"17","10","    Other","B689RL1",-3.4,6.9
"18","11","  Automotive vehicles, engines, and parts","B641RL1",23.3,8.1
"19","12","  Consumer goods, except food and automotive","A642RL1",8.6,7.1
"20","13","    Durable goods","B690RL1",10.6,16.8
"21","14","    Nondurable goods","B691RL1",7.2,0
"22","15","  Other \2\","A643RL1",8.3,11.8
"23","16","Exports of services \1\","A646RL1",7.3,3.9
"24","17","  Transport","Y800RL1",3.5,7.8
"25","18","  Travel (for all purposes including education)","Y801RL1",3.3,9.2
"26","19","  Charges for the use of intellectual property n.e.c.","B684RL1",2,3.2
"27","20","  Other business services \3\","Y802RL1",3.7,9.7
"28","21","  Government goods and services n.e.c.","Y803RL1",16.6,-2.5
"29","22","  Other","B980RL1",7.4,5.3
"30","23","    Imports of goods and services","B021RL1",14.9,5.7
"31","24","Imports of goods \1\","A255RL1",20.7,5.5
"32","25","  Foods, feeds, and beverages","B647RL1",13.5,-5.2
"33","26","  Industrial supplies and materials, except petroleum and products","A649RL1",19,-5.4
"34","27","    Durable goods","A820RL1",25.3,-8.8
"35","28","    Nondurable goods","B696RL1",9.5,0.7
"36","29","  Petroleum and products","B648RL1",15.2,11.6
"37","30","  Capital goods, except automotive","A650RL1",14.5,17
"38","31","    Civilian aircraft, engines, and parts","B932RL1",40,-9.5
"39","32","    Computers, peripherals, and parts","B852RL1",NA,NA
"40","33","    Other","B853RL1",12.6,18.1
"41","34","  Automotive vehicles, engines, and parts","B651RL1",55.5,22.1
"42","35","  Consumer goods, except food and automotive","A652RL1",26.2,18
"43","36","    Durable goods","B697RL1",26.5,15.4
"44","37","    Nondurable goods","B698RL1",25.8,22.4
"45","38","  Other","A653RL1",3.7,8.5
"46","39","Imports of services \1\","B656RL1",1.8,6.3
"47","40","  Transport","Y804RL1",8.4,7.1
"48","41","  Travel (for all purposes including education)","Y805RL1",-9.4,8.5
"49","42","  Charges for the use of intellectual property n.e.c.","B908RL1",6.4,14.3
"50","43","  Other business services \3\","Y806RL1",13.2,11.2
"51","44","  Government goods and services n.e.c.","Y807RL1",3.7,3.9
"52","45","  Other","B910RL1",6.1,4.1
"53",NA,"Addenda:"," ",NA,NA
"54","46","  Exports of durable goods","A332RL1",9.6,8
"55","47","  Exports of nondurable goods","A339RL1",6.1,1
"56","48","  Exports of agricultural goods \4\","B181RL1",-0.3,-4.3
"57","49","  Exports of nonagricultural goods","A182RL1",11.2,6.1
"58","50","  Imports of durable goods","A333RL1",27.4,6.9
"59","51","  Imports of nondurable goods","A340RL1",13.3,3.7
"60","52","  Imports of nonpetroleum goods","A187RL1",21.1,5
"61",NA,NA,NA,NA,NA
"62","n.e.c. Not elsewhere classified",NA,NA,NA,NA
"63","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA
"64","in services.",NA,NA,NA,NA
"65","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA
"66","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA
"67","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA
"68","services and",NA,NA,NA,NA
"69","other other business services.",NA,NA,NA,NA
"70","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA
"71","nonautomotive consumer goods.",NA,NA,NA,NA
