"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:52:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Corporate capital consumption allowances","A677RC0",8531,9572,10531,12153,13518,15442,17325,20023,21802,24049,25478,27457,29488,31294,35649,38454,41168,44564,48705,52912,57484,63338
"9","2","Agriculture, forestry, and fishing","A1722C0",39,46,52,63,72,75,79,99,97,106,130,138,158,189,215,238,256,274,314,365,357,437
"10","3","  Farms","B1723C0",28,33,37,46,54,56,59,74,72,79,98,105,122,137,157,181,190,206,237,275,256,325
"11","4","  Agricultural services, forestry, and fishing","B1724C0",11,13,15,17,18,19,20,25,25,27,32,33,36,52,58,57,66,68,77,90,101,112
"12","5","Mining","A1725C0",351,412,494,554,611,636,642,782,830,901,887,948,960,999,1067,1053,1007,961,1013,997,935,1017
"13","6","  Metal mining","B1726C0",28,26,27,31,27,31,43,85,88,98,91,149,158,123,153,146,100,104,107,113,107,132
"14","7","  Coal mining","B1727C0",87,90,103,108,107,105,108,114,119,136,136,130,129,135,150,151,191,183,225,180,140,125
"15","8","  Oil and gas extraction","B1728C0",195,249,313,358,411,429,410,482,514,548,527,516,518,568,562,547,492,452,441,452,444,508
"16","9","  Nonmetallic minerals, except fuels","B1729C0",41,47,51,57,66,71,81,101,109,119,133,153,155,173,202,209,224,222,240,252,244,252
"17","10","Construction","B1730C0",147,181,213,252,279,296,340,416,457,538,585,635,669,710,789,878,923,1042,1198,1287,1470,1645
"18","11","Manufacturing","B1731C0",3837,4303,4681,5397,6197,7337,8505,9775,10636,11792,12707,13485,14497,15473,17902,19215,20574,22425,24336,26717,29169,31666
"19","12","  Durable goods","A1732C0",1768,1961,2150,2532,3027,3748,4313,4925,5397,6037,6409,6784,7515,7967,9321,9969,10771,11901,13101,14754,16254,17600
"20","13","    Lumber and wood products","B1733C0",82,91,99,121,131,136,142,168,181,186,196,208,228,223,254,261,287,346,348,373,399,474
"21","14","    Furniture and fixtures","B1734C0",28,32,33,40,43,45,53,59,60,67,72,78,81,85,94,99,94,111,116,119,125,154
"22","15","    Stone, clay, and glass products","B1735C0",105,120,136,159,187,231,255,298,320,383,487,494,540,571,663,697,740,775,797,844,875,1008
