"","Table 6#18C# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 4:02:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Taxes on corporate income \1\","A054RC0",130441,141630,146068,145424,138591,148688,171034,193141,217838,231469,245421,248366,258784,265092
"9","2","Domestic industries","A3102C0",130441,141630,146068,145424,138591,148688,171034,193141,217838,231469,245421,248366,258784,265092
"10","3","  Agriculture, forestry, and fishing","A3103C0",516,573,651,629,538,613,716,718,673,752,682,638,650,616
"11","4","    Farms","B3104C0",368,399,497,462,389,458,515,501,444,502,506,445,470,449
"12","5","    Agricultural services, forestry, and fishing","B3105C0",148,174,154,167,149,155,201,217,229,250,176,193,180,167
"13","6","  Mining","A3106C0",876,1329,1302,1735,1333,1276,984,1077,1484,1720,2460,1517,1111,2395
"14","7","    Metal mining","B3107C0",141,361,214,392,213,221,222,320,430,155,164,191,142,77
"15","8","    Coal mining","B3108C0",164,220,244,181,119,282,120,182,174,228,220,150,70,57
"16","9","    Oil and gas extraction","B3109C0",196,414,581,965,846,586,478,359,607,1053,1742,125,415,1585
"17","10","    Nonmetallic minerals, except fuels","B3110C0",375,334,263,197,155,188,163,215,273,283,334,1051,485,677
"18","11","  Construction","B3111C0",2862,2789,2613,2235,2013,1671,1905,2330,2721,3209,3319,4043,4505,4484
"19","12","  Manufacturing","A3112C0",46352,56886,53063,52043,43629,45078,51367,65330,70710,76289,82001,71821,77682,84650
"20","13","    Durable goods","A3113C0",19515,25375,22062,20559,16587,17110,23567,31174,32448,36458,40112,35627,35400,36681
"21","14","      Lumber and wood products","B3114C0",1399,1300,1279,782,639,845,1125,1315,1691,793,642,828,1223,650
"22","15","      Furniture and fixtures","B3115C0",733,535,484,352,315,483,544,631,749,917,1023,1024,961,809
"23","16","      Stone, clay, and glass products","B3116C0",1385,1064,964,937,476,620,690,1164,1413,1470,1975,1849,2091,1430
"24","17","      Primary metal industries","B3117C0",936,1680,1816,1351,653,712,845,1520,2188,1716,2026,1621,1252,968
"25","18","      Fabricated metal products","B3118C0",2451,2277,2155,1980,1614,1835,2145,3120,3240,3762,4235,3756,3657,3718
"26","19","      Industrial machinery and equipment","B3119C0",2919,3805,3553,3348,2584,2607,2593,3917,5213,6267,6782,10391,8789,9594
"27","20","      Electronic and other electric equipment","B3120C0",3197,4585,4842,4790,3891,4374,6535,9022,9090,10255,11995,5431,6088,9245
"28","21","      Motor vehicles and equipment","B3121C0",2577,3518,2351,1901,12,1071,3115,3749,2488,3638,4323,5020,4876,3359
"29","22","      Other transportation equipment","B3122C0",1991,4022,2641,2924,3630,1979,2609,1963,2166,3115,2715,2098,3450,3679
"30","23","      Instruments and related products","B3123C0",1129,1668,1083,1335,1799,1675,1923,3456,2668,3268,3178,2451,1948,2271
"31","24","      Miscellaneous manufacturing industries","B3124C0",798,921,894,859,974,909,1443,1318,1542,1257,1218,1158,1065,958
"32","25","    Nondurable goods","A3125C0",26837,31511,31001,31484,27042,27968,27799,34156,38261,39831,41889,36194,42281,47969
"33","26","      Food and kindred products","B3126C0",5736,6423,6721,6053,6840,6822,6448,7803,8295,8475,9168,7990,11560,9506
"34","27","      Tobacco products","B3127C0",653,1111,1371,1458,1114,1131,851,1172,1318,1249,1203,976,2258,1183
"35","28","      Textile mill products","B3128C0",814,778,521,437,515,887,811,774,628,707,666,665,651,436
"36","29","      Apparel and other textile products","B3129C0",579,568,617,576,692,883,919,990,894,875,854,777,625,637
"37","30","      Paper and allied products","B3130C0",2341,3076,3014,2425,1865,1711,1760,2483,3442,2444,2534,1729,2201,2266
"38","31","      Printing and publishing","B3131C0",3789,3991,3615,3107,2576,3133,3275,4069,3647,4682,4783,5204,5362,7277
"39","32","      Chemicals and allied products","B3132C0",7674,8329,7988,8429,7640,8247,8098,11525,13589,12716,14724,13144,13694,13310
"40","33","      Petroleum and coal products","B3133C0",3919,6223,6267,8199,4925,4175,4502,4109,5308,7464,6435,4292,4484,12051
"41","34","      Rubber and miscellaneous plastics products","B3134C0",1149,825,741,653,711,798,985,1106,986,1125,1386,1277,1383,1200
"42","35","      Leather and leather products","B3135C0",183,187,146,147,164,180,150,126,155,92,136,140,64,102
"43","36","  Transportation and public utilities","A3136C0",19423,19943,20266,20103,20365,21460,24323,28569,30693,31738,30723,34295,36425,31056
"44","37","    Transportation","A3137C0",3035,4406,3339,2935,2384,2867,3479,4214,4263,4925,5289,5670,4867,4470
"45","38","      Railroad transportation","B3138C0",855,1188,785,845,608,731,735,1167,1110,1109,676,492,407,442
