"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Percent]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/20/2014 3:19:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2
"9","1","    Exports of goods and services","B020RL1",NA,-3.5,-9.3,11.9,12.2,8.2,25.7,-5,-40,124.6
"10","2","Exports of goods \1\","A253RL1",NA,-1.1,-6.7,7.9,14.2,6.3,30.6,-9,-44,156.1
"11","3","  Foods, feeds, and beverages","B638RL1",NA,-3.7,-9.4,23.6,16.2,-40.9,10.3,10.9,-78.9,587.3
"12","4","  Industrial supplies and materials","A639RL1",NA,-4.3,-11.7,6.2,15.8,36.5,61.6,-28.9,-62.9,338.6
"13","5","    Durable goods","B686RL1",NA,-3.5,-38.3,12.3,34,68,37.1,-9.7,-60.2,269.3
"14","6","    Nondurable goods","B687RL1",NA,-4.8,8.3,3,6.7,20.5,78.5,-38.7,-64.5,389.9
"15","7","  Capital goods, except automotive","A640RL1",NA,7.7,-6.4,4.9,6.2,-9.2,36.3,-16.9,-21.5,84.9
"16","8","    Civilian aircraft, engines, and parts","B688RL1",NA,37.1,319.6,52.1,41.6,55.6,241.5,-49.6,-9.7,-78.6
"17","9","    Computers, peripherals, and parts","B850RL1",NA,0,0,34.5,-25.7,0,77.3,0,29.5,27.4
"18","10","    Other","B689RL1",NA,5.9,-18,-1.3,3.6,-15.5,15.5,-9.4,-26.6,146.8
"19","11","  Automotive vehicles, engines, and parts","B641RL1",NA,8.8,19.9,-11.6,49.1,61.7,-6.7,40.1,-27,46.8
"20","12","  Consumer goods, except food and automotive","A642RL1",NA,-25.4,4.8,9.7,6.6,39.5,10,-18.5,-8.1,95.5
"21","13","    Durable goods","B690RL1",NA,-27.3,-3.6,15.7,2.5,67.6,16.2,-33.2,37.3,81.6
"22","14","    Nondurable goods","B691RL1",NA,-24,11.2,5.5,9.5,21.9,6,-5.5,-33.3,109.6
"23","15","  Other \2\","A643RL1",NA,-3.1,-16.2,20.4,8.9,4.3,8.3,57.3,2.1,-1.8
"24","16","Exports of services \1\","A646RL1",NA,-10.5,-17,24.7,6.4,13.9,12.3,8,-27.2,54.6
"25","17","  Transport","Y800RL1",NA,-2,-3.2,-0.1,3.3,13.3,7.2,-0.8,-38.7,167.3
"26","18","  Travel (for all purposes including education)","Y801RL1",NA,-19.5,20.1,10.2,1.2,-8.4,13.9,4.6,34.9,2.9
"27","19","  Charges for the use of intellectual property n.e.c.","B684RL1",NA,3.7,-11.1,-4.4,-0.5,11.9,17.6,-0.1,-6.4,20.3
"28","20","  Other business services \3\","Y802RL1",NA,29.8,45.5,12.2,-9.9,-7.5,-5,0.6,14.4,20.4
"29","21","  Government goods and services n.e.c.","Y803RL1",NA,-28,-54.7,107,20.4,36.2,18.7,23.8,-55.8,69.1
"30","22","  Other","B980RL1",NA,6.2,8.4,8,7.9,8.2,5.7,3.9,2.5,5.7
"31","23","    Imports of goods and services","B021RL1",NA,-3.1,5.4,22.8,25.7,6.3,26.3,-3.4,-32.7,105.5
"32","24","Imports of goods \1\","A255RL1",NA,-11.1,3.3,42.8,36.1,10.1,30.6,-6.4,-42.3,157.2
"33","25","  Foods, feeds, and beverages","B647RL1",NA,-27.3,24.5,13.7,10.5,16,88.1,-46.5,-64.3,245.3
"34","26","  Industrial supplies and materials, except petroleum and products","A649RL1",NA,-18.3,-11.6,74,56.9,-0.9,-9.1,1.2,-55.5,186.7
"35","27","    Durable goods","A820RL1",NA,-12.4,-13.3,94.5,92.9,-6.5,-14.7,-5.1,-58.9,219.1
"36","28","    Nondurable goods","B696RL1",NA,-26.4,-8.9,46.2,9.8,10.1,1.5,12.6,-49.3,141.2
"37","29","  Petroleum and products","B648RL1",NA,7.6,-54.5,92.5,31.1,-1.7,55.6,-8.9,-0.5,42.2
"38","30","  Capital goods, except automotive","A650RL1",NA,-12.5,12.1,0,31.4,4.2,38.2,20.7,-39,183.6
"39","31","    Civilian aircraft, engines, and parts","B932RL1",NA,-69.2,92.7,39.3,163,14.6,-53.9,341.1,-59.1,-33.4
"40","32","    Computers, peripherals, and parts","B852RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","    Other","B853RL1",NA,-7.6,9.8,-2.1,23.3,3.7,47,10.9,-36.4,202.1
"42","34","  Automotive vehicles, engines, and parts","B651RL1",NA,-2.1,100.1,20,97,42.5,74.9,26.8,-39.9,162.5
"43","35","  Consumer goods, except food and automotive","A652RL1",NA,-4.7,12.2,37.3,47.5,10.4,34.3,15.3,-12.8,121.8
"44","36","    Durable goods","B697RL1",NA,-5.8,18.9,8.3,75.8,2.7,52.5,3.1,-8.3,78
"45","37","    Nondurable goods","B698RL1",NA,-3.1,1.8,102.5,11.2,24,8.9,38.8,-19.8,214
"46","38","  Other","A653RL1",NA,30.9,8.5,40.6,-46.3,45.6,64.5,-41.1,-8.9,95.4
"47","39","Imports of services \1\","B656RL1",NA,17.7,10,-12.9,3,-3.5,15.2,5.7,-0.7,14.5
"48","40","  Transport","Y804RL1",NA,-8.6,-21.6,31.2,22.1,-2.4,22.4,-6.3,-18.5,67.4
