"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 3:27:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Gross domestic product","A191RX1",4712.5,4722,4877.6,5134.3,5424.1,5396,5385.4,5675.4,5937,6267.2,6466.2,6450.4,6617.7,6491.3,6792,7285,7593.8,7860.5,8132.6,8474.5,8786.4,8955,8948.4,9266.6,9521,9905.4,10174.8,10561,11034.9,11525.9,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15369.2,15710.3,16089.8
"9","2","Plus: Income receipts from the rest of the world","A645RX1",60.3,62.3,64.4,71.6,97.1,113.8,97.7,106.2,114.3,131.9,179.4,191,202,208.8,202.6,234,209.5,201.6,215.6,256.5,287.5,292.1,251.1,220.8,220.2,255.1,310.5,326.8,365.3,370.9,409.3,475.4,396.2,378.6,417.2,513.3,631.2,768.5,902.7,856,648.9,647.1,694.8,684.2,690,NA
"10","3","Less: Income payments to the rest of the world","A655RX1",27.1,29.3,27.8,32.1,42.9,51.3,49.7,48.9,50,67.6,91.7,103.6,124.2,127.5,123.9,158.1,156.2,165,180.6,213.4,242.8,235.3,202.7,174.2,173,219.4,269.2,282.5,331.3,345.2,373.1,427.3,331.7,319,337.2,410,527.2,693.3,769.8,681.2,497.8,461.6,478.7,488,498.9,NA
"11","4","Equals: Gross national product","A001RX1",4749.7,4759,4918.2,5177.8,5481,5460,5436.2,5735.3,6003.7,6333.8,6554,6537.4,6695.1,6571.6,6870.5,7360.3,7648.3,7899.3,8169.7,8518.9,8832,9012.6,8998.1,9314.9,9570,9942.9,10217.3,10606.5,11070.1,11553.1,12103.4,12608.8,12747.9,12969.8,13352.1,13877.3,14338.4,14688.6,15005.7,15004.8,14569.8,14970.8,15241,15567.3,15902.4,NA
"12","5","Less: Consumption of fixed capital","A262RX1",480.6,501.5,518.9,538.7,566,590.4,609.4,628.2,652.8,682.5,716.9,749.2,778.3,808.8,836.4,872.6,921.2,968.1,1014.9,1058.9,1103,1144.9,1179,1210.3,1247,1289.7,1341.1,1399.3,1470,1555.7,1653.4,1755.4,1841.9,1905.1,1963.9,2032.6,2111,2194.4,2274.6,2338.4,2368.4,2382.4,2412.9,2456.1,2506.2,2561.5
"13","6","  Private","A024RX1",330.7,347.7,363.4,381.9,407.4,429.6,446.1,461.8,482.9,508.5,538,564.6,587.9,611.9,632,658.6,695.1,728.6,762.2,794.2,827.6,859.3,885.1,910.1,941.9,981,1029.3,1083.5,1149.8,1229.5,1319.7,1413.8,1492.5,1547.9,1597.4,1655,1721.4,1792.2,1859,1908.9,1925.7,1928.3,1949,1985.5,2031.8,2080.8
"14","7","  Government","A264RX1",159.2,162.9,164.3,164.9,166.2,168.1,170.5,173.5,176.7,180.3,184.7,189.9,195.7,202.2,210,220,232.5,246.5,260.4,273,284,294.4,302.9,309.3,313.7,316.4,318.6,321.5,324.9,329.6,336.1,343,350.2,357.7,366.8,377.9,389.7,402.2,415.5,429.4,442.7,454,463.8,470.5,474.4,480.8
"15","8","    General government","A265RX1",146.4,149.6,150.4,150.5,151.1,152.3,154,156.4,159,162.1,165.8,170.3,175.3,180.9,188,197,208.5,221.4,234.2,245.8,255.8,265.1,272.5,277.7,280.9,282.7,284.1,286.1,288.5,292.2,297.2,302.7,308.7,314.8,322.4,331.7,342.1,353.5,365.5,378.3,390.3,400.2,408.7,414.6,417.8,423.4
"16","9","    Government enterprises","A266RX1",12,12.6,13.2,13.8,14.6,15.4,16.1,16.7,17.3,17.8,18.5,19.3,20.1,20.9,21.7,22.6,23.6,24.6,25.6,26.6,27.6,28.6,29.8,31,32.2,33.3,34.2,35.1,36.1,37.2,38.7,40.2,41.5,42.8,44.5,46.2,47.6,48.7,49.9,51.1,52.5,53.8,55.1,55.9,56.6,57.5
"17","10","Equals: Net national product","A027RX1",4314,4297.6,4440.7,4684.6,4964.1,4911.9,4862.9,5149.5,5396.8,5701.6,5885.8,5825.3,5951,5780.9,6056,6518,6754.8,6955.7,7176.8,7482.7,7751.4,7886.7,7831.4,8119,8337.3,8668.9,8890.1,9220.9,9613.3,10009.3,10460.5,10862.2,10911.2,11068.6,11392.3,11849.1,12231.7,12497.7,12733.7,12667.4,12201.4,12588,12827.4,13110.3,13395.3,NA
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",4705.1,4698.6,4838.1,5105.8,5400.9,5370.2,5343.2,5613.5,5882.2,6205.6,6356.2,6351.4,6542.1,6478.2,6690.9,7215.3,7504.3,7729.1,8064.9,8475.2,8686.7,8818.3,8820.3,9109.4,9310.1,9720,10054.6,10487.3,11019.1,11602.1,12112.8,12681.2,12819.5,12994.4,13286.8,13783.1,14272.7,14842.9,14855.8,14730.2,14343.4,14735.2,15057.7,15568.1,15908.8,NA
"20","12","  Gross national income \2\","A023RX1",4742.3,4735.4,4878.6,5149.3,5457.7,5434.1,5394,5673.4,5948.9,6272.1,6443.8,6438.2,6619.3,6558.5,6769.2,7290.4,7558.7,7767.7,8101.9,8519.6,8732.3,8875.7,8870,9157.7,9359.1,9757.4,10097,10532.8,11054.3,11629.4,12150.2,12730.3,12885.3,13055.4,13367.9,13887,14377,14917.8,14987.7,14904.6,14494.5,14922.2,15278.1,15766,16100.8,NA
"21","13","  Net domestic product","A362RX1",4276.1,4260.1,4399.4,4640.3,4906,4846.5,4811.2,5088.5,5328.7,5633.6,5795.7,5736.2,5872,5698.9,5975.9,6441.3,6699.7,6916.9,7139.8,7438.2,7705.8,7828.8,7781.6,8070.6,8288.2,8631.7,8847.8,9175.5,9578.5,9982.6,10423.5,10813.4,10845.8,11008,11311.5,11745.4,12127.8,12423.2,12601.8,12492.9,12050.4,12401.1,12607.2,12912.3,13203.2,13527.3
"22","14","  Net domestic income \3\","W256RX1",4268.3,4235.9,4358.5,4610.7,4882,4819.7,4767.3,5024.1,5271.6,5569.5,5680.9,5632.8,5792.9,5685.1,5870.7,6369.1,6607.1,6781.1,7070,7439,7603.2,7688.3,7650.4,7910.2,8073.3,8442.8,8725.3,9100.5,9562.5,10059.7,10470.8,10936.1,10984.1,11093.9,11327.3,11755.1,12166.4,12653.6,12583.7,12392.4,11975,12352.6,12644.2,13110.5,13401.1,NA
