"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Current receipts","W021RC1","55,396.0","54,772.0","54,382.0","57,030.0","57,913.0","56,741.0","56,215.0","56,167.0","55,240.0","53,467.0","53,339.0","52,314.0","57,926.0","62,496.0","69,545.0","74,405.0","83,320.0","80,316.0","79,911.0","84,137.0","84,689.0","85,197.0","86,094.0","89,804.0","91,882.0","92,538.0","91,984.0","86,804.0","84,529.0","84,915.0","85,912.0","88,388.0","93,074.0","95,497.0","97,860.0","100,205.0","101,604.0","103,623.0","103,986.0","107,387.0","110,374.0","110,280.0","110,613.0","107,940.0","104,838.0","105,109.0","109,098.0","113,644.0","119,722.0","123,956.0","123,432.0","124,821.0","134,983.0","134,505.0","134,507.0","133,568.0","134,419.0","137,220.0","139,971.0","144,519.0","146,829.0","149,069.0","152,225.0","154,161.0","157,953.0","161,163.0","163,574.0","166,003.0","165,888.0","163,325.0","167,319.0","169,879.0","177,003.0","180,151.0","179,655.0","184,497.0","195,307.0","201,343.0","205,351.0","209,306.0","211,384.0","213,496.0","219,559.0","226,305.0","238,451.0","245,299.0","258,850.0","265,725.0","278,016.0","283,526.0"
"21","2","Current tax receipts","W054RC1","48,404.0","48,151.0","48,548.0","51,553.0","52,305.0","51,410.0","50,831.0","50,862.0","49,216.0","47,536.0","47,676.0","46,932.0","51,804.0","56,369.0","63,219.0","67,756.0","75,799.0","72,705.0","72,416.0","76,516.0","76,767.0","77,383.0","78,216.0","81,734.0","83,773.0","84,341.0","83,738.0","78,668.0","75,281.0","75,693.0","76,669.0","79,049.0","83,004.0","85,265.0","87,461.0","89,738.0","90,438.0","92,323.0","92,642.0","95,881.0","97,546.0","97,398.0","97,637.0","95,118.0","91,921.0","92,275.0","96,128.0","100,605.0","104,036.0","108,010.0","107,517.0","108,721.0","114,100.0","113,459.0","113,425.0","112,640.0","112,947.0","115,499.0","118,054.0","121,944.0","122,710.0","124,514.0","127,599.0","129,393.0","130,706.0","133,565.0","135,576.0","137,581.0","137,350.0","134,445.0","138,052.0","140,177.0","146,716.0","149,275.0","148,633.0","153,196.0","157,067.0","162,598.0","165,490.0","168,745.0","169,231.0","169,970.0","175,067.0","180,920.0","190,687.0","196,633.0","209,282.0","215,710.0","224,755.0","229,089.0"
"22","3","  Personal current taxes","W055RC1","19,165.0","19,475.0","19,721.0","20,799.0","21,198.0","18,949.0","18,245.0","18,428.0","17,803.0","16,998.0","16,303.0","15,828.0","16,622.0","17,599.0","18,915.0","22,512.0","24,425.0","26,372.0","27,791.0","29,632.0","30,876.0","31,813.0","32,274.0","33,057.0","33,411.0","33,439.0","33,187.0","32,931.0","30,196.0","29,977.0","30,005.0","30,462.0","31,412.0","32,429.0","33,364.0","34,231.0","35,367.0","36,239.0","36,901.0","37,857.0","38,578.0","38,965.0","39,197.0","38,804.0","38,178.0","37,696.0","38,945.0","39,376.0","40,758.0","41,986.0","42,679.0","43,733.0","45,292.0","46,028.0","46,528.0","46,424.0","46,511.0","46,944.0","47,402.0","48,143.0","49,402.0","50,924.0","52,319.0","53,575.0","54,101.0","54,311.0","54,593.0","55,203.0","53,755.0","49,723.0","51,575.0","53,223.0","56,964.0","58,415.0","57,005.0","58,272.0","61,526.0","65,567.0","67,854.0","70,565.0","71,175.0","70,942.0","73,833.0","75,894.0","78,564.0","81,665.0","91,861.0","95,858.0","102,602.0","105,660.0"
"23","4","  Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0","82,901.0"
"24","5","  Taxes on corporate income","W025RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,424.0","25,648.0","23,032.0","22,480.0","25,024.0","22,984.0","21,940.0","20,836.0","20,556.0","21,984.0","23,284.0","25,300.0","23,784.0","23,540.0","24,244.0","24,320.0","24,424.0","26,124.0","26,868.0","27,508.0","27,744.0","27,796.0","28,416.0","27,984.0","29,372.0","30,316.0","30,900.0","32,916.0","33,960.0","33,988.0","33,648.0","33,036.0","32,256.0","31,956.0","32,240.0","34,152.0","38,472.0","39,240.0","39,396.0","40,352.0","41,184.0","40,136.0"
"25","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","84.0","84.0","84.0","88.0","100.0","96.0","96.0","104.0","108.0","112.0","124.0","128.0","144.0","148.0","160.0","176.0","192.0","196.0","188.0","180.0","180.0","180.0","192.0","196.0","204.0","212.0","212.0","216.0","216.0","240.0","240.0","236.0","240.0","248.0","268.0","284.0","304.0","332.0","356.0","380.0","392.0"
"26","7","Contributions for government social insurance","W782RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,624.0","6,708.0","6,580.0","6,696.0","6,964.0","6,848.0","6,896.0","7,072.0","7,088.0","7,160.0","7,196.0","7,072.0","8,092.0","8,056.0","8,080.0","8,172.0","8,900.0","9,068.0","9,220.0","9,280.0","9,884.0","9,996.0","10,024.0","10,164.0","11,428.0","11,460.0","11,532.0","11,356.0","11,364.0","11,288.0","11,456.0","11,576.0","13,700.0","13,944.0","13,900.0","13,952.0","16,456.0","16,488.0","16,544.0","16,424.0","16,788.0","16,956.0","17,116.0","17,368.0","18,940.0","19,164.0","19,252.0","19,340.0","21,396.0","21,620.0","21,820.0","22,104.0","22,104.0","22,348.0","22,600.0","22,804.0","22,976.0","23,280.0","23,636.0","24,108.0","30,484.0","30,948.0","32,028.0","32,304.0","33,744.0","34,688.0","35,348.0","36,136.0","37,720.0","38,560.0","39,220.0","39,856.0","43,100.0","43,904.0"
"27","8","Income receipts on assets","W058RC1","123.0","123.0","123.0","123.0","150.0","150.0","150.0","150.0","166.0","166.0","166.0","166.0","203.0","203.0","203.0","203.0","218.0","218.0","218.0","218.0","238.0","238.0","238.0","238.0","258.0","258.0","258.0","258.0","305.0","305.0","305.0","305.0","300.0","300.0","300.0","300.0","324.0","324.0","324.0","324.0","341.0","341.0","341.0","341.0","378.0","378.0","378.0","378.0","298.0","298.0","302.0","306.0","2,628.0","2,680.0","2,771.0","2,689.0","2,823.0","2,888.0","2,844.0","3,001.0","3,045.0","3,295.0","3,256.0","3,244.0","3,285.0","3,355.0","3,477.0","3,519.0","3,684.0","3,802.0","3,862.0","3,584.0","4,062.0","4,205.0","4,139.0","3,978.0","4,525.0","4,598.0","4,796.0","5,001.0","5,124.0","5,326.0","5,654.0","5,944.0","6,257.0","6,326.0","6,587.0","6,518.0","6,556.0","6,865.0"
"28","9","  Interest and miscellaneous receipts \1\","W059RC1","123.0","123.0","123.0","123.0","150.0","150.0","150.0","150.0","166.0","166.0","166.0","166.0","203.0","203.0","203.0","203.0","218.0","218.0","218.0","218.0","238.0","238.0","238.0","238.0","258.0","258.0","258.0","258.0","305.0","305.0","305.0","305.0","300.0","300.0","300.0","300.0","324.0","324.0","324.0","324.0","341.0","341.0","341.0","341.0","378.0","378.0","378.0","378.0","298.0","298.0","302.0","306.0","2,628.0","2,680.0","2,771.0","2,689.0","2,823.0","2,888.0","2,844.0","3,001.0","3,045.0","3,295.0","3,256.0","3,244.0","3,285.0","3,355.0","3,477.0","3,519.0","3,684.0","3,802.0","3,862.0","3,584.0","4,062.0","4,205.0","4,139.0","3,978.0","4,525.0","4,598.0","4,796.0","5,001.0","5,124.0","5,326.0","5,654.0","5,944.0","6,257.0","6,326.0","6,587.0","6,518.0","6,556.0","6,865.0"
"29","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","Current transfer receipts","W060RC1","521.0","534.0","551.0","570.0","610.0","629.0","654.0","671.0","682.0","693.0","701.0","700.0","607.0","612.0","627.0","638.0","679.0","685.0","697.0","707.0","720.0","728.0","744.0","760.0","763.0","779.0","792.0","806.0","851.0","861.0","858.0","862.0","870.0","864.0","879.0","887.0","958.0","980.0","996.0","1,018.0","1,059.0","1,081.0","1,103.0","1,125.0","1,175.0","1,168.0","1,136.0","1,085.0","771.0","765.0","753.0","759.0","823.0","863.0","907.0","959.0","1,081.0","1,118.0","1,167.0","1,198.0","1,219.0","1,233.0","1,245.0","1,251.0","1,285.0","1,334.0","1,313.0","1,344.0","1,379.0","1,350.0","1,703.0","1,772.0","1,858.0","1,895.0","1,955.0","2,012.0","2,091.0","2,153.0","2,219.0","2,293.0","2,365.0","2,454.0","2,536.0","2,585.0","2,581.0","2,586.0","2,560.0","2,561.0","2,667.0","2,717.0"
"31","12","  From business (net)","W061RC1","319.0","323.0","327.0","331.0","358.0","362.0","368.0","372.0","371.0","374.0","378.0","381.0","299.0","304.0","309.0","316.0","339.0","340.0","343.0","350.0","364.0","367.0","370.0","375.0","365.0","373.0","378.0","384.0","414.0","420.0","422.0","428.0","445.0","445.0","446.0","444.0","495.0","499.0","502.0","504.0","514.0","518.0","528.0","540.0","589.0","586.0","563.0","530.0","436.0","445.0","440.0","447.0","511.0","536.0","555.0","582.0","651.0","654.0","675.0","680.0","682.0","687.0","698.0","709.0","766.0","812.0","781.0","797.0","780.0","744.0","1,098.0","1,174.0","1,303.0","1,337.0","1,375.0","1,393.0","1,400.0","1,404.0","1,410.0","1,430.0","1,444.0","1,487.0","1,532.0","1,549.0","1,549.0","1,548.0","1,520.0","1,515.0","1,592.0","1,611.0"
"32","13","  From persons","W062RC1","202.0","211.0","224.0","239.0","252.0","267.0","286.0","299.0","311.0","319.0","323.0","319.0","308.0","308.0","318.0","322.0","340.0","345.0","354.0","357.0","356.0","361.0","374.0","385.0","398.0","406.0","414.0","422.0","437.0","441.0","436.0","434.0","425.0","419.0","433.0","443.0","463.0","481.0","494.0","514.0","545.0","563.0","575.0","585.0","586.0","582.0","573.0","555.0","335.0","320.0","313.0","312.0","312.0","327.0","352.0","377.0","430.0","464.0","492.0","518.0","537.0","546.0","547.0","542.0","519.0","522.0","532.0","547.0","599.0","606.0","605.0","598.0","555.0","558.0","580.0","619.0","691.0","749.0","809.0","863.0","921.0","967.0","1,004.0","1,036.0","1,032.0","1,038.0","1,040.0","1,046.0","1,075.0","1,106.0"
"33","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","917.0","939.0","960.0","1,083.0","976.0","1,015.0","860.0","856.0","780.0","759.0","790.0","1,008.0","915.0","863.0","873.0","933.0","1,281.0","1,289.0","1,388.0","1,455.0","1,371.0","1,380.0","1,102.0","1,542.0","1,391.0","1,496.0","1,292.0","1,203.0","1,140.0","1,046.0","818.0","963.0","920.0","1,058.0","954.0","720.0","1,206.0","1,194.0","1,201.0","1,080.0","938.0","951.0"
"34","15","    Current expenditures","W022RC1","47,777.0","47,915.0","51,222.0","47,686.0","49,089.0","50,407.0","53,551.0","54,458.0","57,095.0","58,531.0","58,175.0","57,117.0","65,272.0","58,966.0","54,225.0","58,404.0","63,374.0","67,752.0","72,138.0","75,454.0","74,928.0","79,436.0","81,708.0","82,873.0","84,709.0","85,911.0","85,039.0","86,405.0","84,319.0","83,599.0","84,308.0","85,340.0","86,533.0","85,535.0","89,238.0","88,576.0","88,874.0","92,492.0","91,782.0","95,812.0","99,497.0","101,720.0","102,244.0","105,975.0","105,443.0","110,933.0","113,020.0","113,553.0","113,569.0","115,293.0","116,446.0","118,460.0","119,065.0","122,132.0","123,629.0","127,057.0","127,880.0","132,515.0","133,067.0","135,331.0","139,584.0","141,982.0","143,668.0","146,415.0","148,541.0","149,413.0","151,763.0","155,013.0","157,539.0","159,709.0","159,634.0","160,367.0","163,271.0","166,950.0","173,611.0","178,386.0","182,635.0","189,919.0","195,865.0","202,843.0","213,433.0","216,994.0","221,662.0","227,951.0","237,335.0","244,620.0","250,097.0","256,062.0","256,180.0","264,386.0"
"35","16","Consumption expenditures","A955RC1","32,008.0","32,274.0","31,612.0","31,071.0","31,277.0","32,977.0","34,240.0","35,445.0","36,973.0","37,741.0","36,830.0","36,210.0","36,496.0","36,684.0","35,613.0","38,868.0","44,362.0","48,472.0","53,591.0","55,296.0","57,290.0","61,060.0","62,374.0","64,376.0","65,698.0","67,155.0","65,943.0","67,296.0","64,761.0","62,995.0","63,138.0","63,580.0","64,394.0","64,120.0","66,871.0","66,478.0","66,410.0","69,201.0","67,611.0","70,621.0","73,891.0","74,503.0","75,223.0","77,512.0","76,701.0","80,152.0","79,592.0","81,458.0","78,306.0","80,661.0","81,644.0","82,161.0","80,553.0","81,976.0","84,373.0","86,225.0","85,310.0","87,624.0","88,942.0","90,805.0","94,085.0","95,629.0","98,047.0","99,432.0","100,171.0","100,570.0","104,120.0","105,985.0","107,107.0","108,245.0","109,634.0","109,363.0","110,623.0","112,602.0","117,501.0","122,840.0","124,911.0","129,697.0","135,223.0","137,543.0","145,023.0","147,507.0","150,635.0","154,959.0","161,017.0","163,583.0","167,116.0","170,982.0","171,190.0","175,995.0"
