"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Current receipts","W005RC1","192,655.0","186,089.0","191,892.0","220,300.0","250,805.0","279,962.0","277,632.0","322,992.0","363,955.0","424,025.0","486,906.0","532,835.0","619,933.0","617,350.0","643,251.0","709,987.0","774,405.0","816,049.0","896,529.0","958,524.0","1,038,034.0","1,082,759.0","1,101,909.0","1,148,010.0","1,224,085.0","1,322,121.0","1,407,834.0","1,526,436.0","1,656,152.0","1,777,865.0","1,894,964.0","2,057,142.0","2,020,268.0","1,859,329.0","1,885,082.0","2,013,939.0","2,290,079.0","2,524,533.0","2,654,730.0","2,503,068.0","2,205,761.0"
"20","2","Current tax receipts","W006RC1","145,970.0","137,924.0","138,618.0","158,248.0","173,018.0","192,071.0","186,837.0","217,899.0","247,218.0","286,579.0","325,894.0","355,543.0","407,697.0","386,338.0","393,159.0","425,231.0","460,235.0","479,249.0","543,626.0","566,171.0","621,151.0","642,211.0","635,618.0","659,927.0","713,033.0","781,365.0","844,578.0","931,913.0","1,030,081.0","1,115,826.0","1,195,357.0","1,309,578.0","1,249,421.0","1,073,462.0","1,070,234.0","1,153,807.0","1,383,723.0","1,558,327.0","1,637,589.0","1,447,786.0","1,142,375.0"
"21","3","  Personal current taxes \1\","A074RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,234.0","162,153.0","188,947.0","224,634.0","249,964.0","290,550.0","294,963.0","286,220.0","301,389.0","335,979.0","350,012.0","392,458.0","402,844.0","451,456.0","470,149.0","461,314.0","475,226.0","505,466.0","542,514.0","585,789.0","663,282.0","744,153.0","825,206.0","893,040.0","995,551.0","991,814.0","828,617.0","774,178.0","799,242.0","931,859.0","1,049,931.0","1,165,564.0","1,102,773.0","852,741.0"
"22","4","  Taxes on production and imports \2\","W007RC1","17,812.0","18,081.0","18,992.0","18,481.0","19,799.0","20,064.0","22,077.0","21,374.0","22,723.0","25,278.0","25,684.0","33,663.0","49,929.0","40,956.0","44,383.0","47,300.0","46,052.0","43,698.0","45,940.0","49,827.0","49,741.0","50,912.0","61,765.0","63,295.0","66,358.0","78,986.0","75,553.0","72,854.0","77,837.0","80,698.0","83,432.0","87,251.0","85,283.0","86,805.0","89,297.0","94,302.0","98,776.0","99,398.0","94,489.0","95,991.0","94,419.0"
"23","5","    Excise taxes","B234RC1","15,442.0","15,597.0","15,880.0","15,484.0","16,528.0","16,406.0","16,213.0","16,814.0","17,320.0","18,178.0","18,230.0","26,503.0","41,340.0","32,347.0","35,292.0","35,397.0","33,894.0","30,001.0","30,407.0","33,415.0","32,260.0","33,422.0","44,929.0","44,968.0","46,548.0","57,544.0","55,734.0","53,633.0","58,220.0","61,112.0","64,250.0","66,128.0","64,647.0","66,886.0","67,865.0","71,037.0","73,460.0","72,732.0","65,717.0","66,767.0","71,356.0"
"24","6","    Customs duties","B235RC1","2,370.0","2,484.0","3,112.0","2,997.0","3,271.0","3,658.0","5,864.0","4,560.0","5,403.0","7,100.0","7,454.0","7,160.0","8,589.0","8,609.0","9,091.0","11,903.0","12,158.0","13,697.0","15,533.0","16,412.0","17,481.0","17,490.0","16,836.0","18,327.0","19,810.0","21,442.0","19,819.0","19,221.0","19,617.0","19,586.0","19,182.0","21,123.0","20,636.0","19,919.0","21,432.0","23,265.0","25,316.0","26,666.0","28,772.0","29,224.0","23,063.0"
"25","7","  Taxes on corporate income","B075RC1","36,064.0","30,616.0","33,456.0","36,607.0","43,260.0","45,115.0","43,559.0","54,577.0","61,615.0","71,400.0","74,428.0","70,319.0","65,701.0","49,047.0","61,345.0","75,238.0","76,265.0","83,826.0","103,188.0","111,126.0","117,214.0","118,120.0","109,937.0","118,768.0","138,469.0","156,723.0","179,320.0","190,622.0","202,995.0","204,242.0","212,967.0","219,440.0","164,670.0","150,458.0","197,805.0","250,282.0","340,958.0","395,010.0","362,838.0","232,177.0","182,051.0"
"26","8","    Federal Reserve banks","B677RC1","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0","34,598.0","31,689.0","47,430.0"
"27","9","    Other","A678RC1","33,045.0","27,122.0","30,099.0","33,376.0","38,919.0","39,565.0","38,177.0","48,707.0","55,678.0","64,394.0","65,149.0","58,613.0","51,677.0","33,842.0","47,116.0","59,184.0","58,469.0","66,022.0","85,449.0","93,762.0","95,568.0","94,512.0","89,159.0","101,994.0","122,482.0","136,253.0","155,931.0","170,539.0","182,336.0","177,681.0","187,557.0","194,096.0","137,581.0","125,963.0","175,783.0","232,204.0","319,490.0","365,958.0","328,240.0","200,488.0","134,621.0"
"28","10","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,981.0","12,129.0","13,987.0","14,698.0","16,845.0","13,164.0"
"29","11","Contributions for government social insurance","W780RC1","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,279.0","762,774.0","807,626.0","852,625.0","904,642.0","945,290.0","972,367.0","953,470.0"
"30","12","Income receipts on assets","W009RC1","2,679.0","3,052.0","3,455.0","3,616.0","3,798.0","4,184.0","4,901.0","5,861.0","6,699.0","8,527.0","10,657.0","13,660.0","18,273.0","22,171.0","23,837.0","26,638.0","29,128.0","31,265.0","27,456.0","29,370.0","27,969.0","29,561.0","29,056.0","24,788.0","25,542.0","22,742.0","23,285.0","26,482.0","25,442.0","21,216.0","20,582.0","24,483.0","24,546.0","20,251.0","22,805.0","23,207.0","23,681.0","26,124.0","29,773.0","31,665.0","46,246.0"
"31","13","  Interest receipts \3\","B094RC1","2,490.0","2,809.0","3,108.0","3,250.0","3,365.0","3,635.0","4,281.0","5,155.0","5,779.0","7,425.0","9,151.0","11,314.0","14,819.0","18,337.0","20,365.0","22,786.0","25,660.0","28,838.0","25,118.0","27,372.0","25,853.0","26,950.0","26,296.0","22,238.0","22,846.0","20,013.0","20,808.0","22,515.0","20,981.0","17,314.0","17,097.0","19,333.0","18,077.0","15,404.0","16,378.0","16,312.0","16,410.0","18,201.0","22,218.0","21,101.0","22,701.0"
"32","14","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","246.0","255.0","220.0","578.0","18,742.0"
"33","15","  Rents and royalties \4\","B1040C1","189.0","243.0","347.0","366.0","433.0","549.0","620.0","706.0","920.0","1,102.0","1,506.0","2,346.0","3,454.0","3,834.0","3,472.0","3,852.0","3,468.0","2,427.0","2,338.0","1,998.0","2,116.0","2,611.0","2,760.0","2,550.0","2,696.0","2,729.0","2,477.0","3,967.0","4,461.0","3,902.0","3,485.0","5,150.0","6,469.0","4,847.0","6,427.0","6,835.0","7,025.0","7,668.0","7,335.0","9,986.0","4,803.0"
"34","16","Current transfer receipts","W011RC1","1,141.0","1,121.0","1,095.0","1,271.0","1,278.0","1,426.0","1,478.0","1,607.0","1,961.0","2,669.0","3,119.0","3,877.0","4,127.0","5,677.0","6,140.0","7,406.0","9,741.0","8,500.0","10,973.0","10,473.0","12,700.0","14,242.0","18,234.0","19,373.0","21,257.0","22,803.0","18,409.0","23,837.0","21,289.0","22,586.0","23,408.0","25,731.0","27,035.0","26,132.0","25,594.0","29,010.0","33,597.0","38,321.0","44,802.0","54,953.0","67,868.0"
"35","17","  From business","W012RC1","1,080.0","1,033.0","1,030.0","1,136.0","1,150.0","1,311.0","1,353.0","1,461.0","1,793.0","2,486.0","2,934.0","3,645.0","3,868.0","4,977.0","5,160.0","6,378.0","8,546.0","7,182.0","8,944.0","7,644.0","9,614.0","10,829.0","14,351.0","15,270.0","16,215.0","17,160.0","12,235.0","16,668.0","13,369.0","13,813.0","13,579.0","15,005.0","16,154.0","15,378.0","14,912.0","16,037.0","18,694.0","21,175.0","25,556.0","34,921.0","48,113.0"
"36","18","  From persons","B233RC1","61.0","88.0","65.0","135.0","128.0","115.0","125.0","146.0","168.0","183.0","185.0","232.0","259.0","700.0","980.0","1,028.0","1,195.0","1,318.0","2,029.0","2,829.0","3,086.0","3,413.0","3,883.0","4,103.0","5,042.0","5,643.0","6,174.0","7,169.0","7,920.0","8,773.0","9,829.0","10,726.0","10,881.0","10,754.0","10,682.0","12,973.0","14,903.0","17,146.0","19,246.0","20,032.0","19,755.0"
"37","19","Current surplus of government enterprises \5\","B097RC1","-449.0","-1,512.0","-1,606.0","-1,093.0","-1,835.0","-1,804.0","-3,638.0","-2,161.0","-3,001.0","-2,465.0","-2,562.0","-3,876.0","-3,173.0","-2,879.0","-2,953.0","-3,417.0","-2,608.0","-1,898.0","-2,957.0","-2,269.0","-1,749.0","-5,295.0","-1,612.0","-43.0","-1,264.0","-941.0","-341.0","-1,209.0","-92.0","835.0","791.0","-1,221.0","-3,987.0","205.0","3,675.0","289.0","-3,547.0","-2,881.0","-2,724.0","-3,703.0","-4,198.0"
"38","20","    Current expenditures","W013RC1","184,099.0","201,577.0","220,586.0","245,198.0","262,634.0","294,451.0","348,274.0","376,658.0","410,085.0","452,927.0","500,866.0","589,451.0","676,690.0","752,621.0","819,491.0","881,452.0","953,018.0","1,010,655.0","1,045,873.0","1,096,944.0","1,171,974.0","1,259,201.0","1,320,343.0","1,450,495.0","1,504,312.0","1,542,512.0","1,614,004.0","1,674,685.0","1,716,290.0","1,744,282.0","1,796,158.0","1,871,935.0","1,979,769.0","2,112,103.0","2,261,464.0","2,393,406.0","2,573,089.0","2,728,317.0","2,899,951.0","3,119,303.0","3,457,486.0"
"39","21","Consumption expenditures","A957RC1","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,914.0","934,623.0","987,138.0"
"40","22","Current transfer payments","W014RC1","65,452.0","80,492.0","96,120.0","112,698.0","125,853.0","146,870.0","185,599.0","200,899.0","215,477.0","235,670.0","258,005.0","302,856.0","333,535.0","362,991.0","387,154.0","400,801.0","424,027.0","449,875.0","457,580.0","486,751.0","527,101.0","576,200.0","603,958.0","725,384.0","773,399.0","808,280.0","848,971.0","895,990.0","925,405.0","954,919.0","995,415.0","1,047,365.0","1,139,973.0","1,252,056.0","1,339,363.0","1,405,048.0","1,491,315.0","1,587,138.0","1,690,436.0","1,843,702.0","2,157,445.0"
"41","23","  Government social benefits","W015RC1","46,341.0","56,357.0","66,891.0","73,820.0","85,702.0","104,602.0","134,319.0","145,632.0","154,662.0","165,150.0","185,820.0","223,183.0","254,392.0","285,352.0","306,664.0","312,909.0","329,406.0","348,072.0","360,938.0","381,942.0","415,215.0","451,223.0","497,986.0","555,708.0","587,702.0","613,259.0","649,376.0","684,517.0","710,042.0","724,351.0","743,791.0","777,813.0","845,706.0","924,597.0","972,726.0","1,024,948.0","1,089,199.0","1,193,148.0","1,267,466.0","1,402,652.0","1,620,169.0"
"42","24","    To persons","B087RC1","45,756.0","55,636.0","66,080.0","72,855.0","84,544.0","103,280.0","132,332.0","143,142.0","152,083.0","162,408.0","182,771.0","219,640.0","250,104.0","281,249.0","303,039.0","309,236.0","325,378.0","343,674.0","356,658.0","377,362.0","410,083.0","445,059.0","491,714.0","549,483.0","581,503.0","606,433.0","642,583.0","676,943.0","702,192.0","716,143.0","735,263.0","769,145.0","836,268.0","914,940.0","962,637.0","1,014,300.0","1,077,977.0","1,180,721.0","1,254,197.0","1,387,414.0","1,604,704.0"
"43","25","    To the rest of the world \6\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,657.0","10,089.0","10,648.0","11,222.0","12,427.0","13,269.0","15,238.0","15,465.0"
"44","26","  Other current transfer payments","W010RC1","19,111.0","24,135.0","29,229.0","38,878.0","40,151.0","42,268.0","51,280.0","55,267.0","60,815.0","70,520.0","72,185.0","79,673.0","79,143.0","77,639.0","80,490.0","87,892.0","94,621.0","101,803.0","96,642.0","104,809.0","111,886.0","124,977.0","105,972.0","169,676.0","185,697.0","195,021.0","199,595.0","211,473.0","215,363.0","230,568.0","251,624.0","269,552.0","294,267.0","327,459.0","366,637.0","380,100.0","402,116.0","393,990.0","422,970.0","441,050.0","537,276.0"
"45","27","    Grants-in-aid to state and local governments","B089RC1","14,565.0","19,317.0","23,217.0","31,701.0","34,760.0","36,273.0","45,145.0","50,733.0","56,568.0","65,528.0","66,339.0","72,343.0","72,481.0","69,498.0","71,559.0","76,676.0","80,854.0","87,605.0","83,927.0","91,615.0","98,339.0","111,448.0","131,597.0","149,125.0","164,005.0","175,074.0","184,216.0","191,095.0","198,407.0","212,601.0","232,900.0","247,302.0","276,085.0","304,161.0","338,005.0","349,182.0","361,229.0","359,042.0","380,752.0","396,213.0","484,589.0"
"46","28","    To the rest of the world (net) \6\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,724.0","22,250.0","18,182.0","23,298.0","28,632.0","30,918.0","40,887.0","34,948.0","42,218.0","44,837.0","52,687.0"
"47","29","Interest payments \3\","A091RC1","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,293.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,455.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","212,871.0","220,962.0","255,396.0","279,198.0","313,160.0","291,167.0","253,962.0"
"48","30","  To persons and business \3\","B092RC1","15,046.0","16,723.0","16,083.0","16,088.0","18,982.0","21,725.0","24,377.0","29,256.0","31,590.0","36,666.0","44,570.0","57,030.0","76,580.0","92,503.0","105,588.0","129,138.0","146,267.0","153,537.0","158,362.0","167,596.0","180,982.0","196,685.0","210,073.0","212,185.0","214,001.0","217,149.0","234,770.0","230,634.0","218,279.0","214,688.0","202,136.0","198,738.0","180,202.0","154,168.0","139,037.0","138,426.0","151,522.0","144,219.0","148,809.0","124,568.0","109,965.0"
"49","31","  To the rest of the world","B093RC1","777.0","1,024.0","1,844.0","2,684.0","3,836.0","4,262.0","4,542.0","4,520.0","5,542.0","8,674.0","11,122.0","12,684.0","17,313.0","19,282.0","18,993.0","21,155.0","23,129.0","24,625.0","26,218.0","31,715.0","38,364.0","40,770.0","40,872.0","39,081.0","39,376.0","44,192.0","55,623.0","66,618.0","81,701.0","84,154.0","80,525.0","84,517.0","78,381.0","74,908.0","73,834.0","82,536.0","103,874.0","134,979.0","164,351.0","166,599.0","143,997.0"
"50","32","Subsidies \5\","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,016.0","60,540.0","50,978.0","47,441.0","49,811.0","58,941.0"
"51","33","Less: Wage accruals less disbursements","B098RC1","0.0","0.0","39.0","483.0","8.0","-480.0","100.0","100.0","100.0","96.0","-46.0","0.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52","34","    Net federal government saving","A923RC1","8,556.0","-15,488.0","-28,694.0","-24,898.0","-11,829.0","-14,489.0","-70,642.0","-53,666.0","-46,130.0","-28,902.0","-13,960.0","-56,616.0","-56,757.0","-135,271.0","-176,240.0","-171,465.0","-178,613.0","-194,606.0","-149,344.0","-138,420.0","-133,940.0","-176,442.0","-218,434.0","-302,485.0","-280,227.0","-220,391.0","-206,170.0","-148,249.0","-60,138.0","33,583.0","98,806.0","185,207.0","40,499.0","-252,774.0","-376,382.0","-379,467.0","-283,010.0","-203,784.0","-245,221.0","-616,235.0","-1,251,725.0"
"53","35","Social insurance funds","B243RC1","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,699.0","37,553.0","50,256.0","49,025.0","12,361.0","-2,969.0","-54,940.0","-252,449.0"
"54","36","Other","B244RC1","2,859.0","-16,449.0","-25,688.0","-24,257.0","-17,709.0","-17,699.0","-54,362.0","-37,641.0","-32,072.0","-24,206.0","-13,917.0","-40,843.0","-42,479.0","-100,897.0","-138,386.0","-162,105.0","-179,491.0","-200,257.0","-163,803.0","-177,471.0","-176,583.0","-218,823.0","-243,092.0","-307,849.0","-283,060.0","-235,743.0","-221,793.0","-161,164.0","-89,080.0","-24,698.0","6,267.0","70,925.0","-47,643.0","-302,473.0","-413,935.0","-429,723.0","-332,035.0","-216,145.0","-242,252.0","-561,294.0","-999,276.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","  Total receipts","W018RC1","196,218.0","189,771.0","196,480.0","225,661.0","255,897.0","284,757.0","282,519.0","328,575.0","371,112.0","429,237.0","492,400.0","539,349.0","626,824.0","624,865.0","649,024.0","715,957.0","780,778.0","823,020.0","903,737.0","966,167.0","1,046,933.0","1,094,356.0","1,112,909.0","1,159,291.0","1,236,988.0","1,337,229.0","1,422,782.0","1,543,925.0","1,676,716.0","1,803,024.0","1,923,734.0","2,085,243.0","2,048,219.0","1,884,631.0","1,907,061.0","2,038,549.0","2,315,072.0","2,552,364.0","2,681,201.0","2,531,254.0","2,226,486.0"
"57","38","    Current receipts","W005RC1","192,655.0","186,089.0","191,892.0","220,300.0","250,805.0","279,962.0","277,632.0","322,992.0","363,955.0","424,025.0","486,906.0","532,835.0","619,933.0","617,350.0","643,251.0","709,987.0","774,405.0","816,049.0","896,529.0","958,524.0","1,038,034.0","1,082,759.0","1,101,909.0","1,148,010.0","1,224,085.0","1,322,121.0","1,407,834.0","1,526,436.0","1,656,152.0","1,777,865.0","1,894,964.0","2,057,142.0","2,020,268.0","1,859,329.0","1,885,082.0","2,013,939.0","2,290,079.0","2,524,533.0","2,654,730.0","2,503,068.0","2,205,761.0"
"58","39","    Capital transfer receipts","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,979.0","24,610.0","24,993.0","27,831.0","26,471.0","28,186.0","20,725.0"
"59","40","  Total expenditures","W019RC1","189,650.0","205,349.0","221,342.0","245,932.0","262,036.0","295,159.0","357,369.0","386,091.0","421,541.0","466,903.0","517,253.0","608,440.0","695,071.0","773,572.0","845,892.0","915,159.0","997,820.0","1,056,607.0","1,095,230.0","1,137,333.0","1,211,143.0","1,307,438.0","1,363,247.0","1,487,517.0","1,534,750.0","1,566,505.0","1,631,443.0","1,697,838.0","1,728,807.0","1,760,976.0","1,828,707.0","1,900,580.0","2,014,055.0","2,162,587.0","2,329,261.0","2,465,376.0","2,667,422.0","2,799,594.0","2,996,246.0","3,286,442.0","3,703,071.0"
