"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"46","26","    Final sales of domestic business \2\","A809RX1",".....",".....",".....","529,235.0","533,730.0","537,442.0","548,462.0","551,404.0","555,667.0","566,242.0","573,588.0","586,171.0","590,580.0","599,712.0","607,920.0","616,374.0","625,276.0","632,178.0","635,316.0","638,749.0","640,486.0","641,651.0","638,934.0","645,056.0","644,627.0","645,349.0","647,791.0","645,457.0","648,927.0","656,272.0","671,751.0","676,664.0","680,991.0","684,718.0","691,244.0","698,560.0","704,792.0","714,219.0","719,426.0","719,751.0","732,716.0","736,121.0","735,885.0","746,304.0","749,216.0","754,561.0","759,911.0","769,274.0","766,324.0","767,857.0","752,996.0","738,221.0","727,807.0","726,566.0","726,642.0","732,192.0","734,686.0","735,130.0","736,713.0"
"47","27","    Final sales of goods and structures of domestic business \2\","A810RX1",".....",".....",".....","287,995.0","291,471.0","293,510.0","301,602.0","302,862.0","304,922.0","311,585.0","317,197.0","326,235.0","327,840.0","333,607.0","338,097.0","342,740.0","347,866.0","351,118.0","353,184.0","354,571.0","355,251.0","356,217.0","353,256.0","358,294.0","355,120.0","353,634.0","355,068.0","351,802.0","354,823.0","359,801.0","372,457.0","375,134.0","375,408.0","377,464.0","382,389.0","385,390.0","389,869.0","397,568.0","400,872.0","399,194.0","409,127.0","409,093.0","406,422.0","411,322.0","412,426.0","415,407.0","417,341.0","423,470.0","420,344.0","421,537.0","410,306.0","396,730.0","388,269.0","387,334.0","388,823.0","393,227.0","396,320.0","395,375.0","394,261.0"
"48",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","28","  Private inventories to final sales","A811RX2",".....",".....",".....","2.61","2.61","2.64","2.62","2.65","2.68","2.65","2.64","2.61","2.63","2.61","2.59","2.60","2.57","2.58","2.59","2.60","2.58","2.57","2.57","2.51","2.51","2.51","2.51","2.53","2.53","2.50","2.44","2.44","2.44","2.46","2.46","2.46","2.47","2.44","2.43","2.45","2.43","2.45","2.47","2.45","2.44","2.44","2.43","2.41","2.42","2.40","2.44","2.46","2.45","2.40","2.36","2.32","2.33","2.35","2.39"
"50","29","  Nonfarm inventories to final sales","A812RX2",".....",".....",".....","2.33","2.33","2.36","2.34","2.37","2.40","2.37","2.37","2.34","2.36","2.34","2.34","2.34","2.33","2.34","2.35","2.36","2.34","2.33","2.33","2.27","2.26","2.27","2.27","2.29","2.29","2.26","2.21","2.21","2.22","2.23","2.23","2.23","2.24","2.22","2.20","2.23","2.21","2.23","2.26","2.24","2.23","2.23","2.23","2.21","2.21","2.20","2.24","2.25","2.23","2.18","2.14","2.11","2.11","2.13","2.16"
"51","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",".....",".....",".....","4.27","4.27","4.32","4.26","4.31","4.37","4.31","4.28","4.21","4.26","4.22","4.20","4.22","4.18","4.21","4.23","4.25","4.21","4.19","4.21","4.09","4.11","4.15","4.14","4.21","4.19","4.13","3.99","3.99","4.02","4.04","4.02","4.04","4.05","3.98","3.96","4.02","3.96","4.01","4.08","4.06","4.05","4.05","4.06","4.01","4.04","4.01","4.10","4.18","4.19","4.09","3.99","3.92","3.91","3.96","4.04"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in inventories for 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","equals the current-dollar change in inventories for 2005 and that the average of the 2004 and 2005 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
