"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:45:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Government consumption expenditures \1\","A955RX1","1,608,683.0","1,615,856.0","1,643,285.0","1,673,476.0","1,720,192.0","1,750,587.0","1,815,957.0","1,897,199.0","1,938,816.0","1,966,891.0","1,977,867.0","1,997,248.0","2,022,591.0","2,073,276.0","2,112,297.0"
"20","2","        Gross output of general government","W101RX1","1,867,038.0","1,878,834.0","1,912,425.0","1,951,855.0","2,002,781.0","2,047,870.0","2,127,742.0","2,212,330.0","2,253,736.0","2,284,684.0","2,299,432.0","2,320,561.0","2,351,235.0","2,411,503.0","2,460,375.0"
"21","3","          Value added","W102RX1","1,287,733.0","1,289,812.0","1,299,609.0","1,314,342.0","1,326,304.0","1,349,371.0","1,373,704.0","1,401,420.0","1,418,246.0","1,426,818.0","1,436,476.0","1,444,976.0","1,462,495.0","1,496,797.0","1,520,522.0"
"22","4","            Compensation of general government employees","A194RX1","1,125,026.0","1,123,977.0","1,130,369.0","1,140,963.0","1,147,449.0","1,165,233.0","1,185,045.0","1,208,289.0","1,220,600.0","1,223,546.0","1,227,786.0","1,230,107.0","1,240,751.0","1,267,216.0","1,283,005.0"
"23","5","            Consumption of general government fixed capital \2\","A265RX1","165,380.0","167,889.0","170,879.0","174,628.0","179,483.0","184,468.0","188,846.0","193,263.0","197,682.0","203,270.0","208,690.0","214,868.0","221,744.0","229,579.0","237,536.0"
"24","6","          Intermediate goods and services purchased \3\","W104RX1","584,512.0","593,709.0","616,443.0","640,334.0","678,187.0","699,919.0","754,299.0","810,720.0","835,345.0","857,868.0","862,956.0","875,577.0","888,731.0","914,665.0","939,792.0"
"25","7","            Durable goods","W105RX1","36,883.0","37,376.0","38,646.0","40,685.0","43,820.0","45,143.0","47,027.0","48,675.0","50,561.0","53,811.0","54,597.0","57,621.0","61,496.0","68,070.0","70,823.0"
"26","8","            Nondurable goods","W106RX1","148,429.0","151,469.0","159,898.0","171,685.0","178,641.0","187,620.0","202,953.0","211,577.0","211,092.0","215,333.0","217,559.0","217,405.0","222,138.0","222,213.0","226,832.0"
"27","9","            Services","W107RX1","399,463.0","405,238.0","418,639.0","429,457.0","456,578.0","468,492.0","506,081.0","551,623.0","573,882.0","588,686.0","590,800.0","600,628.0","605,235.0","625,541.0","643,463.0"
"28","10","        Less: Own-account investment \4\","W108RX1","20,217.0","20,053.0","21,177.0","21,508.0","21,576.0","21,661.0","24,104.0","24,273.0","23,488.0","23,631.0","23,783.0","24,274.0","24,398.0","25,490.0","25,582.0"
"29","11","              Sales to other sectors","W109RX1","238,243.0","242,985.0","247,990.0","256,823.0","261,020.0","275,587.0","287,604.0","290,808.0","291,427.0","294,172.0","297,781.0","299,039.0","304,247.0","312,753.0","322,470.0"
"30","12","Federal consumption expenditures \1\","A957RX1","625,531.0","614,566.0","615,280.0","602,420.0","610,362.0","616,446.0","642,944.0","685,772.0","731,315.0","759,525.0","765,838.0","776,534.0","782,734.0","833,904.0","882,280.0"
"31","13","      Gross output of general government","W110RX1","640,812.0","629,947.0","627,399.0","615,937.0","621,241.0","628,406.0","653,797.0","696,425.0","742,180.0","770,622.0","779,571.0","788,902.0","793,898.0","846,558.0","895,674.0"
"32","14","        Value added","W111RX1","435,118.0","423,153.0","415,184.0","410,432.0","407,070.0","410,480.0","412,106.0","420,227.0","431,532.0","435,827.0","438,743.0","438,448.0","441,759.0","459,033.0","485,645.0"
"33","15","          Compensation of general government employees","B568RX1","350,306.0","337,473.0","329,003.0","324,011.0","319,489.0","322,151.0","323,429.0","331,078.0","341,439.0","344,010.0","344,448.0","341,148.0","341,155.0","354,185.0","375,914.0"
"34","16","          Consumption of general government fixed capital \2\","B995RX1","87,110.0","86,873.0","86,729.0","86,625.0","87,305.0","88,046.0","88,393.0","89,073.0","90,169.0","91,848.0","94,295.0","97,331.0","100,732.0","104,998.0","109,809.0"
"35","17","        Intermediate goods and services purchased \3\","W113RX1","211,968.0","212,213.0","216,685.0","210,283.0","218,148.0","221,807.0","244,167.0","277,280.0","310,957.0","334,807.0","340,828.0","350,492.0","352,164.0","387,822.0","410,342.0"
"36","18","          Durable goods","W114RX1","22,735.0","22,806.0","22,994.0","23,173.0","24,674.0","24,567.0","24,866.0","26,223.0","28,495.0","31,635.0","32,328.0","34,989.0","38,211.0","44,755.0","47,310.0"
"37","19","          Nondurable goods","W115RX1","22,582.0","22,167.0","24,592.0","26,568.0","23,157.0","25,600.0","29,766.0","31,964.0","34,625.0","38,533.0","40,615.0","38,955.0","38,757.0","41,234.0","45,895.0"
"38","20","          Services","W116RX1","166,368.0","166,886.0","169,044.0","160,741.0","169,627.0","171,277.0","189,565.0","219,054.0","247,687.0","264,576.0","267,885.0","276,617.0","275,361.0","302,330.0","317,470.0"
"39","21","      Less: Own-account investment \4\","W117RX1","6,170.0","5,804.0","5,541.0","5,541.0","4,962.0","4,044.0","4,959.0","5,138.0","4,858.0","4,665.0","4,643.0","4,561.0","4,371.0","4,705.0","4,881.0"
"40","22","            Sales to other sectors","W118RX1","8,946.0","9,381.0","6,518.0","7,853.0","5,851.0","7,790.0","5,857.0","5,503.0","5,993.0","6,421.0","9,090.0","7,802.0","6,774.0","7,944.0","8,509.0"
"41","23","    Defense consumption expenditures \1\","A997RX1","424,520.0","418,534.0","412,239.0","401,241.0","407,575.0","403,866.0","418,541.0","445,831.0","484,084.0","509,357.0","514,837.0","519,076.0","527,986.0","562,072.0","591,718.0"
"42","24","      Gross output of general government","W085RX1","429,832.0","424,199.0","416,959.0","405,376.0","411,447.0","407,686.0","422,747.0","450,717.0","489,057.0","514,165.0","520,196.0","524,610.0","532,845.0","567,404.0","597,013.0"
"43","25","        Value added","W086RX1","296,806.0","286,844.0","278,362.0","270,894.0","265,434.0","263,491.0","264,153.0","269,090.0","276,822.0","281,939.0","284,393.0","282,985.0","284,438.0","295,700.0","313,814.0"
"44","26","          Compensation of general government employees","B237RX1","227,608.0","217,959.0","210,062.0","203,441.0","198,529.0","197,202.0","198,591.0","203,863.0","211,130.0","215,008.0","215,706.0","212,380.0","211,621.0","219,788.0","234,310.0"
"45","27","          Consumption of general government fixed capital \2\","B432RX1","70,200.0","69,182.0","68,148.0","67,023.0","66,264.0","65,685.0","65,160.0","65,099.0","65,720.0","66,956.0","68,687.0","70,632.0","72,922.0","76,034.0","79,560.0"
"46","28","        Intermediate goods and services purchased \3\","W087RX1","138,972.0","142,208.0","142,821.0","138,626.0","148,979.0","147,192.0","160,658.0","182,690.0","212,516.0","232,234.0","235,803.0","241,657.0","248,526.0","272,048.0","283,473.0"
"47","29","          Durable goods","A998RX1","21,678.0","21,510.0","21,595.0","21,775.0","23,134.0","22,905.0","23,066.0","24,015.0","26,345.0","29,226.0","29,548.0","32,018.0","35,207.0","41,331.0","43,526.0"
"48","30","          Nondurable goods","A725RX1","10,788.0","11,911.0","11,996.0","12,393.0","13,850.0","14,531.0","14,946.0","17,072.0","18,021.0","20,757.0","20,889.0","20,129.0","20,873.0","21,261.0","22,277.0"
"49","31","          Services","A489RX1","105,649.0","108,255.0","108,705.0","103,995.0","111,700.0","109,657.0","122,588.0","141,747.0","168,002.0","182,261.0","185,366.0","189,558.0","192,534.0","210,000.0","218,260.0"
"50","32","      Less: Own-account investment \4\","W088RX1","2,293.0","2,127.0","2,028.0","1,929.0","1,730.0","1,432.0","1,827.0","2,445.0","2,357.0","2,172.0","2,055.0","2,011.0","1,916.0","2,005.0","2,087.0"
"51","33","            Sales to other sectors","W089RX1","3,010.0","3,520.0","2,684.0","2,208.0","2,144.0","2,381.0","2,376.0","2,441.0","2,616.0","2,641.0","3,304.0","3,524.0","2,937.0","3,323.0","3,201.0"
"52","34","    Nondefense consumption expenditures \1\","A542RX1","201,194.0","196,230.0","203,152.0","201,237.0","202,872.0","212,442.0","224,186.0","239,694.0","247,130.0","250,158.0","251,001.0","257,472.0","254,703.0","271,794.0","290,578.0"
"53","35","      Gross output of general government","W128RX1","211,115.0","205,901.0","210,519.0","210,554.0","209,852.0","220,538.0","230,823.0","245,477.0","253,037.0","256,457.0","259,375.0","264,301.0","261,000.0","279,115.0","298,684.0"
"54","36","        Value added","W129RX1","138,873.0","136,814.0","137,246.0","139,816.0","141,783.0","146,946.0","147,892.0","151,064.0","154,649.0","153,881.0","154,350.0","155,471.0","157,344.0","163,351.0","171,821.0"
"55","37","          Compensation of general government employees","W130RX1","123,432.0","120,134.0","119,396.0","120,784.0","121,016.0","124,769.0","124,700.0","127,108.0","130,234.0","128,995.0","128,742.0","128,779.0","129,564.0","134,424.0","141,597.0"
"56","38","          Consumption of general government fixed capital \2\","B546RX1","17,183.0","17,920.0","18,770.0","19,740.0","21,130.0","22,412.0","23,256.0","23,979.0","24,449.0","24,892.0","25,608.0","26,701.0","27,814.0","28,967.0","30,251.0"
"57","39","        Intermediate goods and services purchased \3\","W131RX1","72,899.0","69,944.0","73,771.0","71,566.0","69,160.0","74,551.0","83,421.0","94,494.0","98,427.0","102,575.0","105,025.0","108,836.0","103,607.0","115,760.0","126,874.0"
"58","40","          Durable goods","A543RX1","1,178.0","1,359.0","1,444.0","1,446.0","1,582.0","1,689.0","1,815.0","2,200.0","2,154.0","2,412.0","2,780.0","2,970.0","2,990.0","3,400.0","3,778.0"
"59","41","          Nondurable goods","A729RX1","11,550.0","10,291.0","12,284.0","13,616.0","9,695.0","11,162.0","14,586.0","14,858.0","16,502.0","17,890.0","19,726.0","18,819.0","17,821.0","20,070.0","23,914.0"
"60","42","            Commodity Credit Corporation inventory change","B826RX1","-78.0","-133.0","-14.0","155.0","126.0","816.0","810.0","71.0","-152.0","-953.0","-533.0","-69.0","-39.0","-181.0","-208.0"
"61","43","            Other nondurable goods","B828RX1","11,629.0","10,424.0","12,298.0","13,462.0","9,568.0","10,347.0","13,776.0","14,787.0","16,653.0","18,843.0","20,259.0","18,888.0","17,860.0","20,251.0","24,123.0"
"62","44","          Services","A544RX1","60,665.0","58,616.0","60,309.0","56,727.0","57,922.0","61,594.0","66,959.0","77,288.0","79,692.0","82,316.0","82,519.0","87,062.0","82,819.0","92,325.0","99,196.0"
"63","45","      Less: Own-account investment \4\","W136RX1","3,862.0","3,663.0","3,499.0","3,599.0","3,221.0","2,603.0","3,123.0","2,694.0","2,504.0","2,494.0","2,588.0","2,550.0","2,455.0","2,701.0","2,795.0"
"64","46","            Sales to other sectors","W137RX1","5,912.0","5,854.0","3,844.0","5,617.0","3,693.0","5,385.0","3,475.0","3,055.0","3,369.0","3,776.0","5,786.0","4,279.0","3,840.0","4,625.0","5,331.0"
"65","47","State and local consumption expenditures \1\","A991RX1","983,022.0","1,001,044.0","1,027,731.0","1,070,761.0","1,109,470.0","1,133,700.0","1,172,639.0","1,211,273.0","1,207,520.0","1,207,374.0","1,212,029.0","1,220,722.0","1,239,822.0","1,240,241.0","1,232,085.0"
"66","48","      Gross output of general government","W138RX1","1,226,367.0","1,248,856.0","1,284,910.0","1,335,681.0","1,381,194.0","1,419,001.0","1,473,484.0","1,515,689.0","1,511,543.0","1,514,071.0","1,519,861.0","1,531,663.0","1,557,285.0","1,565,714.0","1,566,621.0"
"67","49","        Value added","W139RX1","855,128.0","868,376.0","885,577.0","904,593.0","919,526.0","938,977.0","961,322.0","980,900.0","986,673.0","990,991.0","997,733.0","1,006,537.0","1,020,755.0","1,037,803.0","1,035,270.0"
"68","50","          Compensation of general government employees","B251RX1","779,198.0","789,301.0","802,999.0","817,728.0","828,046.0","842,926.0","861,010.0","876,712.0","879,102.0","879,543.0","883,338.0","888,984.0","899,669.0","913,025.0","907,074.0"
"69","51","          Consumption of general government fixed capital \2\","B986RX1","77,497.0","80,363.0","83,609.0","87,586.0","91,866.0","96,207.0","100,328.0","104,122.0","107,482.0","111,423.0","114,395.0","117,539.0","121,027.0","124,651.0","127,917.0"
"70","52","        Intermediate goods and services purchased \3\","W140RX1","372,966.0","382,111.0","400,597.0","431,804.0","462,161.0","480,446.0","512,461.0","535,244.0","525,010.0","523,124.0","522,128.0","525,133.0","536,499.0","528,320.0","531,686.0"
"71","53","          Durable goods","B989RX1","14,354.0","14,757.0","15,794.0","17,574.0","19,193.0","20,577.0","22,134.0","22,435.0","22,063.0","22,176.0","22,269.0","22,629.0","23,282.0","23,349.0","23,570.0"
"72","54","          Nondurable goods","B337RX1","125,940.0","129,392.0","135,394.0","145,210.0","155,600.0","162,120.0","173,261.0","179,677.0","176,486.0","176,804.0","176,944.0","178,449.0","183,366.0","181,020.0","181,044.0"
"73","55","          Services","A988RX1","233,158.0","238,473.0","249,795.0","269,142.0","287,419.0","297,709.0","317,032.0","333,002.0","326,361.0","324,127.0","322,915.0","324,053.0","329,826.0","323,917.0","327,067.0"
"74","56","      Less: Own-account investment \4\","W144RX1","14,192.0","14,362.0","15,707.0","16,033.0","16,645.0","17,595.0","19,144.0","19,139.0","18,631.0","18,966.0","19,140.0","19,713.0","20,027.0","20,786.0","20,705.0"
"75","57","            Sales to other sectors","W145RX1","229,160.0","233,461.0","241,418.0","248,886.0","255,109.0","267,717.0","281,722.0","285,290.0","285,413.0","287,731.0","288,691.0","291,230.0","297,449.0","304,815.0","313,987.0"
"76","58","              Tuition and related educational charges","B1065X1","55,825.0","55,988.0","57,266.0","58,824.0","60,556.0","62,630.0","62,965.0","63,009.0","63,038.0","61,107.0","61,165.0","61,709.0","62,485.0","63,306.0","64,076.0"
"77","59","              Health and hospital charges","B1066X1","112,965.0","112,493.0","115,237.0","118,593.0","120,563.0","126,461.0","137,090.0","137,728.0","135,192.0","135,648.0","132,304.0","132,277.0","135,501.0","140,566.0","145,074.0"
"78","60","              Other sales","W146RX1","61,768.0","66,027.0","69,774.0","72,291.0","74,827.0","79,301.0","82,058.0","84,774.0","87,340.0","90,975.0","95,223.0","97,245.0","99,483.0","101,036.0","105,026.0"
"79","61","Residual","W100RX1","-11,500.0","-9,600.0","-7,000.0","-5,600.0","-3,400.0","-2,700.0","-1,400.0","-800.0","100.0","0.0","100.0","-200.0","-200.0","-1,900.0","-2,900.0"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
