"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"42","23","  Gross investment","A799RX1","199,912.0","204,255.0","201,303.0","202,157.0","200,198.0","206,056.0","213,139.0","225,140.0","232,947.0","229,996.0","225,418.0","220,140.0","218,530.0","229,646.0","242,240.0","244,427.0","248,829.0","248,961.0","251,999.0","260,998.0","269,059.0","263,590.0","265,433.0","268,230.0","273,468.0","290,344.0","269,160.0","285,987.0","290,730.0","287,054.0","288,714.0","291,272.0","289,852.0","287,814.0","297,108.0","294,190.0","292,525.0","295,073.0","288,525.0","282,891.0","280,481.0","281,686.0","279,796.0","284,248.0","282,548.0","289,696.0","288,409.0","285,128.0","287,426.0","287,969.0","287,905.0","289,975.0","290,537.0","294,828.0","294,745.0","289,029.0","284,697.0","289,131.0","290,380.0","282,889.0","272,098.0","277,044.0","284,221.0"
"43","24","    Structures","A842RX1","174,408.0","178,269.0","174,399.0","174,670.0","172,551.0","178,937.0","186,465.0","199,359.0","205,088.0","200,751.0","194,142.0","186,961.0","182,455.0","192,775.0","205,029.0","205,672.0","208,807.0","207,070.0","209,205.0","218,388.0","226,191.0","219,120.0","220,673.0","222,798.0","227,644.0","245,765.0","223,988.0","241,656.0","245,572.0","241,776.0","243,143.0","246,396.0","244,060.0","241,740.0","250,056.0","246,289.0","244,853.0","247,247.0","239,841.0","233,342.0","231,024.0","231,324.0","228,668.0","232,016.0","228,914.0","234,931.0","232,785.0","229,111.0","228,757.0","227,833.0","226,398.0","227,415.0","227,341.0","231,313.0","231,673.0","226,972.0","223,754.0","227,876.0","228,934.0","220,918.0","210,468.0","214,602.0","221,302.0"
"44","25","    Equipment and software","B881RX1","28,427.0","29,004.0","29,277.0","29,672.0","29,647.0","29,784.0","30,025.0","30,333.0","32,010.0","32,601.0","33,495.0","34,316.0","36,051.0","37,266.0","38,249.0","39,383.0","40,445.0","41,698.0","42,461.0","42,773.0","43,341.0","44,237.0","44,540.0","45,170.0","45,702.0","45,439.0","45,081.0","45,039.0","45,848.0","45,818.0","46,104.0","45,605.0","46,328.0","46,510.0","47,570.0","48,216.0","47,964.0","48,143.0","48,812.0","49,562.0","49,466.0","50,357.0","51,124.0","52,233.0","53,707.0","54,822.0","55,789.0","56,315.0","59,260.0","60,943.0","62,580.0","63,784.0","64,574.0","64,785.0","64,244.0","63,270.0","62,078.0","62,218.0","62,389.0","63,465.0","63,627.0","64,388.0","64,589.0"
"45","26","Residual","A979RX1","-7,500.0","-7,400.0","-8,100.0","-7,000.0","-5,200.0","-6,000.0","-6,400.0","-8,900.0","-8,700.0","-8,300.0","-6,200.0","-5,200.0","-4,400.0","-4,000.0","-3,500.0","-3,600.0","-3,800.0","-1,300.0","-600.0","-1,100.0","-1,400.0","-1,400.0","-800.0","-800.0","-1,100.0","-1,700.0","-1,100.0","-1,800.0","-1,700.0","-1,200.0","-900.0","-1,800.0","-1,400.0","-1,300.0","-1,500.0","-1,000.0","-900.0","-500.0","-200.0","0.0","0.0","-100.0","0.0","200.0","-300.0","-100.0","-200.0","-400.0","-500.0","-600.0","-1,200.0","-1,600.0","-2,300.0","-3,100.0","-3,600.0","-4,800.0","-4,500.0","-4,900.0","-4,900.0","-6,100.0","-7,400.0","-8,300.0","-8,500.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
