"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RX1","40,124.0","33,530.0","38,746.0","20,985.0","3,820.0","17,783.0","17,873.0","-14,853.0","42,097.0","35,825.0","34,050.0","-1,967.0","12,299.0","40,281.0","43,105.0","17,313.0","28,392.0","55,489.0","26,456.0","61,393.0","29,940.0","39,262.0","12,562.0","46,331.0","-18,668.0","-32,740.0","-5,234.0","342.0","34,594.0","52,040.0","47,017.0","17,177.0","29,257.0","43,655.0","76,626.0","40,304.0","48,170.0","47,177.0","48,080.0","57,173.0","43,289.0","48,976.0","18,045.0","12,975.0","14,343.0","12,244.0","-52,882.0","-15,002.0","61,111.0","15,315.0","63,057.0","32,057.0","-30,124.0","-5,918.0","6,578.0","-57,453.0","-53,534.0","-8,420.0","-2,911.0","30,417.0","96,864.0","91,064.0","95,072.0","59,866.0","18,503.0","27,121.0","22,801.0","41,940.0","37,203.0","18,101.0","-10,395.0","-8,806.0","40,108.0","22,490.0","-1,938.0","84,489.0","18,574.0","25,770.0","21,441.0","29,454.0","58,217.0","44,586.0","12,321.0","17,880.0","16,403.0","41,086.0","26,899.0","-12,641.0","-19,973.0","-23,695.0","1,000.0","34,815.0","2,635.0","25,316.0","23,219.0","26,636.0","45,979.0","31,024.0","2,055.0","17,251.0","54,664.0","98,684.0","61,617.0","86,588.0","72,412.0","41,319.0","9,398.0","15,113.0","2,036.0","29,649.0","65,483.0","38,168.0","51,406.0","112,885.0","80,890.0","94,042.0"
"21","2","Farm \1\","B018RX1","3,867.0","4,255.0","-2,471.0","-5,555.0","3,306.0","1,587.0","-4,891.0","-10,751.0","7,255.0","11,692.0","6,042.0","-6,482.0","410.0","6,456.0","2,334.0","-7,325.0","-9,952.0","11,648.0","4,493.0","1,887.0","-5,478.0","-92.0","835.0","-15,018.0","16,880.0","5,980.0","-136.0","3,217.0","-255.0","-2,058.0","4,926.0","-9,704.0","-5,337.0","12,270.0","16,733.0","8,972.0","-3,490.0","550.0","11,670.0","579.0","7,065.0","5,660.0","7,419.0","-1,002.0","-3,264.0","-6,875.0","-15,139.0","-7,060.0","11,845.0","12,020.0","15,665.0","5,814.0","7,314.0","7,314.0","12,813.0","6,416.0","-12,402.0","-15,231.0","-39,311.0","-11,676.0","8,154.0","7,320.0","8,825.0","4,203.0","9,451.0","5,218.0","10,293.0","6,765.0","1,134.0","-6,771.0","-4,217.0","-365.0","-10,966.0","-15,662.0","-6,389.0","-8,056.0","-9,408.0","-16,546.0","-13,402.0","-19,800.0","7,578.0","3,775.0","-5,772.0","-5,643.0","2,007.0","-2,175.0","4,699.0","6,950.0","284.0","-821.0","-13,706.0","5,890.0","11,057.0","12,087.0","5,723.0","3,373.0","-4,874.0","-4,214.0","-20,858.0","-3,963.0","21,681.0","23,865.0","12,715.0","3,938.0","-5,506.0","-15,119.0","-29,036.0","-9,399.0","-4,496.0","8,920.0","29,336.0","4,058.0","-8,959.0","8,710.0","10,004.0","6,632.0"
"22","3","Nonfarm","A015RX1","36,245.0","29,174.0","42,460.0","27,969.0","-19.0","16,315.0","24,056.0","-2,469.0","34,408.0","22,639.0","27,633.0","5,915.0","12,218.0","33,651.0","42,304.0","29,023.0","47,046.0","42,094.0","21,859.0","66,938.0","43,664.0","43,535.0","12,814.0","71,346.0","-42,142.0","-42,379.0","-5,460.0","-3,996.0","36,508.0","56,943.0","42,710.0","29,006.0","36,219.0","30,490.0","59,164.0","30,832.0","53,663.0","48,555.0","35,474.0","59,409.0","36,259.0","44,302.0","9,049.0","14,814.0","19,162.0","21,189.0","-35,877.0","-6,459.0","49,027.0","1,820.0","46,862.0","26,101.0","-37,628.0","-13,469.0","-6,168.0","-63,198.0","-41,087.0","7,148.0","37,363.0","42,975.0","89,424.0","84,309.0","86,355.0","55,526.0","9,242.0","21,903.0","13,130.0","35,082.0","35,611.0","23,594.0","-6,508.0","-8,193.0","48,614.0","35,996.0","3,911.0","90,761.0","27,113.0","41,703.0","34,947.0","50,323.0","50,705.0","40,949.0","18,230.0","23,727.0","14,319.0","43,425.0","22,087.0","-19,626.0","-20,306.0","-22,938.0","14,119.0","29,190.0","-7,832.0","13,650.0","17,840.0","23,590.0","50,674.0","35,100.0","21,966.0","21,442.0","33,532.0","75,970.0","49,964.0","82,507.0","77,096.0","54,503.0","35,368.0","24,126.0","6,464.0","21,413.0","37,420.0","34,477.0","59,289.0","104,158.0","71,100.0","87,257.0"
"23","4","  Manufacturing","A150RX1","17,169.0","9,090.0","15,284.0","14,422.0","-4,187.0","2,266.0","7,171.0","-5,413.0","1,309.0","-4,393.0","-5,764.0","-6,364.0","2,494.0","8,262.0","18,254.0","5,171.0","21,102.0","22,256.0","19,339.0","32,220.0","19,219.0","28,387.0","21,500.0","34,785.0","-1,337.0","-19,357.0","-16,346.0","-186.0","6,054.0","19,992.0","20,790.0","22,048.0","3,901.0","11,566.0","20,163.0","6,715.0","6,486.0","22,898.0","18,923.0","23,088.0","16,020.0","18,012.0","12,109.0","16,350.0","25,026.0","7,219.0","-27,253.0","-3,148.0","17,567.0","-339.0","12,883.0","-7,522.0","-17,042.0","-20,335.0","-10,178.0","-29,115.0","-43,813.0","7,358.0","14,361.0","19,909.0","33,139.0","54,368.0","48,271.0","6,517.0","-11,220.0","-1,354.0","-10,635.0","-7,955.0","-8,782.0","1,554.0","-13,778.0","2,524.0","-75.0","5,305.0","12,766.0","23,386.0","16,801.0","17,460.0","13,487.0","35,219.0","23,578.0","27,835.0","16,414.0","1,733.0","19,954.0","9,428.0","14,483.0","-370.0","-6,144.0","-20,873.0","-5,731.0","-352.0","-12,208.0","-8,254.0","8,856.0","-11,619.0","3,267.0","12,124.0","6,532.0","-4,174.0","12,893.0","15,346.0","12,738.0","18,262.0","26,002.0","18,664.0","15,380.0","8,796.0","21,105.0","-4,160.0","17,218.0","15,438.0","19,625.0","29,409.0","25,257.0","33,557.0"
"24","5","    Durable goods","C624RX1","12,173.0","5,679.0","6,872.0","13,145.0","-4,619.0","-3,333.0","7,847.0","-6,111.0","-873.0","-6,903.0","-5,404.0","-9,204.0","1,701.0","2,942.0","12,600.0","7,781.0","15,080.0","17,315.0","24,601.0","22,690.0","10,406.0","11,054.0","15,823.0","20,639.0","910.0","-8,361.0","-16,670.0","-13,485.0","-816.0","8,774.0","10,579.0","17,342.0","2,719.0","1,642.0","9,138.0","5,450.0","8,950.0","17,283.0","14,123.0","16,255.0","17,576.0","17,039.0","8,471.0","15,825.0","9,163.0","2,834.0","-13,747.0","1,748.0","9,456.0","-3,409.0","10,503.0","-8,324.0","-16,843.0","-5,082.0","-10,424.0","-23,993.0","-30,930.0","3,726.0","1,743.0","15,641.0","19,232.0","32,567.0","33,243.0","13,775.0","-5,287.0","-590.0","-5,931.0","-14,002.0","-5,570.0","-3,286.0","-8,159.0","-6,108.0","-2,181.0","4,753.0","7,124.0","13,559.0","9,119.0","10,293.0","10,299.0","24,335.0","19,596.0","14,344.0","7,937.0","3,526.0","10,143.0","5,339.0","7,178.0","-1,108.0","-10,514.0","-16,481.0","-5,984.0","-8,525.0","-12,280.0","-8,388.0","-2,219.0","-12,269.0","1,010.0","6,882.0","7,548.0","1,113.0","8,934.0","12,016.0","7,075.0","12,156.0","13,894.0","10,301.0","12,795.0","11,101.0","17,551.0","2,469.0","14,370.0","8,357.0","10,236.0","18,399.0","16,604.0","20,616.0"
"25","6","    Nondurable goods","C625RX1","3,656.0","3,111.0","9,304.0","-1,348.0","1,633.0","8,063.0","-2,718.0","2,370.0","3,072.0","4,918.0","844.0","6,010.0","615.0","6,275.0","4,361.0","-5,230.0","4,328.0","2,547.0","-11,536.0","7,557.0","8,948.0","19,188.0","4,251.0","13,733.0","-2,860.0","-11,952.0","2,990.0","18,165.0","8,519.0","12,193.0","10,660.0","2,730.0","984.0","11,864.0","11,937.0","579.0","-4,668.0","3,751.0","3,293.0","5,384.0","-5,323.0","-2,034.0","2,989.0","-2,110.0","17,732.0","4,776.0","-14,091.0","-6,185.0","8,228.0","4,152.0","1,232.0","2,332.0","2,620.0","-17,822.0","2,143.0","-1,938.0","-10,123.0","3,802.0","15,394.0","2,287.0","13,632.0","20,880.0","12,205.0","-12,051.0","-6,451.0","-869.0","-4,746.0","10,763.0","-3,005.0","7,044.0","-5,527.0","12,771.0","3,245.0","-365.0","5,650.0","9,603.0","7,826.0","6,910.0","1,856.0","8,674.0","999.0","14,095.0","9,084.0","-2,941.0","10,264.0","4,061.0","7,698.0","1,074.0","7,091.0","-2,479.0","1,317.0","11,514.0","2,342.0","1,673.0","13,882.0","2,881.0","2,567.0","5,207.0","-2,499.0","-6,613.0","3,326.0","2,063.0","5,713.0","5,484.0","12,257.0","8,343.0","1,388.0","-3,973.0","2,173.0","-7,768.0","1,773.0","7,174.0","9,584.0","10,496.0","7,999.0","12,504.0"
"26","7","  Wholesale trade","A658RX1","11,641.0","11,987.0","9,584.0","4,116.0","9,979.0","7,703.0","11,153.0","12,345.0","436.0","10,303.0","7,415.0","12,643.0","-1,513.0","10,429.0","14,404.0","4,280.0","8,838.0","-1,639.0","-1,408.0","11,609.0","19,928.0","19,195.0","-2,697.0","25,157.0","-12,347.0","-16,382.0","3,094.0","-5,567.0","3,887.0","22,550.0","17,854.0","1,585.0","14,920.0","11,174.0","17,803.0","15,858.0","25,666.0","11,045.0","3,805.0","23,290.0","17,991.0","9,352.0","10,371.0","5,002.0","13,344.0","15,028.0","-131.0","-4,370.0","21,699.0","-9,821.0","2,301.0","12,181.0","-5,429.0","5,671.0","-3,261.0","-9,022.0","-13,259.0","-18,693.0","16,304.0","10,755.0","16,220.0","15,387.0","33,437.0","8,128.0","10,824.0","7,421.0","2,930.0","5,807.0","9,931.0","10,241.0","21,838.0","-4,595.0","1,348.0","7,258.0","-4,247.0","29,674.0","22,139.0","13,717.0","10,334.0","-4,415.0","-4,454.0","18,470.0","2,322.0","-1,953.0","8,959.0","17,386.0","10,350.0","1,621.0","8,592.0","-15,492.0","5,126.0","19,172.0","3,197.0","10,322.0","5,929.0","19,304.0","4,963.0","4,924.0","10,932.0","5,932.0","-1,692.0","19,878.0","20,607.0","31,259.0","21,867.0","16,462.0","14,210.0","5,195.0","3,390.0","5,504.0","-9,219.0","10,766.0","27,104.0","41,776.0","21,313.0","37,123.0"
"27","8","    Durable goods","A661RX1","6,516.0","8,527.0","5,434.0","2,574.0","5,093.0","1,000.0","7,510.0","3,239.0","1,857.0","4,920.0","5,677.0","8,970.0","789.0","8,544.0","5,276.0","8,934.0","5,501.0","7,386.0","4,100.0","4,521.0","8,596.0","6,666.0","8,718.0","14,487.0","403.0","-8,032.0","-5,850.0","855.0","2,145.0","13,226.0","9,056.0","1,348.0","6,154.0","6,127.0","8,648.0","10,400.0","19,359.0","11,412.0","3,930.0","14,551.0","13,829.0","3,065.0","8,980.0","236.0","4,541.0","8,576.0","-2,853.0","8,444.0","7,006.0","6,989.0","180.0","6,544.0","1,705.0","5,504.0","-5,824.0","-16,737.0","-16,334.0","-9,969.0","5,623.0","8,227.0","9,639.0","9,127.0","19,351.0","8,014.0","2,390.0","2,308.0","-1,646.0","-1,304.0","3,380.0","5,650.0","9,203.0","-4,303.0","1,702.0","7,217.0","-9,167.0","17,776.0","14,393.0","-3,404.0","14,751.0","-2,815.0","-1,326.0","12,072.0","-1,044.0","-5,085.0","4,241.0","6,376.0","7,220.0","-4,593.0","2,991.0","-15,096.0","-1,433.0","11,168.0","-4,742.0","8,651.0","4,372.0","4,292.0","1,176.0","-24.0","6,261.0","6,695.0","-961.0","17,139.0","12,198.0","16,578.0","16,088.0","11,045.0","7,175.0","13,152.0","4,107.0","2,278.0","6,168.0","-12.0","17,690.0","28,987.0","9,854.0","20,587.0"
