"","Table 5#6#5# Private Fixed Investment in Intellectual Property P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","4","  Custom","Y004RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","5","  Own account","Y005RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","6","Research and development \2,3\","Y006RC1","188.0","202.0","222.0","192.0","177.0","211.0","234.0","247.0","258.0","283.0","305.0","357.0","584.0","640.0","476.0","506.0","524.0","841.0","1,050.0","1,138.0","974.0","1,191.0","1,372.0","1,882.0","2,403.0","2,535.0","2,692.0","3,569.0","3,724.0","3,991.0","4,380.0","4,865.0","5,156.0","5,590.0","5,983.0","6,486.0","7,216.0","8,080.0","8,988.0","9,924.0","10,981.0"
"25","7","  Business","Y007RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,195.0","4,666.0","4,918.0","5,300.0","5,647.0","6,107.0","6,790.0","7,603.0","8,459.0","9,352.0","10,393.0"
"26","8","    Manufacturing","Y027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,141.0","4,600.0","4,810.0","5,206.0","5,552.0","6,007.0","6,664.0","7,462.0","8,275.0","9,163.0","10,162.0"
"27","9","      Pharmaceutical and medicine manufacturing","Y009RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","159.0","167.0","187.0","202.0","218.0","210.0","253.0","304.0","343.0","402.0","449.0"
"28","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","675.0","744.0","804.0","860.0","919.0","1,028.0","1,095.0","1,134.0","1,195.0","1,265.0","1,336.0"
"29","11","      Semiconductor and other electronic component manufacturing","Y012RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","34.0","42.0","52.0","56.0","61.0","72.0","85.0","97.0","110.0","118.0","130.0"
"30","12","      Other computer and electronic product manufacturing","Y013RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","587.0","692.0","820.0","910.0","1,014.0","1,108.0","1,244.0","1,425.0","1,548.0","1,738.0","2,029.0"
"31","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","705.0","737.0","776.0","788.0","876.0","943.0","994.0","1,104.0","1,103.0","1,250.0","1,411.0"
"32","14","      Aerospace products and parts manufacturing","Y015RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","354.0","383.0","413.0","480.0","476.0","482.0","684.0","846.0","1,201.0","1,297.0","1,427.0"
"33","15","      Other manufacturing","Y016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,627.0","1,835.0","1,758.0","1,910.0","1,988.0","2,164.0","2,309.0","2,552.0","2,775.0","3,093.0","3,380.0"
"34","16","    Nonmanufacturing","Y028RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","54.0","66.0","108.0","94.0","95.0","100.0","126.0","141.0","184.0","189.0","231.0"
"35","17","      Scientific research and development services","Y029RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","18","      All other nonmanufacturing","Y008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","  Nonprofit institutions serving households","Y017RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","185.0","199.0","238.0","290.0","336.0","379.0","426.0","477.0","529.0","572.0","588.0"
"38","20","    Universities and colleges \4\","Y018RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","21.0","23.0","25.0","26.0","33.0","44.0","53.0","60.0","64.0","67.0"
"39","21","    Other nonprofit institutions","Y019RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","165.0","178.0","215.0","265.0","310.0","346.0","382.0","424.0","469.0","508.0","521.0"
"40","22","Entertainment, literary, and artistic originals","Y020RC1","386.0","354.0","278.0","250.0","248.0","290.0","330.0","398.0","444.0","471.0","465.0","460.0","547.0","558.0","661.0","731.0","908.0","996.0","968.0","935.0","1,062.0","1,071.0","983.0","1,095.0","1,264.0","1,351.0","1,632.0","1,653.0","1,862.0","1,996.0","2,233.0","2,150.0","2,652.0","2,587.0","2,823.0","2,784.0","3,240.0","3,709.0","3,842.0","4,339.0","4,380.0"
"41","23","  Theatrical movies","Y021RC1","204.0","204.0","152.0","150.0","169.0","197.0","226.0","285.0","317.0","336.0","324.0","304.0","373.0","359.0","437.0","474.0","609.0","679.0","618.0","587.0","690.0","631.0","450.0","467.0","543.0","521.0","631.0","459.0","529.0","596.0","663.0","471.0","850.0","699.0","836.0","784.0","986.0","925.0","1,011.0","1,417.0","1,110.0"
"42","24","  Long-lived television programs","Y022RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","21.0","64.0","137.0","211.0","277.0","371.0","480.0","598.0","665.0","676.0","763.0","827.0","875.0","905.0","968.0","980.0","1,171.0","1,488.0","1,372.0","1,358.0","1,485.0"
"43","25","  Books","Y023RC1","105.0","90.0","81.0","69.0","53.0","63.0","70.0","77.0","87.0","89.0","86.0","95.0","107.0","120.0","131.0","154.0","173.0","140.0","158.0","164.0","168.0","175.0","179.0","186.0","197.0","202.0","225.0","249.0","275.0","300.0","334.0","360.0","387.0","416.0","451.0","503.0","529.0","602.0","653.0","678.0","729.0"
"44","26","  Music","Y024RC1","48.0","35.0","22.0","12.0","10.0","11.0","13.0","15.0","17.0","21.0","29.0","32.0","36.0","43.0","52.0","54.0","73.0","116.0","122.0","111.0","105.0","116.0","126.0","136.0","142.0","140.0","171.0","215.0","252.0","275.0","318.0","330.0","374.0","390.0","383.0","317.0","345.0","467.0","563.0","623.0","777.0"
"45","27","  Other","Y025RC1","29.0","25.0","23.0","19.0","16.0","19.0","21.0","21.0","23.0","25.0","26.0","29.0","31.0","36.0","41.0","49.0","53.0","61.0","70.0","73.0","78.0","85.0","91.0","95.0","105.0","117.0","125.0","132.0","141.0","149.0","155.0","162.0","166.0","177.0","185.0","200.0","209.0","227.0","243.0","263.0","279.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. R&D investment excludes expenditures for software development. Software development expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
