"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1951 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:58:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Opening balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Produced assets","K100011","986,814.0","1,085,545.0","1,131,861.0","1,169,064.0","1,214,926.0","1,312,707.0","1,426,186.0","1,496,947.0","1,546,796.0","1,604,826.0","1,658,250.0","1,721,524.0","1,801,336.0","1,867,308.0","1,984,818.0","2,123,577.0","2,305,383.0","2,479,170.0","2,718,927.0"
"21","2","  Fixed assets","K100021","872,410.0","958,201.0","1,012,996.0","1,052,036.0","1,099,886.0","1,196,788.0","1,301,498.0","1,369,114.0","1,415,274.0","1,471,752.0","1,521,814.0","1,581,708.0","1,653,903.0","1,717,364.0","1,830,340.0","1,954,186.0","2,119,772.0","2,284,412.0","2,510,869.0"
"22","3","    Private","K100031","655,699.0","713,808.0","751,835.0","783,164.0","815,124.0","888,699.0","958,380.0","1,008,802.0","1,033,903.0","1,077,971.0","1,110,881.0","1,147,548.0","1,190,282.0","1,228,631.0","1,313,836.0","1,402,785.0","1,521,974.0","1,636,421.0","1,804,632.0"
"23","4","      Nonresidential","K100041","335,830.0","366,187.0","386,271.0","403,681.0","414,889.0","457,016.0","505,498.0","540,601.0","551,323.0","573,928.0","586,843.0","604,297.0","626,756.0","650,565.0","689,280.0","738,807.0","804,225.0","871,149.0","957,848.0"
"24","5","      Residential","K100051","319,869.0","347,621.0","365,564.0","379,483.0","400,235.0","431,683.0","452,882.0","468,201.0","482,580.0","504,043.0","524,038.0","543,251.0","563,526.0","578,066.0","624,556.0","663,978.0","717,749.0","765,272.0","846,784.0"
"25","6","    Government","K100061","216,711.0","244,393.0","261,161.0","268,872.0","284,762.0","308,089.0","343,118.0","360,312.0","381,371.0","393,781.0","410,933.0","434,160.0","463,621.0","488,733.0","516,504.0","551,401.0","597,798.0","647,991.0","706,237.0"
"26","7"," Private inventories \1\","K100071","114,404.0","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0"
"27",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
