"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:55:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Government \1\","W022RC1","124,248.0","131,166.0","140,990.0","151,980.0","160,015.0","168,567.0","181,042.0","203,882.0","231,687.0","260,685.0","283,525.0"
"20","2","General public service","G160021","20,751.0","23,838.0","24,997.0","26,738.0","28,460.0","30,536.0","32,657.0","35,283.0","37,616.0","42,058.0","47,421.0"
"21","3","  Executive and legislative","G160031","4,361.0","4,494.0","4,959.0","5,090.0","5,293.0","5,479.0","5,784.0","5,800.0","5,627.0","4,524.0","5,109.0"
"22","4","  Tax collection and financial management","G160041","1,178.0","1,307.0","1,385.0","1,474.0","1,467.0","1,559.0","1,649.0","1,822.0","2,060.0","3,521.0","4,423.0"
"23","5","  Interest payments \2\","G160051","14,101.0","16,858.0","17,169.0","18,612.0","20,073.0","21,638.0","23,058.0","25,154.0","27,165.0","30,578.0","34,026.0"
"24","6","  Other \3\","G160061","1,112.0","1,179.0","1,484.0","1,562.0","1,627.0","1,860.0","2,166.0","2,507.0","2,764.0","3,434.0","3,863.0"
"25","7","National defense","G160071","43,985.0","44,312.0","45,634.0","50,095.0","52,056.0","52,720.0","55,536.0","65,648.0","75,761.0","83,980.0","85,226.0"
"26","8","Public order and safety","G160081","4,392.0","4,783.0","5,162.0","5,371.0","5,704.0","6,120.0","6,618.0","7,213.0","7,986.0","9,299.0","10,323.0"
"27","9","  Police","G160091","2,107.0","2,282.0","2,434.0","2,583.0","2,754.0","2,944.0","3,196.0","3,468.0","3,849.0","4,666.0","5,119.0"
"28","10","  Fire","G160101","1,020.0","1,116.0","1,230.0","1,244.0","1,305.0","1,392.0","1,497.0","1,624.0","1,732.0","1,933.0","2,152.0"
"29","11","  Law courts","G160111","676.0","726.0","771.0","795.0","856.0","927.0","1,009.0","1,120.0","1,240.0","1,409.0","1,602.0"
"30","12","  Prisons","G160121","589.0","658.0","727.0","749.0","788.0","857.0","916.0","1,001.0","1,165.0","1,291.0","1,450.0"
"31","13","Economic affairs","G160131","12,728.0","11,425.0","12,451.0","14,482.0","14,813.0","16,617.0","17,917.0","19,286.0","21,234.0","23,416.0","26,186.0"
"32","14","  Transportation","G160181","5,827.0","6,130.0","6,560.0","6,928.0","7,291.0","7,685.0","8,144.0","8,815.0","9,578.0","10,308.0","11,340.0"
"33","15","    Highways","G160191","4,626.0","4,855.0","5,124.0","5,414.0","5,743.0","6,048.0","6,471.0","7,023.0","7,593.0","8,237.0","9,109.0"
"34","16","    Air","G160201","497.0","531.0","661.0","689.0","691.0","759.0","743.0","820.0","881.0","896.0","1,027.0"
"35","17","    Water","G160211","704.0","744.0","775.0","825.0","845.0","868.0","912.0","948.0","1,078.0","1,128.0","1,146.0"
"36","18","    Transit and railroad","G160221","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","47.0","58.0"
"37","19","  Space","G160241","150.0","323.0","444.0","928.0","1,801.0","2,307.0","2,713.0","2,614.0","1,933.0","1,925.0","1,758.0"
"38","20","  Other economic affairs","W690RC1","6,751.0","4,973.0","5,447.0","6,626.0","5,721.0","6,624.0","7,060.0","7,857.0","9,723.0","11,183.0","13,089.0"
"39","21","    General economic and labor affairs","G160141","1,219.0","1,473.0","1,722.0","2,051.0","2,266.0","2,266.0","2,787.0","3,538.0","4,296.0","4,296.0","4,448.0"
"40","22","    Agriculture","G160151","4,576.0","2,678.0","2,778.0","3,768.0","2,987.0","3,567.0","3,582.0","3,461.0","3,861.0","5,567.0","6,823.0"
"41","23","    Energy","G160161","361.0","343.0","435.0","375.0","169.0","257.0","201.0","179.0","449.0","344.0","453.0"
"42","24","    Natural resources","G160171","595.0","475.0","525.0","448.0","290.0","509.0","475.0","664.0","1,104.0","980.0","1,358.0"
"43","25","    Postal service","G160231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"44","26","    Other \4\","G160251","0.0","4.0","-13.0","-16.0","8.0","25.0","14.0","15.0","13.0","-4.0","8.0"
"45","27","Housing and community services","G160261","736.0","800.0","856.0","938.0","1,007.0","1,073.0","1,097.0","1,206.0","1,363.0","1,459.0","1,600.0"
"46","28","Health","G160271","5,241.0","5,510.0","6,337.0","6,505.0","7,011.0","7,379.0","7,836.0","10,063.0","15,217.0","18,612.0","21,127.0"
"47","29","Recreation and culture","G160281","684.0","748.0","849.0","866.0","927.0","982.0","1,085.0","1,167.0","1,285.0","1,496.0","1,723.0"
"48","30","Education","G160291","14,703.0","16,166.0","17,644.0","18,905.0","20,635.0","22,757.0","25,312.0","29,034.0","32,851.0","37,092.0","42,395.0"
"49","31","  Elementary and secondary","G160301","12,011.0","13,385.0","14,724.0","15,875.0","17,280.0","19,061.0","21,074.0","23,683.0","26,049.0","29,063.0","32,827.0"
"50","32","  Higher","G160311","1,490.0","1,727.0","1,894.0","1,968.0","2,161.0","2,379.0","2,673.0","3,257.0","4,225.0","5,146.0","6,048.0"
"51","33","  Libraries and other","W691RC1","1,202.0","1,054.0","1,025.0","1,063.0","1,193.0","1,317.0","1,564.0","2,093.0","2,577.0","2,883.0","3,519.0"
"52","34","    Libraries","G160321","259.0","269.0","298.0","315.0","376.0","390.0","428.0","475.0","485.0","535.0","593.0"
"53","35","    Other","G160331","943.0","786.0","728.0","748.0","817.0","927.0","1,137.0","1,618.0","2,092.0","2,348.0","2,926.0"
"54","36","Income security","G160341","21,882.0","23,584.0","27,062.0","28,080.0","29,403.0","30,383.0","32,984.0","34,983.0","38,375.0","43,273.0","47,524.0"
"55","37","  Disability","G160351","4,389.0","4,722.0","5,311.0","5,524.0","5,988.0","6,242.0","6,759.0","6,927.0","7,532.0","8,135.0","8,975.0"
"56","38","  Retirement \5\","G160361","10,462.0","11,591.0","12,788.0","14,438.0","15,238.0","16,009.0","17,832.0","19,339.0","20,741.0","24,145.0","25,814.0"
"57","39","  Welfare and social services","G160371","4,205.0","4,171.0","4,510.0","4,850.0","5,067.0","5,299.0","5,962.0","6,691.0","7,737.0","8,607.0","10,171.0"
"58","40","  Unemployment","G160381","2,752.0","3,030.0","4,368.0","3,156.0","2,996.0","2,723.0","2,330.0","1,911.0","2,234.0","2,191.0","2,299.0"
"59","41","  Other","G160391","74.0","70.0","85.0","113.0","114.0","110.0","102.0","116.0","131.0","196.0","265.0"
"60","42","      Federal","W013RC1","90,486.0","93,369.0","99,784.0","108,529.0","113,456.0","118,180.0","125,896.0","144,343.0","165,744.0","184,311.0","196,943.0"
"61","43","General public service","G160411","15,199.0","17,716.0","18,149.0","19,545.0","20,883.0","22,283.0","23,614.0","25,237.0","26,652.0","29,223.0","32,649.0"
