"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"21","2","Current tax receipts","W070RU1","18,818.0","20,821.0","19,116.0","23,704.0","21,086.0","23,723.0","20,028.0","26,453.0","22,885.0","25,222.0","23,533.0","30,048.0","26,540.0","29,268.0","26,534.0","33,241.0","29,190.0","31,666.0","28,779.0","36,640.0","31,578.0","33,802.0","31,774.0","38,885.0","34,221.0","36,391.0","33,996.0","42,832.0","38,647.0","40,764.0","38,011.0","48,303.0","42,714.0","45,412.0","42,151.0","53,460.0","46,352.0","50,566.0","46,494.0","54,766.0","50,832.0","51,557.0","49,499.0","60,129.0","56,665.0","55,463.0","52,849.0","65,046.0","61,553.0","62,922.0","58,939.0","72,358.0","65,843.0","68,485.0","62,872.0","75,958.0","70,366.0","73,545.0","72,206.0","84,783.0","82,865.0","84,105.0","78,754.0","91,571.0","88,905.0","86,715.0","87,711.0","100,357.0","94,087.0","92,296.0","92,899.0","110,259.0","103,130.0","104,878.0","98,176.0","115,922.0","113,019.0","112,384.0","105,384.0","121,975.0","121,501.0","122,104.0","114,537.0","129,864.0","129,600.0","127,772.0","120,384.0","141,367.0","133,191.0","132,983.0","128,074.0","150,030.0","139,611.0","144,333.0","132,959.0","162,863.0","146,691.0","148,486.0","141,960.0","167,603.0","159,372.0","155,786.0","150,503.0","178,561.0","167,840.0","164,398.0","154,493.0","185,385.0","175,465.0","175,497.0","164,535.0","194,100.0","185,450.0","184,838.0","174,602.0","205,032.0","195,925.0","198,295.0","182,075.0","218,635.0","207,014.0","208,382.0","190,654.0","234,385.0","220,795.0","226,238.0","198,635.0","247,576.0","230,834.0","233,366.0","200,146.0","249,932.0","229,281.0","232,709.0","208,187.0","258,334.0","236,602.0","232,514.0","227,481.0","282,026.0","255,889.0","256,111.0","238,631.0","307,218.0","278,856.0","292,632.0","262,468.0","332,560.0","301,772.0","323,226.0","276,600.0","352,862.0","319,819.0","344,797.0","285,392.0","371,310.0","317,686.0","352,558.0","291,988.0","366,687.0","305,267.0","316,681.0","275,455.0","370,746.0","309,127.0","326,751.0","288,656.0","381,110.0","326,492.0","349,446.0","298,772.0","393,586.0","336,403.0","362,536.0","314,499.0","402,624.0","355,327.0","383,190.0","329,022.0","412,271.0","359,056.0","388,117.0","341,239.0","429,099.0"
"22","3","  Personal current taxes","W071RU1","3,130.0","3,896.0","2,655.0","3,126.0","3,645.0","4,285.0","2,884.0","3,403.0","3,684.0","4,667.0","3,282.0","4,270.0","5,007.0","6,260.0","4,726.0","4,890.0","5,633.0","6,282.0","5,143.0","5,768.0","6,120.0","6,380.0","5,855.0","6,168.0","6,404.0","7,236.0","6,334.0","6,904.0","7,286.0","8,415.0","7,161.0","8,213.0","8,567.0","9,313.0","8,536.0","8,951.0","9,233.0","11,115.0","9,819.0","10,283.0","10,089.0","11,490.0","10,808.0","11,645.0","11,714.0","12,585.0","11,975.0","12,617.0","12,395.0","14,672.0","13,328.0","14,220.0","13,916.0","15,538.0","14,499.0","15,194.0","15,253.0","17,266.0","16,445.0","17,141.0","18,409.0","21,098.0","18,474.0","18,043.0","19,487.0","22,397.0","19,506.0","19,970.0","20,631.0","23,155.0","20,574.0","22,845.0","22,847.0","27,851.0","22,315.0","23,587.0","26,121.0","28,057.0","23,272.0","24,644.0","28,340.0","33,471.0","26,173.0","26,655.0","30,385.0","35,219.0","27,887.0","29,068.0","30,372.0","35,556.0","28,770.0","30,613.0","31,910.0","38,795.0","31,243.0","33,357.0","34,290.0","39,282.0","32,971.0","34,524.0","36,650.0","39,906.0","35,116.0","36,318.0","39,598.0","43,240.0","37,026.0","38,245.0","41,390.0","46,976.0","39,121.0","41,186.0","44,595.0","51,173.0","42,144.0","44,086.0","48,432.0","58,444.0","45,925.0","48,420.0","51,737.0","62,059.0","48,663.0","52,027.0","57,017.0","72,099.0","52,995.0","54,597.0","61,308.0","75,943.0","52,038.0","53,729.0","52,383.0","62,655.0","52,692.0","54,120.0","52,137.0","61,472.0","55,565.0","57,629.0","55,665.0","70,036.0","58,760.0","62,985.0","62,344.0","83,311.0","63,993.0","66,788.0","67,410.0","97,730.0","67,676.0","69,685.0","73,009.0","105,630.0","72,031.0","72,811.0","74,585.0","113,570.0","73,279.0","72,104.0","64,564.0","86,058.0","66,814.0","70,334.0","67,126.0","86,799.0","68,728.0","74,976.0","73,509.0","96,962.0","75,027.0","78,570.0","77,300.0","105,248.0","79,327.0","84,789.0","86,419.0","117,840.0","82,079.0","85,816.0","87,742.0","114,258.0","87,171.0","94,148.0"
"23","4","  Taxes on production and imports","W072RU1","14,795.0","15,961.0","15,601.0","19,688.0","16,557.0","18,444.0","16,207.0","22,125.0","18,255.0","19,443.0","19,165.0","24,639.0","20,370.0","21,658.0","20,516.0","26,904.0","22,167.0","23,785.0","22,148.0","29,321.0","24,009.0","25,663.0","24,071.0","31,094.0","26,431.0","27,382.0","25,595.0","33,807.0","29,203.0","29,800.0","28,353.0","37,659.0","31,785.0","33,012.0","30,523.0","41,620.0","34,587.0","36,219.0","33,562.0","41,254.0","37,577.0","36,495.0","35,236.0","45,109.0","41,189.0","39,558.0","37,281.0","48,638.0","45,242.0","44,360.0","41,629.0","54,484.0","48,796.0","49,326.0","44,644.0","57,211.0","52,205.0","52,328.0","51,365.0","63,001.0","59,958.0","57,823.0","55,657.0","69,035.0","64,857.0","59,227.0","62,601.0","75,396.0","68,477.0","63,338.0","66,465.0","81,395.0","75,235.0","70,878.0","69,234.0","86,258.0","81,205.0","77,775.0","75,173.0","90,483.0","86,761.0","82,397.0","82,377.0","97,593.0","94,173.0","86,775.0","86,256.0","106,874.0","97,394.0","91,462.0","92,944.0","113,526.0","101,863.0","99,027.0","95,986.0","123,205.0","106,586.0","102,291.0","102,094.0","125,796.0","116,446.0","108,309.0","107,211.0","134,296.0","121,092.0","113,031.0","108,829.0","139,399.0","126,481.0","119,827.0","116,717.0","144,876.0","133,061.0","124,991.0","123,177.0","152,550.0","139,200.0","130,838.0","126,842.0","161,895.0","147,040.0","137,127.0","132,644.0","173,342.0","154,723.0","144,658.0","136,759.0","185,165.0","162,011.0","149,319.0","141,014.0","190,063.0","169,471.0","161,636.0","147,252.0","197,438.0","177,210.0","162,760.0","162,818.0","215,035.0","191,716.0","175,920.0","169,035.0","232,024.0","204,207.0","195,790.0","183,940.0","251,200.0","219,972.0","210,261.0","193,015.0","269,469.0","232,049.0","222,396.0","198,597.0","286,915.0","229,296.0","224,087.0","204,900.0","289,666.0","231,084.0","213,439.0","199,332.0","290,926.0","231,379.0","223,788.0","209,851.0","295,334.0","241,728.0","234,278.0","213,639.0","304,378.0","247,437.0","238,801.0","223,991.0","306,683.0","256,297.0","245,317.0","235,570.0","314,979.0","257,727.0","253,613.0","241,933.0","322,622.0"
"24","5","  Taxes on corporate income","B102RU1","894.0","964.0","861.0","891.0","884.0","994.0","937.0","925.0","946.0","1,112.0","1,087.0","1,139.0","1,163.0","1,350.0","1,292.0","1,447.0","1,390.0","1,599.0","1,488.0","1,551.0","1,449.0","1,759.0","1,848.0","1,623.0","1,386.0","1,773.0","2,067.0","2,121.0","2,159.0","2,549.0","2,497.0","2,431.0","2,362.0","3,087.0","3,092.0","2,888.0","2,532.0","3,232.0","3,113.0","3,229.0","3,166.0","3,572.0","3,455.0","3,375.0","3,762.0","3,320.0","3,593.0","3,791.0","3,916.0","3,890.0","3,982.0","3,654.0","3,131.0","3,621.0","3,729.0","3,553.0","2,908.0","3,951.0","4,396.0","4,641.0","4,499.0","5,184.0","4,623.0","4,493.0","4,561.0","5,091.0","5,604.0","4,991.0","4,979.0","5,803.0","5,860.0","6,019.0","5,048.0","6,149.0","6,627.0","6,077.0","5,693.0","6,552.0","6,939.0","6,848.0","6,400.0","6,236.0","5,987.0","5,616.0","5,042.0","5,778.0","6,241.0","5,425.0","5,425.0","5,965.0","6,360.0","5,891.0","5,838.0","6,511.0","5,730.0","6,301.0","5,815.0","6,913.0","6,895.0","7,283.0","6,276.0","7,571.0","8,176.0","7,947.0","7,150.0","8,127.0","8,638.0","7,741.0","7,594.0","8,694.0","8,697.0","8,038.0","7,794.0","8,674.0","9,281.0","8,396.0","8,293.0","9,013.0","9,308.0","8,320.0","8,237.0","9,196.0","9,347.0","9,016.0","9,055.0","9,481.0","8,881.0","7,814.0","7,515.0","8,104.0","7,094.0","6,140.0","7,427.0","8,418.0","8,243.0","6,776.0","7,255.0","8,282.0","9,098.0","9,362.0","8,508.0","10,155.0","10,836.0","12,209.0","12,305.0","13,531.0","14,535.0","14,572.0","14,390.0","15,235.0","15,909.0","13,708.0","14,761.0","16,770.0","14,764.0","11,584.0","13,806.0","14,901.0","13,809.0","4,918.0","9,618.0","17,184.0","9,308.0","9,485.0","10,622.0","16,164.0","10,077.0","10,801.0","11,255.0","18,206.0","10,105.0","10,638.0","11,666.0","18,488.0","11,180.0","11,152.0","12,611.0","20,032.0","11,374.0","11,476.0","13,587.0","20,246.0","12,135.0","12,329.0"
"25","6","Contributions for government social insurance","B104RU1","245.0","254.0","260.0","267.0","268.0","270.0","273.0","278.0","283.0","291.0","296.0","304.0","314.0","327.0","334.0","345.0","356.0","367.0","380.0","389.0","399.0","411.0","421.0","434.0","438.0","450.0","467.0","488.0","509.0","533.0","559.0","586.0","628.0","676.0","714.0","757.0","796.0","837.0","871.0","906.0","942.0","964.0","983.0","991.0","902.0","729.0","953.0","988.0","936.0","957.0","977.0","990.0","1,003.0","1,009.0","1,014.0","1,017.0","1,009.0","1,014.0","1,037.0","1,080.0","1,130.0","1,168.0","1,188.0","1,191.0","1,181.0","1,190.0","1,224.0","1,291.0","1,372.0","1,448.0","1,529.0","1,608.0","1,683.0","1,759.0","1,836.0","1,929.0","2,004.0","2,073.0","2,127.0","2,173.0","2,190.0","2,215.0","2,255.0","2,314.0","2,383.0","2,464.0","2,554.0","2,634.0","2,747.0","2,855.0","2,958.0","3,059.0","3,152.0","3,243.0","3,327.0","3,401.0","3,457.0","3,513.0","3,559.0","3,600.0","3,642.0","3,651.0","3,632.0","3,590.0","3,498.0","3,437.0","3,367.0","3,298.0","3,253.0","3,165.0","3,070.0","2,965.0","2,822.0","2,727.0","2,660.0","2,614.0","2,620.0","2,615.0","2,584.0","2,532.0","2,469.0","2,425.0","2,416.0","2,442.0","2,506.0","2,610.0","2,757.0","2,949.0","3,172.0","3,365.0","3,519.0","3,635.0","3,726.0","3,844.0","4,018.0","4,238.0","4,510.0","4,803.0","5,131.0","5,488.0","5,853.0","6,131.0","6,303.0","6,367.0","6,337.0","6,247.0","6,109.0","5,922.0","5,695.0","5,474.0","5,261.0","5,056.0","4,871.0","4,734.0","4,652.0","4,628.0","4,645.0","4,670.0","4,682.0","4,684.0","4,682.0","4,664.0","4,632.0","4,589.0","4,542.0","4,519.0","4,522.0","4,545.0","4,570.0","4,570.0","4,555.0","4,521.0","4,499.0","4,494.0","4,510.0","4,545.0","4,595.0","4,636.0","4,668.0","4,694.0","4,715.0","4,721.0","4,719.0","4,709.0"
"26","7","Income receipts on assets","W074RU1","996.0","1,056.0","1,115.0","1,170.0","1,236.0","1,278.0","1,310.0","1,329.0","1,362.0","1,370.0","1,378.0","1,386.0","1,413.0","1,442.0","1,497.0","1,577.0","1,732.0","1,861.0","2,004.0","2,163.0","2,357.0","2,505.0","2,622.0","2,706.0","2,807.0","2,821.0","2,804.0","2,753.0","2,628.0","2,588.0","2,587.0","2,631.0","2,729.0","2,839.0","2,973.0","3,125.0","3,306.0","3,520.0","3,771.0","4,062.0","4,554.0","4,883.0","5,196.0","5,496.0","6,087.0","6,391.0","6,719.0","7,073.0","7,484.0","7,840.0","8,168.0","8,471.0","8,806.0","9,068.0","9,313.0","9,535.0","9,883.0","10,173.0","10,505.0","10,882.0","11,230.0","11,672.0","12,139.0","12,634.0","13,342.0","13,752.0","14,120.0","14,398.0","14,671.0","14,757.0","14,764.0","14,766.0","14,639.0","14,626.0","14,624.0","14,646.0","14,881.0","15,108.0","15,453.0","15,753.0","16,257.0","16,570.0","16,785.0","16,947.0","16,992.0","17,047.0","17,361.0","17,069.0","17,015.0","16,898.0","16,772.0","16,560.0","16,500.0","16,085.0","15,839.0","15,625.0","15,385.0","15,248.0","15,216.0","15,265.0","15,454.0","15,712.0","15,976.0","16,360.0","16,769.0","17,114.0","17,465.0","17,767.0","18,003.0","18,270.0","18,587.0","18,837.0","19,125.0","19,426.0","19,648.0","19,894.0","20,076.0","20,257.0","20,416.0","20,505.0","20,666.0","20,942.0","21,463.0","22,168.0","23,036.0","23,551.0","23,715.0","23,624.0","23,180.0","22,633.0","22,046.0","21,302.0","20,464.0","19,827.0","19,335.0","18,963.0","18,703.0","18,438.0","18,344.0","18,336.0","18,496.0","18,831.0","19,351.0","20,139.0","20,689.0","21,563.0","22,589.0","23,751.0","25,098.0","26,311.0","27,383.0","28,384.0","29,365.0","29,698.0","29,767.0","29,112.0","28,119.0","27,031.0","25,850.0","24,708.0","23,250.0","22,148.0","21,414.0","20,992.0","20,839.0","20,756.0","20,569.0","20,436.0","20,067.0","19,825.0","19,685.0","19,639.0","19,203.0","18,930.0","18,684.0","18,566.0","18,528.0","18,525.0","18,594.0","18,651.0","18,734.0","18,869.0","18,969.0","19,127.0"
"27","8","Current transfer receipts","W075RU1","3,364.0","4,023.0","3,833.0","4,037.0","4,482.0","5,426.0","5,063.0","5,125.0","5,474.0","6,562.0","5,844.0","6,251.0","6,541.0","9,354.0","6,830.0","10,121.0","9,040.0","9,506.0","8,761.0","8,769.0","8,913.0","9,753.0","9,540.0","9,739.0","10,475.0","12,473.0","11,893.0","12,364.0","12,841.0","13,041.0","13,235.0","14,197.0","13,698.0","14,722.0","15,459.0","15,761.0","16,669.0","17,489.0","17,020.0","17,843.0","16,878.0","17,338.0","17,630.0","18,446.0","18,851.0","18,959.0","19,002.0","20,055.0","20,752.0","19,740.0","18,576.0","18,903.0","19,060.0","19,304.0","17,827.0","19,686.0","19,649.0","19,962.0","18,839.0","20,285.0","21,215.0","21,042.0","19,808.0","22,600.0","22,323.0","21,915.0","21,696.0","23,866.0","26,200.0","24,487.0","24,755.0","24,344.0","23,889.0","23,855.0","22,834.0","23,858.0","25,972.0","25,618.0","24,979.0","26,566.0","27,769.0","27,515.0","27,419.0","28,939.0","31,065.0","31,491.0","30,617.0","33,214.0","35,904.0","37,121.0","36,940.0","40,695.0","42,155.0","43,029.0","42,430.0","45,197.0","45,789.0","46,791.0","45,812.0","51,375.0","49,950.0","51,043.0","48,973.0","54,086.0","54,082.0","54,390.0","51,819.0","54,155.0","55,229.0","57,799.0","54,092.0","57,267.0","58,052.0","58,227.0","57,322.0","62,507.0","62,373.0","61,981.0","60,598.0","68,544.0","68,460.0","68,134.0","67,952.0","72,852.0","73,072.0","74,605.0","73,649.0","78,366.0","81,695.0","85,256.0","79,159.0","87,030.0","88,251.0","93,418.0","87,821.0","95,869.0","95,102.0","105,258.0","98,027.0","106,632.0","104,202.0","109,559.0","99,200.0","109,480.0","108,632.0","112,860.0","103,089.0","111,827.0","109,028.0","113,694.0","105,638.0","110,519.0","114,639.0","118,754.0","109,558.0","117,977.0","117,944.0","122,543.0","113,164.0","124,175.0","131,647.0","150,128.0","136,296.0","148,028.0","150,357.0","154,037.0","149,018.0","158,544.0","151,122.0","157,251.0","134,250.0","139,508.0","137,219.0","143,134.0","134,347.0","143,313.0","139,130.0","147,473.0","140,306.0","144,320.0","146,250.0","161,157.0","155,790.0","158,319.0"
"28","9","  Federal grants-in-aid","B089RU1","2,972.0","3,627.0","3,432.0","3,629.0","4,057.0","4,992.0","4,620.0","4,673.0","4,996.0","6,073.0","5,341.0","5,732.0","5,975.0","8,774.0","6,240.0","9,524.0","8,407.0","8,867.0","8,111.0","8,104.0","8,187.0","9,006.0","8,770.0","8,945.0","9,621.0","11,593.0","10,985.0","11,427.0","11,824.0","11,995.0","12,162.0","13,096.0","12,514.0","13,513.0","14,227.0","14,506.0","15,323.0","16,119.0","15,623.0","16,417.0","15,349.0","15,776.0","16,036.0","16,819.0","17,129.0","17,193.0","17,186.0","18,182.0","18,696.0","17,624.0","16,406.0","16,684.0","16,723.0","16,923.0","15,401.0","17,214.0","17,036.0","17,309.0","16,120.0","17,475.0","18,275.0","18,000.0","16,674.0","19,390.0","19,055.0","18,561.0","18,243.0","20,310.0","20,513.0","20,676.0","20,858.0","20,378.0","19,944.0","19,872.0","18,803.0","19,763.0","21,801.0","21,344.0","20,576.0","22,016.0","23,013.0","22,621.0","22,402.0","23,805.0","25,753.0","26,141.0","25,061.0","27,402.0","29,660.0","30,657.0","30,167.0","33,538.0","34,685.0","35,393.0","34,577.0","37,026.0","37,507.0","38,371.0","37,230.0","42,605.0","40,927.0","41,830.0","39,577.0","44,515.0","44,359.0","44,492.0","41,738.0","43,888.0","44,788.0","47,166.0","43,264.0","46,239.0","46,602.0","46,533.0","44,519.0","50,488.0","50,050.0","49,909.0","48,052.0","52,788.0","54,447.0","53,756.0","53,211.0","57,741.0","56,907.0","58,099.0","56,832.0","61,268.0","64,205.0","67,474.0","61,042.0","68,537.0","69,281.0","74,046.0","68,077.0","75,775.0","74,942.0","84,699.0","77,002.0","85,068.0","82,138.0","87,072.0","76,428.0","86,563.0","85,677.0","89,779.0","79,762.0","88,135.0","85,013.0","89,282.0","80,915.0","85,573.0","89,487.0","93,413.0","83,974.0","92,096.0","91,484.0","95,844.0","86,339.0","97,338.0","104,610.0","123,117.0","109,299.0","121,034.0","123,948.0","127,381.0","122,267.0","131,696.0","124,005.0","129,883.0","106,694.0","111,868.0","109,200.0","114,781.0","105,671.0","114,323.0","109,422.0","117,523.0","110,174.0","113,010.0","116,438.0","126,019.0","124,432.0","127,943.0"
"29","10","  From business (net)","W076RU1","133.0","133.0","132.0","132.0","141.0","141.0","140.0","138.0","153.0","150.0","148.0","147.0","170.0","170.0","171.0","172.0","214.0","217.0","222.0","227.0","268.0","272.0","273.0","272.0","308.0","304.0","301.0","298.0","344.0","343.0","340.0","339.0","396.0","396.0","395.0","395.0","465.0","466.0","467.0","469.0","540.0","542.0","544.0","544.0","615.0","615.0","614.0","613.0","716.0","716.0","717.0","720.0","808.0","812.0","814.0","815.0","907.0","895.0","906.0","937.0","1,001.0","1,039.0","1,067.0","1,078.0","1,081.0","1,091.0","1,107.0","1,121.0","3,140.0","1,181.0","1,195.0","1,204.0","1,203.0","1,212.0","1,226.0","1,248.0","1,268.0","1,310.0","1,368.0","1,435.0","1,514.0","1,578.0","1,630.0","1,672.0","1,810.0","1,721.0","1,758.0","1,802.0","1,941.0","1,909.0","1,974.0","2,126.0","2,221.0","2,216.0","2,293.0","2,508.0","2,529.0","2,590.0","2,662.0","2,747.0","2,845.0","2,941.0","3,037.0","3,132.0","3,224.0","3,322.0","3,423.0","3,527.0","3,634.0","3,739.0","3,845.0","3,950.0","4,065.0","4,155.0","5,156.0","4,310.0","4,643.0","4,384.0","4,771.0","7,809.0","5,820.0","5,935.0","6,060.0","6,195.0","7,022.0","7,128.0","7,194.0","7,218.0","7,347.0","7,385.0","7,480.0","7,630.0","7,896.0","8,075.0","8,228.0","8,355.0","8,197.0","8,341.0","8,532.0","8,769.0","8,974.0","9,141.0","9,208.0","9,174.0","9,071.0","9,044.0","9,123.0","9,309.0","9,440.0","9,663.0","9,817.0","9,900.0","9,983.0","10,046.0","10,159.0","10,323.0","10,765.0","10,901.0","10,959.0","10,939.0","11,029.0","10,980.0","10,981.0","11,032.0","10,598.0","10,896.0","10,968.0","10,966.0","11,053.0","11,112.0","11,098.0","10,970.0","10,903.0","10,899.0","10,995.0","11,189.0","11,897.0","12,113.0","12,251.0","13,370.0","11,796.0","11,814.0","13,100.0","11,951.0"
"30","11","  From persons","B246RU1","259.0","264.0","269.0","276.0","284.0","293.0","303.0","314.0","325.0","339.0","355.0","372.0","396.0","410.0","420.0","425.0","419.0","422.0","428.0","438.0","458.0","476.0","497.0","522.0","546.0","576.0","607.0","639.0","673.0","704.0","734.0","762.0","788.0","813.0","837.0","860.0","881.0","905.0","930.0","957.0","990.0","1,020.0","1,051.0","1,083.0","1,108.0","1,151.0","1,202.0","1,260.0","1,340.0","1,400.0","1,453.0","1,499.0","1,529.0","1,569.0","1,612.0","1,657.0","1,706.0","1,758.0","1,813.0","1,873.0","1,939.0","2,003.0","2,067.0","2,132.0","2,187.0","2,263.0","2,346.0","2,435.0","2,547.0","2,630.0","2,702.0","2,762.0","2,743.0","2,771.0","2,805.0","2,847.0","2,903.0","2,964.0","3,035.0","3,115.0","3,241.0","3,315.0","3,387.0","3,463.0","3,503.0","3,629.0","3,798.0","4,010.0","4,304.0","4,555.0","4,799.0","5,031.0","5,249.0","5,420.0","5,560.0","5,663.0","5,753.0","5,831.0","5,921.0","6,023.0","6,178.0","6,272.0","6,360.0","6,440.0","6,499.0","6,577.0","6,659.0","6,740.0","6,808.0","6,893.0","6,983.0","7,078.0","7,385.0","7,539.0","7,647.0","7,709.0","7,680.0","7,688.0","7,775.0","7,947.0","8,193.0","8,443.0","8,681.0","8,916.0","9,143.0","9,378.0","9,623.0","9,880.0","10,143.0","10,397.0","10,637.0","10,863.0","11,074.0","11,297.0","11,516.0","11,739.0","11,963.0","12,218.0","12,493.0","12,795.0","13,090.0","13,346.0","13,564.0","13,743.0","13,884.0","14,037.0","14,204.0","14,383.0","14,575.0","14,749.0","14,906.0","15,046.0","15,169.0","15,295.0","15,425.0","15,558.0","15,695.0","15,798.0","15,866.0","15,898.0","16,008.0","16,031.0","16,016.0","15,962.0","15,811.0","15,760.0","15,783.0","15,882.0","16,064.0","16,256.0","16,458.0","16,670.0","17,116.0","17,454.0","17,682.0","17,801.0","17,811.0","17,838.0","17,881.0","17,940.0","18,016.0","18,122.0","18,259.0","18,425.0"
"31","12","  From the rest of the world","LA0000231",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,202.0","0.0","0.0"
"32","13","Current surplus of government enterprises","B115RU1","317.0","315.0","316.0","319.0","325.0","323.0","315.0","300.0","281.0","267.0","265.0","269.0","286.0","302.0","314.0","318.0","315.0","306.0","291.0","269.0","230.0","174.0","104.0","59.0","23.0","11.0","11.0","19.0","42.0","49.0","57.0","51.0","35.0","25.0","12.0","23.0","40.0","27.0","4.0","-24.0","-64.0","-112.0","-162.0","-206.0","-241.0","-296.0","-387.0","-486.0","-598.0","-660.0","-677.0","-623.0","-513.0","-446.0","-388.0","-307.0","-214.0","-117.0","-36.0","-2.0","122.0","239.0","370.0","581.0","672.0","744.0","781.0","732.0","702.0","655.0","623.0","570.0","569.0","598.0","659.0","840.0","937.0","1,048.0","1,148.0","1,250.0","1,351.0","1,398.0","1,416.0","1,440.0","1,418.0","1,387.0","1,366.0","1,395.0","1,437.0","1,434.0","1,417.0","1,424.0","1,368.0","1,394.0","1,470.0","1,577.0","1,712.0","1,799.0","1,897.0","1,908.0","1,822.0","1,869.0","1,971.0","2,127.0","2,372.0","2,561.0","2,740.0","2,896.0","3,059.0","3,146.0","3,147.0","3,079.0","2,970.0","2,799.0","2,640.0","2,471.0","2,069.0","2,149.0","2,216.0","2,278.0","2,335.0","2,325.0","2,248.0","2,060.0","1,801.0","1,504.0","1,210.0","894.0","561.0","330.0","1,530.0","-57.0","10.0","82.0","95.0","-48.0","-307.0","-570.0","-837.0","-1,077.0","-1,366.0","-1,636.0","-1,821.0","-1,860.0","-1,612.0","-1,801.0","-1,899.0","-2,027.0","-2,148.0","-2,461.0","-3,022.0","-3,475.0","-4,111.0","-4,584.0","-4,698.0","-5,092.0","-5,235.0","-5,461.0","-5,611.0","-5,741.0","-5,671.0","-5,386.0","-5,498.0","-4,824.0","-5,798.0","-4,772.0","-4,700.0","-4,530.0","-4,429.0","-4,346.0","-4,275.0","-4,315.0","-3,464.0","-2,656.0","-2,290.0","-1,940.0","-1,834.0","-1,886.0","-1,890.0","-1,846.0","-1,874.0","-2,126.0","-2,256.0","-2,321.0"
