"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RX1","408,286.0","407,331.0","403,608.0","402,985.0","406,095.0","412,012.0","418,926.0","424,275.0","423,729.0","418,912.0","417,856.0","413,042.0","415,061.0","418,009.0","421,879.0","434,276.0","441,979.0","453,179.0","460,564.0","463,737.0","467,720.0","466,751.0","471,163.0","475,588.0","479,163.0","482,671.0","484,799.0","482,975.0","481,354.0","478,744.0","476,664.0","475,896.0","478,992.0","483,559.0","487,727.0","493,468.0","498,310.0","501,674.0","504,284.0","506,595.0","507,844.0","509,641.0","512,268.0","509,820.0","506,757.0","504,087.0","505,441.0","509,001.0","511,887.0","519,195.0","520,060.0","524,341.0","535,029.0","538,083.0","542,402.0","537,375.0","535,083.0","537,060.0","543,623.0","549,067.0","557,671.0","563,076.0","569,414.0","573,178.0","580,579.0","585,460.0","591,253.0","595,485.0","600,002.0","604,336.0","609,530.0","614,496.0","625,877.0","634,076.0","643,309.0","650,735.0","663,745.0","676,249.0","687,363.0","702,658.0","716,973.0","723,262.0","731,735.0","739,979.0","747,511.0","760,703.0","767,904.0","773,887.0","783,918.0","792,301.0","801,987.0","807,234.0"
"21","2","Farm \2\","B372RX1","144,454.0","143,178.0","141,251.0","139,456.0","139,876.0","142,059.0","144,423.0","146,294.0","145,961.0","145,096.0","144,431.0","144,180.0","143,898.0","143,190.0","143,354.0","143,797.0","144,533.0","145,239.0","145,694.0","146,169.0","146,915.0","147,948.0","149,233.0","149,637.0","150,347.0","150,279.0","150,771.0","151,842.0","152,452.0","152,594.0","152,817.0","152,386.0","151,895.0","151,288.0","150,729.0","150,291.0","149,470.0","148,499.0","147,590.0","146,664.0","146,395.0","146,345.0","146,857.0","147,159.0","149,311.0","151,273.0","153,020.0","153,709.0","152,716.0","151,210.0","149,686.0","148,400.0","148,493.0","149,031.0","149,927.0","150,357.0","151,049.0","151,680.0","152,425.0","153,217.0","153,917.0","154,135.0","154,529.0","155,157.0","157,322.0","157,507.0","157,011.0","156,769.0","155,667.0","154,465.0","153,293.0","152,435.0","152,682.0","153,492.0","154,369.0","155,265.0","155,590.0","154,812.0","154,325.0","153,683.0","154,775.0","156,821.0","157,218.0","156,542.0","158,622.0","162,162.0","162,531.0","161,161.0","162,127.0","163,191.0","162,573.0","161,184.0"
"22","3","Nonfarm","A373RX1","238,816.0","239,962.0","238,942.0","241,822.0","245,029.0","248,290.0","252,417.0","255,467.0","255,366.0","251,230.0","251,063.0","246,002.0","248,677.0","253,131.0","257,306.0","271,104.0","279,060.0","291,226.0","299,266.0","302,286.0","305,798.0","302,906.0","305,982.0","310,420.0","313,330.0","317,200.0","318,789.0","315,402.0","312,868.0","309,902.0","307,410.0","307,173.0","311,014.0","316,517.0","321,425.0","327,670.0","333,380.0","337,832.0","341,470.0","344,802.0","346,359.0","348,223.0","350,292.0","347,491.0","341,878.0","336,781.0","336,107.0","339,017.0","343,121.0","352,400.0","355,048.0","360,848.0","371,552.0","374,014.0","377,340.0","371,777.0","368,679.0","369,959.0","375,727.0","380,337.0","388,291.0","393,560.0","399,599.0","402,711.0","407,716.0","412,496.0","418,990.0","423,573.0","429,372.0","435,065.0","441,594.0","447,558.0","458,768.0","466,167.0","474,539.0","481,052.0","493,915.0","507,694.0","519,712.0","536,170.0","549,518.0","553,546.0","561,705.0","570,808.0","576,052.0","585,355.0","592,238.0","599,868.0","608,929.0","616,223.0","626,838.0","633,830.0"
"23","4","    Durable goods \3\","A374RX1","109,821.0","110,881.0","112,757.0","112,283.0","113,899.0","114,679.0","115,613.0","116,748.0","116,597.0","113,029.0","113,904.0","109,874.0","109,112.0","112,427.0","114,628.0","123,603.0","127,683.0","135,876.0","142,551.0","144,353.0","146,326.0","144,646.0","145,169.0","148,225.0","151,366.0","153,925.0","156,369.0","153,827.0","150,834.0","147,595.0","145,578.0","145,098.0","147,264.0","150,789.0","152,870.0","156,342.0","159,766.0","161,358.0","161,524.0","163,004.0","163,697.0","165,560.0","167,531.0","165,728.0","161,061.0","156,913.0","156,104.0","157,250.0","162,513.0","167,944.0","167,385.0","169,419.0","177,341.0","177,855.0","179,218.0","175,286.0","170,507.0","169,296.0","172,532.0","175,069.0","179,791.0","181,887.0","186,009.0","187,001.0","189,389.0","192,110.0","195,002.0","196,223.0","199,459.0","202,412.0","206,506.0","209,274.0","217,030.0","222,054.0","228,185.0","230,728.0","238,711.0","246,641.0","255,253.0","264,521.0","270,160.0","272,007.0","275,337.0","280,449.0","283,009.0","287,801.0","289,978.0","295,088.0","299,877.0","303,035.0","308,708.0","313,941.0"
"24","5","    Nondurable goods \3\","A375RX1","130,343.0","130,459.0","127,613.0","130,943.0","132,565.0","135,052.0","138,279.0","140,231.0","140,280.0","139,868.0","138,702.0","137,852.0","141,549.0","142,532.0","144,478.0","149,098.0","152,954.0","156,755.0","157,848.0","159,007.0","160,522.0","159,343.0","162,049.0","163,299.0","162,768.0","163,957.0","162,766.0","162,095.0","162,920.0","163,562.0","163,265.0","163,603.0","165,209.0","166,986.0","169,894.0","172,538.0","174,628.0","177,673.0","181,658.0","183,560.0","184,442.0","184,126.0","183,907.0","183,049.0","182,764.0","182,387.0","182,692.0","184,558.0","182,379.0","185,899.0","189,771.0","193,820.0","195,620.0","197,819.0","199,877.0","198,688.0","201,552.0","204,716.0","207,091.0","209,059.0","211,986.0","215,331.0","216,830.0","219,137.0","221,775.0","223,695.0","227,398.0","231,121.0","233,540.0","236,217.0","238,320.0","241,570.0","244,201.0","246,079.0","247,607.0","251,805.0","256,098.0","261,533.0","264,003.0","270,771.0","278,793.0","281,019.0","286,086.0","289,839.0","292,526.0","296,949.0","302,104.0","304,097.0","308,226.0","312,514.0","317,272.0","318,347.0"
"25","6","  Manufacturing","A376RX1","121,738.0","121,521.0","122,187.0","122,416.0","122,358.0","124,629.0","126,653.0","127,313.0","128,224.0","125,668.0","123,099.0","120,923.0","121,502.0","122,423.0","123,078.0","128,872.0","132,880.0","142,234.0","151,890.0","155,814.0","161,001.0","159,877.0","160,618.0","162,357.0","164,473.0","166,919.0","168,156.0","166,659.0","163,496.0","160,002.0","157,258.0","157,701.0","158,457.0","160,627.0","163,335.0","166,530.0","170,733.0","174,738.0","177,079.0","179,023.0","180,269.0","180,659.0","181,056.0","177,869.0","174,542.0","170,514.0","169,753.0","171,359.0","172,818.0","176,696.0","177,717.0","180,728.0","184,536.0","185,447.0","187,690.0","183,215.0","182,253.0","182,701.0","186,249.0","188,731.0","193,940.0","196,751.0","200,878.0","201,251.0","203,739.0","206,141.0","208,794.0","208,945.0","211,504.0","212,106.0","215,002.0","220,567.0","224,088.0","226,959.0","232,502.0","236,084.0","242,922.0","250,200.0","259,497.0","267,664.0","276,793.0","280,554.0","284,827.0","288,824.0","290,505.0","294,359.0","299,458.0","302,096.0","306,388.0","308,661.0","312,482.0","316,087.0"
"26","7","    Durable goods","B377RX1","66,056.0","66,546.0","67,514.0","66,886.0","65,730.0","65,702.0","65,947.0","66,046.0","66,474.0","64,589.0","62,419.0","60,803.0","60,739.0","62,034.0","63,011.0","66,080.0","68,782.0","74,342.0","80,824.0","83,607.0","86,945.0","86,835.0","87,331.0","88,790.0","90,577.0","92,506.0","93,772.0","92,639.0","90,244.0","87,031.0","85,120.0","85,283.0","85,521.0","86,734.0","88,148.0","89,924.0","92,851.0","95,253.0","95,896.0","97,417.0","98,203.0","98,833.0","99,527.0","97,501.0","94,648.0","91,842.0","91,446.0","91,989.0","93,007.0","95,495.0","95,532.0","97,006.0","100,026.0","99,780.0","100,789.0","97,551.0","95,442.0","94,808.0","97,223.0","98,878.0","102,395.0","103,584.0","105,794.0","105,524.0","107,186.0","108,979.0","110,451.0","109,794.0","111,288.0","112,211.0","114,372.0","117,731.0","120,529.0","123,071.0","127,127.0","128,739.0","133,074.0","137,308.0","144,722.0","150,138.0","155,474.0","157,937.0","160,816.0","163,398.0","164,429.0","166,100.0","168,646.0","169,759.0","172,802.0","174,222.0","175,940.0","179,227.0"
"27","8","    Nondurable goods","B378RX1","57,240.0","56,549.0","56,268.0","57,111.0","58,202.0","60,539.0","62,403.0","63,032.0","63,523.0","62,894.0","62,582.0","62,060.0","62,775.0","62,279.0","61,873.0","64,672.0","65,949.0","69,783.0","72,881.0","73,943.0","75,756.0","74,637.0","74,869.0","75,054.0","75,252.0","75,638.0","75,460.0","75,169.0","74,561.0","74,608.0","73,874.0","74,190.0","74,771.0","75,743.0","77,087.0","78,525.0","79,574.0","81,121.0","83,110.0","83,346.0","83,767.0","83,347.0","82,843.0","81,778.0","81,744.0","80,761.0","80,386.0","81,625.0","81,972.0","83,213.0","84,461.0","86,106.0","86,454.0","87,994.0","89,353.0","88,476.0","90,405.0","91,928.0","92,854.0","93,553.0","94,959.0","96,776.0","98,751.0","99,631.0","100,329.0","100,724.0","101,918.0","103,088.0","104,128.0","103,517.0","103,985.0","106,077.0","106,387.0","106,251.0","107,273.0","109,446.0","111,708.0","114,683.0","115,484.0","117,829.0","121,522.0","122,645.0","123,796.0","125,036.0","125,642.0","128,091.0","130,816.0","132,539.0","133,453.0","134,231.0","136,557.0","136,220.0"
"28","9","  Wholesale trade","A379RX1","49,015.0","49,687.0","48,499.0","47,227.0","47,343.0","48,002.0","49,415.0","50,322.0","50,679.0","50,151.0","50,455.0","50,564.0","51,901.0","53,538.0","53,650.0","56,273.0","56,664.0","58,223.0","58,153.0","57,566.0","56,934.0","56,514.0","57,656.0","59,100.0","59,569.0","60,053.0","60,223.0","59,668.0","60,226.0","60,809.0","60,639.0","60,617.0","61,107.0","62,714.0","63,855.0","64,971.0","65,356.0","65,111.0","66,541.0","67,088.0","66,893.0","67,121.0","67,043.0","66,405.0","65,621.0","65,627.0","65,857.0","66,366.0","67,296.0","69,715.0","71,035.0","73,823.0","75,569.0","76,507.0","76,467.0","75,915.0","76,572.0","76,604.0","77,488.0","78,090.0","79,007.0","80,513.0","80,609.0","81,703.0","82,495.0","84,429.0","86,850.0","88,405.0","89,413.0","91,458.0","92,505.0","93,751.0","96,522.0","98,454.0","99,919.0","100,120.0","103,520.0","105,940.0","108,448.0","113,566.0","116,616.0","116,713.0","120,529.0","122,890.0","123,234.0","126,065.0","127,404.0","127,187.0","130,097.0","133,094.0","135,490.0","136,519.0"
"29","10","    Durable goods","A380RX1","25,186.0","25,243.0","25,604.0","25,147.0","25,648.0","26,318.0","27,024.0","27,558.0","27,655.0","26,995.0","27,214.0","27,209.0","27,432.0","28,376.0","28,321.0","30,350.0","30,665.0","32,299.0","32,627.0","32,399.0","31,721.0","30,975.0","30,825.0","31,338.0","31,869.0","31,672.0","31,978.0","31,472.0","31,423.0","31,433.0","31,367.0","31,400.0","31,895.0","32,932.0","33,335.0","33,962.0","33,951.0","33,884.0","33,892.0","33,869.0","33,791.0","34,121.0","34,374.0","34,005.0","33,471.0","33,316.0","33,481.0","33,874.0","34,691.0","36,294.0","36,035.0","37,611.0","39,689.0","40,079.0","40,145.0","39,651.0","39,267.0","38,832.0","39,754.0","40,650.0","41,383.0","42,200.0","42,854.0","43,590.0","44,058.0","45,354.0","46,162.0","46,488.0","46,776.0","48,062.0","48,977.0","49,838.0","51,707.0","52,680.0","53,807.0","54,124.0","56,884.0","58,257.0","59,814.0","62,543.0","63,793.0","64,227.0","65,267.0","66,941.0","67,220.0","68,408.0","69,011.0","69,513.0","71,142.0","73,274.0","74,632.0","75,275.0"
"30","11","    Nondurable goods","A381RX1","23,371.0","23,907.0","22,620.0","21,870.0","21,599.0","21,665.0","22,348.0","22,720.0","22,965.0","23,044.0","23,139.0","23,248.0","24,302.0","24,992.0","25,133.0","25,812.0","25,898.0","25,958.0","25,614.0","25,262.0","25,262.0","25,521.0","26,710.0","27,608.0","27,571.0","28,212.0","28,089.0","28,026.0","28,613.0","29,165.0","29,066.0","29,016.0","29,015.0","29,583.0","30,313.0","30,793.0","31,201.0","31,023.0","32,477.0","33,066.0","32,947.0","32,828.0","32,479.0","32,214.0","31,975.0","32,149.0","32,209.0","32,315.0","32,394.0","33,169.0","34,833.0","36,021.0","35,560.0","36,115.0","36,003.0","35,970.0","37,073.0","37,581.0","37,497.0","37,149.0","37,308.0","37,988.0","37,379.0","37,720.0","38,035.0","38,641.0","40,283.0","41,549.0","42,290.0","43,019.0","43,110.0","43,469.0","44,314.0","45,270.0","45,565.0","45,425.0","45,946.0","46,969.0","47,881.0","50,244.0","52,081.0","51,695.0","54,601.0","55,213.0","55,264.0","56,958.0","57,714.0","56,868.0","58,121.0","58,852.0","59,863.0","60,221.0"
"31","12","      Merchant wholesalers","A802RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","45,652.0","46,383.0","48,193.0","49,652.0","51,978.0","53,265.0","53,652.0","53,509.0","53,273.0","53,882.0","53,590.0","54,156.0","54,227.0","54,683.0","55,693.0","55,284.0","55,912.0","56,330.0","57,851.0","59,992.0","61,323.0","62,258.0","64,299.0","65,246.0","66,267.0","69,048.0","70,828.0","72,209.0","72,168.0","75,313.0","77,099.0","79,098.0","83,622.0","85,584.0","85,057.0","88,613.0","90,468.0","90,836.0","93,018.0","94,027.0","93,567.0","95,918.0","98,442.0","100,440.0","101,247.0"
"32","13","        Durable goods","B803RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","25,548.0","26,253.0","27,444.0","27,409.0","28,730.0","30,493.0","30,485.0","30,514.0","30,211.0","29,913.0","29,416.0","30,105.0","30,678.0","31,004.0","31,535.0","31,935.0","32,463.0","32,633.0","33,546.0","34,241.0","34,547.0","34,828.0","36,164.0","37,087.0","37,839.0","39,694.0","40,453.0","41,530.0","41,730.0","44,412.0","45,520.0","46,607.0","49,048.0","49,693.0","49,763.0","50,631.0","52,126.0","52,357.0","53,411.0","53,894.0","54,309.0","55,601.0","57,537.0","58,709.0","59,179.0"
"33","14","        Nondurable goods","B804RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","19,682.0","19,687.0","20,278.0","21,806.0","22,784.0","22,234.0","22,638.0","22,466.0","22,545.0","23,470.0","23,690.0","23,546.0","23,025.0","23,149.0","23,618.0","22,800.0","22,889.0","23,135.0","23,728.0","25,162.0","26,180.0","26,834.0","27,514.0","27,515.0","27,769.0","28,655.0","29,669.0","29,947.0","29,699.0","30,098.0","30,752.0","31,645.0","33,688.0","35,013.0","34,403.0","37,133.0","37,445.0","37,578.0","38,705.0","39,234.0","38,290.0","39,333.0","39,836.0","40,640.0","40,967.0"
